date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-10-02,0.05,1.28,0.05,0.598,467974635.0,298331548.15465,1424136,2100464805.551521,1320383108.4204862
2025-10-03,0.598,0.622,0.50397,0.52205,183111494.0,98854532.16837,511427,2100464805.551521,1320383108.4204862
2025-10-04,0.52228,0.5309,0.47393,0.49652,54817079.0,27672821.28254,169033,1823125177.3790395,543674680.605002
2025-10-05,0.49673,0.51568,0.48074,0.49129,41924497.0,20850250.54027,159594,1728806010.6595125,164241841.65734795
2025-10-06,0.49135,0.49742,0.47557,0.49564,35582940.0,17253601.61781,139324,1710637218.4668684,165289561.3807513
2025-10-07,0.4957,0.50186,0.43458,0.43709,41637580.0,19595631.68764,197300,1723146614.9355738,152645244.74254647
2025-10-08,0.4371,0.43735,0.38049,0.4142,46436292.0,18521511.61119,302866,1514321224.9250107,155009330.9458891
2025-10-09,0.4142,0.4142,0.35967,0.36209,46539384.0,18122774.51725,268877,1422741495.9070504,305446547.06194556
2025-10-10,0.36206,0.37296,0.15,0.25895,87295823.0,26478952.73982,277950,1260447207.9618268,495222501.035694
2025-10-11,0.25879,0.28143,0.24622,0.25795,58351894.0,15680924.84901,361156,890428259.9735575,124356202.99639486
2025-10-12,0.25796,0.26839,0.23768,0.26433,75963763.0,19348002.96489,535050,895788935.8531955,91510943.93317746
2025-10-13,0.26434,0.289,0.25448,0.2831,130122177.0,35045753.63642,936593,919213224.6485193,92067498.48512076
2025-10-14,0.28313,0.2946,0.24912,0.28679,299973497.0,81113664.53782,1495699,984550615.1546845,121883982.50814034
2025-10-15,0.28679,0.28998,0.25741,0.2607,1959186542.0,525276614.79125,4086982,996085263.8611197,221378998.7915423
2025-10-16,0.2607,0.2739,0.24241,0.24725,5552340986.0,1457217698.81708,6912667,904854461.7944677,861726940.0097843
2025-10-17,0.24723,0.2534,0.22473,0.2294,78119478.0,18476865.78002,421516,854236828.0453824,1888904577.014802
2025-10-18,0.22941,0.23533,0.22288,0.23244,33280137.0,7631387.89237,209186,796000220.2128133,43457355.14094643
2025-10-19,0.23243,0.2417,0.22531,0.23661,47386302.0,11070066.36582,263793,804557711.6893886,20858486.384469554
2025-10-20,0.2366,0.24409,0.22962,0.23788,33161035.0,7833468.45042,186369,821904551.4436706,29127879.708319142
2025-10-21,0.23784,0.27963,0.22499,0.2583,104771169.0,27093155.57214,583798,824842405.2855783,24328413.026725013
2025-10-22,0.25828,0.26279,0.22191,0.22853,82353563.0,19964035.06387,496278,893652134.7869276,87000533.49043548
2025-10-23,0.22853,0.23826,0.22534,0.23396,33087934.0,7683213.06671,237983,793383217.8746269,51840613.12349947
2025-10-24,0.23396,0.24151,0.22675,0.23639,31708074.0,7467423.07973,195371,811407618.6529534,25132238.396742277
2025-10-25,0.23639,0.24365,0.22873,0.23884,15213387.0,3587196.14761,115211,820998085.1698842,23704327.713306338
2025-10-26,0.23885,0.25597,0.23711,0.25145,24538112.0,6105794.8337,172479,836535218.5856044,15098468.138414398
2025-10-27,0.25147,0.25266,0.22607,0.2291,20445468.0,4849732.70772,131681,872744610.6922234,23652158.482524823
2025-10-28,0.22913,0.2378,0.22251,0.23103,31290231.0,7191525.33318,181351,795540564.6030463,17438985.167356167
2025-10-29,0.23102,0.23202,0.216,0.21921,27158431.0,6105809.12253,202527,803420334.8333396,28205476.53640429
2025-10-30,0.21923,0.22233,0.18546,0.19178,39555737.0,8024407.21992,225511,762110789.8662614,24992225.59779317
2025-10-31,0.19174,0.19426,0.17685,0.18215,32080678.0,5967856.99635,154106,667540478.2382877,29871060.861850407
2025-11-01,0.18214,0.18578,0.17807,0.18155,17511343.0,3176900.17437,102354,631597907.8213302,22300000.689803805
2025-11-02,0.18153,0.18315,0.17094,0.17379,14233047.0,2520490.07818,102379,629271467.8305279,16406747.990890471
