date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,97.91,105.11,95.16,99.43,259628.34,25906819.79013,114976,,
2024-05-25,99.45,108.52,99.23,105.19,218872.513,23055374.61341,99849,,
2024-05-26,105.2,112.88,103.52,109.59,242587.531,26303573.08576,99483,,
2024-05-27,109.59,114.72,107.28,108.63,156653.17,17298419.14262,82052,,
2024-05-28,108.63,109.06,103.7,106.37,123624.912,13144254.74368,62164,,
2024-05-29,106.36,107.69,102.51,103.79,105979.064,11146744.42662,51225,,
2024-05-30,103.77,107.3,102.04,102.86,94231.201,9794753.80136,53588,,
2024-05-31,102.82,104.73,100.02,103.81,96435.47,9907848.56511,50059,,
2024-06-01,103.79,105.4,103.54,104.07,32836.556,3432880.3045,17677,,
2024-06-02,104.06,105.28,102.02,103.11,52734.957,5486778.65548,25033,,
2024-06-03,103.11,105.59,100.72,101.07,56909.87,5882454.5096,30216,,
2024-06-04,101.07,104.25,99.7,103.02,91340.544,9278771.0258,38391,,
2024-06-05,103.06,105.47,102.14,104.37,86012.051,8902714.66817,26751,,
2024-06-06,104.41,104.46,101.0,102.43,74638.177,7686528.40781,26176,,
2024-06-07,102.43,104.87,89.0,97.44,242108.206,23830937.30409,102371,,
2024-06-08,97.45,98.11,92.11,92.85,82088.068,7769812.44958,36196,,
2024-06-09,92.84,94.19,91.92,93.45,35953.496,3353911.49472,19527,,
2024-06-10,93.44,93.89,90.33,90.81,81763.26,7539062.73347,40789,,
2024-06-11,90.81,91.12,84.78,87.77,140010.717,12279390.81421,70448,,
2024-06-12,87.77,93.67,86.74,89.98,167229.82,15127776.49486,103464,,
2024-06-13,89.96,90.05,83.05,83.74,172076.341,14734122.58484,85792,,
2024-06-14,83.73,86.2,80.65,83.65,110715.437,9284701.81833,66367,,
2024-06-15,83.66,87.14,83.41,85.89,44796.258,3823397.47101,31137,,
2024-06-16,85.9,86.84,84.24,85.8,57700.755,4927191.57111,33825,,
2024-06-17,85.77,88.0,81.47,84.94,219108.907,18630782.76163,93793,,
2024-06-18,84.95,85.57,74.8,82.05,206525.532,16446538.00294,99047,,
2024-06-19,82.03,88.88,81.45,87.31,171294.938,14831273.41117,91380,,
2024-06-20,87.3,90.14,84.64,84.85,112438.197,9840836.31407,66290,,
2024-06-21,84.84,86.7,81.73,82.0,138234.74,11610011.20547,96538,,
2024-06-22,82.0,82.37,79.64,81.66,103869.597,8375752.37052,54274,,
2024-06-23,81.66,82.86,80.1,80.75,55388.043,4530655.13283,26185,,
2024-06-24,80.72,90.59,76.51,86.28,248283.181,20833173.54686,140010,,
2024-06-25,86.25,95.33,86.17,92.09,234916.741,21480041.26012,132999,,
2024-06-26,92.07,95.63,90.05,94.46,122317.151,11339879.01499,83912,,
2024-06-27,94.48,96.5,91.02,93.46,187099.736,17453911.76636,118858,,
2024-06-28,93.53,96.98,92.91,93.64,138041.519,13109972.29374,74060,,
2024-06-29,93.62,97.45,93.62,96.59,84244.404,8078245.31226,46500,,
2024-06-30,96.54,98.15,94.5,97.43,80358.347,7730050.1225,50495,,
2024-07-01,97.45,99.97,96.35,98.34,84803.879,8361225.03798,55242,,
2024-07-02,98.3,99.61,88.6,91.51,190464.428,17582596.9786,106011,,
2024-07-03,91.55,92.42,83.85,84.27,289527.954,25521047.60282,143969,,
2024-07-04,84.29,85.93,78.82,79.53,207248.577,17104312.68429,103702,,
2024-07-05,79.5,80.41,71.06,79.92,339480.146,25856226.93541,190191,,
2024-07-06,79.89,83.61,78.47,83.16,80549.176,6505565.69115,36559,,
2024-07-07,83.15,83.36,77.97,78.2,66681.187,5359649.70277,30188,,
2024-07-08,78.3,84.12,75.46,82.04,126652.639,10229005.19687,67586,,
2024-07-09,82.04,86.17,81.26,85.29,106333.197,8883710.8803,45114,,
2024-07-10,85.27,91.2,83.84,91.09,95922.86,8423501.31146,51497,,
2024-07-11,91.14,95.99,88.2,92.77,144496.203,13374095.57191,77199,,
2024-07-12,92.8,98.39,91.93,97.49,133547.675,12718896.20416,72883,,
2024-07-13,97.48,101.72,95.58,99.26,108145.651,10645758.71312,61485,,
2024-07-14,99.26,105.0,99.11,104.4,122452.417,12527185.45523,59658,,
2024-07-15,104.39,106.71,101.32,104.06,157901.791,16399352.38015,89855,,
2024-07-16,104.06,106.82,99.29,100.62,196597.227,20303819.71874,104214,,
2024-07-17,100.64,103.59,97.4,98.08,159851.588,16023661.32367,119806,,
2024-07-18,98.08,100.5,95.43,98.57,97540.341,9609656.25465,78838,,
2024-07-19,98.55,101.36,95.7,100.77,68507.096,6773764.13044,51703,,
2024-07-20,100.77,100.82,98.11,99.0,47338.818,4718983.36149,35784,,
2024-07-21,99.02,100.19,93.93,98.34,76311.145,7453279.19377,53658,,
2024-07-22,98.34,100.31,93.43,94.09,104445.776,10027552.30109,53431,,
2024-07-23,94.16,96.3,91.57,94.45,99136.468,9353127.00603,66502,,
2024-07-24,94.47,94.8,89.36,89.94,56474.248,5220796.49428,44834,,
2024-07-25,89.89,97.2,85.75,92.78,341270.46,31193432.34167,177638,,
2024-07-26,92.79,103.21,92.66,97.74,238894.763,23651525.32436,145073,,
2024-07-27,97.74,103.0,97.07,101.14,128963.757,12899887.22842,82099,,
2024-07-28,101.12,101.16,97.91,98.69,55008.566,5486744.02672,40677,,
2024-07-29,98.71,106.43,98.71,104.96,127629.847,13141034.08497,85758,,
2024-07-30,104.98,106.73,102.59,105.21,154184.02,16153664.08275,95038,,
2024-07-31,105.21,112.33,104.06,107.52,250216.471,27062749.00382,124090,,
2024-08-01,107.52,117.46,103.64,116.82,510594.231,56552085.86542,298447,,
2024-08-02,116.83,118.1,106.88,110.33,508184.97,57743310.90397,294870,,
2024-08-03,110.33,116.94,103.02,105.57,451514.935,49909734.64771,242591,,
2024-08-04,105.55,112.01,96.86,97.19,511242.496,53195917.29345,271695,,
2024-08-05,97.17,99.0,76.15,95.64,879926.989,76568506.36184,415557,,
2024-08-06,95.67,107.97,95.34,103.64,472699.65,48145198.06524,208833,,
2024-08-07,103.65,106.49,96.55,98.32,385078.211,39052480.41878,183467,,
2024-08-08,98.34,103.96,95.04,101.44,427652.149,42130758.39812,196803,,
2024-08-09,101.46,101.52,93.57,96.28,203610.918,19780094.94975,89077,,
2024-08-10,96.29,97.12,92.51,93.31,90999.419,8597729.51193,57638,,
2024-08-11,93.32,96.2,90.82,91.16,124030.927,11614577.73592,68205,,
