date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.4655,0.4696,0.4541,0.4601,79004514.8,36431003.00483,79582,,
2024-05-25,0.4601,0.4647,0.4572,0.4623,52870401.3,24372294.37358,54665,,
2024-05-26,0.4623,0.463,0.455,0.4581,47905238.8,22013464.63972,44347,,
2024-05-27,0.4581,0.475,0.4566,0.4683,77194284.1,35937546.3479,79190,,
2024-05-28,0.4683,0.4694,0.452,0.4576,103514209.4,47495451.41246,91389,,
2024-05-29,0.4577,0.4642,0.45,0.4512,86483314.0,39578860.67207,82306,,
2024-05-30,0.451,0.4556,0.4432,0.4465,88752476.4,39881480.79571,84596,,
2024-05-31,0.4465,0.4559,0.4436,0.447,62854052.2,28238493.71925,73132,,
2024-06-01,0.447,0.4533,0.445,0.4499,31130909.6,13977185.0322,33934,,
2024-06-02,0.4499,0.4541,0.4406,0.4465,59363693.5,26619426.84866,59379,,
2024-06-03,0.4465,0.4632,0.4434,0.4573,75171575.4,34105898.49354,68358,,
2024-06-04,0.4574,0.4656,0.4526,0.4615,61587251.6,28258769.33311,61131,,
2024-06-05,0.4615,0.4654,0.457,0.4613,63025277.7,29077104.10827,58298,,
2024-06-06,0.4612,0.4621,0.4505,0.4582,60496507.5,27722021.31209,55342,,
2024-06-07,0.4582,0.49,0.4253,0.4492,239701551.5,111346027.05326,248327,,
2024-06-08,0.4493,0.4493,0.4322,0.4368,89241948.8,39192998.45152,84027,,
2024-06-09,0.4367,0.4462,0.4318,0.4442,42256582.2,18562590.53947,43626,,
2024-06-10,0.4442,0.4513,0.4349,0.4406,86969425.3,38532499.99611,76864,,
2024-06-11,0.4406,0.4419,0.4128,0.422,138567339.0,59143143.9403,119869,,
2024-06-12,0.4219,0.4445,0.4144,0.4378,121613605.3,52806119.42584,110139,,
2024-06-13,0.4377,0.4392,0.4191,0.421,110639835.0,47432274.55429,88248,,
2024-06-14,0.4209,0.4248,0.4,0.412,116922808.4,48157446.53826,99069,,
2024-06-15,0.4121,0.4158,0.4082,0.414,47189963.7,19445156.27337,43042,,
2024-06-16,0.414,0.4193,0.409,0.4168,37640933.2,15610828.19778,32813,,
2024-06-17,0.4167,0.421,0.3901,0.4013,124025287.9,50346641.98037,106383,,
2024-06-18,0.4013,0.4027,0.3575,0.3837,215871708.0,81092479.77981,198776,,
2024-06-19,0.3836,0.3978,0.3801,0.3844,84821749.0,32891373.61538,78784,,
2024-06-20,0.3845,0.3974,0.3772,0.3844,81788373.7,31716076.7925,66770,,
2024-06-21,0.3844,0.3909,0.3736,0.376,77104500.3,29454853.69614,67765,,
2024-06-22,0.376,0.3912,0.3714,0.3846,76900986.8,29378377.4882,77134,,
2024-06-23,0.3847,0.3934,0.3785,0.38,56593832.5,21862474.68652,51838,,
2024-06-24,0.3801,0.3817,0.361,0.3777,119340661.4,44493268.7168,100700,,
2024-06-25,0.3777,0.3974,0.3769,0.3918,70104337.4,27318559.34504,70592,,
2024-06-26,0.3918,0.3965,0.3824,0.385,80311716.8,31297977.65222,73528,,
2024-06-27,0.385,0.3941,0.3777,0.3913,83592286.9,32248792.68248,75973,,
2024-06-28,0.3913,0.397,0.3851,0.3858,92147447.1,36021266.51871,86727,,
2024-06-29,0.3858,0.4039,0.3832,0.3841,70624426.8,27826176.77712,72455,,
2024-06-30,0.384,0.3944,0.3785,0.3924,52136153.2,20134850.80757,58926,,
2024-07-01,0.3925,0.4086,0.3915,0.4032,70915901.7,28441048.94516,81769,,
2024-07-02,0.4033,0.4198,0.4027,0.4184,67487705.8,27865669.60142,80214,,
2024-07-03,0.4184,0.4235,0.4001,0.4069,98718851.9,40480878.15308,115649,,
2024-07-04,0.407,0.4139,0.3614,0.3623,149416521.3,57688891.88565,157492,,
2024-07-05,0.3622,0.3623,0.3165,0.3501,323282253.6,109391384.36938,301015,,
2024-07-06,0.3501,0.3733,0.3464,0.3707,90921251.5,32628222.94485,88153,,
2024-07-07,0.3707,0.3716,0.3444,0.3466,74443934.6,26842781.18791,86242,,
2024-07-08,0.3467,0.3802,0.3301,0.3691,178789658.0,64249693.71403,190458,,
2024-07-09,0.3691,0.3809,0.3626,0.3754,71495085.0,26606567.69477,80698,,
2024-07-10,0.3755,0.39,0.3717,0.3885,63358979.6,24263713.42823,73423,,
2024-07-11,0.3885,0.405,0.3844,0.3959,87567536.7,34583952.74703,122360,,
2024-07-12,0.396,0.4181,0.3932,0.4165,100898164.4,40899016.90779,131113,,
2024-07-13,0.4166,0.4464,0.4115,0.4416,98135951.1,42155177.36898,146703,,
2024-07-14,0.4416,0.445,0.4248,0.4317,101540405.4,43896806.92703,126876,,
2024-07-15,0.4317,0.4458,0.431,0.4449,125566239.6,54944419.76773,164760,,
2024-07-16,0.4449,0.4526,0.4264,0.4381,126834589.9,55759694.72726,182656,,
2024-07-17,0.4381,0.457,0.4353,0.4359,105320100.0,46949426.48429,153375,,
2024-07-18,0.4359,0.4498,0.4199,0.4234,80622639.4,34984535.29723,133268,,
2024-07-19,0.4235,0.4429,0.4145,0.439,80349138.6,34412546.25986,121684,,
2024-07-20,0.4389,0.4419,0.4275,0.4373,54136437.1,23557735.17184,73691,,
2024-07-21,0.4373,0.449,0.4166,0.4469,85361994.3,36934905.13471,111682,,
2024-07-22,0.447,0.4504,0.4234,0.4262,79086035.0,34378311.77136,109397,,
