date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.1815,0.189,0.1776,0.1886,39083494.0,7164914.018,34580,,
2024-05-25,0.1886,0.1959,0.1885,0.1935,36885363.0,7104577.9732,34358,,
2024-05-26,0.1933,0.1942,0.1872,0.1895,27766043.0,5297963.1918,24556,,
2024-05-27,0.1895,0.1999,0.1892,0.1967,36527657.0,7096871.7186,34244,,
2024-05-28,0.1967,0.1976,0.1893,0.1941,41362990.0,7950937.241,44888,,
2024-05-29,0.1942,0.1959,0.1891,0.1894,32994105.0,6354432.7653,39301,,
2024-05-30,0.1895,0.1949,0.1862,0.1897,31808840.0,6070382.549,35787,,
2024-05-31,0.1898,0.191,0.1853,0.1881,25325701.0,4768012.2042,28153,,
2024-06-01,0.1882,0.1896,0.186,0.1881,12695922.0,2385664.5316,15569,,
2024-06-02,0.1881,0.1897,0.182,0.1823,21753815.0,4034016.6301,23030,,
2024-06-03,0.1823,0.1892,0.1808,0.1837,24374445.0,4532077.8876,24320,,
2024-06-04,0.1837,0.187,0.1791,0.186,25304927.0,4626299.0187,25673,,
2024-06-05,0.1861,0.19,0.1857,0.1887,23699176.0,4452502.8505,23308,,
2024-06-06,0.1888,0.1889,0.183,0.1857,25699068.0,4786592.2583,25470,,
2024-06-07,0.1857,0.1933,0.16,0.1749,84481122.0,15228231.5664,71314,,
2024-06-08,0.1748,0.1766,0.1635,0.166,45246750.0,7648013.1083,45875,,
2024-06-09,0.1659,0.1714,0.1654,0.1704,20641648.0,3481847.3407,21250,,
2024-06-10,0.1704,0.1721,0.1657,0.1666,32686871.0,5517527.8267,30190,,
2024-06-11,0.1665,0.1685,0.1552,0.1589,58029917.0,9330336.9845,52519,,
2024-06-12,0.1589,0.1698,0.1551,0.166,44944330.0,7371647.7123,41832,,
2024-06-13,0.166,0.167,0.1555,0.1559,31671736.0,5082107.2068,37106,,
2024-06-14,0.1559,0.1593,0.1473,0.1512,52212803.0,8012567.0197,47624,,
2024-06-15,0.1513,0.155,0.1498,0.1524,22209992.0,3395764.3885,20219,,
2024-06-16,0.1525,0.1563,0.1499,0.1557,22064281.0,3386420.7134,20746,,
2024-06-17,0.1558,0.1567,0.1402,0.1451,52171685.0,7724536.9914,44604,,
2024-06-18,0.1451,0.1456,0.1263,0.1338,93014314.0,12493901.3304,80126,,
2024-06-19,0.1338,0.1412,0.1323,0.1387,38817456.0,5355520.835,35097,,
2024-06-20,0.1387,0.1465,0.1378,0.1382,39426930.0,5571172.9499,35707,,
2024-06-21,0.1382,0.1425,0.1364,0.1393,38374490.0,5336408.6165,35036,,
2024-06-22,0.1392,0.1392,0.1336,0.1339,34263293.0,4662081.7298,28793,,
2024-06-23,0.1339,0.1367,0.1306,0.1324,23633893.0,3173934.1606,19269,,
2024-06-24,0.1324,0.1355,0.1253,0.1352,55192726.0,7258167.1862,45979,,
2024-06-25,0.1353,0.143,0.1342,0.1411,30484768.0,4242282.8383,25499,,
2024-06-26,0.1411,0.1429,0.1391,0.1408,26480114.0,3733220.8162,22178,,
2024-06-27,0.1409,0.1444,0.1374,0.1428,26772299.0,3773788.2367,22771,,
2024-06-28,0.1428,0.1453,0.1395,0.1397,28715279.0,4090612.9792,25744,,
2024-06-29,0.1398,0.1427,0.1381,0.1393,16040639.0,2255114.6858,13547,,
2024-06-30,0.1393,0.145,0.1369,0.1445,22842499.0,3214422.2944,19661,,
2024-07-01,0.1446,0.1491,0.1438,0.1471,24355799.0,3575909.0806,21614,,
2024-07-02,0.1471,0.1514,0.1466,0.1502,22891903.0,3408099.5887,21693,,
2024-07-03,0.1502,0.1512,0.1412,0.1426,26314417.0,3822932.6678,25427,,
2024-07-04,0.1427,0.1431,0.131,0.1313,47239726.0,6421855.705,40662,,
2024-07-05,0.1312,0.1336,0.1146,0.1307,123324980.0,15203649.1833,92551,,
2024-07-06,0.1308,0.1394,0.1288,0.1386,32122159.0,4283329.0369,29705,,
2024-07-07,0.1386,0.1388,0.1256,0.1266,27745497.0,3689131.1231,26933,,
2024-07-08,0.1267,0.1375,0.1215,0.1333,61058704.0,7930326.5993,58453,,
2024-07-09,0.1333,0.1411,0.1325,0.1397,21759516.0,2984793.3285,27651,,
2024-07-10,0.1396,0.1418,0.1367,0.1394,20442835.0,2838753.2668,22324,,
2024-07-11,0.1395,0.1432,0.1366,0.1372,22230088.0,3104915.5637,26186,,
2024-07-12,0.1372,0.1388,0.1339,0.1381,18838481.0,2569626.1025,22472,,
2024-07-13,0.1382,0.1448,0.1378,0.1433,19941384.0,2827582.4619,21276,,
2024-07-14,0.1433,0.1536,0.1433,0.152,22039636.0,3271509.437,22613,,
2024-07-15,0.152,0.1598,0.152,0.1577,35298896.0,5532663.5585,34325,,
2024-07-16,0.1577,0.1623,0.1529,0.1585,37120401.0,5852895.1156,40134,,
2024-07-17,0.1585,0.1625,0.1544,0.1545,24687034.0,3916778.954,29632,,
2024-07-18,0.1545,0.1576,0.1492,0.1518,22771675.0,3501278.5289,25485,,
2024-07-19,0.1519,0.1596,0.1495,0.1577,28240941.0,4385970.9784,27331,,
2024-07-20,0.1577,0.1613,0.1564,0.1581,23888379.0,3800581.9463,20990,,
2024-07-21,0.1582,0.1609,0.1508,0.1592,27058903.0,4243090.8826,23649,,
2024-07-22,0.1593,0.1598,0.1508,0.151,23482666.0,3627431.9077,21135,,
2024-07-23,0.1511,0.1526,0.1419,0.1435,33238403.0,4869695.7835,28820,,
2024-07-24,0.1434,0.1467,0.1389,0.1397,21455523.0,3075563.2093,18344,,
2024-07-25,0.1396,0.14,0.1327,0.1371,30026611.0,4077758.9247,28058,,
2024-07-26,0.1371,0.143,0.1364,0.1425,21211672.0,2974696.4124,17306,,
2024-07-27,0.1425,0.1461,0.1402,0.1428,20433688.0,2928180.2085,16983,,
2024-07-28,0.1428,0.1432,0.1374,0.1393,15603999.0,2187110.6893,13318,,
2024-07-29,0.1393,0.1449,0.1385,0.1389,25587598.0,3631827.2977,18672,,
2024-07-30,0.1389,0.1428,0.1355,0.1375,20802754.0,2905557.6073,17809,,
2024-07-31,0.1375,0.1421,0.1354,0.1357,29768362.0,4126955.9369,24889,,
2024-08-01,0.1357,0.137,0.1253,0.1349,39498771.0,5206124.0123,35036,,
2024-08-02,0.1348,0.1358,0.1232,0.1241,43946576.0,5651132.0646,42088,,
2024-08-03,0.1242,0.1266,0.1166,0.1204,40432268.0,4915921.2853,35835,,
2024-08-04,0.1205,0.1225,0.11,0.1147,51769992.0,6010387.5315,38528,,
2024-08-05,0.1146,0.1157,0.0938,0.1101,220668996.0,22761341.5712,173293,,
2024-08-06,0.1101,0.1163,0.1092,0.1126,61908212.0,7013265.37,52702,,
2024-08-07,0.1126,0.1174,0.1083,0.1098,44674042.0,5028382.6176,47312,,
2024-08-08,0.1098,0.1228,0.1076,0.1222,39092124.0,4517633.3447,43171,,
