date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,8.93,9.2,8.69,8.96,3285415.47,29402615.9796,56790,,
2024-05-25,8.95,9.18,8.9,9.09,1745259.15,15784276.1433,33300,,
2024-05-26,9.09,9.22,8.92,9.04,2014958.84,18301956.578,37681,,
2024-05-27,9.05,9.74,9.03,9.66,3354104.69,31633303.5272,67320,,
2024-05-28,9.66,9.72,9.22,9.36,3596128.49,33969854.2676,73898,,
2024-05-29,9.36,9.55,9.04,9.09,2663194.24,24658431.7416,53731,,
2024-05-30,9.09,9.49,8.86,9.19,2967051.44,27280781.2654,56897,,
2024-05-31,9.19,9.28,8.97,9.15,2271855.14,20769905.5554,41260,,
2024-06-01,9.15,9.17,9.02,9.07,992578.41,9018652.857,19633,,
2024-06-02,9.08,9.16,8.79,8.92,1921012.5,17258492.8248,34117,,
2024-06-03,8.92,9.17,8.8,8.92,2531277.76,22839248.0817,42509,,
2024-06-04,8.93,9.24,8.75,9.15,2324161.44,20886156.8604,39135,,
2024-06-05,9.15,9.38,9.15,9.31,1926050.19,17834617.7625,33669,,
2024-06-06,9.31,9.32,8.91,9.09,1615813.05,14798709.8399,28459,,
2024-06-07,9.09,9.4,7.83,8.59,5389443.36,47048374.3259,82923,,
2024-06-08,8.6,8.6,8.02,8.13,2698991.31,22228858.3747,47218,,
2024-06-09,8.12,8.63,8.03,8.59,1913196.31,15979298.8458,30794,,
2024-06-10,8.6,8.62,8.2,8.27,2464619.91,20725736.6299,38869,,
2024-06-11,8.28,8.35,7.73,7.96,3946172.55,31642398.8979,64671,,
2024-06-12,7.97,8.56,7.81,8.24,2987991.61,24640388.3873,57770,,
2024-06-13,8.25,8.26,7.78,7.89,2246134.21,17942273.2477,40186,,
2024-06-14,7.89,8.11,7.41,7.69,2974668.58,23100133.693492,51907,,
2024-06-15,7.69,7.95,7.64,7.89,1179857.65,9237392.9359,24326,,
2024-06-16,7.89,7.97,7.74,7.9,1038982.05,8160835.1881,21640,,
2024-06-17,7.91,7.94,7.2,7.45,3210100.66,24279926.894047,55899,,
2024-06-18,7.45,7.46,6.3201,6.83,7835005.14,53084196.710464,110645,,
