date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.203,1.2351,1.1232,1.1579,103275410.9,121030676.38318,247491,,
2024-05-25,1.1578,1.2098,1.1485,1.1914,83028272.9,98859771.52519,144034,,
2024-05-26,1.1914,1.2315,1.1777,1.1935,117296674.0,141209332.60971,195186,,
2024-05-27,1.1935,1.2754,1.1925,1.2301,123690850.4,153994718.20794,249698,,
2024-05-28,1.2302,1.2322,1.1704,1.2002,89775456.4,107723507.25884,225949,,
2024-05-29,1.2002,1.2105,1.1395,1.1408,67183645.4,78833177.76868,167108,,
2024-05-30,1.1408,1.1569,1.1008,1.128,60143217.5,68275491.772,142126,,
2024-05-31,1.1281,1.1708,1.1083,1.1192,50322438.1,57044915.09782,130378,,
2024-06-01,1.1194,1.1398,1.1148,1.1337,21530708.4,24270636.72927,52917,,
2024-06-02,1.1335,1.1436,1.0917,1.1124,37314862.5,41705556.59791,94301,,
2024-06-03,1.1125,1.1403,1.1,1.1053,42588518.0,47772421.12373,109282,,
2024-06-04,1.1054,1.1158,1.0699,1.1076,55848269.0,61117973.81217,124048,,
2024-06-05,1.1076,1.1384,1.1008,1.1238,47298901.3,52877025.10527,111991,,
2024-06-06,1.1238,1.1242,1.0741,1.0883,38050820.6,42052987.89357,90914,,
2024-06-07,1.0882,1.1047,0.9,0.999,105334570.9,106382903.88312,288195,,
2024-06-08,0.9989,1.0076,0.9511,0.9678,57737421.7,56285498.01768,123772,,
2024-06-09,0.9678,0.9884,0.9566,0.9793,35226618.1,34377348.99562,81526,,
2024-06-10,0.9794,0.9831,0.9454,0.9599,37111019.3,35799444.21146,83415,,
2024-06-11,0.9599,0.9639,0.9122,0.9378,83432868.6,78136836.71798,190075,,
2024-06-12,0.9377,0.9984,0.9127,0.9732,68230193.2,65804460.71784,148960,,
2024-06-13,0.9732,0.9738,0.9215,0.9366,57944840.8,54674081.73449,129008,,
2024-06-14,0.9369,0.9541,0.8757,0.9123,67155729.0,61626888.20829,156644,,
2024-06-15,0.9123,0.9385,0.9119,0.9221,26903147.0,24869003.60013,66470,,
2024-06-16,0.9221,0.9375,0.9003,0.9243,24619846.5,22646987.50872,58155,,
2024-06-17,0.9243,0.9297,0.84,0.8579,71645844.2,62993537.52079,148149,,
2024-06-18,0.8578,0.862,0.7333,0.7948,139620076.2,109875539.58137,302608,,
2024-06-19,0.7948,0.835,0.7873,0.8129,61941547.6,50545178.54945,115243,,
2024-06-20,0.813,0.8488,0.8,0.8014,66633976.3,54844377.99142,136151,,
2024-06-21,0.8012,0.8104,0.7826,0.8022,60507034.2,48341487.8662,135347,,
2024-06-22,0.802,0.8106,0.792,0.8048,20123438.8,16153494.69831,51039,,
2024-06-23,0.8048,0.8153,0.777,0.784,28621928.5,22818396.83455,60271,,
2024-06-24,0.784,0.8205,0.74,0.8204,93880771.3,73091160.89417,182606,,
2024-06-25,0.8202,0.8463,0.8112,0.8297,53058457.4,44067147.56587,114127,,
2024-06-26,0.8297,0.8392,0.7924,0.8123,44867767.1,36697601.12543,94015,,
2024-06-27,0.8123,0.835,0.8016,0.8229,43509641.7,35621848.49084,89292,,
2024-06-28,0.8229,0.8345,0.7893,0.7915,43139740.3,35119208.27397,92636,,
2024-06-29,0.7916,0.8027,0.7771,0.7796,23531310.4,18648869.71127,50847,,
2024-06-30,0.7797,0.8056,0.7691,0.8019,26938430.3,21166328.22982,64568,,
