date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-10-06,1.5,3.0,1.5,2.063,110671612.53,233056793.14155,417453,3108151158.936725,1054571688.6004915
2025-10-07,2.064,2.19,1.945,2.045,128081681.37,263360301.58565,620956,3482136506.3749948,2037264305.8055308
2025-10-08,2.045,2.11,1.9,1.928,110578384.24,220392788.19979,488752,3490946964.24798,1366667337.9293945
2025-10-09,1.928,1.928,1.56,1.681,149073254.31,260941116.84896,579538,3270386106.442273,1052752176.2688097
2025-10-10,1.682,1.846,0.984,1.321,390623926.23,611390350.58855,1501760,2868627563.3485947,1338230105.2995331
2025-10-11,1.32,1.414,1.155,1.2,228407551.96,298668234.00033,813328,2292568386.558392,2980862623.8589735
2025-10-12,1.2,1.536,1.16,1.485,290533149.72,405294255.06853,762025,2039086160.8433604,1580738226.3131862
2025-10-13,1.484,1.595,1.352,1.451,259393718.8,381133209.1262,690883,2525930812.105919,1784459166.18417
2025-10-14,1.451,1.529,1.301,1.502,257001545.05,362940627.81307,644355,2914431781.955863,1913638232.4264233
2025-10-15,1.503,1.538,1.262,1.282,177177686.95,251457897.77753,424270,3036632172.880834,1520387073.9756129
2025-10-16,1.282,1.364,1.183,1.257,224893862.3,289761427.36875,514939,2590110841.3407793,1017058603.7795966
2025-10-17,1.257,1.289,1.02,1.158,292523293.91,326934111.37873,581849,2523189168.488204,1236038431.1165524
2025-10-18,1.158,1.237,1.121,1.177,136048689.23,161057424.75598,296780,2339493598.481722,1390345141.3224561
2025-10-19,1.176,1.243,1.117,1.2,116591265.46,138834920.1856,267597,2368707261.516876,640129908.8232307
2025-10-20,1.2,1.26,1.12,1.158,129498326.82,153403421.24003,267801,2425043905.4900885,556187312.984884
2025-10-21,1.158,1.192,1.024,1.042,164323013.93,183710503.0434,305156,2337235108.7519145,635322353.323992
2025-10-22,1.042,1.063,0.929,0.954,205948450.25,205530941.10725,352541,2096773958.5070012,686431212.2297903
2025-10-23,0.955,1.118,0.949,1.106,170882008.95,178017533.74377,313002,1927553084.1587336,786996720.8623259
2025-10-24,1.105,1.154,1.048,1.119,141372160.31,156786838.0574,269489,2209675983.427253,747733495.4129245
2025-10-25,1.118,1.161,1.091,1.14,97048368.33,109147226.68597,223415,2252915235.9704905,612410945.6375084
2025-10-26,1.139,1.22,1.12,1.15,104522794.61,121957351.74659,250509,2295001121.09178,410738667.9288561
2025-10-27,1.15,1.169,1.039,1.082,137257208.05,151475260.8872,283724,2317680774.0143456,484615781.2501588
2025-10-28,1.081,1.2,1.038,1.073,132305224.75,145116500.48816,324721,2185469129.919194,809800372.7615305
2025-10-29,1.073,1.094,0.988,1.025,123234434.21,129126841.34141,300542,2161883402.0317554,543264359.2693926
2025-10-30,1.024,1.05,0.854,0.923,183738250.35,173529004.98525,410496,2055642239.1155474,510778683.1486869
2025-10-31,0.922,1.015,0.913,0.994,132732937.9,128562053.4507,309422,1864890379.6505132,699459156.9844605
2025-11-01,0.993,1.039,0.952,0.966,66567446.38,65381313.72241,175430,2005384527.281559,552810528.8566077
2025-11-02,0.966,1.285,0.906,1.227,531490518.38,615157237.81319,1352431,1947990299.6614347,260440377.69237304
