date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,8.358,8.492,8.196,8.46,1268435.2,10630731.92636,35770,,
2024-05-25,8.461,8.543,8.418,8.491,755991.09,6410992.70792,23241,,
2024-05-26,8.493,8.511,8.278,8.404,1027230.76,8630355.79589,29396,,
2024-05-27,8.404,8.734,8.39,8.695,1421907.77,12200185.8222,52925,,
2024-05-28,8.697,8.838,8.459,8.722,2164630.22,18710387.66861,82590,,
2024-05-29,8.722,8.911,8.619,8.637,2387217.26,20894458.01605,84738,,
2024-05-30,8.637,8.726,8.394,8.54,1531035.37,13134634.91365,64089,,
2024-05-31,8.541,8.542,8.242,8.3,1116070.05,9369196.1913,49915,,
2024-06-01,8.299,8.379,8.256,8.326,637535.43,5302851.27502,27030,,
2024-06-02,8.324,8.4,8.171,8.292,942557.45,7828467.31606,35766,,
2024-06-03,8.295,8.498,8.242,8.339,1190069.19,10007022.00575,49763,,
2024-06-04,8.34,8.545,8.288,8.538,1120073.92,9430744.83676,38162,,
2024-06-05,8.539,8.738,8.494,8.692,1230124.64,10587118.39246,45220,,
2024-06-06,8.693,8.809,8.569,8.617,1514247.32,13130636.11926,57437,,
2024-06-07,8.617,8.708,7.5,8.102,3609416.11,29624705.44714,135082,,
2024-06-08,8.102,8.123,7.716,7.757,1887973.15,14987731.26029,76233,,
2024-06-09,7.757,8.35,7.726,7.88,1419071.35,11142667.94764,62567,,
2024-06-10,7.88,7.928,7.716,7.855,1417401.44,11099909.10481,52005,,
2024-06-11,7.855,7.864,7.373,7.517,2381580.34,18122710.26927,75118,,
2024-06-12,7.517,7.892,7.405,7.775,1682582.18,12991528.98936,63196,,
2024-06-13,7.775,7.799,7.345,7.441,1759285.69,13279934.86289,55500,,
2024-06-14,7.442,7.505,6.951,7.115,2287337.87,16523752.51867,79308,,
2024-06-15,7.113,7.215,7.091,7.142,812946.35,5806886.98201,30455,,
2024-06-16,7.144,7.252,7.049,7.222,600233.45,4301566.46588,29477,,
2024-06-17,7.223,7.244,6.75,6.997,2073491.21,14615821.65746,77167,,
2024-06-18,6.997,7.022,6.202,6.688,4139698.27,26939842.22161,132517,,
2024-06-19,6.689,6.964,6.639,6.894,1541986.51,10526041.63248,49030,,
2024-06-20,6.895,7.117,6.817,6.837,1513490.07,10515369.36883,47779,,
2024-06-21,6.839,6.933,6.755,6.787,1200186.36,8214978.98809,43923,,
2024-06-22,6.788,6.808,6.715,6.744,630433.8,4259926.11976,28652,,
2024-06-23,6.744,6.846,6.615,6.695,863945.62,5832305.72933,36344,,
2024-06-24,6.694,6.863,6.364,6.838,2064243.44,13703193.82987,68854,,
2024-06-25,6.839,7.046,6.827,6.94,1375420.84,9573326.21223,52656,,
2024-06-26,6.94,6.982,6.736,6.791,1127984.98,7718134.7025,46603,,
2024-06-27,6.792,7.112,6.719,6.965,1287082.31,8867084.00734,48471,,
2024-06-28,6.965,7.025,6.723,6.729,1166253.17,8052833.72582,48194,,
2024-06-29,6.73,6.891,6.587,6.607,1049464.35,7091066.16654,43868,,
2024-06-30,6.607,6.749,6.55,6.733,991175.56,6590047.60093,42404,,
2024-07-01,6.735,6.849,6.69,6.813,933686.21,6322175.82875,42639,,
2024-07-02,6.813,6.978,6.782,6.813,1399794.38,9640838.79601,47867,,
2024-07-03,6.814,6.864,6.278,6.382,1926000.48,12576828.86249,79086,,
2024-07-04,6.382,6.398,5.952,5.99,2422551.18,14968337.84273,81744,,
2024-07-05,5.992,5.998,5.051,5.704,5484691.6,30042092.848179,195757,,
2024-07-06,5.704,6.165,5.674,6.073,1494212.55,8815457.43626,45141,,
2024-07-07,6.073,6.101,5.764,5.795,1180368.65,7051721.5443,40991,,
2024-07-08,5.796,6.227,5.587,5.826,2398442.64,14163584.37061,84101,,
