date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,38.52,39.0,36.91,38.01,1363527.65,51852303.8384,85102,,
2024-05-25,38.01,38.72,37.71,38.28,735441.75,28064975.9783,55470,,
2024-05-26,38.28,38.31,36.46,36.76,892477.39,33232783.77,60033,,
2024-05-27,36.76,38.95,36.65,38.26,1355234.36,51245768.0804,84190,,
2024-05-28,38.27,38.4,36.53,37.02,1944227.48,72192289.8009,116033,,
2024-05-29,37.02,37.5,36.14,36.2,1410140.99,51945591.1298,80252,,
2024-05-30,36.2,37.09,35.3,35.98,1589093.3,57807071.2783,91372,,
2024-05-31,35.98,36.79,35.2,36.02,1109882.27,39991001.9967,66256,,
2024-06-01,36.04,36.22,35.7,35.76,480351.19,17298006.5376,39651,,
2024-06-02,35.76,36.18,34.77,34.91,948549.12,33668426.9407,61891,,
2024-06-03,34.91,36.27,34.56,35.03,1502543.1,53465616.5972,72442,,
2024-06-04,35.03,36.29,34.41,36.06,1295062.99,45713111.8379,69977,,
2024-06-05,36.07,36.91,35.93,36.57,1320551.18,48026610.5066,67320,,
2024-06-06,36.58,37.2,35.72,35.89,1130097.72,41245262.0184,61706,,
2024-06-07,35.89,36.89,30.9,33.51,2946397.48,100663704.7375,192205,,
2024-06-08,33.51,33.73,31.92,32.27,1168309.91,38304804.5855,70890,,
2024-06-09,32.27,33.02,32.04,32.98,601496.64,19536741.6705,38266,,
2024-06-10,32.99,33.47,32.02,32.28,1131273.21,36937712.1557,54310,,
2024-06-11,32.28,32.38,30.59,31.55,1847318.93,58507811.9831,93585,,
2024-06-12,31.56,33.99,30.79,33.27,1877715.47,61655997.157,114337,,
2024-06-13,33.27,33.44,30.92,30.99,1377426.4,44157110.4107,81703,,
2024-06-14,31.0,32.21,29.29,30.29,2200667.62,67446270.9129,124209,,
2024-06-15,30.29,30.65,29.91,30.01,647613.47,19579437.5271,38864,,
2024-06-16,30.01,30.48,29.66,30.08,951476.4,28573651.3726,59103,,
2024-06-17,30.07,30.35,27.29,28.47,1975971.78,56802836.1104,104131,,
2024-06-18,28.47,28.54,24.94,26.6,2809030.18,73954733.2437,155571,,
2024-06-19,26.6,27.67,26.38,26.94,1296859.97,35174949.1602,69756,,
2024-06-20,26.95,28.89,26.67,27.58,1873349.75,51810644.1732,93877,,
2024-06-21,27.58,28.03,26.93,27.48,1411878.18,38909264.3193,74118,,
2024-06-22,27.48,27.5,24.52,25.61,3754180.61,96219307.8166,233449,,
2024-06-23,25.62,26.15,24.12,25.09,2992605.46,74742374.2028,148185,,
2024-06-24,25.08,25.25,23.51,24.8,3210819.75,78337741.2475,151050,,
