date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,7.648,8.203,7.532,8.183,1144452.66,8972814.71422,67346,,
2024-05-25,8.183,8.236,7.932,7.982,574216.21,4620400.91869,30995,,
2024-05-26,7.983,7.986,7.694,7.743,525281.29,4121915.20844,30170,,
2024-05-27,7.742,8.094,7.664,7.909,712588.03,5610824.73726,44152,,
2024-05-28,7.911,7.936,7.551,7.741,809412.86,6238052.65366,53595,,
2024-05-29,7.741,8.053,7.649,7.828,1152241.72,9104994.87185,86246,,
2024-05-30,7.825,7.958,7.41,7.419,984495.34,7453843.09268,72711,,
2024-05-31,7.421,7.512,7.236,7.413,612811.31,4527038.38876,37401,,
2024-06-01,7.411,8.287,7.395,7.911,1181837.53,9275075.15328,68902,,
2024-06-02,7.91,8.35,7.74,7.76,1751879.73,14185466.50974,96373,,
2024-06-03,7.76,8.6,7.585,8.272,2392286.99,19761718.11348,124952,,
2024-06-04,8.267,8.395,7.944,8.17,1079387.55,8765459.643,57277,,
2024-06-05,8.173,8.708,8.15,8.627,1638379.72,13880010.53599,74220,,
2024-06-06,8.627,8.704,8.371,8.434,854191.06,7276969.92924,49356,,
2024-06-07,8.433,8.52,7.27,7.867,1324157.73,10572294.38832,73762,,
2024-06-08,7.866,7.892,7.327,7.394,867399.04,6615281.93654,48013,,
2024-06-09,7.393,7.533,7.344,7.48,467770.12,3484551.64177,30041,,
2024-06-10,7.481,7.643,7.113,7.184,1187356.47,8743718.66438,64652,,
2024-06-11,7.184,7.217,6.76,6.863,976330.38,6831388.53925,41169,,
2024-06-12,6.861,7.313,6.746,7.182,735278.47,5222495.86834,49101,,
2024-06-13,7.178,7.181,6.851,6.964,1015126.34,7126407.25121,62176,,
2024-06-14,6.967,7.1,6.51,6.668,859099.57,5875579.14473,48448,,
2024-06-15,6.668,6.88,6.643,6.779,294068.38,1989970.68428,19370,,
2024-06-16,6.779,6.788,6.661,6.715,254942.42,1715985.97232,19556,,
2024-06-17,6.717,6.764,6.031,6.228,1639958.94,10469032.3883,74393,,
2024-06-18,6.23,6.252,5.5,5.78,1663238.55,9574033.31716,80776,,
2024-06-19,5.773,6.124,5.725,6.004,601273.82,3577811.57641,43510,,
2024-06-20,6.0,6.26,5.912,5.967,494867.68,3009539.31176,31587,,
2024-06-21,5.969,6.135,5.901,6.008,529032.06,3189236.32714,26015,,
2024-06-22,6.007,6.085,5.914,6.046,231796.1,1391451.15959,12803,,
2024-06-23,6.047,6.144,5.826,5.882,302900.1,1813734.66405,14681,,
2024-06-24,5.886,5.996,5.615,5.973,920545.84,5340432.43694,38194,,
2024-06-25,5.973,6.31,5.938,6.184,670793.99,4130167.30269,29807,,
2024-06-26,6.183,6.281,6.036,6.081,341811.77,2103259.91664,21457,,
2024-06-27,6.081,6.35,5.977,6.264,411938.19,2548545.77066,30578,,
2024-06-28,6.266,6.38,6.03,6.068,428995.25,2677693.32749,31074,,
2024-06-29,6.069,6.198,5.874,5.941,314368.59,1894894.86271,22632,,
2024-06-30,5.942,6.086,5.878,6.057,342153.7,2044359.65808,20121,,
2024-07-01,6.057,6.251,5.883,5.901,597837.44,3597440.79327,39738,,
2024-07-02,5.9,6.037,5.819,5.981,370485.05,2193014.67107,23259,,
2024-07-03,5.981,6.007,5.673,5.719,500012.73,2922211.0563,36362,,
2024-07-04,5.721,5.74,5.01,5.067,1113853.89,5951561.43261,59166,,
2024-07-05,5.064,5.074,4.407,4.942,2469672.51,11605013.0609,103724,,
2024-07-06,4.94,5.427,4.903,5.336,621927.25,3198076.09029,37297,,
2024-07-07,5.336,5.36,4.968,4.992,473714.15,2469915.19403,32709,,
2024-07-08,4.993,5.342,4.778,5.213,777481.14,3966618.0421,49247,,
2024-07-09,5.211,5.348,5.169,5.288,357990.04,1886946.97011,20232,,
2024-07-10,5.292,5.443,5.234,5.348,308703.05,1651639.02345,18578,,
2024-07-11,5.348,5.522,5.278,5.295,399561.89,2153871.13669,21822,,
2024-07-12,5.298,5.494,5.208,5.46,427089.11,2278533.86557,21107,,
2024-07-13,5.46,5.613,5.437,5.561,344355.76,1907291.66278,18651,,
2024-07-14,5.56,5.705,5.494,5.678,371551.87,2073413.02793,21465,,
2024-07-15,5.679,5.979,5.661,5.956,492958.53,2858863.12642,27809,,
2024-07-16,5.955,6.069,5.716,6.02,957362.55,5679457.77173,43911,,
2024-07-17,6.021,6.211,5.996,5.998,691366.94,4237368.0791,34053,,
2024-07-18,5.999,6.391,5.96,6.063,1021422.79,6354473.75563,54263,,
2024-07-19,6.065,6.35,5.996,6.3,629542.55,3889906.17454,40399,,
2024-07-20,6.299,6.429,6.25,6.397,337206.98,2137101.25942,26535,,
2024-07-21,6.396,6.493,6.065,6.396,556217.01,3511773.75584,36964,,
2024-07-22,6.401,6.469,6.059,6.122,513990.44,3198961.30191,28220,,
2024-07-23,6.122,6.271,5.867,5.958,460860.28,2793464.35324,26069,,
2024-07-24,5.963,6.194,5.852,5.895,367353.18,2227490.02384,20058,,
2024-07-25,5.9,5.946,5.485,5.683,711122.48,4016800.24287,31262,,
2024-07-26,5.684,6.091,5.676,6.085,419463.1,2481286.14943,20799,,
2024-07-27,6.085,6.214,6.021,6.103,374387.13,2288641.86153,20157,,
2024-07-28,6.103,6.122,5.884,5.929,249215.68,1487582.69657,13994,,
2024-07-29,5.929,6.14,5.758,5.794,501193.79,2987205.52809,29803,,
2024-07-30,5.792,6.067,5.74,5.817,544372.62,3225924.39872,32973,,
2024-07-31,5.816,5.932,5.612,5.641,410384.21,2370799.7603,25830,,
2024-08-01,5.643,5.73,5.266,5.656,741087.8,4084692.5883,39351,,
2024-08-02,5.656,5.71,5.164,5.235,786399.16,4257688.17675,34490,,
2024-08-03,5.234,5.365,4.893,5.007,769654.24,3923455.91109,29720,,
2024-08-04,5.008,5.083,4.546,4.708,937660.22,4497256.50125,30579,,
2024-08-05,4.709,4.745,3.837,4.32,3338871.91,13956678.40467,113207,,
2024-08-06,4.319,4.65,4.314,4.492,1147898.4,5151195.91385,45172,,
2024-08-07,4.491,4.642,4.259,4.34,660234.96,2930578.23378,34993,,
