date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,491.2,500.1,480.0,494.9,54448.921,26742300.3033,78160,,
2024-05-25,495.0,501.9,490.9,493.6,37974.681,18796866.8873,53938,,
2024-05-26,493.6,494.4,480.7,484.0,41700.753,20365033.6372,55115,,
2024-05-27,484.1,503.7,481.3,489.6,35570.357,17504031.1838,56030,,
2024-05-28,489.5,489.6,461.2,470.4,80456.843,37762024.1623,115169,,
2024-05-29,470.4,475.3,462.7,465.8,41494.844,19469368.0484,57002,,
2024-05-30,465.7,474.9,459.4,465.1,33226.043,15520941.481,50845,,
2024-05-31,465.0,469.3,447.6,454.8,36233.256,16684477.1898,49763,,
2024-06-01,454.9,466.4,454.3,463.5,15542.057,7151823.5606,25510,,
2024-06-02,463.6,465.3,452.9,458.3,22551.466,10381414.0013,37941,,
2024-06-03,458.4,471.8,454.4,464.9,36878.02,17174530.3238,45365,,
2024-06-04,465.0,479.9,459.6,477.0,49625.885,23354407.5277,59163,,
2024-06-05,477.1,497.9,476.4,495.2,47356.332,22993756.0457,65532,,
2024-06-06,495.1,502.4,485.8,496.1,56909.874,28204898.6624,86419,,
2024-06-07,496.2,520.9,458.8,477.6,112336.718,56060688.6705,157245,,
2024-06-08,477.6,484.9,465.4,469.5,47932.315,22769752.7609,75011,,
2024-06-09,469.5,476.0,465.0,474.6,19116.672,8999109.3447,38537,,
2024-06-10,474.6,474.9,461.2,469.1,29413.715,13786438.7266,39513,,
2024-06-11,469.1,469.6,434.2,446.2,64910.15,29185413.7422,92915,,
2024-06-12,446.2,466.7,438.9,454.2,54702.676,24847840.4011,79791,,
2024-06-13,454.2,456.1,430.0,431.7,58576.407,25975603.4044,72954,,
2024-06-14,431.8,441.4,406.1,422.9,58451.656,24805873.2477,72589,,
2024-06-15,422.9,432.7,422.4,430.1,26177.131,11200521.6167,31245,,
2024-06-16,430.1,434.0,426.6,428.4,22347.059,9616647.916,26603,,
2024-06-17,428.5,430.0,403.7,419.7,54034.759,22605749.0616,71964,,
2024-06-18,419.6,421.5,372.2,389.2,112632.025,43684004.2531,144420,,
2024-06-19,389.3,398.4,385.3,388.9,35558.051,13934998.3642,51185,,
2024-06-20,389.0,400.8,385.3,389.8,40354.251,15867611.7791,51095,,
2024-06-21,389.9,397.6,377.0,383.0,46883.277,18213258.2908,60461,,
2024-06-22,383.2,410.1,379.7,392.1,26928.599,10520529.5553,41421,,
2024-06-23,392.0,396.6,378.4,381.1,26081.115,10111776.6234,36663,,
2024-06-24,381.0,384.3,343.9,363.8,94725.959,34008028.2857,126071,,
2024-06-25,364.0,396.7,363.7,388.6,76738.731,29212233.8647,101247,,
2024-06-26,388.8,397.2,373.5,374.0,52720.322,20130111.5971,76037,,
2024-06-27,373.9,395.5,369.9,389.0,46924.314,17934537.914,75572,,
2024-06-28,389.0,407.0,384.0,386.0,67553.476,26641638.1744,103267,,
2024-06-29,386.1,390.2,379.1,380.9,22719.815,8745533.8009,34065,,
2024-06-30,380.9,397.5,378.6,394.0,20405.184,7915447.8644,34077,,
2024-07-01,394.0,398.6,382.1,384.6,26682.023,10414079.9343,40980,,
2024-07-02,384.5,394.2,378.4,382.1,23202.276,8939350.8394,32541,,
2024-07-03,382.1,382.8,368.3,373.2,30944.581,11572475.529,40288,,
2024-07-04,373.2,374.5,330.3,331.4,91812.673,32112941.5233,99135,,
2024-07-05,331.5,331.8,288.4,325.5,157825.595,48850525.5424,191570,,
2024-07-06,325.5,344.0,319.8,342.9,42575.469,14150455.7875,55801,,
2024-07-07,343.1,343.1,310.5,312.7,35767.798,11657766.2034,56284,,
