date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,599.4,605.5,588.3,600.3,251965.176,150540221.747,234072,,
2024-05-25,600.3,606.7,599.5,602.4,121538.958,73238183.6787,152418,,
2024-05-26,602.3,605.4,598.0,600.2,122983.66,73993292.513,136737,,
2024-05-27,600.3,614.4,599.6,603.9,229302.377,138990897.2628,213322,,
2024-05-28,603.9,606.0,593.8,601.7,284862.985,170866428.7429,276265,,
2024-05-29,601.7,603.6,593.1,595.7,212706.254,127314783.2932,297215,,
2024-05-30,595.7,602.2,586.5,595.1,225452.344,134058231.5414,247441,,
2024-05-31,595.1,599.0,590.0,593.7,168608.054,100127890.5189,192563,,
2024-06-01,593.8,608.4,593.1,601.9,156464.894,93807304.5433,168039,,
2024-06-02,601.9,606.0,596.0,602.9,198299.996,119216586.139,205029,,
2024-06-03,602.8,638.8,601.2,626.4,654161.467,408619568.5288,445986,,
2024-06-04,626.4,688.2,624.8,685.7,736322.6803,480618195.60853,560841,,
2024-06-05,685.7,716.0,684.7,698.8,673820.5652,471592896.6752871,516891,,
2024-06-06,698.8,721.8,692.0,711.2,544042.9592,383971667.0546109,424589,,
2024-06-07,711.1,712.0,658.9,684.0,594753.99,411647370.9832,467676,,
2024-06-08,684.0,694.9,677.9,682.7,216849.473,148522259.267,226469,,
2024-06-09,682.7,684.8,670.3,673.0,173565.78,117580243.2205,205290,,
2024-06-10,673.1,674.8,613.3,625.1,692122.616,443628428.2456,698508,,
2024-06-11,625.1,629.0,595.8,602.5,640655.92,392329646.8744,607996,,
2024-06-12,602.5,635.4,591.3,619.4,454148.661,280606534.9802,418125,,
2024-06-13,619.4,619.9,595.6,599.8,313465.472,189807512.1516,444439,,
2024-06-14,599.8,612.5,590.0,603.3,279802.085,168377597.5893,579504,,
2024-06-15,603.3,609.7,601.3,608.2,122650.197,74376625.4952,239966,,
2024-06-16,608.2,611.8,601.1,610.8,104827.154,63655028.5963,157731,,
2024-06-17,610.9,612.6,591.4,604.3,235509.028,141794445.7183,287903,,
2024-06-18,604.3,605.2,575.0,588.6,459142.573,269411551.1401,723050,,
2024-06-19,588.6,605.9,586.6,599.3,260529.062,155686523.0016,302529,,
2024-06-20,599.3,608.0,584.6,587.7,289498.772,172878669.7902,300306,,
