date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,3.521e-05,3.59e-05,3.209e-05,3.315e-05,3853819055411.0,130143958.98988178,4294267,,
2024-05-25,3.315e-05,3.72e-05,3.313e-05,3.497e-05,3597490203943.0,127755108.1789334,3704277,,
2024-05-26,3.498e-05,3.611e-05,3.369e-05,3.394e-05,2663390949217.0,92776904.0476295,3109904,,
2024-05-27,3.394e-05,3.956e-05,3.389e-05,3.921e-05,5487743397988.0,207111903.28462493,5563586,,
2024-05-28,3.92e-05,4.45e-05,3.718e-05,4.113e-05,7050098192800.0,287131025.00100756,7006224,,
2024-05-29,4.113e-05,4.398e-05,3.593e-05,3.636e-05,5332314998111.0,211763650.05467266,5481115,,
2024-05-30,3.635e-05,3.763e-05,3.225e-05,3.385e-05,6569700180401.0,226681104.36524424,4973646,,
2024-05-31,3.384e-05,3.652e-05,3.301e-05,3.442e-05,4134217139467.0,143244295.4549399,4229321,,
2024-06-01,3.441e-05,3.542e-05,3.312e-05,3.312e-05,2048067208733.0,70198095.90997133,2087394,,
2024-06-02,3.313e-05,3.369e-05,3.071e-05,3.169e-05,2828017715125.0,91626276.62789445,2462749,,
2024-06-03,3.169e-05,3.519e-05,3.091e-05,3.198e-05,4692208585516.0,156889121.69592577,4022521,,
2024-06-04,3.199e-05,3.375e-05,3.151e-05,3.314e-05,3327296505830.0,107955286.60433479,3002888,,
2024-06-05,3.315e-05,3.58e-05,3.284e-05,3.396e-05,4691614291476.0,160881209.58130106,4115782,,
2024-06-06,3.396e-05,3.409e-05,3.168e-05,3.18e-05,2025757787468.0,67027933.50225921,2302331,,
2024-06-07,3.18e-05,3.233e-05,2.485e-05,2.882e-05,4730178800739.0,139952755.68116137,2905767,,
2024-06-08,2.881e-05,2.988e-05,2.685e-05,2.74e-05,2785898832985.0,78651128.41029562,2390878,,
2024-06-09,2.739e-05,2.914e-05,2.721e-05,2.858e-05,1963790684913.0,55666236.25979803,2103858,,
2024-06-10,2.859e-05,2.88e-05,2.68e-05,2.709e-05,2293174082221.0,63627357.31183322,2506096,,
2024-06-11,2.709e-05,2.837e-05,2.543e-05,2.713e-05,4180379391293.0,113153995.04399426,4158021,,
2024-06-12,2.713e-05,3.083e-05,2.575e-05,2.897e-05,4853868563796.0,140304932.72645947,4243536,,
2024-06-13,2.896e-05,2.896e-05,2.508e-05,2.563e-05,3385333758172.0,90114544.48318382,2861790,,
2024-06-14,2.563e-05,2.641e-05,2.301e-05,2.42e-05,2942744340794.0,73049593.08135742,2679197,,
2024-06-15,2.421e-05,2.55e-05,2.399e-05,2.446e-05,1201654958549.0,29882075.58803728,1368585,,
2024-06-16,2.447e-05,2.564e-05,2.396e-05,2.525e-05,1014319813977.0,25306853.59588745,1365790,,
2024-06-17,2.525e-05,2.564e-05,2.175e-05,2.296e-05,2707548794969.0,63617197.81241474,2927205,,
2024-06-18,2.297e-05,2.309e-05,1.99e-05,2.11e-05,3193035537826.0,66897848.51513211,3774580,,
2024-06-19,2.11e-05,2.264e-05,2.063e-05,2.107e-05,1827068295911.0,39487553.61370344,2635745,,
2024-06-20,2.107e-05,2.275e-05,2.082e-05,2.114e-05,1990560209397.0,43181166.42272534,2771949,,
2024-06-21,2.113e-05,2.141e-05,1.967e-05,2.036e-05,2348348717777.0,47966664.82706085,2300673,,
2024-06-22,2.037e-05,2.127e-05,1.994e-05,2.065e-05,1004268583718.0,20754546.08750359,1087744,,
2024-06-23,2.064e-05,2.146e-05,1.975e-05,1.996e-05,1109243942643.0,22955044.7949499,1199099,,
2024-06-24,1.996e-05,2.194e-05,1.802e-05,2.176e-05,2976463390039.0,59651875.67233362,3113675,,
2024-06-25,2.176e-05,2.39e-05,2.166e-05,2.325e-05,2968243893794.0,67626133.99504873,2421944,,
2024-06-26,2.325e-05,2.403e-05,2.187e-05,2.19e-05,1763311552908.0,40162881.25311999,1708997,,
2024-06-27,2.19e-05,2.515e-05,2.147e-05,2.465e-05,2955314744112.0,69157687.62154713,2202364,,
2024-06-28,2.465e-05,2.492e-05,2.219e-05,2.26e-05,1897879828778.0,44385837.93333399,2118241,,
2024-06-29,2.26e-05,2.322e-05,2.193e-05,2.234e-05,1015468331376.0,23072145.79601449,1140333,,
2024-06-30,2.233e-05,2.316e-05,2.147e-05,2.265e-05,1271687945499.0,28229385.6724667,1128202,,
2024-07-01,2.266e-05,2.615e-05,2.249e-05,2.559e-05,3227759022775.0,78889021.87216322,2143079,,
2024-07-02,2.558e-05,2.724e-05,2.486e-05,2.541e-05,4576352357465.0,118897691.24728195,2514717,,
2024-07-03,2.542e-05,2.572e-05,2.17e-05,2.245e-05,3022338221249.0,71772918.49547496,2142022,,
2024-07-04,2.245e-05,2.288e-05,2.053e-05,2.067e-05,3010526785718.0,65671526.82443836,2721054,,
2024-07-05,2.067e-05,2.3e-05,1.81e-05,2.184e-05,4823202035988.0,99532103.00415091,3486918,,
2024-07-06,2.183e-05,2.386e-05,2.128e-05,2.317e-05,2291369004997.0,51719933.82905829,2382968,,
2024-07-07,2.317e-05,2.32e-05,2.091e-05,2.109e-05,2045335527594.0,45307745.68176447,2186815,,
2024-07-08,2.108e-05,2.532e-05,1.991e-05,2.396e-05,5666352076576.0,132279385.32253858,4001771,,
2024-07-09,2.395e-05,2.691e-05,2.376e-05,2.592e-05,5070837102333.0,131399273.54104848,3357392,,
2024-07-10,2.592e-05,2.693e-05,2.534e-05,2.644e-05,2068126436670.0,54228471.94922717,2311259,,
2024-07-11,2.644e-05,2.773e-05,2.332e-05,2.351e-05,3792912499257.0,96499782.6000722,2301366,,
2024-07-12,2.351e-05,2.376e-05,2.198e-05,2.256e-05,2662652628425.0,60704095.74704836,1628562,,
