date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.961,3.002,2.877,2.935,3207789.67,9418735.43337,39567,,
2024-05-25,2.934,3.017,2.931,2.991,2346118.91,7003050.20516,25163,,
2024-05-26,2.991,3.0,2.924,2.941,1732265.86,5140569.78257,19384,,
2024-05-27,2.942,3.038,2.916,2.989,2788093.83,8283860.62017,37330,,
2024-05-28,2.989,3.005,2.895,2.959,3264449.15,9633131.4072,39796,,
2024-05-29,2.959,2.97,2.882,2.902,3225150.67,9439614.47656,48151,,
2024-05-30,2.901,2.936,2.743,2.772,5262860.51,14781936.23461,65176,,
2024-05-31,2.771,2.799,2.73,2.767,2868128.1,7937151.25788,43377,,
2024-06-01,2.766,2.811,2.756,2.782,1249461.19,3470619.80611,21109,,
2024-06-02,2.782,2.799,2.534,2.596,9387856.26,24691935.96106,92652,,
2024-06-03,2.596,2.721,2.58,2.659,5029165.32,13399781.22834,62509,,
2024-06-04,2.66,2.973,2.634,2.949,9405539.23,26368572.93828,119796,,
2024-06-05,2.949,3.284,2.948,3.203,19751647.12,61765044.18723,269411,,
2024-06-06,3.203,3.248,3.045,3.09,8472677.07,26662498.76944,121276,,
2024-06-07,3.091,3.1,2.547,2.763,10899166.74,31180382.26561,147862,,
2024-06-08,2.763,2.763,2.664,2.708,4874496.67,13206008.90653,72047,,
2024-06-09,2.708,2.733,2.647,2.698,2158627.97,5817083.39893,32562,,
2024-06-10,2.697,2.707,2.56,2.615,5189403.19,13594474.78852,69928,,
2024-06-11,2.614,2.621,2.46,2.472,6377397.51,16140481.56105,83750,,
2024-06-12,2.472,2.674,2.411,2.565,6839694.52,17560740.88709,79326,,
2024-06-13,2.566,2.567,2.448,2.475,3347139.69,8363600.5865,47507,,
2024-06-14,2.476,2.538,2.374,2.46,3576584.67,8780445.62302,51684,,
2024-06-15,2.459,2.538,2.445,2.512,2425427.59,6060404.31992,28840,,
2024-06-16,2.513,2.536,2.473,2.529,1449626.54,3637732.55923,22748,,
2024-06-17,2.529,2.54,2.386,2.439,4165972.75,10215587.82457,60379,,
2024-06-18,2.44,2.447,2.104,2.219,10330526.04,23150393.28032,112120,,
