date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.2268,0.2297,0.2171,0.2211,68809099.0,15275071.6464,51165,,
2024-05-25,0.221,0.2261,0.2204,0.224,31780167.0,7101768.5348,23983,,
2024-05-26,0.2239,0.2253,0.2126,0.2159,57851228.0,12661329.7861,45528,,
2024-05-27,0.2159,0.2296,0.215,0.2272,54531285.0,12052514.0615,43278,,
2024-05-28,0.2273,0.2277,0.2179,0.2206,75075377.0,16649527.6848,68411,,
2024-05-29,0.2206,0.2258,0.2179,0.2187,64785300.0,14409527.0266,53742,,
2024-05-30,0.2185,0.2233,0.2104,0.2147,43352642.0,9404990.5201,45610,,
2024-05-31,0.2146,0.2186,0.2109,0.2142,28647281.0,6132547.0692,29355,,
2024-06-01,0.2142,0.2165,0.2118,0.2154,20978644.0,4484144.9252,22954,,
2024-06-02,0.2154,0.2197,0.212,0.2133,22716059.0,4896067.4873,27851,,
2024-06-03,0.2132,0.2254,0.2115,0.2248,46721089.0,10275668.1037,50520,,
2024-06-04,0.2249,0.2262,0.2157,0.2229,44045164.0,9705062.0805,39269,,
2024-06-05,0.223,0.2312,0.2221,0.2248,46918647.0,10610483.2981,46834,,
2024-06-06,0.2248,0.2357,0.2223,0.2338,61034981.0,14016325.8905,57033,,
2024-06-07,0.2338,0.2339,0.1889,0.2046,92275560.0,19742443.9996,103679,,
2024-06-08,0.2046,0.2076,0.1905,0.1921,42612119.0,8485935.5884,41389,,
2024-06-09,0.192,0.1984,0.1914,0.1972,26711219.0,5204771.8922,24142,,
2024-06-10,0.1973,0.1981,0.189,0.1901,39756375.0,7692091.271,39382,,
2024-06-11,0.1902,0.1912,0.1746,0.1777,84907673.0,15444501.0869,73420,,
2024-06-12,0.1776,0.2,0.1737,0.1921,133104186.0,25135363.8537,112116,,
2024-06-13,0.192,0.1943,0.1836,0.192,54678316.0,10359447.3243,50591,,
2024-06-14,0.1919,0.1975,0.1762,0.1816,56627612.0,10697790.9006,56295,,
2024-06-15,0.1815,0.1897,0.179,0.1876,21056082.0,3899323.1971,24977,,
2024-06-16,0.1877,0.1928,0.183,0.1915,16043108.0,3013840.118,21771,,
2024-06-17,0.1915,0.1927,0.1732,0.1778,37005604.0,6759042.7127,54146,,
2024-06-18,0.1778,0.1787,0.1413,0.1457,242993490.0,36569323.4112,202312,,
2024-06-19,0.1456,0.1549,0.1429,0.145,99850904.0,14783227.8181,76445,,
2024-06-20,0.1451,0.1532,0.1421,0.145,53257103.0,7858181.3272,52118,,
2024-06-21,0.1451,0.1518,0.1424,0.1459,37839614.0,5566360.7601,43766,,
2024-06-22,0.146,0.1482,0.1436,0.1457,15294262.0,2238372.7313,17811,,
2024-06-23,0.1457,0.1527,0.1447,0.1489,37441575.0,5585835.0389,36504,,
2024-06-24,0.1488,0.156,0.1376,0.1556,86365011.0,12621786.5114,90052,,
2024-06-25,0.1555,0.1606,0.153,0.1582,38021747.0,5986743.0785,37891,,
2024-06-26,0.1582,0.1601,0.1523,0.1559,24476213.0,3824378.2922,27922,,
2024-06-27,0.1558,0.1766,0.154,0.1729,54064768.0,9076558.5797,62694,,
2024-06-28,0.1728,0.1738,0.1633,0.1639,25955185.0,4371485.54,30969,,
2024-06-29,0.164,0.1687,0.1566,0.1571,26333331.0,4298861.4129,23554,,
2024-06-30,0.1571,0.1624,0.1533,0.1614,32965175.0,5210350.6356,31500,,
2024-07-01,0.1615,0.175,0.1609,0.1697,62110451.0,10399465.7924,62388,,
2024-07-02,0.1696,0.1756,0.1642,0.1742,32241536.0,5430681.6847,32261,,
2024-07-03,0.1741,0.1741,0.1579,0.1581,50743956.0,8489542.0406,56633,,
2024-07-04,0.1582,0.1589,0.1253,0.1279,140639866.0,20022928.2015,104703,,
2024-07-05,0.1279,0.1279,0.1087,0.1198,209779888.0,24646856.6055,148969,,
2024-07-06,0.1197,0.1366,0.1191,0.1335,88339672.0,11033768.4217,59623,,
2024-07-07,0.1335,0.1344,0.1243,0.1255,43506199.0,5667638.6267,39520,,
2024-07-08,0.1255,0.1374,0.1193,0.1301,79195121.0,10161491.8006,71964,,
2024-07-09,0.1301,0.1419,0.1292,0.1401,82753123.0,11303437.1827,75705,,
2024-07-10,0.14,0.1449,0.1376,0.1421,32049895.0,4502611.5294,34124,,
2024-07-11,0.1421,0.1461,0.1388,0.1408,37183893.0,5272219.5398,42888,,
2024-07-12,0.1408,0.1455,0.1398,0.1424,68070265.0,9683223.3275,61471,,
2024-07-13,0.1424,0.147,0.1416,0.1453,33001476.0,4760524.1259,29706,,
2024-07-14,0.1453,0.1582,0.1452,0.1573,45222871.0,6839513.7218,39839,,
2024-07-15,0.1573,0.1731,0.1572,0.172,56030749.0,9142769.7606,47090,,
2024-07-16,0.172,0.1784,0.1637,0.1761,115430855.0,19703269.2762,97559,,
2024-07-17,0.1761,0.1781,0.1679,0.1725,55638406.0,9690253.4056,59974,,
2024-07-18,0.1725,0.179,0.1659,0.1703,45967945.0,7979259.7641,52295,,
2024-07-19,0.1705,0.1753,0.1658,0.1741,53128862.0,9125631.6108,55557,,
2024-07-20,0.1741,0.1813,0.1707,0.1722,67120261.0,11746862.1915,54792,,
2024-07-21,0.1722,0.1744,0.1598,0.1724,48703910.0,8243850.2901,50672,,
2024-07-22,0.1724,0.1763,0.1656,0.1666,55648540.0,9456154.3614,53525,,
2024-07-23,0.1667,0.1711,0.1525,0.1563,65782534.0,10695550.1944,61702,,
2024-07-24,0.1563,0.1646,0.1535,0.157,53937417.0,8558361.6024,44046,,
2024-07-25,0.157,0.1577,0.1386,0.1466,99511285.0,14558017.6052,74577,,
2024-07-26,0.1466,0.1773,0.1462,0.1761,86419831.0,14022557.6746,68298,,
2024-07-27,0.1762,0.1863,0.1708,0.1767,137508303.0,24669670.9586,125322,,
2024-07-28,0.1767,0.1808,0.1704,0.1724,38801002.0,6845342.2601,38232,,
2024-07-29,0.1724,0.1785,0.1633,0.1637,74938748.0,12950171.4798,67053,,
2024-07-30,0.1637,0.1711,0.1595,0.1653,62011489.0,10345008.6875,51461,,
2024-07-31,0.1654,0.1737,0.1639,0.1671,63899664.0,10777996.4505,58398,,
2024-08-01,0.1672,0.1701,0.146,0.1565,86565830.0,13697242.7588,82331,,
2024-08-02,0.1565,0.1581,0.1367,0.1381,71176357.0,10484797.1057,67740,,
2024-08-03,0.1381,0.1465,0.1274,0.1315,94672930.0,13047721.7954,80038,,
2024-08-04,0.1315,0.1355,0.1203,0.1265,69494142.0,8843577.2893,60577,,
2024-08-05,0.1265,0.1285,0.1025,0.1171,292490304.0,33053639.4079,226566,,
2024-08-06,0.1172,0.126,0.1167,0.121,251875980.0,30787993.1798,191257,,
2024-08-07,0.1209,0.1253,0.1138,0.1156,123068509.0,14888751.7797,109349,,
2024-08-08,0.1156,0.1388,0.1134,0.1384,67387890.0,8511683.6525,71293,,
2024-08-09,0.1384,0.1427,0.1349,0.1407,57820700.0,8015390.3327,78163,,
2024-08-10,0.1407,0.1433,0.136,0.1401,38715820.0,5371100.3922,44564,,
2024-08-11,0.1401,0.1408,0.1289,0.1299,50437736.0,6847034.3285,57224,,
2024-08-12,0.13,0.14,0.1284,0.136,88596663.0,11859637.4436,79979,,
2024-08-13,0.136,0.1417,0.1309,0.1384,43871208.0,5966041.7166,58504,,
2024-08-14,0.1383,0.145,0.1333,0.1359,68601082.0,9591612.9519,69501,,
2024-08-15,0.1359,0.1391,0.1276,0.132,52275171.0,6973724.4655,45374,,
2024-08-16,0.132,0.134,0.1263,0.1287,44444757.0,5804166.337,41898,,
2024-08-17,0.1286,0.1305,0.1274,0.1297,16820694.0,2167036.9292,22197,,
2024-08-18,0.1297,0.1368,0.1275,0.1325,30851216.0,4099399.5768,35246,,
2024-08-19,0.1326,0.1376,0.1317,0.1361,42166993.0,5681083.6228,49930,,
2024-08-20,0.1361,0.1422,0.1346,0.1404,37742223.0,5248590.5007,37078,,
2024-08-21,0.1404,0.1476,0.1369,0.1462,54305192.0,7725630.1881,71075,,
