date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.11679,0.11875,0.11377,0.11732,91817664.0,10708068.84733,54856,,
2024-05-25,0.11725,0.143,0.11693,0.13624,392822877.0,51975705.39172,242681,,
2024-05-26,0.13623,0.1397,0.13132,0.13395,395417773.0,53335976.91001,213136,,
2024-05-27,0.134,0.1378,0.13219,0.13752,202988410.0,27354722.00267,116305,,
2024-05-28,0.13756,0.1557,0.1326,0.15399,503191786.0,73666427.35597,307735,,
2024-05-29,0.15397,0.1599,0.14759,0.15427,366547465.0,56527699.08722,228059,,
2024-05-30,0.15427,0.165,0.14345,0.1459,397277952.0,59895280.8426,242050,,
2024-05-31,0.14589,0.14877,0.14,0.14186,188371516.0,27155591.7476,129854,,
2024-06-01,0.14187,0.1534,0.14147,0.15102,203213756.0,30381925.10554,125447,,
2024-06-02,0.15101,0.15195,0.14038,0.14167,191755601.0,27848167.18179,116545,,
2024-06-03,0.14168,0.14889,0.14125,0.14489,191292261.0,27674798.68507,123777,,
2024-06-04,0.14485,0.14781,0.1424,0.14473,155543228.0,22534956.45744,100559,,
2024-06-05,0.14474,0.14695,0.14192,0.14656,164418268.0,23762659.4088,100131,,
2024-06-06,0.14662,0.14784,0.1352,0.13723,152668500.0,21640616.99385,101578,,
2024-06-07,0.13723,0.14,0.11112,0.12441,299357203.0,38656215.07947,184750,,
2024-06-08,0.1244,0.12499,0.11576,0.11727,179180601.0,21498214.89339,102458,,
2024-06-09,0.11725,0.13218,0.11708,0.12979,247692328.0,30960852.92813,129400,,
2024-06-10,0.12981,0.13049,0.12127,0.12545,218754850.0,27689695.6306,129748,,
2024-06-11,0.12545,0.12844,0.115,0.11734,283034105.0,34386291.9367,164649,,
2024-06-12,0.11729,0.12405,0.11318,0.12022,215476769.0,25635269.00148,113793,,
2024-06-13,0.12022,0.12045,0.11083,0.11246,176569904.0,20414390.60494,91700,,
2024-06-14,0.11251,0.12032,0.105,0.10831,330445117.0,37468624.76357,156316,,
2024-06-15,0.10831,0.1084,0.10234,0.10409,226930831.0,23869481.37778,109275,,
2024-06-16,0.10411,0.10449,0.09926,0.10095,176791644.0,17865493.46307,80294,,
2024-06-17,0.10095,0.10164,0.08789,0.08997,311238515.0,29247408.40197,137754,,
2024-06-18,0.08997,0.09042,0.07211,0.08028,406302949.0,32970266.38607,177322,,
2024-06-19,0.08026,0.08291,0.07887,0.08008,141736938.0,11450446.22772,61755,,
2024-06-20,0.08007,0.08314,0.07814,0.07948,156096244.0,12634193.34505,77802,,
2024-06-21,0.07947,0.08084,0.0762,0.07761,140442533.0,11047595.14899,55405,,
2024-06-22,0.0776,0.07847,0.07634,0.07722,77892792.0,6029395.40618,35795,,
2024-06-23,0.07723,0.0789,0.07458,0.07531,88594222.0,6833023.8174,36863,,
2024-06-24,0.0753,0.07702,0.06959,0.07675,183881871.0,13577310.08229,69409,,
2024-06-25,0.07675,0.08064,0.07622,0.07906,82583931.0,6480161.49755,37960,,
2024-06-26,0.07904,0.07968,0.07611,0.07702,66575283.0,5197649.80216,30000,,
2024-06-27,0.07703,0.0794,0.0751,0.0777,48856288.0,3777682.7488,21531,,
2024-06-28,0.0777,0.0786,0.0751,0.0752,52851122.0,4079560.2643,23818,,
2024-06-29,0.0751,0.0763,0.0732,0.0735,33294230.0,2498134.44438,14256,,
2024-06-30,0.0734,0.0761,0.0719,0.0759,42677831.0,3151575.68601,19162,,
2024-07-01,0.0759,0.0771,0.0738,0.0748,48292438.0,3653167.7766,22336,,
2024-07-02,0.0748,0.0768,0.0739,0.0762,32792634.0,2464290.7244,19343,,
2024-07-03,0.0761,0.0766,0.0703,0.071,43485035.0,3152521.93401,26122,,
2024-07-04,0.071,0.0716,0.0621,0.0626,106850466.0,7116435.01691,56243,,
2024-07-05,0.0627,0.0628,0.0542,0.0622,241095292.0,14019984.11175,87810,,
2024-07-06,0.0622,0.0692,0.0619,0.0687,56600084.0,3711382.0723,28971,,
2024-07-07,0.0687,0.0687,0.063,0.0634,59759804.0,3963624.5094,31548,,
2024-07-08,0.0634,0.0676,0.0605,0.0655,110290508.0,7117928.8828,64719,,
2024-07-09,0.0655,0.0673,0.0645,0.0663,46953323.0,3097244.7864,27562,,
2024-07-10,0.0664,0.0681,0.0654,0.0666,47705097.0,3180204.0696,23849,,
2024-07-11,0.0666,0.0689,0.0647,0.065,59772730.0,3996071.8067,29031,,
2024-07-12,0.065,0.0665,0.0637,0.0659,41287620.0,2691526.4956,18234,,
2024-07-13,0.0659,0.0689,0.0657,0.068,32260266.0,2170591.383,14260,,
2024-07-14,0.0681,0.0695,0.067,0.0689,41480368.0,2825278.7467,16570,,
2024-07-15,0.0689,0.0728,0.0688,0.0725,62844060.0,4429754.0157,25120,,
2024-07-16,0.0725,0.0742,0.0687,0.0733,90204897.0,6489844.3973,34703,,
2024-07-17,0.0734,0.0752,0.0714,0.0722,56061104.0,4131373.7556,27376,,
2024-07-18,0.0722,0.074,0.0681,0.0699,55507689.0,3936072.9479,26925,,
2024-07-19,0.0698,0.0744,0.0682,0.0739,68525319.0,4923622.3939,29061,,
2024-07-20,0.0738,0.0749,0.0728,0.0738,38488129.0,2840629.6993,14677,,
2024-07-21,0.0738,0.0764,0.0714,0.0755,79187930.0,5901659.4045,29237,,
2024-07-22,0.0754,0.0761,0.0711,0.0717,53444881.0,3907561.6559,22480,,
2024-07-23,0.0716,0.0729,0.0687,0.0694,60525887.0,4270012.5476,23833,,
2024-07-24,0.0694,0.0716,0.0681,0.0688,47651714.0,3334582.7278,13962,,
2024-07-25,0.0688,0.0695,0.0643,0.0668,79347734.0,5256405.5806,26601,,
2024-07-26,0.0668,0.0705,0.0665,0.0702,56649258.0,3932578.0259,19356,,
2024-07-27,0.0702,0.0715,0.0685,0.0703,58883518.0,4139619.6659,21812,,
2024-07-28,0.0703,0.0704,0.0677,0.0685,31485247.0,2176788.9704,12212,,
2024-07-29,0.0685,0.0709,0.0674,0.0677,49185903.0,3405037.9394,16711,,
2024-07-30,0.0676,0.0691,0.0651,0.0662,48451751.0,3263080.6856,15583,,
2024-07-31,0.0662,0.0673,0.0643,0.0647,53205013.0,3508143.5117,16085,,
2024-08-01,0.0648,0.0653,0.0595,0.0637,73237205.0,4585686.8042,23818,,
2024-08-02,0.0636,0.0641,0.0591,0.06,67962394.0,4167015.4496,23947,,
2024-08-03,0.06,0.0607,0.0553,0.0574,90946578.0,5256179.5663,33584,,
2024-08-04,0.0574,0.0584,0.0527,0.0549,115407972.0,6447412.68958,33408,,
2024-08-05,0.0549,0.0553,0.0431,0.0503,382072512.0,18288234.1577,118925,,
2024-08-06,0.0504,0.0543,0.0503,0.0528,91254252.0,4813066.2912,33257,,
2024-08-07,0.0528,0.0542,0.0504,0.051,87012966.0,4574885.1456,32053,,
2024-08-08,0.0511,0.0564,0.0502,0.0562,51099075.0,2755672.0886,22017,,
2024-08-09,0.0561,0.0563,0.054,0.0555,46011338.0,2535980.8645,19697,,
2024-08-10,0.0555,0.058,0.0549,0.0575,39826538.0,2253385.8939,14876,,
2024-08-11,0.0575,0.0585,0.0531,0.0536,47771255.0,2679720.1055,15801,,
2024-08-12,0.0537,0.0565,0.0531,0.0556,62701414.0,3435583.4813,19266,,
2024-08-13,0.0556,0.0569,0.0542,0.0564,26649647.0,1478107.5653,9447,,
2024-08-14,0.0563,0.0569,0.0541,0.0548,29774067.0,1652468.0861,10575,,
2024-08-15,0.0548,0.0558,0.0524,0.053,42620782.0,2308577.4071,16586,,
2024-08-16,0.0529,0.0537,0.0512,0.0525,28427590.0,1494387.8558,13662,,
2024-08-17,0.0526,0.0533,0.0521,0.0532,26168787.0,1375114.4825,9243,,
2024-08-18,0.0532,0.0548,0.0526,0.0537,21962578.0,1181842.0505,11235,,
2024-08-19,0.0537,0.0545,0.0526,0.0544,32823399.0,1758544.1646,16675,,
2024-08-20,0.0543,0.0559,0.0536,0.0549,36885737.0,2031376.5259,20290,,
2024-08-21,0.0549,0.0577,0.0545,0.057,38186221.0,2143129.041,21238,,
2024-08-22,0.0571,0.0592,0.0559,0.0588,56751979.0,3286167.4953,26669,,
2024-08-23,0.0588,0.062,0.0584,0.0615,66273608.0,3974901.8456,28811,,
2024-08-24,0.0615,0.0638,0.0606,0.0622,73628973.0,4581418.8633,30599,,
2024-08-25,0.0623,0.0623,0.0586,0.0606,49004880.0,2962128.0408,27521,,
2024-08-26,0.0605,0.0611,0.0568,0.0571,65490108.0,3875846.3491,32927,,
2024-08-27,0.0571,0.0587,0.0533,0.0545,53309259.0,3006763.9374,30135,,
2024-08-28,0.0545,0.0559,0.0521,0.0537,53552529.0,2894813.5745,32584,,
2024-08-29,0.0537,0.0565,0.0527,0.056,55055167.0,2994790.6397,24026,,
2024-08-30,0.056,0.0561,0.0518,0.0541,57126898.0,3074271.35,26036,,
2024-08-31,0.054,0.0544,0.0525,0.0529,28256707.0,1505842.3277,13153,,
2024-09-01,0.0529,0.0531,0.0497,0.0502,46383634.0,2393298.7751,15201,,
2024-09-02,0.0501,0.0527,0.0501,0.0525,38986738.0,2001242.7149,15869,,
2024-09-03,0.0525,0.0531,0.0501,0.0503,27751856.0,1428566.8576,13585,,
2024-09-04,0.0503,0.0524,0.0478,0.0517,48138757.0,2423420.2559,21166,,
2024-09-05,0.0516,0.0518,0.0494,0.0498,32051728.0,1615786.9719,16085,,
2024-09-06,0.0498,0.051,0.0471,0.0487,45809171.0,2254085.065,11810,,
2024-09-07,0.0486,0.051,0.0483,0.0502,34025834.0,1682765.1011,6313,,
2024-09-08,0.0501,0.0523,0.05,0.0517,20411301.0,1044708.2107,10315,,
2024-09-09,0.0518,0.0536,0.0515,0.0531,41213249.0,2162126.3314,25866,,
2024-09-10,0.053,0.0537,0.0524,0.0531,28755863.0,1525198.3909,20057,,
2024-09-11,0.0532,0.0533,0.0506,0.052,46313171.0,2402721.1863,24674,,
2024-09-12,0.0521,0.0533,0.052,0.0532,36524820.0,1926065.688,18630,,
2024-09-13,0.0532,0.0544,0.0526,0.0539,49878752.0,2661535.7872,16358,,
2024-09-14,0.054,0.0543,0.053,0.0536,25857684.0,1388440.485,9589,,
2024-09-15,0.0536,0.0539,0.0515,0.0519,27700248.0,1471776.1204,13126,,
2024-09-16,0.0519,0.0522,0.0506,0.0511,36225177.0,1857350.9251,14428,,
2024-09-17,0.051,0.0528,0.0506,0.052,34556949.0,1792825.1791,15217,,
2024-09-18,0.052,0.0539,0.0504,0.0539,44075425.0,2280760.4466,22550,,
2024-09-19,0.0538,0.0563,0.0538,0.0555,56845775.0,3142925.4066,23712,,
2024-09-20,0.0555,0.0574,0.055,0.0573,46720424.0,2640859.4689,20957,,
2024-09-21,0.0573,0.0598,0.0565,0.0595,52757988.0,3074386.0618,21094,,
2024-09-22,0.0595,0.0596,0.0562,0.0576,42304745.0,2429031.1256,14723,,
