date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,59.42,61.85,57.58,60.64,68804.836,4104932.65105,23432,,
2024-05-25,60.61,65.94,60.45,63.7,105646.616,6740394.61008,33073,,
2024-05-26,63.71,64.87,62.17,63.88,67382.505,4279260.26664,19704,,
2024-05-27,63.8,64.92,62.45,62.86,60766.338,3867447.80698,20021,,
2024-05-28,62.83,63.7,60.82,62.44,91359.116,5699164.28955,31860,,
2024-05-29,62.44,64.37,60.96,61.25,99771.374,6227765.84947,30986,,
2024-05-30,61.25,61.82,58.82,59.49,62698.62,3766053.35753,20495,,
2024-05-31,59.52,61.3,58.21,59.19,62221.197,3711925.64664,21273,,
2024-06-01,59.19,59.41,58.54,58.59,26480.216,1559625.60838,9148,,
2024-06-02,58.58,59.37,57.6,57.86,46422.216,2718363.46759,14288,,
2024-06-03,57.86,60.05,57.21,57.89,51280.204,3020571.81388,17309,,
2024-06-04,57.83,60.73,57.67,59.91,72758.424,4298643.86488,19949,,
2024-06-05,59.91,61.4,59.28,61.4,59074.286,3556062.62129,15341,,
2024-06-06,61.38,61.46,58.75,59.68,47184.699,2845447.43003,15266,,
2024-06-07,59.69,60.82,50.3,55.74,113124.814,6405060.38604,39911,,
2024-06-08,55.73,56.12,52.58,53.76,63822.874,3455687.31241,23805,,
2024-06-09,53.74,54.74,53.0,54.39,39335.226,2126330.24661,18913,,
2024-06-10,54.39,54.65,52.89,53.45,87242.377,4695526.42916,38035,,
2024-06-11,53.47,53.62,50.0,52.11,125761.335,6518210.87792,51855,,
2024-06-12,52.13,55.21,51.17,53.94,72098.736,3861777.38813,29579,,
2024-06-13,53.93,54.01,51.29,51.75,83317.088,4379655.41537,23346,,
2024-06-14,51.76,52.84,49.5,51.94,64703.863,3326961.3739,21096,,
2024-06-15,51.93,53.98,51.89,53.67,40583.423,2160321.02717,13511,,
2024-06-16,53.66,54.36,52.87,54.03,36183.821,1936835.99958,13311,,
2024-06-17,54.01,54.34,49.4,50.63,89323.304,4635184.51666,21536,,
2024-06-18,50.64,50.81,44.82,48.0,218432.458,10223129.23332,48228,,
2024-06-19,47.93,51.23,47.39,50.13,93788.657,4667050.94547,23526,,
2024-06-20,50.13,50.99,48.56,48.79,54975.568,2739685.03236,16254,,
2024-06-21,48.79,50.06,48.15,48.87,54855.293,2697525.22763,13812,,
2024-06-22,48.89,49.28,48.03,48.71,28938.899,1408424.71203,9275,,
2024-06-23,48.72,49.63,47.48,47.71,25089.508,1220359.64316,9117,,
2024-06-24,47.72,48.68,45.17,47.96,64187.065,3043698.35738,18286,,
2024-06-25,47.98,50.12,47.83,48.69,45008.908,2216038.31701,15131,,
2024-06-26,48.7,49.72,47.9,49.1,40092.075,1953379.34932,13073,,
2024-06-27,49.05,50.69,48.6,50.24,36960.634,1836272.97756,10269,,
2024-06-28,50.24,51.33,49.49,49.63,41066.678,2064778.56827,12094,,
2024-06-29,49.62,50.76,47.94,48.17,22703.355,1121562.81309,7732,,
2024-06-30,48.18,49.96,47.8,49.76,27639.977,1352661.27806,8666,,
2024-07-01,49.77,50.95,48.72,49.54,38342.972,1912887.39968,15176,,
2024-07-02,49.51,50.04,48.46,49.13,47161.393,2326041.24074,12751,,
2024-07-03,49.16,49.47,47.1,47.64,45918.569,2212393.44732,16039,,
2024-07-04,47.72,48.26,44.37,44.65,86536.134,4003624.27801,22871,,
2024-07-05,44.68,47.65,40.17,46.78,147113.06,6443991.44494,46048,,
2024-07-06,46.76,47.85,45.6,47.33,63050.061,2925870.7152,15796,,
2024-07-07,47.34,47.41,44.78,44.95,24801.882,1143071.61196,8919,,
2024-07-08,44.98,48.95,43.72,47.63,81315.387,3838836.46112,21670,,
2024-07-09,47.61,49.0,47.02,47.7,31794.272,1528437.72773,9525,,
2024-07-10,47.7,48.79,47.05,47.93,49734.256,2383167.77282,13807,,
2024-07-11,47.96,49.1,46.37,46.68,52137.912,2488139.64108,15314,,
2024-07-12,46.67,47.94,45.73,47.93,36196.7,1692265.40633,10035,,
2024-07-13,47.93,48.08,47.0,47.5,21462.387,1018179.75563,7399,,
2024-07-14,47.5,50.63,47.25,50.41,34311.766,1667981.71736,11468,,
2024-07-15,50.47,52.18,50.12,52.04,51395.74,2628741.10323,19085,,
2024-07-16,52.02,52.4,49.43,51.69,63804.813,3268886.17632,19372,,
2024-07-17,51.7,52.97,50.61,50.74,39338.582,2030068.70504,15094,,
2024-07-18,50.74,53.1,50.42,52.44,60302.269,3127979.55105,24508,,
2024-07-19,52.41,52.88,50.69,52.1,40594.094,2107817.25635,13830,,
2024-07-20,52.09,52.45,50.9,51.55,38531.93,1994920.65175,13496,,
2024-07-21,51.56,52.7,49.78,52.39,29415.169,1514088.86686,11536,,
2024-07-22,52.43,53.11,50.35,50.5,35536.665,1823724.27806,11419,,
2024-07-23,50.51,51.68,49.04,49.93,48151.387,2423457.16576,15371,,
2024-07-24,49.99,51.03,48.26,48.8,38249.636,1899632.97054,13075,,
2024-07-25,48.76,49.85,46.94,49.77,50120.159,2406028.53345,13698,,
2024-07-26,49.76,52.21,49.73,51.39,42405.097,2172157.34646,12346,,
2024-07-27,51.37,52.84,50.98,51.61,32745.592,1696636.01955,10050,,
2024-07-28,51.6,51.72,47.08,47.51,69832.777,3421742.11346,23002,,
2024-07-29,47.51,51.0,46.09,49.51,159075.919,7659713.90387,54199,,
2024-07-30,49.49,52.84,49.49,52.75,238980.509,12330832.54289,72042,,
2024-07-31,52.75,53.65,51.38,52.72,137938.512,7253101.40488,32710,,
2024-08-01,52.69,54.44,50.54,53.52,195159.008,10256514.53155,41267,,
2024-08-02,53.53,54.32,49.34,51.4,169365.998,8782045.15689,36265,,
2024-08-03,51.42,51.65,43.92,44.39,172237.06,8263079.63918,36538,,
2024-08-04,44.39,46.64,40.75,40.77,190008.226,8256240.83879,36434,,
2024-08-05,40.77,41.23,33.84,37.84,367757.179,13539737.68575,77310,,
2024-08-06,37.85,41.14,37.42,39.47,192371.619,7581715.73045,35100,,
2024-08-07,39.45,40.28,36.8,37.3,122909.013,4761654.5961,24769,,
2024-08-08,37.34,41.52,36.8,41.23,78575.72,3106530.34214,16573,,
2024-08-09,41.23,41.63,39.65,41.26,86228.395,3493210.54766,19599,,
2024-08-10,41.27,41.91,40.65,41.22,37364.922,1533749.30891,9019,,
2024-08-11,41.23,43.55,40.63,40.97,64244.273,2688747.52154,16870,,
2024-08-12,40.98,43.36,40.55,42.46,89146.863,3762501.1367,22355,,
2024-08-13,42.45,44.29,41.87,44.16,81946.592,3509700.9497,22983,,
2024-08-14,44.17,45.4,43.42,44.83,68850.628,3059437.49659,16913,,
2024-08-15,44.81,44.91,42.26,43.58,73192.916,3171898.81012,20354,,
2024-08-16,43.57,43.78,41.16,42.44,96262.502,4096156.14367,22476,,
2024-08-17,42.39,42.99,40.87,41.99,69792.007,2918920.8132,14256,,
2024-08-18,42.0,44.01,41.11,42.44,63738.123,2700885.01501,15672,,
2024-08-19,42.46,43.62,41.62,43.13,55365.91,2357260.82544,12927,,
2024-08-20,43.12,46.43,42.61,46.1,142947.119,6322319.59991,30169,,
2024-08-21,46.09,51.74,45.57,49.7,214956.788,10426088.13785,58981,,
2024-08-22,49.7,51.21,49.26,51.06,135271.303,6816260.2187,28193,,
2024-08-23,51.04,55.28,50.14,54.31,138436.421,7277810.28577,32491,,
2024-08-24,54.32,54.33,51.87,52.84,101169.921,5384912.10427,20486,,
2024-08-25,52.84,53.34,51.05,51.18,85729.184,4454622.02162,16282,,
2024-08-26,51.18,52.2,47.91,48.06,142894.784,7133594.89114,25765,,
2024-08-27,48.05,48.77,44.74,45.47,107358.729,5066550.35246,18251,,
2024-08-28,45.47,46.53,44.21,45.17,99409.944,4501127.59083,18531,,
2024-08-29,45.16,46.75,44.07,44.86,53987.418,2456231.31651,10097,,
2024-08-30,44.8,47.08,44.06,46.39,99939.085,4550106.40083,15807,,
2024-08-31,46.37,46.75,44.76,45.2,52792.464,2409003.13575,10268,,
2024-09-01,45.22,45.54,42.06,42.63,84095.095,3695360.76593,18417,,
2024-09-02,42.63,45.35,42.43,45.23,74739.941,3293049.36786,12591,,
2024-09-03,45.23,45.69,42.73,42.87,76497.031,3364883.84715,12034,,
2024-09-04,42.89,46.31,41.11,44.55,138330.532,6114666.4429,23261,,
2024-09-05,44.54,44.77,41.4,41.94,86306.282,3674812.7407,13875,,
2024-09-06,41.92,42.7,39.37,41.11,111234.535,4589775.5628,14347,,
2024-09-07,41.11,42.05,40.65,41.25,77593.577,3212346.54133,9103,,
2024-09-08,41.23,42.2,40.4,41.34,49728.728,2048406.04925,7975,,
2024-09-09,41.39,43.04,40.91,42.47,101990.882,4312986.65211,15253,,
2024-09-10,42.47,43.61,41.65,43.11,116365.606,4962605.98623,15005,,
2024-09-11,43.14,43.42,40.82,41.66,151071.899,6375787.27413,19291,,
2024-09-12,41.67,44.56,41.6,44.26,108780.195,4678943.68014,14683,,
2024-09-13,44.26,44.95,43.26,44.81,129721.496,5709326.70124,17505,,
2024-09-14,44.82,45.26,43.7,44.72,63816.028,2841223.7363,10001,,
2024-09-15,44.71,44.86,42.33,42.76,71705.157,3150438.46066,14636,,
2024-09-16,42.76,43.78,41.94,42.61,82482.262,3523877.36741,14115,,
2024-09-17,42.57,43.88,42.03,42.56,100122.083,4314258.00102,14563,,
2024-09-18,42.57,43.96,41.12,43.94,64497.569,2717535.70883,11098,,
2024-09-19,43.94,45.22,43.91,44.14,49703.576,2207139.61209,12946,,
2024-09-20,44.25,45.79,43.68,45.16,50571.134,2274382.65857,12647,,
2024-09-21,45.17,46.93,44.5,46.86,39189.044,1802554.61663,11068,,
2024-09-22,46.86,47.18,45.33,47.17,34760.527,1606512.74194,9395,,
2024-09-23,47.19,49.74,46.44,48.93,73876.1,3569217.91213,18553,,
2024-09-24,48.9,52.0,48.57,49.76,70412.897,3517172.78539,17261,,
2024-09-25,49.78,50.46,48.62,48.91,69206.937,3439243.92207,15503,,
