date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.4625,0.4935,0.4503,0.4929,29731355.7,14120296.05379,72583,,
2024-05-25,0.4929,0.5157,0.4912,0.4969,21312730.2,10689802.22848,46552,,
2024-05-26,0.4968,0.4995,0.4785,0.4808,12425649.8,6069035.44139,32942,,
2024-05-27,0.481,0.5028,0.4752,0.4967,16323235.6,7959396.33537,45038,,
2024-05-28,0.4967,0.5066,0.4726,0.4904,25989687.3,12609335.18921,74418,,
2024-05-29,0.4904,0.5059,0.4807,0.4819,21678857.0,10699342.3364,62457,,
2024-05-30,0.4817,0.4877,0.463,0.4687,17413683.8,8255405.3534,55299,,
2024-05-31,0.4688,0.4757,0.4543,0.4622,17401067.9,8108676.92472,50797,,
2024-06-01,0.4624,0.4748,0.4598,0.4709,7050675.0,3294169.90786,23948,,
2024-06-02,0.471,0.4753,0.45,0.4533,11945568.7,5527381.95984,35597,,
2024-06-03,0.4534,0.4782,0.4468,0.4557,15811129.1,7370914.22089,47140,,
2024-06-04,0.4555,0.4765,0.4531,0.4646,18722740.8,8687416.45948,47328,,
2024-06-05,0.4646,0.4738,0.4584,0.4722,13508067.9,6287775.90626,35885,,
2024-06-06,0.4721,0.4739,0.455,0.4607,17900083.1,8321761.77752,41759,,
2024-06-07,0.4606,0.4653,0.3599,0.42,39694742.4,17000227.28396,98419,,
2024-06-08,0.42,0.4214,0.3955,0.4004,21093071.3,8558339.45274,52152,,
2024-06-09,0.4003,0.4246,0.3965,0.417,14204726.9,5790905.21319,35276,,
2024-06-10,0.4169,0.4231,0.3753,0.3827,52318630.6,20804946.18925,102549,,
2024-06-11,0.3828,0.3846,0.3485,0.3509,57013228.2,21019223.32979,104310,,
2024-06-12,0.351,0.3751,0.3464,0.3605,62632677.8,22640120.67373,104876,,
2024-06-13,0.3605,0.3605,0.219,0.2867,1280178756.2,341869617.6906105,1226461,,
2024-06-14,0.2868,0.2982,0.2653,0.2831,289406746.9,81758996.1124,308812,,
2024-06-15,0.2831,0.3293,0.2775,0.3123,238329454.2,72167026.00261,299985,,
2024-06-16,0.3123,0.3388,0.305,0.3292,200533575.6,63568737.8539,241759,,
2024-06-17,0.3292,0.3498,0.3006,0.3154,284312647.7,93360937.8345,400994,,
2024-06-18,0.3154,0.3369,0.2659,0.3345,262302779.1,79624060.90147,361702,,
2024-06-19,0.3344,0.3588,0.3218,0.3254,136124529.3,46509484.7394,223360,,
2024-06-20,0.3253,0.3502,0.3227,0.3444,132099031.7,44182171.66424,175918,,
2024-06-21,0.3443,0.367,0.3272,0.328,121724006.6,42033217.62702,193036,,
2024-06-22,0.3281,0.3457,0.325,0.3435,79008822.1,26510016.13269,112323,,
2024-06-23,0.3435,0.3483,0.3206,0.3343,67377138.3,22438560.1338,97344,,
2024-06-24,0.3343,0.347,0.3021,0.3268,122683653.8,40328667.82855,204115,,
2024-06-25,0.3267,0.3332,0.3147,0.3244,92571993.8,29882176.28658,149952,,
2024-06-26,0.3244,0.3255,0.2954,0.2977,107990430.2,33365135.76717,141411,,
2024-06-27,0.2978,0.301,0.2831,0.2914,125220381.7,36668249.90744,138196,,
2024-06-28,0.2914,0.2974,0.2748,0.2793,121248946.2,34945117.21898,153405,,
2024-06-29,0.2793,0.2858,0.2717,0.2757,93516185.1,26088573.88669,119136,,
2024-06-30,0.2758,0.2883,0.2723,0.2856,85940710.4,24191522.46479,103101,,
2024-07-01,0.2856,0.2937,0.2704,0.2829,98771134.1,27816842.60856,132826,,
2024-07-02,0.2829,0.2907,0.2768,0.2851,69581219.0,19795902.5583,85238,,
2024-07-03,0.2851,0.2854,0.266,0.2717,89346835.4,24739815.78369,105216,,
2024-07-04,0.2718,0.2753,0.2407,0.2425,131076043.5,34379419.19973,152178,,
2024-07-05,0.2425,0.2425,0.2173,0.2361,195151108.9,44989078.67874,224490,,
2024-07-06,0.2362,0.2657,0.2341,0.2651,59178926.3,14701168.48366,72483,,
2024-07-07,0.265,0.2689,0.2519,0.2546,72368489.4,18918758.87905,87639,,
2024-07-08,0.2546,0.2972,0.2465,0.2882,123526609.8,33880186.45103,183860,,
2024-07-09,0.2882,0.2934,0.2781,0.2842,55644949.9,15925128.45868,84704,,
2024-07-10,0.2841,0.2953,0.2783,0.2928,44336149.0,12658146.65116,71165,,
2024-07-11,0.2927,0.2973,0.267,0.2676,85373218.5,24026821.61404,109902,,
2024-07-12,0.2676,0.2819,0.2671,0.2811,47456713.4,13041600.12972,76798,,
2024-07-13,0.2812,0.2928,0.2774,0.2897,35800556.5,10151075.5532,48257,,
2024-07-14,0.2897,0.2924,0.2805,0.2859,36094281.6,10318392.27381,48587,,
2024-07-15,0.2858,0.3058,0.2834,0.305,51383537.9,15248103.77377,68120,,
2024-07-16,0.305,0.3051,0.2808,0.2879,79648103.6,23172143.99199,106585,,
2024-07-17,0.288,0.3,0.2817,0.283,45062979.7,13083648.20318,61582,,
2024-07-18,0.283,0.2918,0.2714,0.2777,38635148.5,10891670.34869,51638,,
2024-07-19,0.2776,0.2993,0.2693,0.298,42439596.6,11988631.61462,61985,,
2024-07-20,0.2977,0.2984,0.2915,0.2929,31379783.6,9262866.78914,39240,,
2024-07-21,0.2928,0.2932,0.273,0.2905,45397039.0,12949593.2401,66635,,
2024-07-22,0.2907,0.2933,0.2679,0.271,43906528.6,12278640.23964,61993,,
2024-07-23,0.271,0.2863,0.2636,0.2727,54296458.7,14934279.54321,82288,,
2024-07-24,0.2725,0.274,0.2574,0.26,37291291.6,9960439.88029,58026,,
2024-07-25,0.2601,0.2618,0.2438,0.2526,47826220.1,12105202.90062,70090,,
2024-07-26,0.2526,0.269,0.2519,0.2666,20003913.6,5232552.30955,31067,,
2024-07-27,0.2668,0.2716,0.2603,0.268,28642434.9,7609991.61518,38567,,
2024-07-28,0.2679,0.2706,0.2604,0.2635,24417919.8,6475595.18501,31980,,
2024-07-29,0.2635,0.269,0.2556,0.259,39068665.0,10208295.92847,49471,,
2024-07-30,0.2589,0.2796,0.2528,0.257,58248474.2,15538323.52332,82804,,
2024-07-31,0.2567,0.2718,0.2505,0.2608,63161143.8,16436297.34047,78383,,
2024-08-01,0.2609,0.2926,0.2539,0.2865,161743981.2,44642667.74031,215909,,
2024-08-02,0.2866,0.2906,0.2613,0.2905,124594987.9,34674172.9632,145418,,
2024-08-03,0.2904,0.2911,0.2461,0.2528,120895311.5,32821448.10349,145374,,
2024-08-04,0.2529,0.2612,0.2319,0.2448,117762004.5,29199892.74363,145270,,
2024-08-05,0.2448,0.2477,0.1801,0.2091,247336831.1,51083992.21063,287564,,
2024-08-06,0.209,0.24,0.2088,0.2288,97694577.2,22058062.03915,112862,,
2024-08-07,0.2289,0.2443,0.2242,0.2324,96703739.0,22713094.18256,118983,,
2024-08-08,0.2324,0.2573,0.2256,0.2558,104314243.4,25377772.86021,115479,,
