date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,30.39,32.6,28.97,30.58,259463.72,7932476.49688,49970,,
2024-05-25,30.58,30.95,30.12,30.57,39733.998,1213609.36105,12521,,
2024-05-26,30.57,30.62,29.64,29.81,44400.501,1335805.35253,13405,,
2024-05-27,29.8,31.01,29.76,30.78,56638.648,1728350.27199,15667,,
2024-05-28,30.8,30.85,29.87,30.07,68586.088,2077948.35264,15548,,
2024-05-29,30.08,30.46,29.75,29.86,53921.593,1623486.69023,15412,,
2024-05-30,29.86,30.33,29.13,29.95,60606.176,1806487.81683,17713,,
2024-05-31,29.95,30.4,29.67,30.21,47981.543,1440945.74732,11471,,
2024-06-01,30.22,30.39,29.9,30.01,34576.556,1043732.59171,8186,,
2024-06-02,30.0,30.17,29.33,29.34,56191.335,1674820.29737,13107,,
2024-06-03,29.34,29.97,29.17,29.56,81598.964,2416721.3252,17679,,
2024-06-04,29.56,30.11,29.22,29.97,82843.601,2460368.64935,18567,,
2024-06-05,29.97,30.57,29.9,30.31,83514.389,2529393.13042,20171,,
2024-06-06,30.33,30.48,29.69,30.18,48084.127,1450122.13204,10788,,
2024-06-07,30.16,30.45,26.0,27.97,114537.294,3276905.54775,30855,,
2024-06-08,27.93,28.17,26.34,26.47,100762.962,2733902.42539,29635,,
2024-06-09,26.47,26.88,25.8,26.87,79129.692,2082885.08316,18180,,
2024-06-10,26.85,26.95,25.89,26.22,78198.734,2066348.44231,19911,,
2024-06-11,26.22,26.39,24.68,25.56,90173.47,2298674.13497,19881,,
2024-06-12,25.56,26.96,24.97,26.56,94831.257,2499346.89444,21183,,
2024-06-13,26.59,26.67,25.81,25.95,54851.601,1438396.61179,14198,,
2024-06-14,25.96,26.65,25.0,25.96,70295.652,1813135.18078,15826,,
2024-06-15,25.97,26.17,25.71,26.04,42943.787,1114857.8331,9982,,
2024-06-16,26.05,26.46,25.48,25.81,52700.427,1363405.30103,15198,,
2024-06-17,25.82,25.94,24.13,24.95,75140.194,1879988.24795,15311,,
2024-06-18,24.94,24.99,21.67,23.11,172483.185,3944490.53825,38282,,
2024-06-19,23.1,23.8,22.81,23.71,66964.894,1568748.67317,14152,,
2024-06-20,23.7,24.37,23.28,23.57,108759.399,2595391.85361,25031,,
2024-06-21,23.57,24.19,22.4,23.73,107956.291,2561419.76485,19873,,
2024-06-22,23.74,24.35,23.54,24.11,48597.209,1162946.92814,10733,,
2024-06-23,24.11,24.5,23.37,23.49,37686.512,908360.8386,9527,,
2024-06-24,23.51,23.67,22.01,23.16,148035.448,3365106.02414,28964,,
