date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,20.3,20.79,19.67,20.18,49762.429,998938.17468,21529,,
2024-05-25,20.18,20.99,20.09,20.69,45436.82,938170.8244,17546,,
2024-05-26,20.68,21.68,20.4,21.34,48073.928,1003929.6285,23955,,
2024-05-27,21.34,21.88,20.81,21.25,69869.15,1490873.28319,33373,,
2024-05-28,21.23,21.29,19.97,20.58,72451.025,1480168.94912,28708,,
2024-05-29,20.58,21.05,20.27,20.3,36685.861,758259.70226,18088,,
2024-05-30,20.31,21.13,19.68,20.28,62441.773,1274277.89412,32313,,
2024-05-31,20.28,21.22,20.02,20.75,65296.475,1342757.8954,34359,,
2024-06-01,20.75,20.9,20.0,20.0,49960.342,1013040.42775,24082,,
2024-06-02,20.0,20.72,19.5,19.52,67252.146,1337785.88852,27308,,
2024-06-03,19.53,20.04,19.4,19.43,50410.503,995511.31225,22925,,
2024-06-04,19.43,20.4,19.12,20.35,65652.779,1295862.84544,25590,,
2024-06-05,20.35,21.57,20.33,21.07,77500.568,1621905.35798,38202,,
2024-06-06,21.06,21.99,20.94,21.77,62191.865,1328063.29935,27541,,
2024-06-07,21.77,21.97,18.79,19.6,84055.716,1715018.98145,33879,,
2024-06-08,19.58,20.52,18.77,18.95,48154.322,938461.80104,28389,,
2024-06-09,18.96,19.55,18.72,19.34,27452.203,525828.79242,17720,,
2024-06-10,19.32,19.45,18.52,18.52,41951.426,794782.36629,25643,,
2024-06-11,18.52,18.68,17.4,17.93,72154.179,1297883.80809,35540,,
2024-06-12,17.92,18.92,17.66,18.46,51647.776,950248.7745,26586,,
2024-06-13,18.47,18.65,17.76,18.09,42979.383,781848.04946,22604,,
2024-06-14,18.07,18.5,17.31,17.68,51205.663,919420.18012,26537,,
2024-06-15,17.65,18.38,17.57,18.04,62001.483,1123187.2248,33556,,
2024-06-16,18.04,18.22,17.66,17.93,50592.814,909602.2749,22649,,
2024-06-17,17.93,17.97,15.52,15.52,93138.446,1530927.12843,36395,,
2024-06-18,15.52,15.64,14.51,14.98,71119.843,1056829.78574,31504,,
2024-06-19,14.98,15.52,14.71,14.91,41258.488,622666.08601,22507,,
2024-06-20,14.91,16.29,14.82,15.47,62628.514,984880.77967,32585,,
