date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,12.198,12.415,11.962,12.268,79304.38,968182.01174,21937,,
2024-05-25,12.271,12.399,12.016,12.119,72407.85,883194.38056,17616,,
2024-05-26,12.125,12.295,11.939,12.196,36144.77,438359.93401,14225,,
2024-05-27,12.212,12.578,12.095,12.575,45554.01,563034.48464,27782,,
2024-05-28,12.575,12.768,12.076,12.632,80167.5,997790.33517,53734,,
2024-05-29,12.632,13.29,12.466,12.556,191791.16,2477870.45272,91183,,
2024-05-30,12.55,13.322,12.15,12.933,114592.32,1465011.25022,76818,,
2024-05-31,12.924,13.297,12.64,12.938,151334.29,1963399.02165,106829,,
2024-06-01,12.938,13.25,12.678,12.922,84545.13,1091756.85198,60129,,
2024-06-02,12.92,13.279,12.911,13.102,94116.15,1232021.56182,56027,,
2024-06-03,13.097,13.3,13.016,13.101,89750.5,1181899.46331,50722,,
2024-06-04,13.101,13.444,12.911,13.381,133710.52,1758207.64997,98132,,
2024-06-05,13.384,14.302,13.368,13.852,171402.01,2352881.81176,106671,,
2024-06-06,13.852,15.0,13.198,14.047,370382.7,5177710.95629,160941,,
2024-06-07,14.047,15.5,12.821,12.981,315124.12,4499570.87798,106855,,
2024-06-08,12.981,13.484,12.903,13.393,64524.52,848179.35106,28498,,
2024-06-09,13.39,13.751,13.041,13.103,67708.72,901080.04421,26004,,
2024-06-10,13.104,13.131,12.717,12.74,53687.36,694426.53303,20062,,
2024-06-11,12.736,12.749,12.041,12.231,61164.81,759467.63778,27692,,
2024-06-12,12.23,13.041,12.06,12.31,69231.24,876539.16825,32076,,
2024-06-13,12.319,12.453,11.727,11.967,82144.06,989639.34516,38890,,
2024-06-14,11.968,12.821,11.655,11.92,103160.14,1253474.36773,57799,,
2024-06-15,11.919,12.696,11.847,12.664,75918.73,940759.77188,63934,,
2024-06-16,12.668,12.822,12.336,12.578,72992.33,918862.4926,55542,,
2024-06-17,12.569,12.653,11.357,11.515,100201.58,1187257.63958,69868,,
2024-06-18,11.512,11.754,10.538,10.93,110237.96,1204983.23177,81358,,
2024-06-19,10.931,11.36,10.833,10.993,89134.93,989415.44676,60766,,
2024-06-20,10.995,11.565,10.912,11.164,69179.49,778565.82967,53203,,
2024-06-21,11.159,11.411,11.001,11.131,79483.82,891213.91905,63423,,
2024-06-22,11.132,11.265,10.961,11.116,60929.53,677269.34603,52131,,
2024-06-23,11.123,11.316,10.88,10.927,59478.52,660673.4447,47063,,
2024-06-24,10.926,11.154,10.503,11.143,96530.19,1046933.62053,69221,,
2024-06-25,11.135,11.304,10.893,10.976,89708.29,993240.01497,64933,,
2024-06-26,10.968,11.158,10.711,11.019,57335.33,628196.31055,34722,,
2024-06-27,11.014,11.605,10.765,11.46,73149.95,823921.40111,50194,,
2024-06-28,11.46,11.75,11.262,11.337,72217.6,832120.65177,57088,,
2024-06-29,11.345,11.6,11.052,11.114,55065.03,622979.02915,48832,,
2024-06-30,11.114,11.501,10.839,11.498,45887.76,510642.737,44212,,
2024-07-01,11.5,11.658,11.241,11.255,61651.48,707353.40018,52089,,
2024-07-02,11.254,11.343,10.595,10.633,100955.34,1107199.83566,54725,,
2024-07-03,10.637,10.694,9.84,9.951,48946.45,498546.41469,30993,,
2024-07-04,9.949,10.019,8.922,9.001,61027.15,578347.18989,31598,,
