date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,7.199,7.386,7.017,7.244,3827983.04,27592396.21948,85145,,
2024-05-25,7.244,7.438,7.22,7.425,2016462.27,14775929.55812,45069,,
2024-05-26,7.426,7.64,7.367,7.557,2927564.39,21981848.7452,71817,,
2024-05-27,7.556,7.775,7.38,7.64,3611626.96,27354095.59829,89866,,
2024-05-28,7.64,7.667,7.277,7.37,4935005.61,36637189.71365,111895,,
2024-05-29,7.371,7.562,7.145,7.178,4221424.57,31004140.44929,109760,,
2024-05-30,7.178,7.243,6.923,6.998,4211075.5,29768830.26286,121671,,
2024-05-31,6.997,7.054,6.803,6.984,2478066.66,17240959.21724,68972,,
2024-06-01,6.984,7.135,6.959,7.062,1506527.64,10641340.31329,38697,,
2024-06-02,7.061,7.125,6.917,6.988,1812466.32,12739228.39396,44577,,
2024-06-03,6.989,7.191,6.932,7.009,3867604.77,27501440.82946,70893,,
2024-06-04,7.009,7.236,6.941,7.177,2889356.19,20510170.59585,71252,,
2024-06-05,7.178,7.298,7.148,7.251,2836358.18,20489701.47158,66081,,
2024-06-06,7.25,7.288,7.056,7.144,2433999.18,17531588.67298,59115,,
2024-06-07,7.145,7.291,6.053,6.659,8416185.59,56571253.4467,206977,,
2024-06-08,6.659,6.683,6.338,6.384,3615115.34,23479748.53344,90111,,
2024-06-09,6.384,6.54,6.375,6.527,2659717.39,17204100.31419,61660,,
2024-06-10,6.527,6.582,6.357,6.506,2942181.04,19083975.95825,78223,,
2024-06-11,6.506,6.527,6.217,6.378,5420734.07,34467834.53315,123800,,
2024-06-12,6.378,6.931,6.276,6.738,7033186.82,46892490.86663,149956,,
2024-06-13,6.737,6.743,6.336,6.359,3581239.76,23256263.33168,88271,,
2024-06-14,6.36,6.488,6.0,6.163,5069082.95,31653591.82174,127400,,
2024-06-15,6.162,6.258,6.109,6.223,1928449.76,11946251.60148,38259,,
2024-06-16,6.223,6.428,6.149,6.396,3423193.06,21562302.4453,53738,,
2024-06-17,6.397,6.418,5.987,6.069,4149733.54,25729861.79515,91593,,
2024-06-18,6.069,6.089,5.46,5.771,10700166.19,61632237.35168,188498,,
2024-06-19,5.771,5.993,5.73,5.799,4114058.81,24212639.5225,71171,,
2024-06-20,5.798,5.972,5.6,5.642,3352117.74,19440549.48807,85229,,
2024-06-21,5.643,5.737,5.549,5.611,3503011.61,19780172.90643,75499,,
2024-06-22,5.612,5.805,5.541,5.751,2939866.91,16717617.25044,59425,,
2024-06-23,5.752,5.83,5.587,5.652,1702329.17,9742415.15508,43147,,
2024-06-24,5.651,5.74,5.389,5.729,5455119.88,30581475.85042,141446,,
2024-06-25,5.727,5.976,5.705,5.842,3888721.25,22723548.14992,89117,,
2024-06-26,5.841,5.949,5.757,5.799,2681962.98,15700662.86179,58929,,
2024-06-27,5.799,6.38,5.706,6.287,6316840.04,38592283.67132,129555,,
2024-06-28,6.286,6.442,6.159,6.19,3765151.4,23741233.80466,103182,,
