date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.866,0.92,0.832,0.851,135226999.73,117512676.86018,231659,,
2024-05-25,0.852,0.952,0.846,0.912,114799799.0,105205111.91967,208968,,
2024-05-26,0.913,0.972,0.902,0.921,100387365.29,93332440.28827,152485,,
2024-05-27,0.922,0.956,0.891,0.921,114109169.1,105317595.73034,153809,,
2024-05-28,0.921,0.927,0.859,0.894,102451734.41,91855359.98272,160389,,
2024-05-29,0.893,0.908,0.833,0.837,72541294.47,62679154.06097,114087,,
2024-05-30,0.837,0.902,0.813,0.871,85791604.41,73775178.67641,112713,,
2024-05-31,0.872,0.909,0.86,0.878,92433518.94,81602348.11619,147035,,
2024-06-01,0.879,0.939,0.873,0.91,64977485.6,58597504.53289,100271,,
2024-06-02,0.911,0.935,0.878,0.92,89909076.8,82094636.34696,137547,,
2024-06-03,0.921,1.042,0.903,1.027,164200177.78,159145000.38666,257428,,
2024-06-04,1.027,1.082,0.938,0.978,153339761.42,152358527.67698,251511,,
2024-06-05,0.977,0.996,0.934,0.979,80125886.43,77503576.37834,124131,,
2024-06-06,0.98,1.008,0.94,0.952,55735185.94,54309059.66519,92407,,
2024-06-07,0.952,0.966,0.791,0.885,105986196.39,95411912.92992,177360,,
2024-06-08,0.885,0.891,0.814,0.831,50922431.64,43213662.02297,86612,,
2024-06-09,0.831,0.84,0.81,0.831,36255430.56,29871352.06486,61950,,
2024-06-10,0.831,0.831,0.769,0.771,55026254.71,44050550.54971,84265,,
2024-06-11,0.771,0.775,0.7,0.71,131335008.6,95877556.9084,164097,,
2024-06-12,0.709,0.798,0.684,0.731,120048299.2,88443041.96264,167022,,
2024-06-13,0.731,0.731,0.677,0.697,58010353.49,40742758.60396,88658,,
2024-06-14,0.697,0.735,0.661,0.71,70085257.78,49251105.43481,109466,,
2024-06-15,0.71,0.75,0.695,0.748,42651849.64,31012958.58622,66051,,
2024-06-16,0.749,0.777,0.724,0.767,46731149.61,35165240.50239,67656,,
2024-06-17,0.767,0.773,0.666,0.676,99904403.41,70858541.38589,148600,,
2024-06-18,0.676,0.677,0.554,0.627,152859032.88,92436352.02691,186294,,
2024-06-19,0.628,0.687,0.621,0.635,88447505.74,57381524.15792,127154,,
2024-06-20,0.635,0.668,0.6,0.613,76684151.77,48528488.83431,103523,,
2024-06-21,0.613,0.626,0.594,0.6,44737012.38,27314466.08676,69561,,
2024-06-22,0.6,0.611,0.585,0.602,23263659.83,13874883.12493,32458,,
2024-06-23,0.602,0.612,0.558,0.568,31840381.87,18609698.73718,40258,,
2024-06-24,0.568,0.573,0.513,0.558,77554226.66,42613870.48695,89416,,
2024-06-25,0.558,0.59,0.547,0.573,45124554.87,25605644.61399,49571,,
2024-06-26,0.573,0.594,0.543,0.559,43156842.16,24585982.39392,53855,,
2024-06-27,0.56,0.593,0.542,0.56,40954993.24,23236672.90397,50443,,
2024-06-28,0.561,0.574,0.507,0.513,48117340.86,26171265.15235,56568,,
2024-06-29,0.513,0.529,0.487,0.489,28430113.54,14503505.86194,30631,,
2024-06-30,0.489,0.541,0.483,0.533,31269581.06,15850715.5911,31116,,
2024-07-01,0.533,0.556,0.503,0.505,44124517.61,23210904.51776,44366,,
2024-07-02,0.506,0.532,0.495,0.514,34397888.95,17436883.30697,33279,,
2024-07-03,0.514,0.517,0.453,0.461,54515779.71,25956136.33252,53610,,
2024-07-04,0.461,0.469,0.401,0.406,66471873.06,29275958.65602,69969,,
2024-07-05,0.407,0.407,0.343,0.379,109209897.09,40440094.21273,95811,,
2024-07-06,0.379,0.419,0.368,0.413,48048394.75,18618155.33061,40184,,
2024-07-07,0.413,0.426,0.375,0.377,55750640.14,22493109.16962,51671,,
2024-07-08,0.378,0.413,0.349,0.404,98779696.39,38242373.55589,89738,,
2024-07-09,0.404,0.425,0.396,0.423,49321127.92,20188654.37508,46463,,
2024-07-10,0.423,0.443,0.407,0.415,44678190.03,18836674.69199,41507,,
2024-07-11,0.416,0.434,0.39,0.394,49265888.75,20449655.57364,50354,,
2024-07-12,0.394,0.403,0.374,0.396,50212531.77,19591406.0328,52779,,
2024-07-13,0.397,0.407,0.387,0.4,35449544.61,14105997.03122,37315,,
2024-07-14,0.4,0.405,0.38,0.399,51918371.33,20510132.8328,49283,,
2024-07-15,0.4,0.496,0.397,0.481,129014640.51,56692800.76436,117001,,
2024-07-16,0.481,0.497,0.445,0.464,92673063.27,43269513.34481,106536,,
2024-07-17,0.464,0.487,0.452,0.457,88976685.51,41883724.69767,91852,,
2024-07-18,0.458,0.497,0.451,0.49,90619817.21,42747384.79279,97284,,
2024-07-19,0.49,0.514,0.457,0.487,60956825.27,29457902.33375,69093,,
2024-07-20,0.488,0.508,0.478,0.502,42507564.66,21107955.00557,51304,,
2024-07-21,0.502,0.502,0.455,0.491,44003362.78,21145208.29477,58745,,
2024-07-22,0.491,0.495,0.429,0.434,57800238.81,26502414.96275,64618,,
2024-07-23,0.434,0.458,0.414,0.457,113083659.1,49667639.49945,117418,,
2024-07-24,0.457,0.517,0.442,0.454,130993114.11,63133729.86187,146757,,
2024-07-25,0.455,0.455,0.413,0.428,79958090.95,34645593.02837,91718,,
