date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,24.01,26.1,22.22,23.49,2329835.82,55225294.4264,240154,,
2024-05-25,23.49,25.12,22.68,22.9,1359483.74,32429987.9127,111962,,
2024-05-26,22.9,28.0,22.86,25.77,2798522.5,72115462.4497,236554,,
2024-05-27,25.78,28.2,24.92,25.06,2318241.6,60721713.0784,192641,,
2024-05-28,25.06,28.5,23.93,25.96,3613972.93,95057582.1259,324690,,
2024-05-29,25.97,26.55,24.49,24.67,1043232.53,26630813.8252,94578,,
2024-05-30,24.66,26.12,24.3,25.57,1134437.32,28685053.165,102668,,
2024-05-31,25.57,26.64,24.65,25.82,1059714.67,27073555.8167,111205,,
2024-06-01,25.82,29.58,25.47,28.43,1860610.55,50822747.9554,185941,,
2024-06-02,28.42,29.77,25.96,26.43,1404722.05,38803101.1224,139257,,
2024-06-03,26.43,26.65,25.04,25.16,903543.15,23372920.6595,91224,,
2024-06-04,25.16,25.62,24.74,25.01,540057.01,13570284.7324,59529,,
2024-06-05,25.0,25.81,23.72,25.23,1024508.19,25455644.8006,103427,,
2024-06-06,25.24,25.8,23.8,24.03,826135.79,20426838.4024,76369,,
2024-06-07,24.03,24.85,20.0,21.81,1287226.15,29330818.5534,138705,,
2024-06-08,21.81,22.44,21.07,21.42,518491.03,11286981.6396,53287,,
2024-06-09,21.42,21.47,20.85,20.94,350988.12,7421328.7553,36475,,
2024-06-10,20.94,20.94,19.99,20.17,652048.55,13341892.6107,61180,,
2024-06-11,20.17,20.46,18.94,19.36,1075209.08,21221191.4346,102335,,
2024-06-12,19.35,21.64,18.74,20.8,980995.86,20184490.0198,104867,,
2024-06-13,20.8,21.1,19.35,19.67,937887.76,18789528.0405,92772,,
2024-06-14,19.68,22.31,19.49,21.61,2193836.35,45772384.2381,197292,,
2024-06-15,21.6,24.0,21.34,23.5,1714281.86,39026888.8801,173457,,
2024-06-16,23.51,24.68,22.56,24.35,1196530.56,28288064.8492,139679,,
2024-06-17,24.36,24.4,21.99,22.7,1865631.98,43278952.2682,191817,,
2024-06-18,22.7,25.5,20.05,25.24,3093980.19,70372651.7862,337645,,
2024-06-19,25.23,27.5,24.77,26.9,3241556.58,85869509.8549,339104,,
2024-06-20,26.91,27.87,24.8,26.04,2078827.42,54387344.8803,199471,,
