date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,32.42,33.93,31.01,31.59,1973374.87,63432159.0025,117164,,
2024-05-25,31.59,32.34,31.27,31.67,967554.16,30750665.6104,58961,,
2024-05-26,31.67,32.77,31.44,31.71,1094390.87,35011794.2601,61641,,
2024-05-27,31.7,32.72,31.57,31.91,1015772.79,32589987.3088,63972,,
2024-05-28,31.91,31.91,30.62,31.42,1163267.9,36371774.3185,79531,,
2024-05-29,31.42,31.66,30.14,30.43,976268.72,30048002.876,55974,,
2024-05-30,30.43,30.74,29.2,29.8,937944.25,28121452.3477,57327,,
2024-05-31,29.8,30.56,29.11,29.59,783199.31,23367924.0967,46448,,
2024-06-01,29.59,29.82,29.42,29.56,367904.12,10897526.3855,28723,,
2024-06-02,29.55,29.82,28.54,28.93,534445.86,15580372.9339,30604,,
2024-06-03,28.93,29.47,28.55,28.63,773997.01,22445925.1019,36421,,
2024-06-04,28.64,29.99,28.16,29.73,965092.71,27979493.7465,43357,,
2024-06-05,29.73,30.03,29.19,29.8,759057.04,22495469.6481,39480,,
2024-06-06,29.8,29.81,28.75,29.05,586328.94,17230548.3104,32387,,
2024-06-07,29.05,29.43,25.07,27.05,1718963.32,47454489.4042,114771,,
2024-06-08,27.04,27.19,26.36,26.84,962692.0,25873889.3477,67333,,
2024-06-09,26.84,27.08,26.73,26.97,365003.72,9831014.8855,27588,,
2024-06-10,26.97,27.1,26.33,26.62,511024.85,13662301.0831,49056,,
2024-06-11,26.63,26.63,25.01,25.67,1167796.92,30101373.6158,81152,,
2024-06-12,25.67,26.76,25.28,26.11,947459.36,24735731.5062,64757,,
2024-06-13,26.12,26.16,25.09,25.31,548140.43,14010696.1373,45731,,
2024-06-14,25.31,25.68,24.11,25.13,832204.16,20735809.5193,54558,,
2024-06-15,25.14,25.71,24.97,25.63,363459.16,9212832.5883,22260,,
2024-06-16,25.63,25.68,25.24,25.46,287940.99,7338337.6065,19790,,
2024-06-17,25.47,25.55,23.45,24.09,1030167.08,25069973.2387,56291,,
2024-06-18,24.08,24.13,21.16,23.05,2308466.45,52579567.8054,110585,,
2024-06-19,23.05,24.19,22.9,23.98,760919.59,18092173.8255,43912,,
2024-06-20,23.99,24.8,23.75,24.06,698008.03,16896374.9503,44075,,
2024-06-21,24.06,24.11,23.17,23.56,749019.59,17760067.8146,45952,,
2024-06-22,23.56,23.65,23.27,23.36,261624.8,6145834.9854,22098,,
2024-06-23,23.36,23.54,22.5,22.66,319753.73,7354423.8073,21715,,
2024-06-24,22.66,23.05,21.53,23.0,894650.52,20174608.2441,57213,,
2024-06-25,22.99,23.74,22.89,23.48,393003.74,9203276.8645,27559,,
2024-06-26,23.48,23.98,23.26,23.68,300860.22,7086033.4011,23579,,
2024-06-27,23.69,24.41,23.12,24.07,431475.36,10247155.9584,32158,,
2024-06-28,24.06,24.44,23.38,23.41,382407.8,9151028.169,27041,,
2024-06-29,23.41,23.75,23.09,23.14,187493.68,4389358.1182,15264,,
2024-06-30,23.15,23.88,22.69,23.69,272674.62,6333046.6873,20473,,
2024-07-01,23.69,24.09,23.16,23.24,427936.1,10107717.1556,35499,,
2024-07-02,23.22,23.46,22.95,23.29,237956.02,5521112.3166,15995,,
2024-07-03,23.3,23.34,22.25,22.54,399400.28,9047692.8811,25611,,
2024-07-04,22.55,22.63,20.63,20.77,790964.83,17070567.7782,56666,,
2024-07-05,20.78,20.85,18.17,20.22,2469049.3,47737746.5969,113595,,
2024-07-06,20.22,21.29,20.03,21.18,426454.38,8795532.6271,31319,,
2024-07-07,21.18,21.24,19.64,19.76,512111.32,10483300.7235,36429,,
2024-07-08,19.76,21.13,18.93,20.4,725837.75,14581474.1833,51817,,
2024-07-09,20.4,21.06,20.28,20.64,363104.47,7522818.9308,24729,,
2024-07-10,20.64,21.22,20.43,20.99,300398.96,6291437.0338,21885,,
2024-07-11,20.99,21.72,20.57,20.66,368264.71,7807280.0118,34733,,
2024-07-12,20.65,21.78,20.49,21.48,307962.13,6492790.2775,27680,,
2024-07-13,21.48,22.55,21.43,22.39,814682.06,17940291.892,46024,,
2024-07-14,22.38,22.73,22.15,22.58,417281.22,9324343.3012,28258,,
2024-07-15,22.57,23.97,22.51,23.88,380815.94,8819014.1968,39223,,
2024-07-16,23.89,23.99,22.74,23.59,565285.61,13262932.6224,52906,,
2024-07-17,23.59,23.89,22.88,22.96,602623.97,14170108.9923,53451,,
2024-07-18,22.97,23.49,22.51,23.01,399338.0,9217945.7941,46856,,
2024-07-19,23.01,23.69,22.51,23.61,362186.46,8383251.3396,37681,,
2024-07-20,23.6,24.22,23.37,23.92,414651.22,9859945.8773,32897,,
2024-07-21,23.92,24.35,22.81,24.16,425196.03,10048981.3573,36908,,
2024-07-22,24.16,24.31,22.98,23.43,429472.07,10106637.1301,34269,,
