date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,5.016,5.106,4.607,4.826,28964329.6,140471103.8454,443992,,
2024-05-25,4.827,5.349,4.714,4.909,20273524.7,102981667.4522,343297,,
2024-05-26,4.909,5.388,4.892,5.099,20900578.6,106675548.2327,317271,,
2024-05-27,5.1,5.4,4.901,4.961,21017158.0,107751431.1205,335675,,
2024-05-28,4.96,4.964,4.634,4.771,19205690.4,91736999.5459,330777,,
2024-05-29,4.77,4.867,4.501,4.608,12793552.4,59604161.8511,237216,,
2024-05-30,4.609,4.751,4.288,4.577,13972615.3,63649649.8211,233806,,
2024-05-31,4.577,4.9,4.541,4.713,13634299.0,64307788.7495,239287,,
2024-06-01,4.714,4.93,4.66,4.813,9761315.1,46693413.1227,156613,,
2024-06-02,4.813,4.9,4.506,4.537,10980793.8,51426950.1361,186545,,
2024-06-03,4.537,4.836,4.47,4.687,10886827.4,51075162.6877,176615,,
2024-06-04,4.687,4.852,4.542,4.723,8426255.7,39722980.2101,151517,,
2024-06-05,4.724,4.978,4.632,4.868,9102265.1,43637308.4016,150174,,
2024-06-06,4.867,4.983,4.739,4.831,7733879.9,37562381.339,122778,,
2024-06-07,4.831,4.868,3.735,4.242,14667899.1,64744689.6901,249982,,
2024-06-08,4.242,4.388,3.934,4.029,9354471.9,38738736.677,138862,,
2024-06-09,4.028,4.185,3.967,4.066,4807630.1,19578799.0471,78249,,
2024-06-10,4.068,4.068,3.833,3.871,5458075.1,21578830.8731,102461,,
2024-06-11,3.871,3.899,3.528,3.686,11938916.2,44292843.4559,175812,,
2024-06-12,3.685,4.21,3.542,3.936,14663831.8,57804727.929,209230,,
2024-06-13,3.935,4.001,3.6,3.726,11618138.9,43315242.2838,175097,,
2024-06-14,3.727,3.82,3.406,3.68,11897420.0,43358654.9331,165029,,
2024-06-15,3.681,4.067,3.666,4.043,11226771.6,43513907.9608,153195,,
2024-06-16,4.044,4.149,3.835,3.982,10686611.9,42692817.2939,158262,,
2024-06-17,3.984,4.013,3.389,3.488,21065961.3,76437979.8965,296053,,
2024-06-18,3.487,3.503,2.88,3.273,23916817.5,75721019.4919,297000,,
2024-06-19,3.272,3.531,3.22,3.389,20938878.8,71416901.8493,247738,,
2024-06-20,3.389,3.65,3.314,3.455,12980871.2,45291318.2052,157839,,
2024-06-21,3.456,3.55,3.309,3.442,12049282.4,41479200.862,142743,,
2024-06-22,3.444,3.46,3.35,3.366,4434620.9,15110827.3235,53113,,
2024-06-23,3.367,3.44,3.15,3.224,5546114.0,18413106.0001,69545,,
2024-06-24,3.223,3.3,2.96,3.277,14067732.4,44630765.8729,157892,,
2024-06-25,3.277,3.375,3.221,3.284,7293827.6,24044264.0246,83631,,
2024-06-26,3.284,3.346,3.116,3.216,6644287.6,21532448.7737,82186,,
2024-06-27,3.216,3.415,3.151,3.295,8555688.4,28161498.8536,89897,,
2024-06-28,3.295,3.388,3.12,3.138,8894051.4,29233653.0342,91804,,
2024-06-29,3.138,3.19,2.961,2.987,6303250.0,19477698.7005,64104,,
2024-06-30,2.986,3.116,2.903,3.084,6313279.8,18908256.2675,63662,,
2024-07-01,3.085,3.201,2.89,2.896,8308711.9,25418244.7673,92235,,
2024-07-02,2.896,2.899,2.663,2.693,15798762.5,43444183.9958,151555,,
2024-07-03,2.694,2.707,2.331,2.345,16585386.9,41123680.0074,165640,,
2024-07-04,2.346,2.379,2.043,2.073,12835282.7,28797764.9347,140456,,
2024-07-05,2.073,2.081,1.71,1.809,29522898.3,54781152.0272,274174,,
2024-07-06,1.809,2.039,1.774,2.001,18521155.9,34631461.1438,150183,,
2024-07-07,2.0,2.007,1.825,1.903,16523862.4,31592129.9549,142637,,
2024-07-08,1.902,2.448,1.842,2.091,44834286.3,95273889.1686,438684,,
2024-07-09,2.09,2.302,2.049,2.222,21891449.6,48194827.5804,216770,,
2024-07-10,2.222,2.383,2.141,2.234,13970406.8,31271486.8773,144312,,
2024-07-11,2.235,2.295,2.073,2.103,12601657.0,27777975.4505,134376,,
2024-07-12,2.104,2.139,1.984,2.079,11053573.0,22842524.2524,145480,,
2024-07-13,2.079,2.121,2.013,2.055,7292610.3,15098266.2587,86042,,
2024-07-14,2.054,2.164,2.042,2.132,8872701.7,18614722.649,87086,,
2024-07-15,2.132,2.398,2.109,2.366,20571505.6,46308518.3829,177640,,
2024-07-16,2.367,2.4,2.166,2.319,19265889.7,44007231.7164,180190,,
2024-07-17,2.318,2.495,2.303,2.422,22395426.2,53528818.193,217082,,
2024-07-18,2.422,2.602,2.216,2.301,36462949.4,85509015.2208,315207,,
2024-07-19,2.301,2.435,2.237,2.424,18151850.7,42323125.6409,143521,,
2024-07-20,2.424,2.499,2.355,2.436,13904189.2,33699531.0717,103682,,
2024-07-21,2.436,2.487,2.245,2.482,13597563.9,32528385.3854,99178,,
2024-07-22,2.483,2.62,2.387,2.451,23072651.8,57964523.8889,179394,,
2024-07-23,2.451,2.761,2.372,2.428,43003629.9,111026074.1467,329754,,
2024-07-24,2.427,2.457,2.171,2.179,20344127.9,47602436.8498,155693,,
2024-07-25,2.179,2.199,1.952,2.049,26890189.7,55483680.8572,173503,,
2024-07-26,2.049,2.215,2.038,2.194,12320825.0,26422527.9453,82551,,
2024-07-27,2.194,2.268,2.137,2.195,10990258.3,24121871.6904,84488,,
2024-07-28,2.195,2.217,2.086,2.13,7664268.8,16512905.6972,54174,,
2024-07-29,2.129,2.236,2.116,2.137,10757836.5,23463155.2439,81061,,
2024-07-30,2.137,2.207,2.018,2.067,8373214.6,17858001.8273,70182,,
2024-07-31,2.067,2.118,1.976,1.984,7927718.2,16318662.5733,64406,,
2024-08-01,1.984,2.015,1.75,1.913,15084029.2,28408898.1454,118445,,
2024-08-02,1.913,1.939,1.708,1.735,14578760.3,26555076.671,102295,,
2024-08-03,1.736,1.761,1.526,1.55,13370502.3,21986949.1236,86861,,
2024-08-04,1.55,1.6,1.35,1.371,18410143.4,26792833.6133,127443,,
2024-08-05,1.37,1.39,1.092,1.246,56076398.5,67895180.3925,352547,,
2024-08-06,1.246,1.434,1.244,1.386,13998059.5,19118917.1994,115237,,
2024-08-07,1.385,1.435,1.288,1.325,14175082.8,19411193.4443,112480,,
2024-08-08,1.326,1.587,1.295,1.574,13654592.8,19941400.0881,114087,,
2024-08-09,1.574,1.584,1.452,1.484,9258037.0,13967135.7028,88524,,
2024-08-10,1.485,1.52,1.454,1.473,6549580.3,9723258.8461,60120,,
2024-08-11,1.473,1.534,1.327,1.329,9673083.5,13897880.2594,82358,,
2024-08-12,1.329,1.539,1.329,1.514,14740335.1,21615435.5632,122141,,
2024-08-13,1.514,1.519,1.431,1.485,8618772.1,12696775.5802,89739,,
2024-08-14,1.485,1.536,1.408,1.491,12074474.1,17799128.3835,114407,,
2024-08-15,1.49,1.545,1.376,1.447,15543474.4,22628147.5781,141617,,
2024-08-16,1.447,1.477,1.335,1.365,9239992.9,12901707.6313,98879,,
2024-08-17,1.365,1.435,1.347,1.405,8537062.5,11831729.8735,88304,,
2024-08-18,1.404,1.447,1.37,1.384,10114455.1,14294208.8009,89561,,
2024-08-19,1.384,1.392,1.319,1.384,10832631.5,14704229.7614,92018,,
2024-08-20,1.384,1.455,1.35,1.409,9607772.4,13536850.709,78851,,
2024-08-21,1.409,1.474,1.36,1.452,9629673.2,13666942.9685,95682,,
2024-08-22,1.453,1.524,1.435,1.513,10978051.0,16372960.5895,121228,,
2024-08-23,1.512,1.671,1.492,1.642,17331807.5,27211654.0864,193025,,
2024-08-24,1.643,1.798,1.628,1.717,17833006.7,30363420.0606,172758,,
2024-08-25,1.718,1.721,1.593,1.664,11120241.8,18390211.3282,119581,,
2024-08-26,1.664,1.685,1.491,1.511,10312859.4,16352400.4388,126846,,
2024-08-27,1.51,1.541,1.345,1.373,11625741.4,16884883.9678,148979,,
2024-08-28,1.372,1.444,1.292,1.344,10298838.1,14090271.523,141700,,
2024-08-29,1.344,1.429,1.315,1.335,7667784.6,10548847.374,76617,,
2024-08-30,1.334,1.377,1.259,1.351,9733317.6,12910602.2499,78034,,
2024-08-31,1.35,1.359,1.29,1.314,3229254.9,4270840.8892,28937,,
2024-09-01,1.313,1.32,1.222,1.234,6259572.0,7999476.2683,67085,,
