date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,3783.6,3829.61,3626.1,3728.28,479418.4318,1782983862.212967,1159074,,
2024-05-25,3728.28,3779.43,3709.03,3749.26,158711.8992,594438275.805137,503711,,
2024-05-26,3749.25,3884.2,3731.17,3826.47,292208.2937,1115661431.007397,697286,,
2024-05-27,3826.47,3977.0,3823.37,3894.22,363717.6473,1424169372.465946,971964,,
2024-05-28,3894.21,3931.09,3773.9,3844.69,416249.8344,1605074794.248354,941338,,
2024-05-29,3844.69,3888.55,3742.59,3767.43,334759.6348,1274087642.072243,883401,,
2024-05-30,3767.44,3825.35,3702.58,3747.91,277034.2894,1042146006.39132,765716,,
2024-05-31,3747.9,3849.94,3723.75,3762.29,273406.766,1032174005.216676,680329,,
2024-06-01,3762.29,3833.3,3752.67,3815.82,132687.2006,503500622.837856,399377,,
2024-06-02,3815.82,3838.59,3752.62,3780.91,210295.4407,798100737.663757,579563,,
2024-06-03,3780.92,3849.99,3758.43,3767.06,248848.702,946239636.296371,648868,,
2024-06-04,3767.07,3831.65,3730.0,3810.23,232063.7468,878533930.59989,568514,,
2024-06-05,3810.23,3887.47,3777.33,3865.99,273738.6035,1046373693.422429,645836,,
2024-06-06,3866.0,3878.6,3760.0,3813.46,237504.1905,910751773.181592,525050,,
2024-06-07,3813.47,3841.39,3600.0,3678.32,362223.3594,1352307567.238349,894006,,
2024-06-08,3678.31,3709.5,3660.08,3681.57,140550.8394,518118534.039922,364485,,
2024-06-09,3681.58,3721.52,3666.36,3706.4,103451.102,381854484.95566,287960,,
2024-06-10,3706.4,3713.67,3642.74,3667.85,156363.1846,575211243.30527,391165,,
2024-06-11,3667.85,3673.0,3432.0,3497.33,439568.5978,1552225947.171155,1036229,,
2024-06-12,3497.33,3659.01,3462.07,3560.12,387043.774,1384558593.85822,850527,,
2024-06-13,3560.13,3561.65,3428.0,3469.4,300230.8299,1048214494.75108,696369,,
2024-06-14,3469.4,3532.61,3362.26,3481.8,322316.4214,1116570671.848945,746613,,
2024-06-15,3481.8,3594.39,3473.1,3568.74,246649.5894,873576137.27908,500773,,
2024-06-16,3568.75,3653.79,3541.05,3624.41,149839.982,537492821.643428,417858,,
2024-06-17,3624.41,3638.37,3463.39,3511.46,337805.6402,1196162530.919053,774085,,
2024-06-18,3511.47,3517.2,3355.0,3483.42,449913.3014,1541798882.411695,1062807,,
2024-06-19,3483.42,3590.01,3465.65,3560.51,321500.0027,1138419054.652927,712501,,
2024-06-20,3560.51,3625.96,3486.0,3513.08,329117.8453,1170597741.257869,743896,,
2024-06-21,3513.08,3547.55,3446.82,3518.5,342155.102,1197095546.233963,746361,,
2024-06-22,3518.5,3521.19,3475.09,3495.75,115774.6157,405045499.421582,315684,,
2024-06-23,3495.76,3521.45,3406.38,3420.91,133411.4304,463204539.05644,338679,,
2024-06-24,3420.91,3435.76,3240.0,3352.73,543370.4229,1807046957.965219,1222789,,
2024-06-25,3352.74,3430.88,3336.76,3394.91,240036.2236,812730026.8442,654302,,
2024-06-26,3394.91,3426.75,3325.01,3371.44,206949.3418,699375819.276128,518727,,
2024-06-27,3371.77,3477.0,3361.74,3450.44,201041.6609,687897292.145414,530697,,
2024-06-28,3450.44,3487.7,3365.22,3380.15,221634.3435,760116781.029508,934561,,
2024-06-29,3380.15,3408.32,3371.86,3378.8,88329.7651,299468173.245718,365755,,
2024-06-30,3378.8,3460.0,3352.66,3438.16,141221.6185,480491273.121482,557070,,
2024-07-01,3438.16,3524.94,3423.78,3442.2,224273.2122,780112100.208223,854102,,
2024-07-02,3442.2,3464.12,3402.0,3421.35,137932.7014,473853655.522322,623720,,
2024-07-03,3421.35,3432.1,3251.0,3295.48,310408.451,1031040642.948245,1378502,,
2024-07-04,3295.49,3313.45,3050.34,3059.7,450402.5692,1425360058.279399,1898898,,
2024-07-05,3059.7,3110.0,2810.0,2981.78,886994.3753,2602693094.463384,2967124,,
2024-07-06,2981.79,3081.78,2955.06,3066.83,214487.9713,646245038.475145,1055462,,
2024-07-07,3066.83,3073.08,2922.24,2931.0,179892.7612,538755029.459879,878707,,
2024-07-08,2930.99,3097.06,2822.8,3019.01,500445.0105,1484924133.828654,2222940,,
2024-07-09,3019.01,3115.2,3004.0,3066.65,280358.1424,859567747.663927,1377129,,
2024-07-10,3066.65,3151.51,3024.0,3101.05,270827.0844,839730659.372952,1296218,,
