date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.363,2.411,2.25,2.31,14449272.2,33471755.0592,93887,,
2024-05-25,2.308,2.364,2.279,2.295,9151890.7,21198815.2279,56162,,
2024-05-26,2.294,2.328,2.2,2.235,11156821.3,25182339.68013,66518,,
2024-05-27,2.236,2.336,2.221,2.303,15473093.5,35241853.7055,87766,,
2024-05-28,2.301,2.306,2.1772,2.235,16357746.7,36585757.47721,97525,,
2024-05-29,2.235,2.347,2.184,2.195,23484733.3,53131968.2749,118588,,
2024-05-30,2.194,2.295,2.1084,2.184,24137210.2,53475069.84065,128217,,
2024-05-31,2.185,2.21,2.066,2.138,16455689.1,35369319.76139,87812,,
2024-06-01,2.139,2.147,2.093,2.111,7856994.4,16601553.4358,46027,,
2024-06-02,2.11,2.138,2.042,2.085,9529048.7,19963982.04657,59891,,
2024-06-03,2.085,2.196,2.049,2.139,16772182.6,36037644.9071,100826,,
2024-06-04,2.138,2.174,2.079,2.125,13100272.6,27778123.4143,91126,,
2024-06-05,2.125,2.221,2.125,2.156,17965963.3,38895500.7511,114348,,
2024-06-06,2.156,2.17,2.013,2.044,14994804.3,31413234.19578,96593,,
2024-06-07,2.043,2.06,1.65,1.849,52672417.3,99421347.21424,299105,,
2024-06-08,1.85,1.866,1.7,1.745,22930493.0,40526008.9965,136020,,
2024-06-09,1.745,1.774,1.716,1.737,11838881.7,20634289.6537,75501,,
2024-06-10,1.738,1.75,1.6283,1.659,24125694.9,40819930.40386,150819,,
2024-06-11,1.659,1.719,1.505,1.537,41142782.9,66326009.8152,257802,,
2024-06-12,1.536,1.756,1.465,1.717,42462791.6,69934541.31445,261557,,
2024-06-13,1.716,1.73,1.562,1.588,19522282.3,31878309.1896,151463,,
2024-06-14,1.589,1.656,1.388,1.48,29745247.7,45572990.29954,222547,,
2024-06-15,1.479,1.508,1.451,1.459,12637417.6,18711228.8068,83287,,
2024-06-16,1.46,1.494,1.424,1.473,10239787.2,14920269.1571,75629,,
2024-06-17,1.473,1.491,1.223,1.319,53278336.1,70203447.32204,278920,,
2024-06-18,1.32,1.327,1.104,1.194,51723069.5,60973713.23573,267683,,
2024-06-19,1.194,1.515,1.175,1.505,67740145.4,92971298.0158,350614,,
2024-06-20,1.505,1.748,1.472,1.608,104603800.1,169369225.0577,582075,,
2024-06-21,1.607,1.633,1.527,1.589,40815523.7,64168463.9027,270626,,
2024-06-22,1.589,1.59,1.46,1.471,22588581.1,34283137.2636,165313,,
2024-06-23,1.472,1.526,1.396,1.401,23304431.5,34119281.8645,146707,,
