date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-09-29,0.05,0.58,0.05,0.28173,1132705825.6,425775755.590055,2483803,663861322.8881015,1183223670.652191
2025-09-30,0.28171,0.28494,0.15365,0.19166,945852491.4,195241957.644029,1217184,663861322.8881015,1183223670.652191
2025-10-01,0.19165,0.22572,0.1739,0.19931,434658282.7,86547618.342659,580542,452649658.57586676,806367242.5840166
2025-10-02,0.19937,0.21215,0.17607,0.18458,239318056.9,45758353.188017,322081,470326795.83348846,540409920.4330652
2025-10-03,0.1846,0.19737,0.17326,0.19203,176338462.4,32320345.223232,240963,430308852.3278544,204013951.629193
2025-10-04,0.19206,0.20247,0.17828,0.18124,116333877.4,21989190.808788,190809,449730716.88156956,200687467.09305465
2025-10-05,0.18128,0.1872,0.17629,0.18043,113694702.5,20586550.055719,198174,425557240.30048203,119967137.73686567
2025-10-06,0.18046,0.19175,0.17537,0.18737,133512593.1,24419467.975947,222276,422491161.0191508,211100430.99768752
2025-10-07,0.18736,0.192,0.15413,0.16102,163764980.6,29149136.758579,262793,438101770.05853385,263596638.54040897
2025-10-08,0.16103,0.1659,0.14818,0.16208,222619401.9,34525411.053014,491492,376860034.98869663,118040603.71060799
2025-10-09,0.16204,0.16211,0.14077,0.14305,329815928.0,48281591.316261,757743,378552604.31587356,161335667.7070037
2025-10-10,0.14307,0.1435,0.048,0.09218,749108179.3,89924251.286635,1317740,336425804.96913904,189500574.06425932
2025-10-11,0.09218,0.121,0.08727,0.11022,1989365053.4,228571841.357471,2150809,218769816.9553274,330094746.1760826
2025-10-12,0.11022,0.1362,0.1084,0.13058,8324626944.6,1048578100.813257,6310748,258893460.04067278,503781281.9420975
2025-10-13,0.13058,0.18605,0.12864,0.17399,23061131657.4,3583074196.949572,15780431,306955346.8265002,2003843026.3141475
2025-10-14,0.17399,0.18427,0.1419,0.15226,437798539.8,68891749.22251,1014509,408113355.08429575,5789964677.717723
2025-10-15,0.15225,0.15229,0.13718,0.14381,241222509.4,34529050.471063,544331,356967410.7738073,201668555.21612608
2025-10-16,0.14381,0.15165,0.13123,0.13446,246383748.4,34109044.009983,499052,337505691.3067338,111927221.45327996
2025-10-17,0.13447,0.1427,0.12075,0.12179,266251349.3,34343280.146592,466596,314139813.4060218,98581015.48930036
2025-10-18,0.12179,0.12735,0.1172,0.12409,161798347.0,19812852.648455,333175,285098687.9546572,103095283.6850906
2025-10-19,0.12409,0.13162,0.122,0.1234,176880395.5,22304096.497218,495037,290266499.7357084,64607892.40371842
2025-10-20,0.1234,0.14541,0.11751,0.14196,208596935.6,27828240.269415,701243,289039540.0888144,76325249.63479379
2025-10-21,0.14194,0.16586,0.13199,0.15973,320528154.6,48181428.222651,989532,333101791.50732106,107353265.72189416
2025-10-22,0.15973,0.16635,0.13708,0.13874,224694663.8,34290878.428988,842422,374718554.72464234,168366901.84353253
2025-10-23,0.13876,0.15794,0.13436,0.15473,140780972.6,20854848.925975,577901,324246671.223513,98143268.59920427
2025-10-24,0.15473,0.17185,0.15156,0.16949,168357925.2,27501170.772237,621762,360911400.4521493,67527548.23919454
2025-10-25,0.16949,0.17322,0.15917,0.16207,75459197.2,12430050.757422,337428,396729722.32787204,95395713.19496731
2025-10-26,0.16206,0.19857,0.15742,0.19241,217734679.1,38785706.409914,897773,378707410.4672547,38946418.01152209
2025-10-27,0.19241,0.2056,0.16497,0.16651,257087417.2,46483791.925796,978131,456046411.7324471,157657216.24440566
2025-10-28,0.1665,0.16689,0.13861,0.14336,194719236.8,29550876.41699,559356,389979773.3814901,127391401.58369485
2025-10-29,0.14336,0.15764,0.13765,0.15185,165937825.9,24196640.958787,496679,336550581.0862547,82493666.37838653
2025-10-30,0.15186,0.15387,0.11954,0.12113,184694712.4,24747390.324342,629442,355795919.8069426,74351989.02008756
2025-10-31,0.12113,0.13003,0.11755,0.12676,177121498.3,22163320.417781,531776,281095468.85262656,61107746.70673697
2025-11-01,0.12677,0.13539,0.12369,0.12576,92143284.3,11900128.853731,305613,297125163.7683271,66479916.785070635
2025-11-02,0.12577,0.12581,0.1171,0.12061,93666594.1,11369284.994375,307549,294656765.82977515,43934695.90597925
2025-11-03,0.12061,0.12496,0.10878,0.11726,171334999.5,20117324.454853,539857,282513764.894093,39533524.42899845
2025-11-04,0.11726,0.12183,0.10954,0.11981,175200613.9,20219788.277692,564172,273249001.01081276,62868652.23096633
2025-11-05,0.11982,0.1229,0.11297,0.12065,124854573.1,14751776.59191,379431,279142789.6858695,71417593.32791002
2025-11-06,0.12064,0.12065,0.10737,0.11034,115177600.9,13082300.834739,355262,282498143.9430136,56459381.84977789
2025-11-07,0.11035,0.12968,0.10975,0.12296,133137483.3,15801928.354048,438486,257196284.0566077,44631389.74164394
2025-11-08,0.12295,0.14132,0.12189,0.1323,169761683.4,22116378.536672,606149,287676312.3803205,56822740.62937771
2025-11-09,0.13234,0.133,0.12241,0.1319,63801213.4,8113698.830395,135610,309399454.58210874,81145005.23065497
2025-11-10,0.1319,0.14324,0.126,0.1412,136460635.3,18532318.689685,158917,308923141.55116445,41309413.0617754
2025-11-11,0.14119,0.14151,0.12562,0.12573,72207568.0,9661526.171282,199945,331557081.93307465,77373719.34218964
2025-11-12,0.12574,0.13432,0.12319,0.13043,73146349.8,9467749.859175,279366,295678013.9154075,47306891.58634112
2025-11-13,0.13043,0.14463,0.12303,0.13189,158537532.7,21484573.420268,499246,305379624.2847398,49707462.78582027
2025-11-14,0.13188,0.142,0.12166,0.13642,138623780.2,18259520.739793,393886,310548556.4123463,89151467.3069246
2025-11-15,0.13642,0.14377,0.12691,0.12987,82759614.1,11345436.597994,291365,318418351.3034166,77617764.27522434
2025-11-16,0.12987,0.135,0.11852,0.1282,87960964.0,11280738.946962,324304,305239572.33622396,44706310.34874018
2025-11-17,0.12821,0.13377,0.12367,0.12692,69537979.8,8934551.855176,285269,300911472.64223695,46566113.252899334
2025-11-18,0.12691,0.149,0.12324,0.14351,121407572.4,16946341.063677,349447,294812226.9854569,41804993.97374325
2025-11-19,0.14353,0.15082,0.13741,0.14494,59327895.1,8533514.097427,182450,337159853.9964065,76170453.63934322
2025-11-20,0.14487,0.14585,0.12941,0.1349,41891634.8,5765010.881624,134678,337816736.0451662,47362629.88978472
2025-11-21,0.13493,0.1405,0.11987,0.12703,100358278.6,12896891.400899,295034,315339256.8267271,38820130.104936905
2025-11-22,0.12704,0.13371,0.1223,0.12662,47703328.5,6073965.913413,152161,295970391.83946663,72994169.33294465
2025-11-23,0.12662,0.13488,0.12407,0.12772,35138565.1,4509185.805033,95595,297368410.65184045,38134614.99921473
2025-11-24,0.1277,0.13966,0.12302,0.13391,53220659.6,7024593.297694,149354,299100914.792572,31329622.70560441
2025-11-25,0.13396,0.13728,0.12744,0.13154,33390577.6,4394209.710073,86832,316816099.3743214,41777011.42945239
2025-11-26,0.13153,0.13599,0.12657,0.13387,44954864.3,5886602.125244,121403,309011991.371223,27857630.62808554
2025-11-27,0.13386,0.13963,0.13193,0.13268,37583045.9,5065168.994944,113049,312678039.47640365,37137628.10478253
2025-11-28,0.13265,0.13275,0.11449,0.1161,56366736.4,6963869.869191,127723,309693160.75780207,31031596.238231104
2025-11-29,0.1161,0.1268,0.11565,0.11614,43948814.0,5284625.12513,103810,271033169.4414005,39953795.82015151
2025-11-30,0.11614,0.12221,0.11355,0.1149,32796037.7,3858118.146204,71029,271599260.3600321,30423009.001242206
