date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,5.794,5.893,5.653,5.82,6059753.88,35063456.70011,76068,,
2024-05-25,5.819,6.046,5.809,6.006,3971770.54,23417723.71041,50960,,
2024-05-26,6.006,6.04,5.81,5.855,3703042.69,21914851.76701,51797,,
2024-05-27,5.854,6.245,5.84,6.116,5532546.43,33384455.68489,88556,,
2024-05-28,6.116,6.131,5.829,5.94,5801119.79,34413247.84681,87749,,
2024-05-29,5.94,6.049,5.755,5.787,5081259.69,30088710.13494,81150,,
2024-05-30,5.786,5.929,5.63,5.808,4641191.16,26885846.50861,74653,,
2024-05-31,5.808,5.853,5.636,5.734,3723881.05,21428539.6832,52518,,
2024-06-01,5.733,5.817,5.706,5.795,1722900.0,9943276.79607,26079,,
2024-06-02,5.796,5.922,5.692,5.807,3757665.02,21727980.45006,52139,,
2024-06-03,5.808,5.959,5.746,5.786,5565154.03,32624159.91248,70323,,
2024-06-04,5.786,6.05,5.711,5.959,5663688.14,33264322.36871,78514,,
2024-06-05,5.96,6.104,5.94,6.075,5226184.29,31452842.02686,80148,,
2024-06-06,6.076,6.094,5.841,5.957,4441854.16,26676768.42391,66022,,
2024-06-07,5.957,6.753,5.7,6.116,25835664.82,162707967.74277,407513,,
2024-06-08,6.116,6.47,5.98,6.055,14512600.72,90394783.33229,215701,,
2024-06-09,6.054,6.368,6.011,6.128,8379236.2,52077863.84502,113939,,
2024-06-10,6.125,6.152,5.692,5.793,9043115.43,53315123.37785,122579,,
2024-06-11,5.793,5.816,5.286,5.384,10751767.73,59678333.3688,138866,,
2024-06-12,5.385,5.75,5.214,5.654,10120178.99,56198483.53381,131859,,
2024-06-13,5.654,5.696,5.292,5.384,7048278.78,38475497.88218,88806,,
2024-06-14,5.385,5.471,4.946,5.093,7655137.4,39847260.17665,101115,,
2024-06-15,5.093,5.366,5.086,5.228,4495330.61,23518720.41762,60595,,
2024-06-16,5.232,5.295,5.127,5.24,2120887.97,11063481.49582,32030,,
2024-06-17,5.24,5.278,4.714,4.928,8795405.95,43978950.1436,117991,,
2024-06-18,4.928,4.943,4.1,4.353,18506384.08,81199408.51697,206494,,
2024-06-19,4.352,4.498,4.295,4.441,5593807.38,24768824.75983,57244,,
2024-06-20,4.441,4.621,4.317,4.409,4811405.96,21532720.98239,57928,,
2024-06-21,4.409,4.45,4.271,4.399,3933528.09,17227574.70729,54484,,
2024-06-22,4.401,4.445,4.344,4.378,1834991.6,8075910.21889,25592,,
2024-06-23,4.379,4.478,4.222,4.289,3378282.98,14705776.26869,38972,,
2024-06-24,4.288,4.415,4.009,4.397,10204185.87,43584967.59074,115933,,
2024-06-25,4.398,4.525,4.36,4.443,4575795.2,20323386.72043,55530,,
2024-06-26,4.443,4.499,4.321,4.395,3412631.44,15047403.98159,39161,,
2024-06-27,4.395,4.53,4.283,4.506,3327652.26,14696734.92558,46615,,
2024-06-28,4.505,4.582,4.38,4.383,3854857.43,17318619.48395,56285,,
2024-06-29,4.383,4.452,4.322,4.348,2091753.66,9203008.20158,40038,,
2024-06-30,4.349,4.502,4.3,4.48,2730208.14,12031070.20108,47078,,
2024-07-01,4.48,4.56,4.326,4.33,3960089.13,17676635.75819,59529,,
2024-07-02,4.33,4.462,4.306,4.418,2975194.63,13016617.83294,60099,,
2024-07-03,4.418,4.438,4.019,4.104,5409980.19,22812912.32231,82698,,
2024-07-04,4.104,4.135,3.765,3.781,6961212.56,27361902.6384,102543,,
2024-07-05,3.781,3.79,3.25,3.541,17363916.52,60150970.34509,222168,,
2024-07-06,3.544,4.019,3.5,3.977,6349062.14,23603609.3104,77565,,
2024-07-07,3.977,3.977,3.609,3.636,4202789.6,16023622.94135,68085,,
2024-07-08,3.636,3.943,3.451,3.818,8699336.78,32607671.5311,122540,,
2024-07-09,3.817,3.962,3.751,3.91,3585416.48,13851358.45276,58398,,
2024-07-10,3.91,3.995,3.834,3.972,3325446.04,13021338.12439,52109,,
2024-07-11,3.972,4.234,3.939,4.082,6903910.2,28366558.81669,118379,,
2024-07-12,4.081,4.147,3.955,4.125,4569453.85,18397915.2393,74622,,
2024-07-13,4.125,4.316,4.088,4.284,4239835.34,17893913.85604,69386,,
2024-07-14,4.284,4.35,4.185,4.274,3718983.8,15846898.57367,51365,,
2024-07-15,4.272,4.461,4.206,4.443,5965198.63,25706442.55211,91935,,
2024-07-16,4.444,4.624,4.236,4.535,6784867.39,30026996.21491,108574,,
2024-07-17,4.534,4.841,4.483,4.556,7783454.01,35916077.82652,122511,,
2024-07-18,4.557,4.657,4.307,4.387,4705662.6,21097345.61545,85815,,
2024-07-19,4.387,4.71,4.293,4.653,5361715.89,24043306.65187,91562,,
2024-07-20,4.653,4.784,4.572,4.711,4308875.56,20200593.42441,73566,,
2024-07-21,4.711,4.801,4.493,4.777,3905922.11,18232108.75075,64283,,
2024-07-22,4.777,4.822,4.481,4.509,4330053.77,20136909.5139,70633,,
2024-07-23,4.509,4.603,4.334,4.455,4056304.67,18148434.56741,71159,,
2024-07-24,4.455,4.55,4.211,4.269,3164956.38,13944520.36972,57444,,
2024-07-25,4.268,4.289,4.037,4.199,4789833.42,19917633.09718,74857,,
2024-07-26,4.199,4.712,4.186,4.642,8957206.26,40432934.69427,98878,,
2024-07-27,4.643,4.67,4.516,4.575,7078140.96,32635419.53917,82404,,
2024-07-28,4.574,4.645,4.396,4.446,3606257.32,16284022.12387,46152,,
2024-07-29,4.446,4.647,4.404,4.44,3996201.97,18134987.6325,68851,,
2024-07-30,4.44,4.535,4.235,4.333,2849127.33,12522579.09744,60674,,
2024-07-31,4.333,4.378,4.169,4.208,2967106.53,12733771.74409,60089,,
2024-08-01,4.207,4.299,3.876,4.164,6603780.9,27068399.53937,100510,,
2024-08-02,4.164,4.197,3.822,3.872,5631083.84,22540103.81771,80423,,
2024-08-03,3.871,3.955,3.593,3.688,4883304.58,18378687.40483,68225,,
2024-08-04,3.688,3.774,3.373,3.531,5950982.72,21205095.53206,73668,,
2024-08-05,3.53,3.567,2.866,3.237,28212562.71,88307581.16785,299125,,
2024-08-06,3.236,3.589,3.231,3.497,6882848.17,23762321.45531,77463,,
2024-08-07,3.497,3.565,3.317,3.353,5106106.24,17572658.34177,65927,,
2024-08-08,3.354,3.834,3.3,3.832,6528345.9,23591612.51258,96432,,
2024-08-09,3.831,3.86,3.693,3.766,3235673.77,12202578.21531,59600,,
2024-08-10,3.765,3.822,3.728,3.778,1663608.5,6279216.3824,34726,,
2024-08-11,3.779,3.85,3.449,3.49,3468317.03,12706373.20604,46189,,
2024-08-12,3.49,3.794,3.471,3.736,4387789.83,16028467.88382,46084,,
2024-08-13,3.734,3.773,3.592,3.706,3777476.2,13945485.19843,45144,,
2024-08-14,3.706,3.731,3.535,3.582,3574410.59,13015079.10103,35924,,
2024-08-15,3.583,3.678,3.43,3.503,4228015.15,15037536.51283,48476,,
2024-08-16,3.503,3.582,3.408,3.5,3354683.73,11752882.22306,37681,,
2024-08-17,3.5,3.585,3.485,3.569,1605235.75,5665245.72646,20969,,
2024-08-18,3.569,3.629,3.51,3.548,1892386.48,6768812.16795,21884,,
2024-08-19,3.547,3.636,3.529,3.624,2785552.14,9973736.51773,42648,,
2024-08-20,3.624,3.705,3.551,3.652,2987999.44,10888481.13753,32891,,
2024-08-21,3.651,3.838,3.607,3.796,4160107.25,15440397.53354,49372,,
2024-08-22,3.796,3.954,3.759,3.948,4428205.68,17168303.53306,50135,,
2024-08-23,3.948,4.292,3.943,4.225,5822929.48,24003359.10934,81313,,
2024-08-24,4.226,4.337,4.169,4.243,4814060.93,20463539.76521,58257,,
2024-08-25,4.243,4.263,4.056,4.159,4126753.89,17183263.58853,55230,,
2024-08-26,4.159,4.192,3.884,3.928,5240282.36,21181243.62793,65364,,
2024-08-27,3.928,4.049,3.65,3.72,5912778.71,22889314.23018,73936,,
2024-08-28,3.719,3.828,3.553,3.645,6127636.07,22588786.36715,63248,,
2024-08-29,3.645,3.8,3.591,3.644,2912399.67,10761429.32195,32542,,
2024-08-30,3.643,3.712,3.456,3.64,4042623.86,14523616.95309,39884,,
2024-08-31,3.64,3.671,3.533,3.57,1588285.18,5725851.58557,15883,,
2024-09-01,3.569,3.582,3.307,3.36,5782168.14,19973207.03865,47230,,
2024-09-02,3.36,3.524,3.314,3.491,5448557.67,18710385.70922,44486,,
2024-09-03,3.49,3.557,3.343,3.354,3325381.58,11441522.94629,34474,,
2024-09-04,3.355,3.469,3.166,3.393,6323011.97,21093870.51872,53080,,
2024-09-05,3.393,3.428,3.313,3.359,3030032.38,10200665.63705,35181,,
2024-09-06,3.358,3.417,3.144,3.274,7317276.93,24194281.27695,55036,,
2024-09-07,3.273,3.374,3.27,3.35,2324807.0,7747772.20407,19981,,
2024-09-08,3.349,3.443,3.319,3.408,2477317.34,8373715.79448,24317,,
2024-09-09,3.407,3.676,3.369,3.601,7303023.53,25636558.48347,58653,,
2024-09-10,3.601,3.693,3.54,3.658,3217967.07,11603778.25869,36816,,
2024-09-11,3.659,3.666,3.485,3.601,4767634.07,17041170.59284,48008,,
2024-09-12,3.6,3.683,3.577,3.657,3329963.52,12087828.07311,36836,,
2024-09-13,3.657,3.77,3.622,3.725,5025812.46,18543494.99578,42325,,
2024-09-14,3.726,3.745,3.637,3.66,2355993.52,8659395.36964,28314,,
2024-09-15,3.661,3.685,3.411,3.447,3535130.73,12595036.0849,44926,,
2024-09-16,3.449,3.479,3.36,3.414,3592284.89,12282657.09579,41286,,
2024-09-17,3.414,3.532,3.385,3.464,2881725.3,9980872.66035,34199,,
2024-09-18,3.464,3.619,3.364,3.615,4181543.54,14496569.96564,45264,,
2024-09-19,3.615,3.756,3.615,3.685,5471090.64,20168149.87678,54027,,
2024-09-20,3.686,3.84,3.653,3.778,4843947.27,18217413.91888,49594,,
