date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.0002264,0.00023087,0.00021206,0.00022027,367085883099.0,81539724.0127173,6902639,,
2024-05-25,0.00022028,0.00023391,0.0002185,0.00022563,352560995754.0,80300051.00252524,5077504,,
2024-05-26,0.00022562,0.0002323,0.00022161,0.0002257,307123057972.0,69600034.96588762,4971145,,
2024-05-27,0.00022573,0.00029,0.00022571,0.00027782,1314860156723.0,348852166.4628808,10937531,,
2024-05-28,0.00027784,0.00031456,0.00026001,0.00029466,1197731122997.0,348162554.6090838,11215246,,
2024-05-29,0.00029466,0.0003095,0.00026401,0.00026794,656692793832.0,187255029.86471075,8817812,,
2024-05-30,0.00026795,0.00028583,0.00024,0.00024817,752680867060.0,192442162.59914076,8892532,,
2024-05-31,0.00024816,0.00026861,0.0002436,0.00025486,573045321635.0,146044782.57727197,7965740,,
2024-06-01,0.00025485,0.0002632,0.0002506,0.0002525,293998591848.0,75630598.09163094,5174103,,
2024-06-02,0.00025249,0.00025769,0.00023411,0.00024382,333669612234.0,82015599.83137354,5897465,,
2024-06-03,0.00024382,0.00028624,0.00024093,0.00026809,868135072819.0,235401512.7945617,10115808,,
2024-06-04,0.00026808,0.000305,0.00025801,0.00029569,734429946388.0,205187522.81483942,9023288,,
2024-06-05,0.00029569,0.000349,0.00029238,0.00030944,1273549485053.0,413586502.52104354,11501132,,
2024-06-06,0.00030943,0.00032856,0.00030323,0.00032051,638165142037.0,201858250.1648048,8745784,,
2024-06-07,0.00032055,0.00032636,0.00025,0.00028253,700844286955.0,205200096.85982475,8314849,,
2024-06-08,0.00028252,0.00029386,0.00026586,0.00027953,473454933937.0,132902765.0478052,7559428,,
2024-06-09,0.00027954,0.0002868,0.00027226,0.00027956,346770216885.0,96844218.20727275,6608061,,
2024-06-10,0.00027952,0.00027956,0.00025777,0.00026478,394133358817.0,105912724.8964204,7400709,,
2024-06-11,0.00026476,0.00026642,0.00023146,0.00023648,555252634578.0,136219363.431728,9174583,,
2024-06-12,0.00023648,0.000253,0.00021402,0.00021978,889980905974.0,207597388.16183206,9323408,,
2024-06-13,0.00021977,0.00022335,0.00020168,0.00020598,490981509533.0,104737815.64449628,7819225,,
2024-06-14,0.00020599,0.00021682,0.00019081,0.00020022,471767280380.0,96342777.94576877,8199985,,
2024-06-15,0.0002002,0.0002089,0.00019776,0.00020256,240091256986.0,48885492.61993857,4969147,,
2024-06-16,0.00020262,0.00020856,0.00019564,0.00020693,220501420798.0,44853393.91765521,4340372,,
2024-06-17,0.00020692,0.00020725,0.00017485,0.00018195,497218127045.0,93737882.79168463,7639320,,
2024-06-18,0.00018195,0.00018311,0.00015847,0.00016813,628355801088.0,105047553.16155083,9696189,,
2024-06-19,0.00016816,0.00018059,0.00016513,0.00017143,471337896198.0,81522296.49170893,7455625,,
2024-06-20,0.00017139,0.00019188,0.00016906,0.00017554,590292269105.0,106564707.06820703,8176286,,
2024-06-21,0.0001755,0.00017605,0.00016478,0.00016992,426931604382.0,72883952.60292175,7330033,,
2024-06-22,0.00016993,0.00017311,0.00016564,0.00017016,202737461759.0,34359697.34627515,3399584,,
2024-06-23,0.00017018,0.0001748,0.00015762,0.00015878,249109250409.0,41725579.37243088,3793436,,
2024-06-24,0.00015875,0.00016942,0.0001469,0.00016782,536346179879.0,85063790.33007365,8721680,,
2024-06-25,0.00016782,0.00018151,0.0001674,0.00017792,463659523363.0,81023324.42312989,5503955,,
2024-06-26,0.00017793,0.00018509,0.00016603,0.00016801,344044348437.0,59918119.12059004,5031246,,
2024-06-27,0.00016802,0.00017732,0.0001654,0.00017413,280351093239.0,47992186.38052508,4887193,,
