date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,347.7,371.4,345.1,364.5,6042.96,2183028.5894,13709,,
2024-05-25,365.0,374.8,364.4,373.7,1363.947,504661.2545,4842,,
2024-05-26,373.9,375.4,360.6,361.2,3083.381,1137725.5695,7063,,
2024-05-27,361.6,366.0,353.4,355.6,2253.563,811639.8813,9128,,
2024-05-28,355.6,357.1,342.6,346.6,1804.374,633486.2976,7722,,
2024-05-29,347.0,351.5,337.1,338.3,2035.558,699360.1539,10621,,
2024-05-30,338.7,342.8,332.0,336.0,1983.606,669306.8394,11382,,
2024-05-31,335.9,347.5,333.4,339.3,2830.387,961408.1526,15928,,
2024-06-01,339.3,346.9,337.3,338.8,2262.142,773743.4729,14743,,
2024-06-02,339.1,344.4,335.2,338.6,2223.724,754814.0473,15111,,
2024-06-03,338.7,344.0,327.6,328.4,4189.835,1408080.8856,24033,,
2024-06-04,328.4,333.2,325.1,333.1,2824.467,929250.1003,13957,,
2024-06-05,333.2,343.1,329.7,341.1,3346.942,1121737.2945,16273,,
2024-06-06,341.4,351.0,334.7,344.2,3836.475,1309146.7257,21307,,
2024-06-07,344.2,356.9,326.5,329.3,5937.746,2026412.9274,36354,,
2024-06-08,329.3,332.6,321.2,323.9,3089.591,1009000.3926,19303,,
2024-06-09,323.7,327.8,321.5,326.1,1997.685,649283.0948,10719,,
2024-06-10,326.1,369.6,318.4,353.5,13558.766,4710637.999,51742,,
2024-06-11,353.5,358.3,333.1,336.2,10150.287,3509180.0777,48191,,
2024-06-12,336.4,349.8,331.6,335.4,4013.365,1360852.0574,20706,,
2024-06-13,335.5,335.5,298.9,315.2,2933.108,941554.115,11959,,
2024-06-14,315.5,322.7,309.0,319.4,3299.908,1040991.1699,13517,,
2024-06-15,319.3,329.8,316.8,327.0,1229.454,399692.9276,7312,,
2024-06-16,327.0,337.5,324.2,333.8,1157.729,381891.37,5860,,
2024-06-17,333.8,335.7,317.3,320.4,1999.773,648026.5981,9935,,
2024-06-18,320.1,321.0,296.1,316.9,5499.957,1695926.4765,15085,,
2024-06-19,316.8,333.0,314.6,328.3,2625.682,854091.9375,9000,,
2024-06-20,328.5,337.3,324.8,325.4,1383.296,456991.0708,6170,,
2024-06-21,325.0,330.0,317.3,320.9,2288.117,737867.8335,7777,,
2024-06-22,320.8,322.4,316.7,319.9,748.892,239563.6799,4540,,
2024-06-23,320.3,323.8,311.3,313.5,1275.966,405727.4692,5897,,
2024-06-24,313.7,315.7,281.9,294.5,5426.2,1599452.7928,16700,,
2024-06-25,294.9,297.7,286.2,286.2,2555.461,749203.6888,11093,,
2024-06-26,286.1,289.9,281.0,283.2,2020.868,576548.4479,10018,,
2024-06-27,283.2,300.5,279.5,297.5,3146.391,910227.4474,13844,,
2024-06-28,297.6,300.8,274.5,274.6,5231.371,1495801.2857,14319,,
2024-06-29,274.6,279.8,274.1,277.4,766.034,212432.2402,6687,,
2024-06-30,277.1,286.9,275.5,285.6,1016.876,285770.65,7953,,
2024-07-01,285.7,292.6,285.4,288.5,1016.261,293715.627,9702,,
2024-07-02,288.4,290.0,283.8,284.7,1168.355,335118.6797,11017,,
2024-07-03,285.0,286.5,271.3,273.0,1240.403,343604.2334,11019,,
2024-07-04,273.0,275.6,246.0,247.1,2934.803,763087.4445,16711,,
2024-07-05,247.1,248.6,214.8,239.9,5008.465,1166281.2227,23025,,
2024-07-06,239.8,252.1,238.0,251.6,1529.456,374254.9314,11475,,
2024-07-07,251.6,251.8,238.4,238.8,1466.237,359521.5012,11651,,
2024-07-08,238.8,255.5,232.8,254.2,2567.219,634242.7021,17220,,
2024-07-09,253.9,261.5,253.4,258.4,1798.062,463596.2866,15619,,
2024-07-10,258.4,264.7,255.1,262.0,1626.22,424215.56,12135,,
2024-07-11,262.0,270.9,259.0,261.5,1460.059,386701.9478,11909,,
2024-07-12,261.8,267.2,258.3,262.8,2281.429,598363.3875,15974,,
2024-07-13,262.4,265.2,259.0,263.6,1545.893,406167.7975,12690,,
2024-07-14,263.6,270.3,262.9,269.0,1448.029,386305.1417,11254,,
2024-07-15,268.9,281.7,266.7,280.4,4062.697,1120181.0411,20865,,
2024-07-16,280.4,281.6,268.8,270.0,3505.283,960501.9705,18575,,
2024-07-17,270.0,274.4,257.0,257.3,3940.474,1045648.4878,19152,,
2024-07-18,257.3,262.6,252.8,258.4,2424.678,627121.8979,14133,,
2024-07-19,258.3,266.0,254.1,265.4,1740.966,452694.6121,9864,,
2024-07-20,265.5,266.0,259.8,264.6,1552.978,407948.6897,8268,,
2024-07-21,264.6,266.0,256.5,264.7,2101.903,551889.681,8875,,
2024-07-22,264.7,267.9,244.3,244.6,3262.536,839268.7228,13321,,
2024-07-23,244.6,248.5,235.9,240.7,2929.548,711230.8891,12537,,
2024-07-24,240.5,241.9,228.1,230.6,2501.576,591094.2682,10498,,
2024-07-25,230.5,231.5,213.6,218.4,3226.413,709450.9046,15083,,
2024-07-26,218.5,225.8,213.7,214.9,5152.629,1137841.7761,16906,,
2024-07-27,215.0,220.3,211.1,213.2,3899.094,841500.281,13271,,
2024-07-28,213.2,218.6,210.5,216.5,2011.447,431801.9181,8460,,
2024-07-29,216.6,223.9,211.9,214.0,4899.066,1065749.6301,13444,,
2024-07-30,214.1,216.6,203.4,206.4,5203.392,1099321.2948,17772,,
2024-07-31,206.6,210.9,200.3,201.0,2425.419,498680.8257,10086,,
2024-08-01,201.2,201.9,150.0,190.2,8107.716,1581754.8403,22660,,
2024-08-02,190.5,194.3,180.0,180.8,5697.404,1065233.1181,12238,,
2024-08-03,180.8,191.8,178.6,180.4,4400.899,801653.7583,11421,,
2024-08-04,180.5,183.0,166.2,166.6,2692.751,470181.2821,8343,,
2024-08-05,166.6,177.6,117.1,151.4,20890.827,3057731.7853,36665,,
2024-08-06,151.5,179.8,150.2,152.7,6621.022,1038631.9564,13889,,
2024-08-07,152.7,157.6,143.7,144.6,6178.095,926535.9722,12353,,
2024-08-08,144.7,167.8,143.1,167.2,9381.535,1458338.0769,16273,,
2024-08-09,166.9,172.2,164.4,167.7,3467.152,584259.7931,10966,,
2024-08-10,167.7,171.3,166.1,168.9,3780.253,639294.9493,7477,,
2024-08-11,168.9,177.6,166.4,167.5,2690.859,462121.1607,9520,,
2024-08-12,167.4,183.8,165.6,181.6,6223.103,1088442.2727,17074,,
2024-08-13,181.6,182.7,172.7,179.6,2174.975,386499.5128,7071,,
2024-08-14,179.6,184.4,173.4,174.8,3418.745,608218.3229,8881,,
2024-08-15,175.0,175.8,164.7,166.5,2935.491,502793.6032,9197,,
2024-08-16,166.5,170.8,164.7,168.5,1814.01,304553.0441,8217,,
2024-08-17,168.6,170.4,166.4,169.4,1912.954,321791.0111,8096,,
2024-08-18,169.4,178.2,168.6,173.2,3052.725,532368.321,15066,,
2024-08-19,173.3,175.1,166.3,170.2,3852.727,655838.9353,17608,,
2024-08-20,170.1,174.8,164.5,166.1,4816.337,819144.7031,18238,,
2024-08-21,166.1,169.5,163.3,169.0,3321.645,553132.2074,12056,,
2024-08-22,169.0,169.7,165.0,165.7,2954.734,494372.8945,9216,,
2024-08-23,165.7,179.5,165.6,178.5,4572.144,780259.8767,13842,,
2024-08-24,178.6,183.4,176.1,180.8,2367.09,426040.3336,9247,,
2024-08-25,180.7,182.6,176.9,177.4,2223.008,398911.9722,8804,,
2024-08-26,177.6,178.2,168.4,168.4,2742.059,477752.16,10655,,
2024-08-27,168.6,170.5,152.3,155.3,4912.702,788626.2521,14684,,
2024-08-28,155.3,161.4,152.6,158.3,3894.802,612103.6061,12659,,
2024-08-29,158.0,162.5,157.1,158.8,2001.613,318963.4785,9642,,
2024-08-30,158.7,159.2,148.5,152.5,6511.487,1005974.29,20986,,
2024-08-31,152.6,154.1,149.4,150.5,4418.591,669958.7741,12685,,
2024-09-01,150.3,150.7,141.2,142.0,5386.501,785809.7676,15485,,
2024-09-02,142.0,150.4,141.6,149.2,3241.464,475927.8378,9097,,
2024-09-03,149.3,150.0,144.5,146.7,6181.087,910222.7875,17441,,
2024-09-04,146.7,156.7,140.6,153.5,11769.821,1773388.0444,22996,,
2024-09-05,153.5,154.8,146.0,146.7,3372.609,502287.5334,7928,,
2024-09-06,146.5,151.5,138.1,139.8,5202.546,754262.7045,8914,,
2024-09-07,139.9,145.0,139.3,142.5,1908.877,272290.7781,5488,,
2024-09-08,142.4,146.3,142.3,145.3,2334.889,336688.7165,7407,,
2024-09-09,145.3,152.3,145.2,151.5,3143.873,467636.9655,8618,,
2024-09-10,151.5,152.3,148.8,151.1,5604.885,843593.621,10348,,
2024-09-11,151.3,151.3,144.6,148.0,3581.482,527445.4876,6668,,
2024-09-12,148.0,150.3,147.2,150.0,3100.966,461628.7542,5642,,
2024-09-13,149.9,154.1,148.0,153.7,3320.723,501194.0935,6126,,
2024-09-14,153.7,154.5,152.8,154.3,1566.114,240497.9998,4300,,
2024-09-15,154.4,155.6,149.0,149.1,2379.509,364758.7747,6744,,
2024-09-16,149.1,149.4,144.9,145.7,2728.797,401248.4399,10809,,
2024-09-17,145.7,154.8,144.1,150.2,3307.947,494446.2054,6694,,
2024-09-18,150.2,150.7,144.5,150.2,4988.649,737887.8771,7688,,
2024-09-19,150.2,160.7,150.1,159.0,4354.89,679980.1316,8760,,
2024-09-20,159.0,166.0,157.5,165.7,3403.148,555765.3248,8755,,
2024-09-21,165.7,169.9,163.8,169.9,2156.25,358898.2498,6328,,
2024-09-22,169.9,170.4,163.9,166.3,2663.028,445130.8671,6872,,
2024-09-23,166.3,174.1,164.3,166.9,5847.32,987944.2483,10573,,
2024-09-24,166.9,168.3,164.0,167.5,3300.12,549340.8076,7657,,
2024-09-25,167.2,168.6,160.4,160.7,3977.027,655692.0448,7391,,
2024-09-26,160.7,164.9,159.0,161.5,4591.627,744574.4709,9344,,
2024-09-27,161.7,171.0,161.1,170.3,5626.306,938471.192,9626,,
2024-09-28,170.3,172.7,166.6,167.8,2827.291,479866.7612,6167,,
2024-09-29,167.8,171.7,165.7,167.8,2445.729,412706.1132,5991,,
2024-09-30,168.0,180.0,163.3,167.0,5482.966,932127.1793,12049,,
2024-10-01,167.2,169.7,155.3,157.3,3907.261,638072.1467,11758,,
2024-10-02,157.5,159.6,151.3,152.0,2872.955,446789.9769,10277,,
2024-10-03,152.0,154.9,147.5,149.7,4392.943,661925.2456,12194,,
2024-10-04,149.7,158.0,149.4,157.0,2581.866,396953.6103,8028,,
2024-10-05,157.0,159.5,155.8,158.6,1368.222,215998.2502,6483,,
2024-10-06,158.5,163.3,158.0,162.2,2148.723,346812.0769,9058,,
2024-10-07,162.2,167.9,162.1,166.8,2997.384,495284.4614,10999,,
2024-10-08,166.8,172.1,163.3,166.5,4273.49,713254.7139,14561,,
2024-10-09,166.7,169.9,163.6,163.6,2927.231,488044.5887,8787,,
2024-10-10,163.6,168.0,161.7,164.5,2309.155,379740.3138,6579,,
2024-10-11,164.5,172.6,163.9,171.6,1856.991,311835.3705,5713,,
2024-10-12,171.7,174.3,170.2,173.6,1816.04,313037.2421,7240,,
2024-10-13,173.8,175.3,170.2,174.8,2140.62,370361.9317,7343,,
2024-10-14,174.8,187.7,173.3,186.4,3657.638,660203.7552,10933,,
2024-10-15,186.4,188.3,175.9,179.7,6608.547,1198574.8586,14617,,
2024-10-16,179.7,187.5,178.1,183.2,6883.751,1267105.1167,15771,,
2024-10-17,183.2,185.8,179.6,182.3,2148.909,392168.1233,6820,,
2024-10-18,182.3,187.5,181.9,187.3,1577.268,292509.5616,4714,,
2024-10-19,187.3,187.5,184.6,187.3,1104.237,206168.1753,4206,,
2024-10-20,187.3,193.7,185.8,193.6,2057.239,389534.6264,6017,,
2024-10-21,193.5,194.4,185.7,188.3,1743.687,331994.4067,6537,,
2024-10-22,188.3,195.3,185.5,194.4,2327.112,441228.0149,7155,,
2024-10-23,194.4,198.8,187.8,191.8,3799.545,737600.4094,11621,,
2024-10-24,191.9,222.1,190.8,208.0,22479.372,4771655.1826,39246,,
2024-10-25,207.9,255.0,205.6,225.6,27806.533,6363253.6618,63353,,
2024-10-26,225.8,244.9,224.8,231.3,12657.229,2962516.0651,24050,,
2024-10-27,231.2,233.3,221.7,225.8,7149.264,1617207.9929,11439,,
2024-10-28,225.8,226.2,208.1,212.1,8317.482,1810863.4058,12150,,
2024-10-29,212.2,216.9,211.1,213.6,6366.746,1361923.6043,10130,,
2024-10-30,213.7,216.7,205.9,208.4,6056.501,1284589.9136,10348,,
2024-10-31,208.5,208.6,194.9,198.2,5700.919,1162147.2362,9474,,
2024-11-01,198.0,206.7,196.2,204.1,1740.954,349852.1199,5652,,
2024-11-02,204.0,206.3,200.5,204.9,2296.552,467362.1762,5287,,
2024-11-03,205.0,208.2,201.0,207.7,2937.887,602245.4988,6881,,
2024-11-04,207.8,210.5,203.1,205.6,2128.207,441198.2546,4603,,
2024-11-05,205.7,207.8,203.5,206.7,2423.696,501259.1474,3964,,
2024-11-06,206.7,254.0,206.6,242.9,14579.457,3375645.71,24555,,
2024-11-07,242.9,262.4,239.6,255.0,5917.653,1500852.1233,16010,,
2024-11-08,255.2,262.2,252.6,256.0,2134.914,550662.445,8071,,
2024-11-09,256.1,274.8,255.9,273.9,2429.732,645128.4901,9446,,
2024-11-10,273.6,281.9,258.8,265.0,4422.166,1201944.3544,17934,,
2024-11-11,265.2,271.3,253.5,270.6,5477.381,1438525.2298,19690,,
2024-11-12,270.5,275.1,254.7,259.1,3394.671,896556.1404,17405,,
2024-11-13,259.1,261.1,246.2,253.3,3794.518,967040.1764,19231,,
2024-11-14,253.3,259.9,243.3,245.6,2639.611,667156.6233,13726,,
2024-11-15,245.5,250.4,238.1,249.6,2520.796,616832.5332,13563,,
2024-11-16,249.8,261.7,248.2,260.0,1546.068,394712.7412,9324,,
2024-11-17,259.9,261.6,250.2,253.7,2652.799,679343.3459,16265,,
2024-11-18,253.4,267.6,250.3,266.8,3641.238,941533.1168,21065,,
2024-11-19,266.8,270.0,254.3,258.3,3160.583,834417.857,15989,,
2024-11-20,258.1,260.4,244.2,249.0,3419.199,866102.1566,16494,,
2024-11-21,249.0,268.4,246.7,267.2,3359.707,870168.02,18614,,
2024-11-22,267.4,271.0,257.7,264.6,2420.678,639305.1767,14155,,
2024-11-23,264.6,280.0,263.6,273.3,3678.655,1000994.3604,21282,,
2024-11-24,273.4,278.6,261.4,270.5,3086.974,832509.0753,23698,,
2024-11-25,270.5,281.0,264.2,266.6,4519.785,1236785.874,27984,,
2024-11-26,266.7,273.1,251.7,261.7,3900.784,1014854.8092,25192,,
2024-11-27,261.6,277.8,258.2,272.5,3699.856,994945.5738,22684,,
2024-11-28,272.5,272.5,263.2,267.4,2568.105,685713.4557,16735,,
2024-11-29,267.5,270.7,264.2,269.8,2416.025,645178.0804,12429,,
2024-11-30,269.5,279.0,267.0,278.2,1907.329,524476.9311,13276,,
2024-12-01,278.4,285.7,273.8,281.1,2960.01,829304.3195,15601,,
2024-12-02,281.1,283.1,264.0,273.1,4055.526,1100458.2351,21408,,
2024-12-03,272.8,277.1,259.2,275.6,5915.94,1598871.9574,27183,,
2024-12-04,275.6,288.2,273.5,284.2,5875.084,1647757.4393,27056,,
2024-12-05,284.4,291.9,277.1,281.4,6301.497,1806214.365,27228,,
2024-12-06,281.4,300.9,280.2,295.8,4747.3,1382201.5149,23366,,
2024-12-07,295.9,301.3,293.8,296.9,2972.357,884012.0335,16181,,
2024-12-08,297.0,301.5,292.1,300.5,2864.467,849739.6881,19073,,
2024-12-09,300.6,307.0,257.2,268.2,6127.282,1712085.1102,26823,,
2024-12-10,268.2,273.6,250.0,258.9,7271.861,1914841.0067,33454,,
2024-12-11,258.9,277.9,254.9,276.0,3273.334,869748.8953,17012,,
2024-12-12,276.4,295.9,274.1,287.0,3827.111,1096882.9498,22195,,
2024-12-13,287.2,294.1,284.0,291.7,2967.088,860945.7922,17804,,
2024-12-14,291.6,294.3,279.1,283.0,2071.299,594537.0732,13202,,
2024-12-15,283.0,307.5,272.1,300.5,5676.108,1660065.6461,27959,,
2024-12-16,300.6,307.2,290.5,295.3,5726.51,1707778.4693,24999,,
2024-12-17,295.1,298.8,281.6,284.2,3640.145,1064616.4624,18339,,
2024-12-18,284.2,285.5,260.3,260.8,4668.666,1296806.4142,19195,,
2024-12-19,260.6,269.6,243.7,249.2,5099.586,1309628.0509,22098,,
2024-12-20,249.3,273.1,231.9,272.2,7751.963,1960569.9384,27309,,
2024-12-21,272.4,280.6,259.9,262.4,6928.116,1860129.4411,23620,,
2024-12-22,262.4,270.2,255.0,258.1,2943.196,776815.3445,16332,,
2024-12-23,258.1,271.6,254.0,269.3,2680.911,701058.8538,15467,,
2024-12-24,269.1,281.9,264.0,281.2,2616.968,714235.5154,15832,,
2024-12-25,281.2,293.7,280.9,287.0,2509.34,718609.1264,16289,,
2024-12-26,287.0,289.8,275.4,276.9,2211.293,622793.3585,11880,,
2024-12-27,276.9,284.6,273.1,275.9,2659.87,740880.8308,13443,,
2024-12-28,275.9,285.7,272.6,282.8,2324.071,646474.2673,11860,,
2024-12-29,282.8,285.9,273.2,275.1,3166.53,885898.8543,13528,,
2024-12-30,275.1,281.9,270.4,272.7,4034.495,1114920.7464,16148,,
2024-12-31,272.9,276.4,264.9,266.1,2941.378,797884.23,12546,,
2025-01-01,266.5,275.9,265.3,273.2,3550.766,961074.9625,12806,,
2025-01-02,273.2,287.7,272.7,281.2,4210.925,1188016.1991,16055,,
2025-01-03,281.3,287.5,274.0,286.0,2171.15,610912.4674,9913,,
2025-01-04,286.0,289.0,279.6,287.4,2890.939,824676.8836,10954,,
2025-01-05,287.2,289.6,283.7,287.7,1410.101,403813.9787,7272,,
2025-01-06,287.4,290.2,280.5,284.4,3629.672,1032879.2641,12442,,
2025-01-07,284.2,284.9,261.4,261.6,2273.011,626121.1653,10354,,
2025-01-08,261.4,264.6,248.1,254.0,2836.894,727120.849,13682,,
2025-01-09,254.0,257.4,243.6,246.6,3355.668,843707.5924,13178,,
2025-01-10,246.6,255.3,243.2,248.3,1958.025,487997.3243,11406,,
2025-01-11,248.3,251.2,246.0,248.4,1001.069,248081.756,8151,,
2025-01-12,248.6,250.7,245.3,246.5,1059.733,262415.0143,8601,,
2025-01-13,246.3,251.7,225.3,236.4,2472.172,582043.3795,14607,,
2025-01-14,236.5,247.7,235.7,245.7,1933.945,469239.3308,11537,,
2025-01-15,245.7,257.5,241.2,255.9,3239.666,805720.2904,15063,,
2025-01-16,255.7,256.0,244.4,245.7,1632.689,406880.5324,11268,,
2025-01-17,245.7,260.3,245.6,253.9,3026.17,765984.7562,11685,,
2025-01-18,254.0,255.2,235.6,238.6,3181.553,774663.9241,15000,,
2025-01-19,238.8,249.5,226.3,232.5,6884.105,1632045.2815,25069,,
2025-01-20,232.8,246.3,225.1,232.1,4979.19,1174299.3073,23894,,
2025-01-21,232.0,239.0,226.6,235.9,2190.766,508736.6581,13640,,
2025-01-22,235.8,238.6,227.3,227.4,2797.375,652799.6551,13087,,
2025-01-23,227.4,233.3,222.3,229.9,2580.643,585029.8732,12463,,
2025-01-24,229.9,236.5,225.6,225.7,2223.503,513765.5904,11168,,
2025-01-25,225.8,229.0,223.7,226.3,1407.971,318274.4229,7788,,
2025-01-26,226.2,231.1,221.6,221.7,2030.873,462967.5303,10433,,
2025-01-27,221.9,222.0,206.1,214.3,3452.911,734415.535,14916,,
2025-01-28,214.5,217.6,202.1,203.9,2836.054,599253.4469,12074,,
2025-01-29,203.9,211.8,202.0,207.3,1860.404,386137.0818,9897,,
2025-01-30,207.3,222.1,205.7,214.5,1954.918,417005.7203,9228,,
2025-01-31,214.4,225.6,211.6,219.1,2407.44,527431.8562,10929,,
2025-02-01,219.0,220.5,202.1,203.4,2009.909,427132.905,10117,,
2025-02-02,203.3,207.1,182.2,188.5,3942.369,772140.1886,18357,,
2025-02-03,188.7,188.7,152.5,186.7,7131.941,1234791.6026,27998,,
2025-02-04,186.5,187.3,173.6,179.3,4624.938,829074.3231,16691,,
2025-02-05,179.2,182.8,176.3,179.4,3773.025,677989.1001,12262,,
2025-02-06,179.6,185.2,173.0,173.9,2880.559,517072.5408,12779,,
2025-02-07,173.8,181.4,166.9,170.6,3031.433,530676.9397,11365,,
2025-02-08,170.6,175.5,170.4,174.8,2444.322,422000.6455,10383,,
2025-02-09,174.8,178.8,170.0,175.4,2143.721,376155.9911,8162,,
2025-02-10,175.3,178.4,170.9,175.7,2003.326,351834.4536,7843,,
2025-02-11,175.7,180.7,172.5,174.4,2623.891,464249.2491,11161,,
2025-02-12,174.4,180.6,169.9,179.1,3415.109,600731.598,13637,,
2025-02-13,179.1,179.8,171.0,174.4,2024.296,352999.962,8422,,
2025-02-14,174.4,178.3,171.7,176.2,2393.687,419651.3198,9339,,
2025-02-15,176.3,176.9,171.1,172.0,1581.914,275552.9389,6254,,
2025-02-16,172.0,174.3,169.5,169.8,1444.619,248205.0409,6716,,
2025-02-17,169.8,176.7,168.5,172.6,2599.771,448372.5007,10615,,
2025-02-18,172.6,173.5,164.4,167.4,2879.706,485402.3577,9725,,
2025-02-19,167.4,286.9,166.2,180.3,98538.718,19480401.6872,154748,,
2025-02-20,180.3,185.4,176.5,180.1,12245.421,2223856.4866,18562,,
2025-02-21,180.0,187.0,170.2,172.0,9799.78,1749119.7483,15877,,
2025-02-22,172.0,182.0,171.4,179.8,3613.118,638902.355,7796,,
