date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.3285,0.3332,0.3166,0.325,34781319.0,11270958.6033,55736,,
2024-05-25,0.3251,0.3284,0.3213,0.3273,25257492.0,8204491.0819,45567,,
2024-05-26,0.3273,0.33,0.3144,0.3171,33624588.0,10828352.9084,49911,,
2024-05-27,0.3172,0.3323,0.3132,0.3255,48604843.0,15639670.3649,72356,,
2024-05-28,0.3256,0.326,0.3086,0.3141,54694794.0,17161628.4707,81031,,
2024-05-29,0.3141,0.3242,0.3093,0.3098,53991844.0,17071335.296,71160,,
2024-05-30,0.3099,0.3158,0.2993,0.3035,39491695.0,12116899.1512,59522,,
2024-05-31,0.3035,0.3064,0.2924,0.2982,34143869.0,10225361.7927,51695,,
2024-06-01,0.2981,0.304,0.2962,0.2994,20212946.0,6055917.8518,26760,,
2024-06-02,0.2994,0.3029,0.2903,0.2933,26405881.0,7846570.2848,38330,,
2024-06-03,0.2931,0.3036,0.2886,0.2937,35044015.0,10455272.4185,53526,,
2024-06-04,0.2936,0.3024,0.2901,0.2997,38442989.0,11450359.2093,52593,,
2024-06-05,0.2997,0.3053,0.2979,0.3044,38055675.0,11461280.158,52145,,
2024-06-06,0.3045,0.3049,0.2898,0.2938,30351751.0,9019514.9948,43305,,
2024-06-07,0.2937,0.2974,0.2423,0.2724,74171148.0,20441219.0971,109198,,
2024-06-08,0.2724,0.2733,0.2588,0.2665,40474879.0,10730359.8179,55274,,
2024-06-09,0.2665,0.2691,0.2621,0.2685,25022843.0,6659907.6411,33997,,
2024-06-10,0.2684,0.2686,0.2561,0.2595,31805609.0,8327306.551,50488,,
2024-06-11,0.2595,0.2606,0.2395,0.2438,64763430.0,16111770.4736,93701,,
2024-06-12,0.2438,0.2726,0.2375,0.2626,70291828.0,18213906.7872,98982,,
2024-06-13,0.2625,0.2645,0.2419,0.2433,42852344.0,10716781.5156,65814,,
2024-06-14,0.2433,0.2508,0.228,0.2362,57557221.0,13841817.1919,82997,,
2024-06-15,0.2362,0.2415,0.2349,0.2379,16878687.0,4031226.3164,25327,,
2024-06-16,0.2379,0.2396,0.2329,0.2355,21127542.0,4980240.6837,28138,,
2024-06-17,0.2355,0.2378,0.2088,0.2139,53554106.0,11771975.5215,75824,,
2024-06-18,0.214,0.2148,0.188,0.2016,99259638.0,19838318.8788,121359,,
2024-06-19,0.2016,0.2231,0.1986,0.2185,54032880.0,11659581.674,73121,,
2024-06-20,0.2184,0.2338,0.2166,0.2211,46450356.0,10493821.4664,70821,,
2024-06-21,0.2212,0.2267,0.2127,0.2179,39982663.0,8808115.8803,65580,,
2024-06-22,0.218,0.2194,0.2118,0.2128,19798081.0,4277746.6262,36721,,
2024-06-23,0.2129,0.221,0.2043,0.2056,23306684.0,4959332.2372,38768,,
2024-06-24,0.2056,0.2192,0.1951,0.2166,56030180.0,11582436.6138,86080,,
2024-06-25,0.2166,0.2257,0.2146,0.2204,34121164.0,7528364.4141,47202,,
2024-06-26,0.2204,0.2248,0.2143,0.2187,24054188.0,5275549.112,40764,,
2024-06-27,0.2188,0.2253,0.2112,0.2178,23266986.0,5080256.8947,36733,,
2024-06-28,0.2178,0.2202,0.2064,0.2073,25731251.0,5497992.2238,39965,,
2024-06-29,0.2072,0.2114,0.2028,0.2033,14870590.0,3088484.6213,19465,,
2024-06-30,0.2034,0.2119,0.2002,0.2106,19141234.0,3935678.133,28999,,
2024-07-01,0.2107,0.2184,0.2068,0.2074,26203033.0,5558751.4921,40367,,
2024-07-02,0.2073,0.2142,0.206,0.2123,16105989.0,3375078.0351,28389,,
2024-07-03,0.2124,0.2136,0.1959,0.1971,28669499.0,5798164.2597,44535,,
2024-07-04,0.1972,0.1984,0.1747,0.176,70952942.0,13152258.1034,88246,,
2024-07-05,0.1761,0.1762,0.153,0.1728,96164914.0,15763058.8308,121998,,
2024-07-06,0.1728,0.1889,0.1717,0.1875,23964026.0,4338468.1465,38724,,
2024-07-07,0.1874,0.1875,0.1726,0.1736,24454316.0,4413504.3321,36932,,
2024-07-08,0.1737,0.1872,0.1639,0.1764,40685241.0,7145257.4602,72046,,
2024-07-09,0.1763,0.1837,0.1754,0.183,20954731.0,3773607.232,42926,,
2024-07-10,0.183,0.1921,0.1805,0.186,21547872.0,4029987.2653,39590,,
2024-07-11,0.186,0.196,0.1807,0.1812,33720286.0,6337789.8926,49645,,
2024-07-12,0.1813,0.1863,0.1782,0.1855,18059796.0,3305328.1848,37178,,
2024-07-13,0.1856,0.1947,0.1837,0.1922,19139558.0,3609710.7078,33024,,
2024-07-14,0.1922,0.2003,0.1879,0.198,22203712.0,4291809.2709,30481,,
2024-07-15,0.198,0.2211,0.196,0.2197,47676340.0,9884500.24,57288,,
2024-07-16,0.2197,0.2218,0.2046,0.2139,62572457.0,13256743.7326,85433,,
2024-07-17,0.2141,0.2206,0.208,0.2081,36982556.0,7943194.4097,55138,,
2024-07-18,0.2081,0.2131,0.1981,0.2027,32587175.0,6712766.546,50105,,
2024-07-19,0.2028,0.2154,0.1978,0.2142,33953086.0,7024643.1368,49112,,
2024-07-20,0.2143,0.2188,0.2112,0.2136,30760803.0,6626378.0848,37337,,
2024-07-21,0.2137,0.224,0.2091,0.2191,30463573.0,6616286.6215,46330,,
2024-07-22,0.2191,0.2219,0.2044,0.2065,25863610.0,5483273.0968,34717,,
2024-07-23,0.2066,0.2099,0.1956,0.1985,27244447.0,5519584.5663,41235,,
2024-07-24,0.1985,0.2038,0.191,0.1928,21098148.0,4175411.6552,31120,,
2024-07-25,0.1927,0.1934,0.1827,0.1895,32782832.0,6120954.9055,45965,,
2024-07-26,0.1894,0.2014,0.189,0.2007,34889895.0,6838262.8589,37089,,
2024-07-27,0.2008,0.2046,0.1944,0.1981,22131023.0,4422412.2546,33405,,
2024-07-28,0.1981,0.1986,0.1908,0.1927,16103264.0,3125093.0048,17583,,
2024-07-29,0.1927,0.2035,0.1916,0.192,24689092.0,4878300.1661,32416,,
2024-07-30,0.192,0.1954,0.1836,0.188,23026325.0,4374622.5715,28417,,
2024-07-31,0.188,0.1903,0.1783,0.1797,29148578.0,5398682.0245,36185,,
2024-08-01,0.1796,0.1811,0.1669,0.1781,32458361.0,5656874.346,49453,,
2024-08-02,0.1782,0.1789,0.1619,0.1625,49406297.0,8352392.9132,69290,,
2024-08-03,0.1624,0.1643,0.1503,0.154,40704453.0,6418832.9383,56326,,
2024-08-04,0.1541,0.1569,0.1394,0.144,46147413.0,6817777.3434,59785,,
2024-08-05,0.1439,0.145,0.1126,0.1313,195702427.0,24641240.2348,247165,,
2024-08-06,0.1313,0.142,0.1312,0.1375,65092195.0,8979625.2434,91109,,
2024-08-07,0.1374,0.1427,0.1273,0.1287,47330878.0,6441126.7724,83480,,
2024-08-08,0.1287,0.1472,0.1269,0.1464,42422976.0,5885238.7834,63910,,
2024-08-09,0.1464,0.1469,0.1393,0.1428,32862471.0,4688109.6919,53478,,
2024-08-10,0.1428,0.1473,0.1404,0.1462,19874128.0,2848602.0781,33775,,
2024-08-11,0.1462,0.153,0.1359,0.1365,40558195.0,5879431.4693,58315,,
2024-08-12,0.1366,0.1468,0.1351,0.1434,36205985.0,5130293.6726,54576,,
2024-08-13,0.1434,0.1486,0.1382,0.1462,20469582.0,2932176.9408,44474,,
2024-08-14,0.1462,0.1478,0.1396,0.1423,23493132.0,3372819.3103,52946,,
2024-08-15,0.1424,0.1451,0.1343,0.1363,24633767.0,3441870.5492,49008,,
2024-08-16,0.1363,0.1389,0.1321,0.1368,17293858.0,2354160.5717,44420,,
2024-08-17,0.1367,0.1387,0.1352,0.1384,9583012.0,1311778.995,20152,,
2024-08-18,0.1384,0.144,0.1363,0.1398,15073196.0,2124447.3667,31604,,
2024-08-19,0.1398,0.1449,0.1366,0.1447,23502636.0,3290451.2844,48565,,
2024-08-20,0.1446,0.1485,0.1408,0.1428,20403289.0,2965456.173,41047,,
2024-08-21,0.1428,0.1517,0.141,0.1499,29665452.0,4329655.0433,56351,,
2024-08-22,0.1499,0.156,0.1472,0.155,26548837.0,4057977.8665,57371,,
2024-08-23,0.1549,0.1722,0.1548,0.1705,49243050.0,8120233.6021,112583,,
2024-08-24,0.1706,0.1804,0.1669,0.1767,38033315.0,6647228.8036,84671,,
2024-08-25,0.1766,0.1768,0.1669,0.172,30545985.0,5258874.569,89795,,
2024-08-26,0.1721,0.1742,0.161,0.1611,33638555.0,5648698.8108,96852,,
2024-08-27,0.1613,0.1665,0.1482,0.1509,38667836.0,6103268.6524,104241,,
2024-08-28,0.1509,0.1552,0.1435,0.1464,41768871.0,6235528.563,130470,,
2024-08-29,0.1464,0.1527,0.1437,0.1466,28904774.0,4295180.3709,77665,,
2024-08-30,0.1465,0.1482,0.1392,0.1474,21503348.0,3112633.1675,70414,,
2024-08-31,0.1474,0.149,0.1438,0.1458,8516361.0,1250049.0672,27884,,
2024-09-01,0.1458,0.1462,0.1366,0.1383,20032139.0,2845979.6558,59416,,
2024-09-02,0.1382,0.1469,0.1372,0.1458,21016231.0,2982712.4691,63095,,
2024-09-03,0.1457,0.148,0.1352,0.1355,19074168.0,2696704.113,48430,,
2024-09-04,0.1356,0.1431,0.1293,0.1396,29353926.0,3998267.7986,63319,,
2024-09-05,0.1396,0.1413,0.1332,0.1341,18545911.0,2545281.0043,39541,,
2024-09-06,0.134,0.1384,0.1259,0.1299,38036937.0,5026904.8433,69637,,
2024-09-07,0.1298,0.1346,0.1287,0.1318,16059641.0,2116347.8316,29959,,
2024-09-08,0.1318,0.1383,0.1314,0.1364,15764120.0,2119965.8499,29985,,
2024-09-09,0.1364,0.1451,0.136,0.1432,27748620.0,3881314.368,54474,,
2024-09-10,0.1431,0.1448,0.1395,0.1415,21993454.0,3125838.3602,50446,,
2024-09-11,0.1415,0.1418,0.1329,0.1374,31352902.0,4297246.9257,56921,,
2024-09-12,0.1375,0.1441,0.1372,0.144,26408068.0,3724355.4068,48220,,
2024-09-13,0.144,0.1506,0.1429,0.1502,32482893.0,4765633.1476,55921,,
2024-09-14,0.1503,0.1521,0.1474,0.1494,19876108.0,2973180.9955,34048,,
2024-09-15,0.1494,0.1504,0.1411,0.1426,19019524.0,2790031.8681,36241,,
2024-09-16,0.1425,0.1437,0.1369,0.1384,22372193.0,3126228.9135,40310,,
2024-09-17,0.1383,0.1446,0.1368,0.1419,29449649.0,4172683.6554,56864,,
2024-09-18,0.1418,0.1473,0.1344,0.1471,40972534.0,5704430.3704,55466,,
2024-09-19,0.1471,0.1584,0.1471,0.1539,49541408.0,7592012.9931,76822,,
2024-09-20,0.1539,0.1636,0.1505,0.1611,54045187.0,8594856.9745,92820,,
2024-09-21,0.161,0.1671,0.1596,0.1663,31015871.0,5075785.3435,64726,,
2024-09-22,0.1662,0.1663,0.1549,0.1604,27915497.0,4469605.1047,58228,,
2024-09-23,0.1604,0.1794,0.1561,0.1747,84292404.0,14545113.0681,149660,,
2024-09-24,0.1747,0.1878,0.1699,0.1873,75136993.0,13465960.6479,123581,,
2024-09-25,0.1874,0.1905,0.1773,0.1789,47047211.0,8625311.729,91414,,
2024-09-26,0.1789,0.191,0.1746,0.187,60375836.0,11167944.6117,108341,,
2024-09-27,0.187,0.1941,0.1829,0.1885,46889051.0,8838128.0222,92088,,
2024-09-28,0.1885,0.1905,0.1814,0.1866,27699285.0,5145055.9732,55643,,
2024-09-29,0.1866,0.194,0.1799,0.1884,31279101.0,5835070.4551,61944,,
2024-09-30,0.1885,0.1914,0.1736,0.1754,42273794.0,7744195.6952,86917,,
2024-10-01,0.1754,0.1816,0.1539,0.1594,87325290.0,14694314.384,143939,,
2024-10-02,0.1593,0.1641,0.1503,0.1536,73716622.0,11627835.6164,126487,,
2024-10-03,0.1536,0.1585,0.1477,0.1541,43868314.0,6703333.8075,91094,,
2024-10-04,0.1542,0.1612,0.1514,0.1597,38563050.0,6041019.522,57262,,
2024-10-05,0.1598,0.1625,0.1543,0.158,22620316.0,3595418.3794,47626,,
2024-10-06,0.1581,0.1656,0.156,0.1643,23891722.0,3861086.7856,54485,,
2024-10-07,0.1644,0.1755,0.1631,0.1644,56493063.0,9606708.8499,95513,,
2024-10-08,0.1645,0.1684,0.1577,0.1591,34260149.0,5579485.3116,70407,,
2024-10-09,0.159,0.1607,0.1535,0.1554,33478479.0,5268621.1695,59937,,
2024-10-10,0.1553,0.1588,0.1485,0.1542,32649550.0,5012114.6616,54240,,
2024-10-11,0.1542,0.1645,0.1531,0.1627,32996795.0,5269790.9186,53683,,
2024-10-12,0.1628,0.1691,0.1607,0.1665,26852091.0,4434288.4365,56097,,
2024-10-13,0.1664,0.1678,0.1581,0.1659,32488972.0,5290646.6164,60477,,
2024-10-14,0.166,0.1789,0.1629,0.1778,80788958.0,14155893.5674,147274,,
2024-10-15,0.1778,0.1799,0.1679,0.1738,73263273.0,12783203.4363,163469,,
2024-10-16,0.1738,0.1756,0.1675,0.1677,47276478.0,8088492.6018,68741,,
2024-10-17,0.1677,0.17,0.1617,0.1639,35460985.0,5870587.4946,46063,,
2024-10-18,0.1639,0.1692,0.1625,0.1692,32703813.0,5423416.4647,40422,,
2024-10-19,0.1693,0.1723,0.1657,0.1671,19541311.0,3294391.2401,32978,,
2024-10-20,0.1671,0.1797,0.1646,0.1792,52012664.0,8999458.8252,65437,,
2024-10-21,0.1792,0.18,0.1682,0.1694,46202128.0,7994484.381,53454,,
2024-10-22,0.1693,0.1729,0.1654,0.1675,37715639.0,6350332.0428,50844,,
2024-10-23,0.1676,0.168,0.1564,0.1611,32507627.0,5241554.4989,48424,,
2024-10-24,0.1611,0.1653,0.1593,0.1639,23835902.0,3883512.226,44460,,
2024-10-25,0.1639,0.1647,0.1452,0.1521,45952647.0,7203583.9513,72513,,
2024-10-26,0.152,0.1543,0.1477,0.1521,31127236.0,4711919.8197,47932,,
2024-10-27,0.1521,0.1567,0.1504,0.1553,22494187.0,3437967.2792,39452,,
2024-10-28,0.1553,0.1574,0.1481,0.1562,33787382.0,5161249.4818,68098,,
2024-10-29,0.1563,0.1614,0.1552,0.1605,56511003.0,8980808.807,81389,,
2024-10-30,0.1606,0.1612,0.1555,0.157,31749383.0,5022084.1565,55097,,
2024-10-31,0.157,0.1576,0.1458,0.1472,40126570.0,6048993.5329,67811,,
2024-11-01,0.1471,0.1527,0.1432,0.1452,39656159.0,5846943.7007,63430,,
2024-11-02,0.1452,0.147,0.1414,0.1432,22962729.0,3303683.6851,41891,,
2024-11-03,0.1433,0.1442,0.1316,0.1365,49190286.0,6713212.0742,87259,,
2024-11-04,0.1365,0.1398,0.1285,0.1309,39719645.0,5320291.5812,68851,,
2024-11-05,0.1309,0.1414,0.1306,0.1387,43583267.0,5983882.963,71150,,
2024-11-06,0.1388,0.155,0.1387,0.1541,83318060.0,12379392.5005,119001,,
2024-11-07,0.1541,0.1602,0.1516,0.157,57688873.0,8999006.5069,84076,,
2024-11-08,0.1571,0.1639,0.1524,0.1635,75431636.0,11832891.5857,96658,,
2024-11-09,0.1635,0.1736,0.1579,0.1713,94682117.0,15656753.4391,89929,,
2024-11-10,0.1713,0.1853,0.1677,0.1783,117001274.0,20746995.0118,120959,,
2024-11-11,0.1783,0.2,0.1772,0.1996,123036932.0,22925153.8843,135480,,
2024-11-12,0.1996,0.2105,0.182,0.1911,231996424.0,45300268.9828,325744,,
2024-11-13,0.1911,0.1951,0.1731,0.1804,140872385.0,25717175.0391,163612,,
