date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.109,0.1103,0.1048,0.1081,99260293.0,10707480.1599,42345,,
2024-05-25,0.108,0.1094,0.1077,0.1085,55688491.0,6040352.0489,22059,,
2024-05-26,0.1085,0.109,0.1057,0.1067,54314659.0,5824017.0892,24817,,
2024-05-27,0.1067,0.1097,0.1059,0.1068,92277031.0,9915981.5795,36889,,
2024-05-28,0.1069,0.107,0.1027,0.1044,126053332.0,13213049.2952,56007,,
2024-05-29,0.1044,0.1075,0.103,0.1033,159990661.0,16828753.5337,56743,,
2024-05-30,0.1032,0.1051,0.0999,0.1006,126862291.0,12950031.916,42990,,
2024-05-31,0.1006,0.1019,0.098,0.1001,144436617.0,14443852.1493,47353,,
2024-06-01,0.1001,0.1005,0.0996,0.1,73140749.0,7315896.1974,20674,,
2024-06-02,0.0999,0.1006,0.0975,0.0992,154938925.0,15375997.5039,33669,,
2024-06-03,0.0991,0.1038,0.0983,0.1013,151785747.0,15406177.4639,42632,,
2024-06-04,0.1013,0.1026,0.0998,0.1024,120302427.0,12167559.8311,34614,,
2024-06-05,0.1025,0.1055,0.1019,0.1045,133400778.0,13799241.1492,37370,,
2024-06-06,0.1044,0.1051,0.1,0.1014,114796877.0,11820110.9824,34147,,
2024-06-07,0.1015,0.102,0.0838,0.094,321206991.0,30283940.4357,97239,,
2024-06-08,0.094,0.0943,0.089,0.0902,118944629.0,10820315.9641,35088,,
2024-06-09,0.0902,0.0916,0.0891,0.0915,66316677.0,5998363.5778,25701,,
2024-06-10,0.0914,0.0917,0.0883,0.0892,120305372.0,10805617.6846,38998,,
2024-06-11,0.0891,0.09,0.084,0.0873,171976469.0,14989849.6647,58730,,
2024-06-12,0.0873,0.0942,0.0858,0.0918,169012142.0,15348810.0114,48630,,
2024-06-13,0.0918,0.0924,0.0873,0.0883,129656579.0,11607080.5302,38929,,
2024-06-14,0.0884,0.0905,0.0846,0.0863,128166916.0,11216022.8275,38599,,
2024-06-15,0.0864,0.0866,0.0846,0.085,53784536.0,4611457.0241,15774,,
2024-06-16,0.085,0.087,0.0839,0.0864,62742580.0,5355145.4606,17437,,
2024-06-17,0.0864,0.0868,0.0785,0.0802,176520635.0,14510565.8114,46927,,
2024-06-18,0.0802,0.0805,0.0721,0.0777,271104320.0,20575785.6397,71494,,
2024-06-19,0.0776,0.0821,0.0772,0.0806,100513968.0,8068586.9974,32663,,
2024-06-20,0.0805,0.085,0.0801,0.0805,100313421.0,8245796.7518,34135,,
2024-06-21,0.0804,0.0819,0.0782,0.0788,92919893.0,7431736.082,31105,,
2024-06-22,0.0787,0.0788,0.0774,0.0779,34192690.0,2671109.5276,12279,,
2024-06-23,0.0779,0.0795,0.0758,0.0763,54546924.0,4249942.4801,15984,,
2024-06-24,0.0764,0.0779,0.0723,0.0775,129623311.0,9735234.7467,38957,,
2024-06-25,0.0775,0.0809,0.0771,0.0788,72368277.0,5726695.7656,21613,,
2024-06-26,0.0788,0.08,0.0749,0.0763,59549313.0,4598166.2868,23036,,
2024-06-27,0.0762,0.0803,0.0751,0.0787,77568266.0,6025242.1331,20818,,
2024-06-28,0.0787,0.08,0.0766,0.077,62608297.0,4907061.591,20958,,
2024-06-29,0.0769,0.0783,0.076,0.0762,34862588.0,2688188.2988,11656,,
2024-06-30,0.0762,0.0776,0.075,0.0767,69902683.0,5321369.3895,22305,,
2024-07-01,0.0768,0.0786,0.0748,0.0767,86040064.0,6609053.9979,29441,,
2024-07-02,0.0766,0.0792,0.0761,0.0782,89698199.0,6992637.0345,28739,,
2024-07-03,0.0781,0.0784,0.0715,0.0722,163611221.0,12137804.8712,47440,,
2024-07-04,0.0722,0.0726,0.0659,0.0663,195715033.0,13553482.153,52315,,
2024-07-05,0.0663,0.069,0.0586,0.0671,352418338.0,22175187.5777,83509,,
2024-07-06,0.0671,0.071,0.0662,0.07,99226647.0,6791944.8732,35686,,
2024-07-07,0.07,0.0701,0.0642,0.0647,92838961.0,6238804.0513,31728,,
2024-07-08,0.0647,0.0685,0.0624,0.0663,154974141.0,10147490.2287,52935,,
2024-07-09,0.0663,0.0691,0.0661,0.0678,98003189.0,6611405.6863,32525,,
2024-07-10,0.0678,0.0693,0.0655,0.0665,117132847.0,7865447.1859,33678,,
2024-07-11,0.0664,0.0688,0.0653,0.0656,126796821.0,8482935.5994,34152,,
2024-07-12,0.0656,0.0677,0.0647,0.0673,80927529.0,5365201.1111,25496,,
2024-07-13,0.0674,0.0722,0.0668,0.0713,97841792.0,6763025.6916,29085,,
2024-07-14,0.0713,0.0733,0.0694,0.0721,102854458.0,7326051.0054,30043,,
2024-07-15,0.0721,0.0793,0.0718,0.0783,128734379.0,9685443.1791,40350,,
2024-07-16,0.0783,0.0793,0.0749,0.0766,128727183.0,9876397.7652,45012,,
2024-07-17,0.0765,0.079,0.0752,0.0753,122426869.0,9445629.7125,40317,,
2024-07-18,0.0753,0.0763,0.0709,0.0727,116842493.0,8645946.6356,35028,,
2024-07-19,0.0728,0.0757,0.0713,0.0747,109782293.0,8057616.3219,33623,,
2024-07-20,0.0747,0.0761,0.0732,0.0746,76774211.0,5724714.5532,22435,,
2024-07-21,0.0746,0.0758,0.0702,0.0747,93040916.0,6827063.4143,25785,,
2024-07-22,0.0748,0.0754,0.0705,0.0707,81969537.0,5936330.3675,24898,,
2024-07-23,0.0708,0.0716,0.0669,0.0682,121785143.0,8449626.9529,32220,,
2024-07-24,0.0683,0.0703,0.0659,0.0665,84836351.0,5781749.7456,23568,,
2024-07-25,0.0665,0.067,0.0638,0.0661,144557178.0,9414337.3643,37362,,
2024-07-26,0.066,0.0686,0.0659,0.0684,79604838.0,5377403.5093,22747,,
2024-07-27,0.0684,0.0703,0.0675,0.0687,78153534.0,5382146.9245,23750,,
2024-07-28,0.0687,0.0692,0.0668,0.0675,43924535.0,2990889.8375,13362,,
2024-07-29,0.0675,0.0694,0.0665,0.0671,87727933.0,5980860.3228,22894,,
2024-07-30,0.0671,0.0682,0.0647,0.0659,79230546.0,5267806.1496,24738,,
2024-07-31,0.0659,0.067,0.0623,0.063,150578554.0,9718324.5428,42527,,
2024-08-01,0.063,0.0639,0.0589,0.0634,208102072.0,12816849.1219,52953,,
2024-08-02,0.0633,0.0641,0.0588,0.0596,172090605.0,10449046.2625,52670,,
2024-08-03,0.0595,0.0598,0.0561,0.0582,137049700.0,7953104.0203,42074,,
2024-08-04,0.0582,0.0589,0.0534,0.0553,147322318.0,8286171.4685,38325,,
2024-08-05,0.0553,0.0559,0.0453,0.0521,728143630.0,36480620.8068,205942,,
2024-08-06,0.0521,0.0565,0.052,0.055,235677807.0,12964198.787,67576,,
2024-08-07,0.055,0.0572,0.0508,0.0514,198546089.0,10751843.5383,64547,,
2024-08-08,0.0515,0.0593,0.0507,0.059,175893904.0,9596750.6892,57811,,
2024-08-09,0.059,0.0591,0.0552,0.0563,164050235.0,9367320.0341,47219,,
2024-08-10,0.0563,0.057,0.0549,0.0559,81027077.0,4516341.7733,25347,,
2024-08-11,0.0559,0.0574,0.0525,0.0526,88097131.0,4844569.3998,24938,,
2024-08-12,0.0527,0.0555,0.0526,0.0539,110644596.0,5960789.9195,32594,,
2024-08-13,0.0539,0.0547,0.0517,0.0542,119638141.0,6361028.2831,29877,,
2024-08-14,0.0542,0.0552,0.0528,0.0536,108320995.0,5847876.2313,29155,,
2024-08-15,0.0536,0.0545,0.0511,0.0519,159301456.0,8429553.9856,46175,,
2024-08-16,0.0519,0.0527,0.0506,0.0519,130101712.0,6748832.8956,39129,,
2024-08-17,0.0519,0.0527,0.0511,0.0526,51962769.0,2695733.655,17897,,
2024-08-18,0.0527,0.0552,0.0521,0.0531,78090967.0,4181845.2962,26581,,
2024-08-19,0.0531,0.0544,0.0523,0.0543,123233994.0,6548448.6541,44602,,
2024-08-20,0.0543,0.0555,0.053,0.0537,118496002.0,6410141.9858,38952,,
2024-08-21,0.0536,0.0557,0.0522,0.0547,162799529.0,8756495.4969,47399,,
2024-08-22,0.0548,0.0558,0.054,0.0552,163110914.0,8957843.3765,49012,,
2024-08-23,0.0552,0.06,0.0551,0.0595,211188568.0,12168171.8936,81708,,
2024-08-24,0.0595,0.0621,0.0585,0.0604,131685146.0,7922338.0798,59563,,
2024-08-25,0.0604,0.0606,0.0575,0.0589,109808416.0,6485450.6823,75340,,
2024-08-26,0.059,0.0594,0.0556,0.0559,104288461.0,5985948.9937,80363,,
2024-08-27,0.0559,0.0569,0.051,0.0525,161141603.0,8717734.6672,87422,,
2024-08-28,0.0525,0.054,0.0503,0.0513,199017225.0,10359447.7789,105305,,
2024-08-29,0.0513,0.0531,0.0504,0.0512,113095863.0,5836987.5571,58050,,
2024-08-30,0.0511,0.0519,0.0496,0.0514,91388363.0,4645494.1598,55447,,
2024-08-31,0.0514,0.0517,0.0495,0.0499,41265112.0,2080821.2355,18617,,
2024-09-01,0.05,0.0501,0.0476,0.048,84311747.0,4119384.4773,44770,,
2024-09-02,0.0479,0.0511,0.0479,0.0509,82521273.0,4099387.9247,46500,,
2024-09-03,0.0509,0.0517,0.0487,0.049,98608938.0,4943370.2959,51629,,
2024-09-04,0.0489,0.0507,0.0471,0.0494,122029531.0,5957108.2557,62737,,
