date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,12.287,12.453,11.922,12.413,1675356.52,20476000.8372,81545,,
2024-05-25,12.413,12.481,12.2,12.327,1219661.91,15056325.62042,63551,,
2024-05-26,12.327,12.55,11.984,12.051,1440275.39,17635824.74968,72675,,
2024-05-27,12.046,12.594,11.924,12.388,2318386.59,28345066.2864,115757,,
2024-05-28,12.389,12.472,11.952,12.105,2456888.86,29983249.74864,125343,,
2024-05-29,12.106,12.361,11.917,12.073,1757072.44,21373682.51805,96779,,
2024-05-30,12.073,12.325,11.738,11.962,2260574.09,27373046.33936,121801,,
2024-05-31,11.961,12.044,11.6,11.853,1891830.08,22447226.13537,106340,,
2024-06-01,11.853,12.184,11.84,12.083,1146358.73,13797183.36164,61584,,
2024-06-02,12.084,12.186,11.732,11.86,1358513.31,16276176.30402,74341,,
2024-06-03,11.86,12.228,11.773,11.983,1990837.95,23921577.04372,108393,,
2024-06-04,11.983,12.394,11.914,12.298,2479228.49,30198590.32823,120202,,
2024-06-05,12.299,12.623,12.243,12.33,1727193.93,21423634.84962,80984,,
2024-06-06,12.33,12.375,11.919,12.087,1483467.63,18057835.70491,71210,,
2024-06-07,12.087,12.996,10.6,11.525,4873350.61,59267952.41732,282487,,
2024-06-08,11.524,11.577,10.761,10.881,2852219.12,31699709.94366,118383,,
2024-06-09,10.88,11.084,10.781,11.029,1572540.87,17191631.55145,73342,,
2024-06-10,11.03,11.256,10.566,11.095,3238474.62,35365182.95347,146923,,
2024-06-11,11.094,11.199,9.866,10.08,4258147.83,44547260.66171,181922,,
2024-06-12,10.078,10.851,9.83,10.498,4284986.62,44388071.651,219676,,
2024-06-13,10.499,10.524,9.669,9.823,3293907.0,32814165.57154,154181,,
2024-06-14,9.823,9.913,9.015,9.305,2761397.52,26421010.27582,129971,,
2024-06-15,9.305,9.383,9.004,9.106,1796578.28,16562957.89376,85066,,
2024-06-16,9.107,9.659,9.016,9.62,1607242.06,14916691.20203,86232,,
2024-06-17,9.619,9.683,8.47,8.873,2828045.72,25461941.39861,157975,,
2024-06-18,8.873,8.904,7.6,8.118,4133016.74,33517639.7996,186688,,
2024-06-19,8.116,8.491,8.025,8.38,1990395.11,16467707.53174,91094,,
2024-06-20,8.382,8.769,8.2,8.265,2505356.06,21321853.70413,109616,,
2024-06-21,8.265,8.491,8.01,8.392,1910951.33,15765069.50039,91722,,
2024-06-22,8.387,8.391,8.155,8.188,1034214.66,8545133.59983,44910,,
2024-06-23,8.189,8.354,7.811,7.887,1660429.2,13451657.17785,67205,,
2024-06-24,7.888,8.079,7.507,8.02,2684200.44,20953350.28603,116006,,
2024-06-25,8.02,8.375,7.977,8.283,1358461.95,11111091.23513,59128,,
2024-06-26,8.286,8.378,8.057,8.123,1324460.81,10889389.77495,53696,,
2024-06-27,8.124,8.329,7.971,8.257,1025803.44,8370194.31325,44997,,
2024-06-28,8.256,8.313,7.873,7.903,1470060.24,11983467.38712,63416,,
2024-06-29,7.904,8.052,7.864,7.94,717016.18,5723663.59324,28945,,
2024-06-30,7.941,8.212,7.787,8.171,1093579.02,8726063.72719,42337,,
2024-07-01,8.172,8.357,8.053,8.068,954946.3,7846503.43069,43507,,
2024-07-02,8.066,8.15,7.84,7.866,1274541.25,10148070.62844,52784,,
2024-07-03,7.866,7.893,7.25,7.326,1853557.17,14063551.59339,74918,,
2024-07-04,7.326,7.332,6.6,6.68,3867755.69,26882839.81985,171425,,
2024-07-05,6.682,6.897,5.811,6.82,6330911.79,40116957.46867,309575,,
2024-07-06,6.82,7.559,6.692,7.55,2883657.02,20353747.80019,140969,,
2024-07-07,7.552,7.657,6.872,6.922,2796504.74,20391886.29996,144725,,
2024-07-08,6.92,7.379,6.626,6.831,3748985.94,26080477.6188,222732,,
2024-07-09,6.831,7.311,6.748,7.239,2808796.91,19934749.29089,159109,,
2024-07-10,7.238,7.395,7.091,7.215,1308876.89,9474483.99535,69194,,
2024-07-11,7.215,7.706,7.127,7.361,1907550.1,14177233.52571,116487,,
2024-07-12,7.36,7.501,7.028,7.32,1420968.82,10272094.29633,105905,,
2024-07-13,7.32,8.554,7.313,8.456,3719720.92,30027492.21982,220018,,
2024-07-14,8.457,9.01,8.424,8.623,3602620.52,31517606.58379,243444,,
2024-07-15,8.622,9.9,8.616,9.72,3731222.28,34551524.50391,250757,,
2024-07-16,9.717,9.85,9.25,9.633,3840857.5,36630622.4775,308407,,
2024-07-17,9.631,10.471,9.53,10.252,4921598.11,49458289.19982,405064,,
2024-07-18,10.254,10.467,9.538,9.674,2215063.71,21927674.41115,211584,,
2024-07-19,9.674,10.254,9.339,10.149,2155265.62,21141320.97921,168101,,
2024-07-20,10.15,10.637,10.039,10.343,2222441.07,22843434.57389,162468,,
2024-07-21,10.341,10.842,9.916,10.722,2324461.68,23961570.12915,148326,,
2024-07-22,10.725,10.986,10.053,10.149,1937583.6,20208449.63248,137423,,
2024-07-23,10.147,10.259,9.49,9.631,1968427.34,19351684.52928,143120,,
2024-07-24,9.631,10.112,9.415,9.503,1535043.97,15058307.97478,103288,,
2024-07-25,9.5,9.93,9.318,9.92,2535262.0,24316782.08639,193524,,
2024-07-26,9.921,10.023,9.529,9.71,2223133.46,21682002.95688,151932,,
2024-07-27,9.7,10.119,9.407,9.687,2033352.42,19898540.87732,129873,,
2024-07-28,9.686,9.808,9.233,9.346,992204.12,9430134.9774,63755,,
2024-07-29,9.345,9.754,8.914,8.932,1975879.12,18502712.01419,116938,,
2024-07-30,8.932,9.19,8.721,8.825,1274455.19,11470046.55602,74853,,
2024-07-31,8.829,9.542,8.757,8.958,1574540.14,14353434.27323,90732,,
2024-08-01,8.959,9.016,8.365,8.887,2050977.15,17915432.93848,111115,,
2024-08-02,8.889,9.282,8.224,8.305,2114857.71,18471069.36278,119714,,
2024-08-03,8.304,8.409,7.574,7.76,2082691.61,16618733.05239,115306,,
2024-08-04,7.761,7.93,7.065,7.328,1828285.86,13783369.53023,103606,,
2024-08-05,7.326,7.42,6.266,7.063,5749602.22,39434358.74031,336505,,
2024-08-06,7.061,7.879,7.041,7.669,2966800.98,22163956.84688,154912,,
2024-08-07,7.662,7.774,6.926,7.021,2696954.55,20002798.46036,142280,,
2024-08-08,7.02,7.731,6.927,7.7,2614132.39,19256610.12,154239,,
2024-08-09,7.699,7.699,7.259,7.442,1809208.33,13561347.54554,121404,,
2024-08-10,7.443,7.592,7.213,7.363,1039997.39,7664813.95483,73265,,
2024-08-11,7.361,7.492,6.79,6.826,1611769.47,11512876.66423,96340,,
2024-08-12,6.826,7.337,6.821,7.281,3090008.8,22024687.80357,129650,,
2024-08-13,7.284,7.42,6.91,7.364,1733172.58,12468795.84834,87120,,
2024-08-14,7.361,7.44,7.042,7.13,1587353.88,11496360.08348,70919,,
2024-08-15,7.13,7.302,6.832,6.945,1280940.1,9052113.41996,81252,,
2024-08-16,6.945,7.183,6.824,7.009,1347454.91,9430691.33056,68815,,
2024-08-17,7.01,7.283,6.974,7.279,1109765.08,7905043.71244,47175,,
2024-08-18,7.28,7.38,7.127,7.149,1090362.55,7920453.47194,55177,,
2024-08-19,7.148,7.256,6.95,7.222,1648829.45,11686564.9626,81104,,
2024-08-20,7.222,7.462,7.124,7.269,1209737.29,8845222.3898,58514,,
2024-08-21,7.266,7.816,7.203,7.691,1470374.48,11042718.61003,76209,,
2024-08-22,7.698,8.128,7.548,8.032,1437641.54,11362615.56744,89539,,
2024-08-23,8.033,8.736,8.023,8.681,2102507.19,17679643.00458,115397,,
2024-08-24,8.686,8.954,8.47,8.695,1418313.02,12284267.40091,90961,,
2024-08-25,8.695,8.731,8.253,8.513,1371723.32,11681204.76104,85320,,
2024-08-26,8.515,8.612,7.989,8.076,1390310.64,11503214.25656,89142,,
2024-08-27,8.078,8.301,7.612,7.722,1740680.83,13947706.07246,95121,,
2024-08-28,7.72,7.998,7.515,7.759,1660196.71,12870430.513,114454,,
2024-08-29,7.76,8.205,7.696,7.791,1433235.64,11422189.49053,81305,,
2024-08-30,7.79,7.871,7.336,7.617,1323938.06,10083215.22592,77831,,
2024-08-31,7.618,7.722,7.435,7.563,697076.11,5284988.36325,35912,,
2024-09-01,7.56,7.583,7.087,7.191,931624.21,6835204.89676,56019,,
2024-09-02,7.184,7.552,7.115,7.521,1146682.28,8398625.75448,57021,,
2024-09-03,7.524,7.645,7.144,7.162,1056429.13,7804676.34548,58250,,
2024-09-04,7.158,7.76,6.9,7.557,1887192.65,13819837.6381,99962,,
2024-09-05,7.557,7.645,7.131,7.233,1899472.95,13976772.00782,88339,,
2024-09-06,7.232,7.324,6.8,7.028,2729456.32,19360994.8806,157135,,
2024-09-07,7.026,7.229,6.993,7.06,1044710.33,7405474.04225,52944,,
2024-09-08,7.06,7.508,7.053,7.413,1511493.14,11027232.16396,72953,,
2024-09-09,7.416,7.864,7.396,7.783,1725849.33,13088221.31962,87497,,
2024-09-10,7.783,9.106,7.676,8.93,3676251.64,30836260.89787,200233,,
2024-09-11,8.931,8.963,8.371,8.665,5140036.45,44580160.61571,278581,,
2024-09-12,8.666,8.742,8.359,8.508,2667367.22,22688038.41471,144939,,
2024-09-13,8.508,8.733,8.156,8.618,2472371.95,20800512.65236,131493,,
2024-09-14,8.615,8.9,8.525,8.647,1714843.24,14864646.29159,100609,,
2024-09-15,8.648,8.802,8.212,8.326,1681314.4,14357696.04281,109463,,
2024-09-16,8.326,8.326,7.887,8.026,2101760.74,16930341.1685,119170,,
2024-09-17,8.026,8.288,7.811,7.912,2304106.1,18453538.89134,105673,,
2024-09-18,7.91,8.2,7.597,8.19,2594373.92,20281442.97642,117189,,
2024-09-19,8.191,8.42,7.988,8.084,3094302.19,25456426.04511,130869,,
2024-09-20,8.086,8.711,7.92,8.486,2892047.25,24167796.53687,140934,,
2024-09-21,8.484,8.6,8.242,8.532,1546414.76,13038062.41742,88706,,
2024-09-22,8.532,8.572,8.022,8.248,1610150.67,13346025.1865,99721,,
2024-09-23,8.247,8.731,8.06,8.708,3190028.86,27072969.13116,171288,,
2024-09-24,8.709,9.561,8.55,9.401,3981839.3,35934470.56477,217049,,
2024-09-25,9.402,9.543,9.015,9.055,2339256.83,21717805.39508,129139,,
2024-09-26,9.053,9.731,8.967,9.502,3056367.21,28535115.57877,149570,,
2024-09-27,9.501,9.981,9.304,9.874,2587837.29,24859782.52948,149814,,
2024-09-28,9.881,10.049,9.531,9.67,1767242.22,17286183.10823,107261,,
2024-09-29,9.668,9.843,9.457,9.537,2043739.42,19704331.56555,131896,,
2024-09-30,9.535,9.594,8.905,8.993,2559060.67,23796801.37775,135630,,
2024-10-01,8.992,9.427,8.081,8.328,2965490.62,26056142.76225,161102,,
2024-10-02,8.327,8.508,7.861,7.991,2657409.08,21717035.47503,108334,,
2024-10-03,7.993,8.171,7.686,8.024,2841327.64,22489712.8711,106470,,
2024-10-04,8.025,8.447,7.984,8.361,1718152.75,14134694.17572,80303,,
2024-10-05,8.36,8.371,8.07,8.199,980609.21,8077238.91057,43335,,
2024-10-06,8.199,8.525,8.125,8.522,842506.49,7016061.44148,44184,,
2024-10-07,8.522,8.655,8.032,8.053,2400735.87,20050621.26301,96795,,
2024-10-08,8.055,8.199,7.906,7.978,2033931.55,16356416.86062,70571,,
2024-10-09,7.977,8.111,7.737,7.823,1500194.51,11908950.41043,53294,,
2024-10-10,7.823,8.088,7.713,8.019,2473564.06,19539119.62812,91438,,
2024-10-11,8.023,8.263,7.974,8.151,1425284.11,11531167.26862,58113,,
2024-10-12,8.153,8.316,8.009,8.06,1025394.34,8372544.70241,47158,,
2024-10-13,8.06,8.116,7.72,7.921,1083050.37,8565357.49015,54650,,
2024-10-14,7.923,8.425,7.798,8.335,2217812.53,18035507.97354,88726,,
