date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.2269,0.2348,0.2203,0.2303,25860260.0,5897493.515,25253,,
2024-05-25,0.2303,0.2324,0.2283,0.231,17147321.0,3940986.5861,17904,,
2024-05-26,0.231,0.2318,0.2228,0.2239,16513033.0,3746832.7289,17922,,
2024-05-27,0.2239,0.2341,0.2229,0.2304,23969446.0,5491171.7136,26014,,
2024-05-28,0.2305,0.232,0.2224,0.229,28625723.0,6502947.0708,33606,,
2024-05-29,0.229,0.2337,0.2224,0.2233,35663114.0,8123716.6482,38028,,
2024-05-30,0.2232,0.2259,0.2166,0.2184,20560162.0,4549075.2337,24167,,
2024-05-31,0.2184,0.2215,0.2127,0.2178,28612909.0,6240829.084,34123,,
2024-06-01,0.2178,0.2197,0.2159,0.218,8888815.0,1935847.0328,12309,,
2024-06-02,0.2179,0.22,0.2125,0.2139,27941430.0,6047017.6213,31835,,
2024-06-03,0.2139,0.2187,0.2113,0.2151,19546684.0,4222817.6826,18749,,
2024-06-04,0.2151,0.2332,0.2133,0.2313,52275754.0,11780707.5816,51173,,
2024-06-05,0.2313,0.2373,0.2278,0.2364,24620656.0,5710840.8053,26133,,
2024-06-06,0.2363,0.2401,0.2271,0.2373,28001831.0,6515825.8171,30335,,
2024-06-07,0.2372,0.254,0.196,0.2191,84329053.0,20219152.3232,96441,,
2024-06-08,0.2191,0.2219,0.2052,0.2081,30856912.0,6564506.8367,30253,,
2024-06-09,0.208,0.2121,0.2038,0.2117,13226759.0,2765385.162,16495,,
2024-06-10,0.2116,0.2132,0.203,0.2048,24932502.0,5187950.8837,23649,,
2024-06-11,0.2047,0.2065,0.1908,0.1956,31574203.0,6272303.4546,34400,,
2024-06-12,0.1956,0.2159,0.1903,0.206,29718051.0,6115457.8128,34961,,
2024-06-13,0.2061,0.2061,0.1936,0.1948,18211364.0,3633241.8003,23733,,
2024-06-14,0.1949,0.1998,0.1828,0.1881,29639774.0,5657488.9213,32729,,
2024-06-15,0.1881,0.1929,0.1862,0.1904,10836909.0,2056292.5283,16120,,
2024-06-16,0.1903,0.1935,0.1858,0.1911,9744572.0,1850606.0346,14715,,
2024-06-17,0.1911,0.1925,0.1724,0.1747,40013738.0,7166552.6978,47129,,
2024-06-18,0.1748,0.1754,0.1488,0.165,57131452.0,9209283.3286,81546,,
2024-06-19,0.165,0.1778,0.1629,0.1743,23527908.0,4040011.6856,36547,,
2024-06-20,0.1742,0.1859,0.1733,0.1753,22827058.0,4106459.815,36328,,
2024-06-21,0.1753,0.1796,0.1712,0.173,16489682.0,2899136.6388,27349,,
2024-06-22,0.1731,0.1759,0.1705,0.175,10507973.0,1817587.1568,15613,,
2024-06-23,0.175,0.1793,0.1708,0.1728,15086393.0,2643297.3933,21231,,
2024-06-24,0.1728,0.1777,0.1605,0.1767,37659979.0,6384682.9748,61681,,
2024-06-25,0.1766,0.1825,0.175,0.1797,12269798.0,2197998.7238,23115,,
2024-06-26,0.1797,0.1806,0.1694,0.1734,12601910.0,2217231.4943,21196,,
2024-06-27,0.1734,0.18,0.1704,0.1786,13220513.0,2319154.1738,19995,,
2024-06-28,0.1786,0.1802,0.1703,0.1708,10875472.0,1911623.9342,19713,,
2024-06-29,0.1708,0.173,0.1669,0.1677,5857935.0,995482.9034,8446,,
2024-06-30,0.1677,0.1717,0.1663,0.1705,7629639.0,1290407.778,12069,,
2024-07-01,0.1704,0.173,0.1683,0.1689,12653425.0,2162554.0458,15379,,
