date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.03124,0.03157,0.03075,0.03147,31630357.9,986481.564762,9674,,
2024-05-25,0.03148,0.03183,0.03107,0.03142,24893954.6,781475.236162,8661,,
2024-05-26,0.03143,0.03144,0.03102,0.03108,15440911.3,481616.147173,6984,,
2024-05-27,0.03108,0.0315,0.03085,0.03131,38461758.5,1200162.421079,10427,,
2024-05-28,0.03132,0.03134,0.03048,0.03079,46572232.0,1435463.575521,12923,,
2024-05-29,0.03079,0.03102,0.03064,0.03066,26407188.8,813901.635294,7884,,
2024-05-30,0.03066,0.03083,0.03019,0.03055,20498313.2,624878.761208,9254,,
2024-05-31,0.03053,0.03065,0.0303,0.03033,18553754.2,564759.063322,9528,,
2024-06-01,0.03033,0.0305,0.03024,0.03038,9046345.4,274941.524711,5439,,
2024-06-02,0.0304,0.03104,0.03036,0.0305,27065071.6,829958.821994,8288,,
2024-06-03,0.0305,0.03072,0.0299,0.02994,37372678.5,1128128.139773,10228,,
2024-06-04,0.02993,0.03023,0.0297,0.03023,20708412.3,620484.638931,7382,,
2024-06-05,0.03023,0.03071,0.03019,0.03064,26919868.3,819258.460709,7730,,
2024-06-06,0.03064,0.03066,0.02999,0.03014,27081664.2,822082.824009,6620,,
2024-06-07,0.03014,0.03047,0.02896,0.02905,63390367.0,1882874.679066,15375,,
2024-06-08,0.02905,0.03257,0.02826,0.02932,87550299.7,2564158.555169,18658,,
2024-06-09,0.02931,0.03152,0.0291,0.02986,85542460.1,2574843.888514,15169,,
2024-06-10,0.02986,0.0302,0.02947,0.03019,29278712.7,873029.528988,6756,,
2024-06-11,0.03019,0.03019,0.02902,0.02928,36206159.2,1068575.80526,7961,,
2024-06-12,0.02925,0.02991,0.02898,0.02955,48182217.9,1422363.899521,11927,,
2024-06-13,0.02953,0.02982,0.02916,0.02934,36033823.5,1060925.599363,10395,,
2024-06-14,0.02933,0.02953,0.02883,0.02888,31065082.8,905199.275759,8332,,
2024-06-15,0.02888,0.02922,0.02874,0.0288,19841484.0,574571.497169,4524,,
2024-06-16,0.02879,0.02881,0.02851,0.02876,16969953.5,486050.29053,4842,,
2024-06-17,0.02876,0.02884,0.0277,0.02772,48684743.7,1370994.199874,8988,,
2024-06-18,0.02773,0.02775,0.0266,0.02718,104963960.9,2843376.502248,21059,,
2024-06-19,0.02717,0.02777,0.02706,0.02744,42008478.1,1154731.206486,7345,,
2024-06-20,0.02743,0.02787,0.02721,0.02737,36907432.3,1016317.895225,10060,,
2024-06-21,0.02738,0.02784,0.02719,0.02764,33954247.6,933890.599883,9400,,
2024-06-22,0.02765,0.02786,0.02746,0.02774,11763416.3,325431.599777,5011,,
2024-06-23,0.02775,0.02793,0.0275,0.02763,20151110.6,558901.761314,6923,,
2024-06-24,0.02763,0.02768,0.0268,0.02722,54249716.5,1473949.283807,13635,,
2024-06-25,0.02722,0.02901,0.0272,0.02842,91160026.9,2582248.162243,17836,,
2024-06-26,0.02841,0.0295,0.02836,0.02903,60676888.4,1761295.856022,13730,,
2024-06-27,0.02903,0.02969,0.02885,0.02919,46152076.1,1354025.384526,10795,,
2024-06-28,0.02919,0.02982,0.02905,0.02949,52220857.0,1538875.698179,11002,,
2024-06-29,0.02949,0.02955,0.02903,0.02943,29776877.7,873089.398095,5863,,
2024-06-30,0.02944,0.02979,0.02921,0.0294,47931815.9,1414979.28752,17248,,
2024-07-01,0.02938,0.03042,0.02931,0.02987,78214892.2,2337103.010176,14977,,
2024-07-02,0.02987,0.03022,0.02966,0.03012,20129307.8,601780.768399,4367,,
2024-07-03,0.03012,0.03049,0.0298,0.03023,41986480.8,1266620.519859,10380,,
2024-07-04,0.03022,0.03043,0.02848,0.02867,116289478.7,3405931.53402,24071,,
2024-07-05,0.02868,0.02969,0.02679,0.02945,215442521.2,6061105.437466,46279,,
2024-07-06,0.02946,0.0304,0.02934,0.03031,58091643.9,1734251.530248,15498,,
2024-07-07,0.0303,0.03032,0.02764,0.02765,168197234.0,4873485.081864,20011,,
2024-07-08,0.02766,0.02819,0.02712,0.0278,336779956.1,9317216.480711,30257,,
2024-07-09,0.02779,0.02867,0.02768,0.0286,312811208.3,8859776.301265,17938,,
2024-07-10,0.0286,0.02922,0.02821,0.02849,215343474.0,6151114.636465,12892,,
2024-07-11,0.02849,0.02882,0.02834,0.02847,75240033.7,2150214.516679,8269,,
2024-07-12,0.02848,0.02903,0.02828,0.02903,170717180.5,4915734.178267,8794,,
2024-07-13,0.02903,0.03005,0.02901,0.02978,79282865.2,2343730.247913,8190,,
2024-07-14,0.02978,0.03002,0.02949,0.02982,98780621.7,2945834.864973,7332,,
2024-07-15,0.02982,0.03025,0.02969,0.03021,271573292.7,8124091.719818,10483,,
2024-07-16,0.03023,0.03027,0.02933,0.02991,241702977.3,7230119.967594,11149,,
2024-07-17,0.0299,0.03031,0.02969,0.0297,45191716.6,1358232.400739,5477,,
2024-07-18,0.02969,0.03008,0.02954,0.02998,35025635.8,1044518.676745,4594,,
2024-07-19,0.02997,0.03044,0.0297,0.03036,53164902.1,1598569.137678,5729,,
2024-07-20,0.03037,0.03038,0.02993,0.03011,34338641.0,1036108.972118,5264,,
2024-07-21,0.03013,0.03046,0.02931,0.02994,84067278.0,2508030.258307,7356,,
2024-07-22,0.02995,0.03011,0.02877,0.02884,93471439.5,2749755.736699,8219,,
2024-07-23,0.02884,0.02909,0.02841,0.02859,95645545.8,2745847.194247,7842,,
2024-07-24,0.02858,0.02876,0.02849,0.02864,25695145.4,735799.216059,3840,,
2024-07-25,0.02863,0.02962,0.02822,0.02901,168431084.7,4875563.95333,14850,,
2024-07-26,0.02901,0.02965,0.02878,0.02965,32724996.6,954105.511456,4530,,
2024-07-27,0.02965,0.02992,0.02943,0.02968,31687769.5,940500.188162,4625,,
2024-07-28,0.02967,0.02989,0.02941,0.02989,19597954.7,580433.23122,3173,,
2024-07-29,0.02989,0.03011,0.02957,0.02963,42825903.3,1278933.663543,5893,,
2024-07-30,0.02964,0.02973,0.02868,0.02871,25084703.0,731635.060883,4170,,
2024-07-31,0.0287,0.02876,0.0277,0.02775,35750343.5,1009642.818015,10178,,
2024-08-01,0.02775,0.02911,0.02772,0.02848,171766266.0,4884866.5514,24794,,
2024-08-02,0.02845,0.02847,0.02672,0.02686,62775701.0,1727842.893771,12340,,
2024-08-03,0.02684,0.02745,0.02633,0.02662,70907559.7,1899872.277749,14026,,
2024-08-04,0.02662,0.02764,0.02622,0.02641,134280776.6,3591338.556769,19133,,
2024-08-05,0.02641,0.02644,0.02395,0.02493,281138879.7,7059673.190026,37588,,
2024-08-06,0.02494,0.02557,0.02491,0.02549,57123512.9,1447851.418298,14997,,
2024-08-07,0.0255,0.02583,0.02523,0.02558,55504575.8,1416402.739256,13486,,
2024-08-08,0.02558,0.02702,0.02541,0.02702,68103074.2,1784501.59825,13785,,
2024-08-09,0.02701,0.02709,0.02651,0.02704,72551748.1,1947023.984448,11016,,
2024-08-10,0.02705,0.02733,0.027,0.02715,44767363.3,1215255.707595,8479,,
2024-08-11,0.02715,0.0276,0.02664,0.02665,107523151.2,2924639.246437,13333,,
2024-08-12,0.02666,0.02696,0.02639,0.02679,51998926.6,1390155.10324,11047,,
2024-08-13,0.0268,0.02699,0.02646,0.02688,38159178.1,1018518.925782,7548,,
2024-08-14,0.0269,0.02742,0.02684,0.02717,36824350.2,997530.381557,8331,,
2024-08-15,0.02716,0.02748,0.02696,0.02701,25405943.1,692363.205515,5607,,
2024-08-16,0.02702,0.0275,0.02669,0.0274,43674405.3,1181954.21957,7260,,
2024-08-17,0.02739,0.02836,0.02734,0.0281,39926939.4,1114496.100596,8043,,
2024-08-18,0.02811,0.02811,0.02772,0.028,11143590.9,310726.014992,3140,,
2024-08-19,0.028,0.02914,0.02762,0.02913,27543857.4,781254.694879,6741,,
2024-08-20,0.02912,0.03216,0.02907,0.03167,202695315.2,6248693.424172,31350,,
2024-08-21,0.03165,0.03382,0.03042,0.03097,314819514.7,10088422.802198,49147,,
2024-08-22,0.03098,0.03224,0.03042,0.03133,154036709.2,4828564.57424,24745,,
2024-08-23,0.03132,0.03207,0.0309,0.03201,81339308.3,2549808.929595,14709,,
2024-08-24,0.032,0.03452,0.03194,0.03258,204621261.0,6822201.393813,37170,,
2024-08-25,0.03256,0.03405,0.03176,0.03347,130804589.7,4281073.039754,20833,,
2024-08-26,0.03344,0.03344,0.03108,0.03109,73673031.7,2371130.165042,11490,,
2024-08-27,0.03109,0.03133,0.02986,0.03002,37884674.3,1164892.102539,8469,,
2024-08-28,0.03002,0.03046,0.02978,0.03005,38237856.3,1151315.801121,7815,,
2024-08-29,0.03005,0.03075,0.03004,0.03029,23981652.4,729713.659211,6251,,
2024-08-30,0.03028,0.0327,0.03012,0.03208,194657562.6,6174329.396882,28579,,
2024-08-31,0.03208,0.03212,0.03087,0.03094,43525854.4,1365854.77156,7646,,
2024-09-01,0.03093,0.03102,0.0299,0.02994,29714326.2,902654.759785,6886,,
2024-09-02,0.02993,0.03024,0.02987,0.03009,19793035.6,594899.821112,4754,,
2024-09-03,0.0301,0.03018,0.02863,0.02863,37123580.1,1092508.525667,6356,,
2024-09-04,0.02863,0.02921,0.02826,0.02883,59251413.2,1704027.90113,9770,,
2024-09-05,0.02883,0.02886,0.02833,0.02835,15908086.4,453716.141729,3069,,
2024-09-06,0.02835,0.02847,0.02759,0.02791,27557235.7,773782.624587,4520,,
2024-09-07,0.02792,0.02829,0.02778,0.02786,28302227.5,793685.90369,4506,,
2024-09-08,0.02789,0.02852,0.02784,0.02845,23865234.9,673207.438741,3899,,
2024-09-09,0.02845,0.02882,0.02832,0.02878,15506299.5,443060.367583,3308,,
2024-09-10,0.02878,0.02879,0.02822,0.02852,15869930.2,451716.942428,4214,,
2024-09-11,0.02851,0.02854,0.02801,0.02821,14289559.7,402934.443205,4552,,
2024-09-12,0.02821,0.02845,0.02815,0.02835,12915410.4,365346.224689,3431,,
2024-09-13,0.02835,0.02836,0.02807,0.02835,19217067.8,542501.196689,4242,,
2024-09-14,0.02835,0.02836,0.028,0.02806,10449862.9,294255.711276,3109,,
