date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,3.798,3.851,3.627,3.772,4797883.6,17978905.0427,44496,,
2024-05-25,3.769,3.856,3.727,3.77,5870250.2,22256766.1282,48175,,
2024-05-26,3.771,3.798,3.528,3.55,5783171.5,20916905.4036,48388,,
2024-05-27,3.55,3.813,3.533,3.562,12436262.9,45148060.9687,104624,,
2024-05-28,3.562,3.814,3.398,3.688,15518178.7,55693217.0951,133837,,
2024-05-29,3.688,3.971,3.591,3.79,14587504.1,55739732.0913,136294,,
2024-05-30,3.79,3.845,3.577,3.642,9064096.0,33561954.8679,77622,,
2024-05-31,3.641,3.65,3.421,3.499,5731307.1,20233601.2558,51859,,
2024-06-01,3.499,3.581,3.42,3.526,3516848.3,12428565.141,28861,,
2024-06-02,3.526,3.631,3.382,3.474,4858102.2,17059654.1256,43955,,
2024-06-03,3.472,3.612,3.416,3.493,4878482.7,17179750.3916,41766,,
2024-06-04,3.494,3.758,3.479,3.675,6532927.8,23792264.0347,58534,,
2024-06-05,3.675,3.776,3.61,3.712,5887390.5,21786044.0743,55162,,
2024-06-06,3.711,3.741,3.544,3.595,3131829.4,11390715.9184,31289,,
2024-06-07,3.595,3.686,2.892,3.324,11259731.2,38652889.7278,115799,,
2024-06-08,3.324,3.377,3.109,3.164,4786385.8,15392297.1233,39951,,
2024-06-09,3.162,3.356,3.142,3.304,3386427.5,11025471.3529,33396,,
2024-06-10,3.306,3.311,3.136,3.17,3474794.0,11168790.6737,32803,,
2024-06-11,3.17,3.224,2.816,2.894,8246595.9,24606599.1969,66014,,
2024-06-12,2.893,3.3,2.781,3.168,8186202.3,25408662.1927,80151,,
2024-06-13,3.167,3.301,2.936,2.974,5970428.5,18388828.9182,70165,,
2024-06-14,2.974,3.08,2.687,2.808,6564102.6,18913688.28861,66573,,
2024-06-15,2.808,2.946,2.789,2.844,3565117.2,10223575.359,30458,,
2024-06-16,2.844,2.938,2.758,2.906,2443984.8,6985755.993,23047,,
2024-06-17,2.907,2.944,2.52,2.675,4169474.1,11284990.63396,42085,,
2024-06-18,2.675,2.687,2.232,2.389,9729357.8,23537147.75389,85942,,
2024-06-19,2.389,2.533,2.338,2.378,5042785.7,12242691.2348,44893,,
2024-06-20,2.378,2.538,2.317,2.354,4170045.2,10050003.6255,37783,,
2024-06-21,2.353,2.599,2.312,2.564,6864827.0,16816698.285,63329,,
2024-06-22,2.563,2.577,2.395,2.405,3453184.8,8549085.0087,30920,,
2024-06-23,2.404,2.473,2.263,2.311,2447637.0,5793041.3929,21843,,
2024-06-24,2.312,2.407,2.1,2.332,5754108.4,13019608.87899,54584,,
2024-06-25,2.331,2.513,2.303,2.452,3857946.5,9327726.3903,32672,,
2024-06-26,2.454,2.496,2.318,2.359,2514939.9,6036236.7177,29554,,
2024-06-27,2.358,2.751,2.346,2.513,10553743.8,27112110.9911,83299,,
2024-06-28,2.512,2.582,2.273,2.311,6864266.1,16630517.1814,53522,,
2024-06-29,2.31,2.345,2.264,2.282,1961811.7,4534662.6162,16849,,
2024-06-30,2.28,2.429,2.237,2.418,3242285.8,7545393.8197,23969,,
2024-07-01,2.42,2.448,2.369,2.392,2774625.4,6691285.7998,21399,,
2024-07-02,2.391,2.559,2.355,2.53,4478861.1,10904757.5154,39222,,
2024-07-03,2.531,2.578,2.204,2.222,8130536.0,19251883.588,67460,,
2024-07-04,2.223,2.235,1.862,1.884,12520827.9,25639172.89739,91682,,
2024-07-05,1.884,1.964,1.655,1.92,14748672.0,26723201.75999,127767,,
2024-07-06,1.917,2.041,1.868,2.023,5626952.3,10923841.5769,46684,,
2024-07-07,2.024,2.044,1.889,1.902,4367200.6,8601566.8331,33880,,
2024-07-08,1.902,2.133,1.83,2.095,7917337.6,16126626.075,69911,,
2024-07-09,2.095,2.148,2.037,2.101,4273520.8,8940547.0793,35658,,
2024-07-10,2.101,2.174,2.045,2.084,3445635.6,7252916.4694,30639,,
2024-07-11,2.085,2.188,1.977,1.994,3296052.4,6879491.186,29835,,
2024-07-12,1.995,2.039,1.963,2.03,2135990.2,4293732.4523,18173,,
2024-07-13,2.03,2.058,1.981,2.015,2196388.6,4431009.9077,21332,,
2024-07-14,2.015,2.153,2.014,2.138,2150726.3,4506655.0022,19293,,
2024-07-15,2.135,2.5,2.127,2.477,5975131.7,13677321.4384,46918,,
2024-07-16,2.478,2.519,2.267,2.462,6311318.8,15117832.7317,63978,,
2024-07-17,2.461,2.651,2.392,2.399,6475026.7,16304706.6423,61612,,
2024-07-18,2.4,2.527,2.353,2.463,3987010.9,9736784.6481,40998,,
2024-07-19,2.463,2.808,2.389,2.752,10509302.7,27865596.7854,116339,,
2024-07-20,2.751,2.834,2.717,2.774,4843677.6,13463511.4581,52488,,
2024-07-21,2.775,2.958,2.65,2.909,5327781.7,14862326.6865,69635,,
2024-07-22,2.907,2.923,2.604,2.674,3814688.0,10496782.1006,49989,,
2024-07-23,2.673,2.722,2.43,2.473,5119932.9,13187602.2633,60255,,
2024-07-24,2.474,2.82,2.455,2.744,7892770.3,21096112.9573,97052,,
2024-07-25,2.744,2.89,2.57,2.62,11569938.2,31459923.6859,132984,,
2024-07-26,2.622,3.248,2.62,3.223,10661755.2,31967874.499,128415,,
2024-07-27,3.224,3.277,3.02,3.121,9167785.6,28957471.6968,106362,,
2024-07-28,3.12,3.187,3.045,3.117,4197484.6,13118100.9511,55811,,
2024-07-29,3.118,3.338,3.016,3.126,11915140.4,37860181.5821,142891,,
2024-07-30,3.127,3.245,3.053,3.098,6523274.3,20460702.8654,80642,,
2024-07-31,3.099,3.357,2.886,2.981,12072816.6,37649037.4046,141478,,
2024-08-01,2.982,3.064,2.686,2.926,10349785.1,30135581.3078,118112,,
2024-08-02,2.924,2.944,2.61,2.658,6835899.5,18897347.9676,89548,,
2024-08-03,2.659,2.7,2.317,2.394,5521067.0,13764618.8314,71974,,
2024-08-04,2.394,2.453,2.177,2.327,5325504.5,12420404.4108,57046,,
2024-08-05,2.328,2.42,1.901,2.192,21467082.4,46223194.272,252783,,
2024-08-06,2.192,2.423,2.183,2.321,7853144.6,18276136.9763,93730,,
2024-08-07,2.321,2.617,2.276,2.34,10773626.3,26326286.3274,125828,,
2024-08-08,2.34,2.818,2.286,2.788,12186928.0,32332352.1232,137229,,
2024-08-09,2.789,2.89,2.723,2.799,6662674.8,18609829.8805,77069,,
2024-08-10,2.8,2.831,2.632,2.666,3250419.4,8802344.6948,48869,,
2024-08-11,2.665,2.779,2.43,2.432,5941605.0,15584989.9229,73741,,
2024-08-12,2.431,2.662,2.428,2.527,7675319.4,19519336.0414,83128,,
2024-08-13,2.526,2.58,2.408,2.514,4553751.4,11302985.2846,42836,,
2024-08-14,2.512,2.689,2.426,2.472,4841935.0,12275800.1376,53961,,
2024-08-15,2.472,2.512,2.243,2.326,5807474.0,13778684.4962,55781,,
2024-08-16,2.325,2.437,2.279,2.334,4823033.7,11342404.0872,53901,,
2024-08-17,2.333,2.4,2.305,2.386,2600193.2,6109247.1199,24181,,
2024-08-18,2.385,2.389,2.283,2.288,3997510.8,9367763.538,39322,,
2024-08-19,2.288,2.382,2.229,2.359,4762654.2,11009539.3475,39839,,
2024-08-20,2.36,2.448,2.338,2.398,3083627.8,7417132.8259,26731,,
2024-08-21,2.398,2.423,2.266,2.376,3811825.6,8927042.4017,32813,,
2024-08-22,2.377,2.464,2.352,2.427,2195762.8,5319126.6563,21627,,
2024-08-23,2.429,2.747,2.426,2.695,4802994.4,12399119.2117,51794,,
2024-08-24,2.696,2.914,2.645,2.76,4897361.6,13543262.4359,52779,,
2024-08-25,2.758,2.762,2.636,2.703,2837959.8,7640919.2103,31720,,
2024-08-26,2.706,2.776,2.56,2.566,4882195.2,13044274.5369,51406,,
2024-08-27,2.566,2.719,2.359,2.421,5136560.1,13181399.5246,50822,,
2024-08-28,2.421,2.507,2.299,2.364,4626137.7,11162520.7297,43584,,
2024-08-29,2.363,2.48,2.303,2.355,4482812.3,10819625.4135,34315,,
2024-08-30,2.353,2.39,2.131,2.233,3358401.1,7538171.1497,35822,,
2024-08-31,2.233,2.264,2.158,2.209,1313727.1,2918483.109,16552,,
2024-09-01,2.209,2.216,2.068,2.087,1762656.5,3784922.4125,23380,,
2024-09-02,2.085,2.224,2.076,2.195,2334565.1,5019456.0708,20043,,
2024-09-03,2.194,2.268,2.096,2.1,2382632.8,5233074.4826,20357,,
2024-09-04,2.1,2.23,1.995,2.17,2883318.7,6103288.5916,27862,,
2024-09-05,2.169,2.268,1.98,1.982,7753193.2,16670779.0799,62513,,
2024-09-06,1.982,2.084,1.844,1.929,7795673.8,15366941.5606,61491,,
2024-09-07,1.929,1.978,1.902,1.936,1571602.5,3047927.9305,14149,,
2024-09-08,1.936,2.056,1.924,2.027,1824218.2,3620641.0566,16992,,
2024-09-09,2.027,2.119,2.006,2.058,2887191.9,5922601.0622,27160,,
2024-09-10,2.059,2.061,1.977,2.002,4284539.3,8632215.2622,32022,,
2024-09-11,2.002,2.007,1.836,1.904,3995125.0,7639050.1736,31381,,
2024-09-12,1.904,2.019,1.903,1.999,3351315.1,6556550.6239,38444,,
2024-09-13,1.999,2.088,1.948,2.066,3988825.6,8107575.1359,37469,,
2024-09-14,2.066,2.097,1.978,2.009,1963176.0,3967556.798,23024,,
2024-09-15,2.01,2.073,1.911,1.941,3030156.3,6120575.3129,35976,,
2024-09-16,1.94,1.973,1.863,1.894,3244135.3,6216384.737,35993,,
2024-09-17,1.892,2.074,1.879,2.025,4511063.8,8987959.5533,37128,,
2024-09-18,2.024,2.097,1.942,2.096,4636903.2,9388248.7517,35970,,
2024-09-19,2.097,2.28,2.092,2.205,5392772.1,11837950.8651,40408,,
2024-09-20,2.205,2.386,2.167,2.296,4632062.6,10631790.7486,41073,,
2024-09-21,2.296,2.298,2.212,2.279,2102131.6,4736366.0245,19804,,
2024-09-22,2.279,2.285,2.065,2.148,2756213.2,5952192.9025,25886,,
2024-09-23,2.149,2.31,2.112,2.248,5189903.8,11597021.0381,43421,,
2024-09-24,2.247,2.45,2.179,2.401,6706864.3,15584904.9981,58950,,
2024-09-25,2.402,2.436,2.277,2.297,5235767.2,12392458.1742,39103,,
2024-09-26,2.299,2.53,2.252,2.426,8590642.3,20788405.0474,72900,,
2024-09-27,2.425,2.571,2.39,2.494,11205676.7,27813839.7207,91685,,
2024-09-28,2.495,2.569,2.417,2.48,5606163.7,14039921.1661,50057,,
2024-09-29,2.48,2.571,2.361,2.494,4464761.6,11016291.6736,40402,,
2024-09-30,2.495,2.518,2.254,2.284,4672057.9,11175445.308,42189,,
2024-10-01,2.283,2.396,2.029,2.099,5898058.7,12989752.5198,54370,,
2024-10-02,2.098,2.212,1.996,2.056,4219102.7,8869527.8663,40775,,
2024-10-03,2.056,2.121,1.918,1.99,3434465.0,6931962.5058,34250,,
2024-10-04,1.988,2.101,1.969,2.056,2971543.7,6058802.0497,28401,,
2024-10-05,2.056,2.091,1.986,2.03,1973277.3,4057006.8268,14839,,
2024-10-06,2.03,2.112,1.957,2.092,3450125.8,7031763.0255,28191,,
2024-10-07,2.092,2.19,1.981,1.987,5670370.2,11841985.2235,33396,,
2024-10-08,1.987,2.023,1.89,1.937,3593247.4,7049080.6233,24032,,
2024-10-09,1.938,1.982,1.865,1.902,2856988.2,5506707.4003,19689,,
2024-10-10,1.901,1.934,1.8,1.878,4644168.9,8747884.0119,29668,,
2024-10-11,1.878,1.959,1.864,1.906,4403995.7,8449413.9652,23567,,
2024-10-12,1.906,2.005,1.902,1.953,2939700.5,5737950.0284,17639,,
2024-10-13,1.953,2.013,1.89,1.985,3481041.2,6806976.3942,25363,,
2024-10-14,1.985,2.369,1.94,2.319,10860760.1,23199121.5969,80596,,
2024-10-15,2.321,2.5,2.146,2.345,15053402.5,34960175.2963,135607,,
2024-10-16,2.345,2.347,2.175,2.207,5989585.5,13454245.0816,49806,,
2024-10-17,2.207,2.24,2.071,2.127,3999892.7,8610516.8073,34105,,
2024-10-18,2.127,2.301,2.121,2.22,4114770.4,9034334.5947,34703,,
2024-10-19,2.22,2.283,2.15,2.279,3013060.8,6650735.0658,23539,,
2024-10-20,2.279,2.382,2.222,2.337,4544373.1,10363715.5432,34121,,
2024-10-21,2.336,2.409,2.168,2.17,4591967.1,10477903.192,37070,,
2024-10-22,2.168,2.253,2.153,2.176,3643373.5,8024118.7183,33583,,
2024-10-23,2.177,2.295,2.073,2.278,5356197.5,11656413.5775,42459,,
2024-10-24,2.279,2.572,2.275,2.409,17303811.9,41911353.7627,155811,,
2024-10-25,2.411,2.455,2.06,2.167,10264400.2,23481905.3883,91727,,
2024-10-26,2.165,2.324,2.096,2.267,5642539.5,12488617.4463,52246,,
2024-10-27,2.269,2.505,2.237,2.491,8355823.6,19974168.4779,71861,,
2024-10-28,2.491,2.561,2.392,2.477,11258298.2,27898162.6056,99949,,
2024-10-29,2.477,2.554,2.399,2.453,8218062.5,20265712.8835,75132,,
2024-10-30,2.453,2.55,2.303,2.37,5786573.0,13877653.0494,53628,,
2024-10-31,2.369,2.405,2.254,2.287,4081504.7,9600644.956,36140,,
2024-11-01,2.287,2.369,2.211,2.245,3676646.8,8408761.9544,33649,,
2024-11-02,2.244,2.291,2.17,2.225,2289823.4,5090712.1013,21974,,
