date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.1792,1.1814,1.0843,1.1334,16461122.7,18480205.64845,97259,,
2024-05-25,1.1334,1.1743,1.1241,1.1671,11231906.1,12976177.41464,64218,,
2024-05-26,1.1676,1.1796,1.0983,1.1146,11972750.8,13547817.13186,62596,,
2024-05-27,1.1145,1.1943,1.1118,1.175,16999657.7,19614985.96744,99422,,
2024-05-28,1.1752,1.1964,1.1201,1.1555,21601841.0,25019470.96327,131046,,
2024-05-29,1.1557,1.2189,1.1335,1.1396,23091888.2,26961268.28819,126858,,
2024-05-30,1.1397,1.156,1.0735,1.1001,17610118.5,19677649.68853,99535,,
2024-05-31,1.1,1.1335,1.0767,1.0951,11279241.6,12423073.90734,71540,,
2024-06-01,1.0951,1.1073,1.0878,1.0976,6128839.2,6723738.67074,37634,,
2024-06-02,1.0968,1.1035,1.0526,1.0645,12750786.1,13778320.80342,63027,,
2024-06-03,1.0649,1.1179,1.055,1.091,11265016.3,12304763.35481,58086,,
2024-06-04,1.0912,1.1484,1.0748,1.1467,11607227.5,12871194.34641,59865,,
2024-06-05,1.1467,1.1842,1.14,1.1587,17626827.7,20494630.32979,80372,,
2024-06-06,1.1587,1.1682,1.0988,1.1172,11036875.5,12523710.28288,61230,,
2024-06-07,1.1175,1.129,0.9311,1.0322,25456335.3,26760437.98597,138928,,
2024-06-08,1.0321,1.0435,0.9722,0.9735,12148422.8,12168970.88265,62734,,
2024-06-09,0.9733,1.021,0.9582,1.0109,7844754.9,7774518.79004,41428,,
2024-06-10,1.0101,1.0161,0.9633,0.9697,10524019.9,10423724.02291,53135,,
2024-06-11,0.9697,0.9764,0.8954,0.9268,17605381.0,16429172.26819,88642,,
2024-06-12,0.9268,1.0125,0.8995,0.9695,21168911.1,20501319.495,102812,,
2024-06-13,0.9696,0.9715,0.8995,0.9038,16291710.0,15114730.95842,73137,,
2024-06-14,0.9039,0.9326,0.82,0.8678,18495699.1,16291491.22592,87687,,
2024-06-15,0.8678,0.888,0.8592,0.87,5486078.2,4804675.88841,31642,,
2024-06-16,0.8702,0.9304,0.8481,0.9272,8826875.7,7876984.9678,39099,,
2024-06-17,0.9272,0.9368,0.82,0.856,19962322.9,17487090.54891,80505,,
2024-06-18,0.8563,0.8618,0.7044,0.7397,42289072.9,31943664.27569,150380,,
2024-06-19,0.7396,0.7997,0.7091,0.7732,29018614.0,21954729.54426,102219,,
2024-06-20,0.7733,0.8334,0.7552,0.7664,24240803.0,19066091.92259,91206,,
2024-06-21,0.7668,0.7898,0.7311,0.7655,14645253.2,11110950.68587,73594,,
2024-06-22,0.7655,0.7918,0.7552,0.7752,9520517.3,7408555.89275,40039,,
2024-06-23,0.7752,0.7875,0.7324,0.735,8438670.6,6423737.48377,32438,,
2024-06-24,0.7351,0.7742,0.6787,0.7692,25553062.4,18612907.02461,89793,,
2024-06-25,0.7692,0.8318,0.7564,0.807,25476030.5,20246492.40278,84365,,
2024-06-26,0.807,0.8249,0.769,0.7831,12211124.1,9713492.27075,52081,,
2024-06-27,0.7838,0.8909,0.7665,0.8553,30520601.6,25655645.41745,118899,,
2024-06-28,0.8551,0.8695,0.7859,0.7911,16928240.5,13957107.627,69850,,
2024-06-29,0.7909,0.8201,0.7889,0.7953,8154624.4,6570864.18906,30679,,
2024-06-30,0.7956,0.8281,0.7748,0.8198,12316720.8,9897968.62667,47326,,
2024-07-01,0.82,0.8603,0.8144,0.8489,15402116.7,12815618.68797,58039,,
2024-07-02,0.8487,0.8898,0.8341,0.8855,19335716.4,16622293.26245,85602,,
2024-07-03,0.8853,0.8927,0.7726,0.7768,26488124.7,21619135.09048,102500,,
2024-07-04,0.777,1.1,0.7187,0.7273,77292918.1,60651450.53484,266821,,
2024-07-05,0.7272,0.7615,0.6328,0.741,59272899.8,41192117.73622,221923,,
2024-07-06,0.7407,0.805,0.7253,0.7985,25085466.9,19136149.27717,102144,,
2024-07-07,0.7987,0.7993,0.6868,0.69,30074449.7,22389167.40167,101658,,
2024-07-08,0.69,0.7447,0.6576,0.7265,35563338.1,25194120.46093,124813,,
2024-07-09,0.7265,0.804,0.7123,0.7885,28172603.8,21752392.95486,101566,,
2024-07-10,0.7887,0.815,0.7666,0.7795,13881556.2,10953328.38587,53374,,
2024-07-11,0.7798,0.8,0.7328,0.7341,20619562.8,15774385.52142,73523,,
2024-07-12,0.7344,0.7687,0.72,0.7612,13646274.3,10136761.73583,56831,,
2024-07-13,0.7615,0.7791,0.7507,0.7661,9811809.3,7468774.88303,42806,,
2024-07-14,0.7657,0.828,0.7654,0.8206,21344524.2,17125182.70899,85299,,
2024-07-15,0.8203,0.9125,0.8142,0.9061,21021460.0,18089003.0109,89397,,
2024-07-16,0.9062,0.9166,0.8388,0.9094,24777277.3,21861405.95211,111346,,
2024-07-17,0.9092,0.9511,0.8863,0.8964,23291725.9,21508189.54702,101178,,
2024-07-18,0.8964,0.993,0.8964,0.9657,33009664.3,31487650.05501,172231,,
2024-07-19,0.9658,1.04,0.934,1.0137,31880801.2,31559022.48445,157805,,
2024-07-20,1.0136,1.0562,0.9914,1.0355,19835346.9,20286871.05507,115783,,
2024-07-21,1.0355,1.0914,0.9884,1.0872,21854569.3,22706210.41931,157656,,
2024-07-22,1.0872,1.09,0.9951,1.0081,20702247.8,21548253.90941,149857,,
2024-07-23,1.0082,1.0189,0.9338,0.9518,20159502.0,19591102.11511,131586,,
2024-07-24,0.9515,1.0306,0.9435,0.9969,22738850.4,22626532.0493,140677,,
2024-07-25,0.9964,1.013,0.9196,0.9571,39516219.0,38053384.23771,221108,,
2024-07-26,0.9573,1.0812,0.9555,1.0711,26404048.6,27268354.10347,166400,,
2024-07-27,1.0712,1.1797,1.0589,1.0963,49117522.3,55012098.64594,300059,,
2024-07-28,1.0958,1.156,1.0867,1.1188,24127666.7,27149675.05689,163371,,
2024-07-29,1.1185,1.2246,1.087,1.0883,43459901.3,50568908.04848,238961,,
2024-07-30,1.0886,1.1119,1.0304,1.0441,26702006.0,28681987.05084,160411,,
2024-07-31,1.044,1.084,1.0,1.0003,26210400.3,27540749.87669,147598,,
2024-08-01,1.0004,1.0312,0.9449,1.0263,37204835.4,36583875.64217,194868,,
2024-08-02,1.0263,1.0421,0.8924,0.9116,48831813.0,47210218.92497,256419,,
2024-08-03,0.9116,0.9211,0.8126,0.8359,36889097.1,32107866.70525,166112,,
2024-08-04,0.8358,0.871,0.7674,0.8253,41956710.0,34536932.88815,189420,,
2024-08-05,0.8253,0.8322,0.6579,0.7362,138759359.0,101946305.53679,678786,,
2024-08-06,0.7361,0.8658,0.7337,0.8287,50018136.1,40789317.99464,220694,,
2024-08-07,0.8286,0.9005,0.7869,0.7937,43765041.4,37035925.04803,213600,,
2024-08-08,0.7937,0.915,0.773,0.9122,43234532.1,37186824.98082,175932,,
2024-08-09,0.9124,0.9148,0.8413,0.883,21531238.2,18776278.52122,81330,,
2024-08-10,0.8828,0.899,0.8551,0.8675,11208789.8,9764681.41054,54396,,
2024-08-11,0.8676,0.8921,0.7843,0.7866,18903692.8,15800871.3234,75179,,
2024-08-12,0.7868,0.8499,0.7829,0.8174,26309749.4,21496489.22792,92897,,
2024-08-13,0.8171,0.8335,0.7926,0.8194,16784370.3,13619907.38309,56003,,
2024-08-14,0.8193,0.8466,0.7811,0.7906,18787386.6,15199069.87047,73171,,
2024-08-15,0.7906,0.7994,0.7434,0.7694,20416873.2,15829835.37135,71051,,
2024-08-16,0.7694,0.7822,0.7245,0.7436,15250760.6,11485679.03761,55646,,
2024-08-17,0.7434,0.7638,0.7348,0.7601,8212995.0,6147913.88765,31585,,
2024-08-18,0.7599,0.793,0.75,0.7628,11443786.4,8873078.64057,45819,,
2024-08-19,0.7635,0.7812,0.7408,0.7781,14043823.5,10698354.94565,54654,,
2024-08-20,0.7779,0.8121,0.7664,0.7796,15857289.8,12561320.2189,60019,,
2024-08-21,0.7794,0.8041,0.7621,0.7952,14265969.6,11176822.96169,63560,,
2024-08-22,0.7955,0.8122,0.7785,0.8036,9870851.8,7870946.39545,40421,,
2024-08-23,0.8037,0.8886,0.802,0.8784,16227362.5,13687729.63926,69553,,
2024-08-24,0.8787,0.9472,0.8687,0.9201,20780506.1,18929674.93872,90893,,
2024-08-25,0.9201,0.9213,0.8638,0.8869,14386312.3,12793541.00945,69164,,
2024-08-26,0.8867,0.9275,0.8734,0.8784,33831842.3,30407699.09064,145509,,
