date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-11-03,0.03,0.125,0.03,0.0774,1863769096.5,164800584.2961,1522714,145418382.9892499,325557500.8546367
2025-11-04,0.0773,0.0779,0.061,0.0689,974665851.8,67118198.1723,418671,145418382.9892499,325557500.8546367
2025-11-05,0.0689,0.1333,0.065,0.0868,1082856360.5,101397418.32172,546430,123878623.64015672,229797395.89901176
2025-11-06,0.0867,0.0935,0.0682,0.0688,370107826.0,28906543.77007,249194,155844264.15339366,352919255.69829196
2025-11-07,0.0688,0.0778,0.0663,0.0767,309666455.4,22529608.56237,213659,123631549.70073473,114833478.88628015
2025-11-08,0.0766,0.0804,0.0678,0.0761,273667368.1,20317345.27962,203959,137919224.38973156,117088464.47817811
2025-11-09,0.076,0.1034,0.0737,0.0887,628248278.0,54020848.77598,437268,137082381.99628183,100576676.63624226
2025-11-10,0.0888,0.0999,0.0821,0.0835,317883529.7,28188168.61438,230336,159419058.55444726,235184215.3916989
2025-11-11,0.0835,0.0877,0.0774,0.0799,324214300.1,26854192.61889,207273,150277346.9877954,136174195.4419214
2025-11-12,0.08,0.0892,0.0776,0.0822,365607202.1,30658943.24311,260726,144054987.78867528,203791804.21455476
2025-11-13,0.0821,0.0885,0.0723,0.0733,510594633.4,41139324.56843,289815,148287396.80968586,148700198.2567666
2025-11-14,0.0733,0.0774,0.0692,0.0757,436835806.2,31745624.37013,227633,132418494.05716789,193283823.23563665
2025-11-15,0.0758,0.0855,0.0734,0.0818,794728027.2,63166469.93896,325218,135563841.97355938,114581650.17500356
2025-11-16,0.0817,0.0893,0.0799,0.0865,1386709252.3,116520021.59417,468606,148111887.0411292,184555561.06268963
2025-11-17,0.0864,0.095,0.0752,0.0804,7707358839.4,671874312.07747,1397083,156265163.61878178,330141461.8195014
2025-11-18,0.0805,0.089,0.0773,0.0868,163436164.9,13315730.82308,73713,144368569.7551827,1333154813.5962303
2025-11-19,0.0868,0.0941,0.0812,0.0925,197386892.8,17341777.63975,79412,155596746.18102956,68250151.70104831
2025-11-20,0.0926,0.0985,0.0877,0.0897,171317024.3,15962157.24581,69566,164988057.84438056,89510676.29424098
2025-11-21,0.0897,0.1041,0.0824,0.0995,254877635.9,23762943.94428,87519,162097396.00666767,85847331.13870247
2025-11-22,0.0995,0.1161,0.0958,0.0996,297556444.9,30685710.00422,153905,177858797.0710149,99229388.65668756
2025-11-23,0.0996,0.1053,0.0931,0.0979,112883256.2,11253115.20305,66327,179532741.51428723,129620028.24476115
2025-11-24,0.0979,0.1024,0.0932,0.1007,85835001.3,8389208.05477,46527,176786063.34037748,60661521.33630838
