date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.136,2.491,2.106,2.368,38634784.56,89035500.2025,324737,,
2024-05-25,2.368,2.622,2.335,2.428,18105285.18,45531933.96885,175976,,
2024-05-26,2.428,2.723,2.402,2.567,22018331.25,57005880.31809,236710,,
2024-05-27,2.566,2.684,2.461,2.487,17037539.21,43881916.37669,180439,,
2024-05-28,2.488,2.55,2.339,2.355,14463959.47,35188086.93777,149559,,
2024-05-29,2.356,2.436,2.296,2.316,15896470.65,37249304.37838,141727,,
2024-05-30,2.315,2.406,2.205,2.387,12079876.65,27798833.06159,111070,,
2024-05-31,2.386,2.562,2.31,2.528,16183821.43,39373749.38077,149229,,
2024-06-01,2.528,2.595,2.421,2.438,8161095.47,20471819.26711,75727,,
2024-06-02,2.438,2.48,2.32,2.349,8547308.72,20475105.48931,81868,,
2024-06-03,2.349,2.438,2.281,2.303,9058963.72,21412220.37152,79962,,
2024-06-04,2.302,2.348,2.262,2.325,6552088.1,15078692.90919,59715,,
2024-06-05,2.325,2.36,2.235,2.266,11243193.66,25643413.19715,88682,,
2024-06-06,2.265,2.288,2.144,2.193,9502102.93,21150105.5057,72547,,
2024-06-07,2.192,2.288,1.804,2.03,20612753.5,43124188.79461,163038,,
2024-06-08,2.03,2.067,1.907,1.931,7412349.45,14698551.55747,61918,,
2024-06-09,1.93,1.977,1.858,1.881,7795614.1,14976086.59008,60528,,
2024-06-10,1.882,1.943,1.854,1.869,7966554.44,15122243.67799,68635,,
2024-06-11,1.868,1.876,1.756,1.831,15585321.09,28575170.22434,130353,,
2024-06-12,1.832,2.055,1.766,2.002,12943435.45,25326101.68463,127231,,
2024-06-13,2.001,2.016,1.844,1.862,10869614.74,20938899.36026,110288,,
2024-06-14,1.862,2.014,1.818,1.982,17314786.57,33465770.62386,160621,,
2024-06-15,1.981,2.101,1.976,2.073,11008125.78,22567276.01932,109038,,
2024-06-16,2.074,2.245,1.971,2.15,13366170.15,28513387.21155,137985,,
2024-06-17,2.15,2.201,1.975,1.987,22387636.54,46842837.97834,223185,,
2024-06-18,1.986,2.196,1.725,2.188,35404815.85,70786359.43087,343990,,
2024-06-19,2.188,2.414,2.158,2.332,37047942.2,86398106.81597,339668,,
2024-06-20,2.332,2.389,2.173,2.317,24014069.86,54648230.82394,219900,,
2024-06-21,2.319,2.386,2.183,2.265,14355835.26,32480849.14701,145103,,
2024-06-22,2.265,2.279,2.14,2.154,6897157.56,15156191.20387,76251,,
2024-06-23,2.154,2.261,2.039,2.071,12473299.91,27161355.17705,127944,,
2024-06-24,2.071,2.479,1.992,2.384,31295830.0,70035563.62574,288227,,
2024-06-25,2.383,2.464,2.276,2.334,16499599.7,39175631.5753,146631,,
2024-06-26,2.333,2.506,2.265,2.431,15966384.69,37854789.0619,155933,,
2024-06-27,2.431,2.476,2.309,2.346,10152116.2,24174683.62299,119821,,
2024-06-28,2.345,2.444,1.861,1.874,38594978.74,81266014.99431,317846,,
2024-06-29,1.874,2.009,1.853,1.922,18057320.41,35287467.9071,124674,,
2024-06-30,1.923,2.001,1.893,1.974,12106838.92,23473094.60698,97651,,
2024-07-01,1.974,2.098,1.949,2.005,13058344.53,26381335.69258,108577,,
2024-07-02,2.005,2.054,1.885,1.909,12149204.85,24102681.6873,114696,,
2024-07-03,1.91,1.92,1.697,1.725,22005165.12,39170724.02521,152094,,
2024-07-04,1.725,1.783,1.6,1.617,25105841.83,42950009.54766,186878,,
2024-07-05,1.617,1.653,1.395,1.58,25554117.68,39507029.07713,193644,,
2024-07-06,1.58,1.657,1.54,1.635,12755371.57,20386162.52879,81374,,
2024-07-07,1.634,1.64,1.508,1.565,6966903.02,10999473.54201,51080,,
2024-07-08,1.565,1.695,1.502,1.566,14909754.01,23667057.90051,121479,,
2024-07-09,1.566,1.642,1.524,1.59,8050947.88,12747967.44951,64608,,
2024-07-10,1.59,1.712,1.528,1.684,18076915.46,28876306.74697,122259,,
2024-07-11,1.683,1.691,1.581,1.582,10780834.7,17678712.13066,98695,,
2024-07-12,1.582,1.723,1.557,1.707,10360037.1,17065089.30774,94545,,
2024-07-13,1.707,1.741,1.657,1.66,6631387.21,11284429.90679,60057,,
2024-07-14,1.66,1.766,1.656,1.75,8066245.27,13668569.19334,72481,,
2024-07-15,1.75,1.829,1.726,1.811,11161353.47,19741184.0996,98128,,
2024-07-16,1.81,1.872,1.711,1.828,11093075.44,19882230.48883,99670,,
