date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,16.596,17.798,16.56,17.25,7298192.05,126210221.12192,285342,,
2024-05-25,17.25,17.472,16.912,17.443,2426265.67,41668842.90567,104220,,
2024-05-26,17.442,17.915,16.991,17.042,3214720.65,55975360.47582,129901,,
2024-05-27,17.042,18.867,16.878,18.786,5638537.81,101809382.62813,244229,,
2024-05-28,18.791,18.838,17.847,18.528,5603881.79,102437426.27287,220611,,
2024-05-29,18.539,19.22,18.036,18.453,4377221.2,81824480.14262,203674,,
2024-05-30,18.453,19.207,17.781,17.944,3752099.99,68901339.3941,182696,,
2024-05-31,17.943,18.74,17.461,18.414,3063262.06,55169560.14045,151826,,
2024-06-01,18.411,18.686,18.266,18.443,1410910.67,26093242.6873,70502,,
2024-06-02,18.442,18.566,18.072,18.143,1523835.06,27912583.96317,79018,,
2024-06-03,18.142,18.359,17.539,17.629,2446283.0,43905977.56663,116312,,
2024-06-04,17.629,17.852,17.474,17.716,1872549.09,33108741.01947,86647,,
2024-06-05,17.716,18.082,17.6,17.741,2229505.03,39721212.45145,90205,,
2024-06-06,17.743,17.776,17.102,17.248,2933861.04,51171292.36675,110233,,
2024-06-07,17.248,17.722,15.3,16.318,4192706.62,70071328.53364,204195,,
2024-06-08,16.319,16.421,15.682,15.928,1915926.5,30705500.20944,80375,,
2024-06-09,15.929,16.383,15.901,16.372,1099628.14,17672329.90944,44208,,
2024-06-10,16.371,16.39,15.76,15.905,1775765.43,28406239.59595,70320,,
2024-06-11,15.906,15.913,14.662,14.988,3486215.88,53360601.49149,135904,,
2024-06-12,14.987,16.236,14.73,16.006,3534449.74,55451609.03928,144271,,
2024-06-13,16.007,16.05,15.052,15.141,2308110.11,35648129.52781,104113,,
2024-06-14,15.139,15.462,14.469,14.744,2962457.3,44344526.07192,112414,,
2024-06-15,14.745,15.113,14.702,14.857,1563299.76,23307238.40683,65714,,
2024-06-16,14.859,15.23,14.57,15.144,1514250.0,22623114.31908,61244,,
2024-06-17,15.141,15.22,14.017,14.523,2994665.1,43520971.91832,114404,,
2024-06-18,14.522,14.62,12.931,13.986,5575818.39,75772985.08947,222876,,
2024-06-19,13.986,14.503,13.913,14.345,2075689.63,29587077.81995,89803,,
2024-06-20,14.346,14.86,14.192,14.255,1908530.59,27641464.2479,84166,,
2024-06-21,14.26,14.595,13.844,13.848,3109887.06,44259723.52028,118665,,
2024-06-22,13.849,13.912,13.468,13.482,1389556.99,19049290.08838,53940,,
2024-06-23,13.483,13.685,13.123,13.194,1460540.28,19660625.41784,58524,,
2024-06-24,13.194,13.689,12.63,13.617,3776245.24,49893335.76386,149533,,
2024-06-25,13.617,14.291,13.571,14.198,2163785.76,30234318.08154,84648,,
2024-06-26,14.197,14.293,13.857,13.915,1473178.38,20708639.63275,61023,,
2024-06-27,13.917,14.63,13.585,14.433,2616406.14,36877510.92982,95310,,
2024-06-28,14.432,14.6,13.757,13.778,2211079.82,31484531.74658,101572,,
2024-06-29,13.777,14.167,13.481,13.543,1485231.67,20507933.28121,61724,,
2024-06-30,13.544,14.35,13.451,14.281,1645240.48,22634093.74383,57471,,
2024-07-01,14.279,14.579,14.22,14.338,1755091.25,25246456.98834,70302,,
2024-07-02,14.338,14.754,14.245,14.415,2151743.28,31255819.9625,81203,,
2024-07-03,14.413,14.596,13.5,13.589,3543779.54,50200003.43705,143070,,
2024-07-04,13.59,13.739,12.512,12.538,4607993.13,60327391.91545,185079,,
2024-07-05,12.539,12.549,11.053,12.311,8073983.29,95362871.17224,297252,,
2024-07-06,12.312,13.283,12.187,13.18,1887193.74,23916467.89665,72876,,
2024-07-07,13.18,13.195,12.289,12.352,1659445.12,21119755.17104,74799,,
2024-07-08,12.355,13.526,11.772,13.121,3902970.7,50276492.08459,181166,,
2024-07-09,13.119,13.316,12.73,12.841,3025500.29,39263137.55584,130875,,
2024-07-10,12.841,13.168,12.69,12.79,2316344.53,29878993.33726,83011,,
2024-07-11,12.791,13.191,12.291,12.347,2913398.11,37169659.23675,107979,,
2024-07-12,12.343,12.829,12.228,12.74,3147280.64,39356669.04637,96307,,
2024-07-13,12.743,13.136,12.7,13.021,1843029.13,23881659.38673,68977,,
2024-07-14,13.019,13.527,12.889,13.448,2749845.4,36209482.47733,80589,,
2024-07-15,13.448,14.511,13.405,14.394,3174140.86,44282081.63383,120356,,
