date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,85.45,86.48,84.01,85.0,591773.875,50467788.19284,117683,,
2024-05-25,85.0,85.98,84.43,84.98,251017.316,21365704.20448,78669,,
2024-05-26,84.99,85.26,83.54,83.9,279388.435,23577748.90249,74740,,
2024-05-27,83.91,86.43,83.82,85.24,346465.824,29493511.90762,95119,,
2024-05-28,85.24,85.54,82.06,83.44,475207.661,39676950.79491,128476,,
2024-05-29,83.44,84.21,82.63,83.59,334222.342,27953551.72354,85429,,
2024-05-30,83.58,85.54,81.9,84.42,441661.874,37126536.64859,114565,,
2024-05-31,84.43,84.7,82.02,83.21,355784.532,29728898.90631,96309,,
2024-06-01,83.21,83.74,82.92,83.48,172096.505,14344976.36493,63151,,
2024-06-02,83.48,83.53,82.2,83.11,285093.347,23633255.77463,65976,,
2024-06-03,83.11,84.29,82.65,82.82,379200.72,31657251.00082,93649,,
2024-06-04,82.83,83.7,81.11,83.65,340359.329,28056436.49822,96846,,
2024-06-05,83.66,85.47,83.49,85.44,302276.545,25467926.83991,76721,,
2024-06-06,85.44,85.84,84.16,84.19,296197.824,25200985.06128,92679,,
2024-06-07,84.19,84.83,75.0,80.13,782793.301,63136585.67506,195737,,
2024-06-08,80.13,80.46,78.84,79.97,257436.338,20544533.14603,66426,,
2024-06-09,79.96,80.71,79.49,80.49,163718.623,13125077.47588,51081,,
2024-06-10,80.5,80.52,79.07,79.66,245521.341,19564049.54007,66927,,
2024-06-11,79.67,79.85,75.55,77.32,673700.591,52448108.22137,153784,,
2024-06-12,77.31,79.28,76.33,78.5,474723.842,37067971.42731,123222,,
2024-06-13,78.5,79.79,77.27,79.15,375356.239,29518559.25383,104640,,
2024-06-14,79.15,80.27,75.9,77.61,513907.515,40329442.32135,120192,,
2024-06-15,77.61,79.47,77.45,79.23,234242.45,18429155.02655,68893,,
2024-06-16,79.23,80.15,78.63,78.98,189493.659,15031941.17969,57599,,
2024-06-17,78.99,79.24,75.1,76.59,452907.381,35053779.07165,119348,,
2024-06-18,76.6,76.77,70.65,72.66,731466.118,53152593.44748,166426,,
2024-06-19,72.66,74.97,72.5,73.77,316900.189,23449046.0565,74870,,
2024-06-20,73.77,75.35,73.24,74.69,371950.598,27697138.4716,84981,,
2024-06-21,74.7,74.73,72.17,74.17,523545.991,38390534.40184,107616,,
2024-06-22,74.17,74.88,73.56,74.61,179086.364,13294926.84144,55789,,
2024-06-23,74.6,75.06,73.23,73.37,183031.022,13606986.93013,54971,,
2024-06-24,73.37,73.45,67.5,69.68,712802.629,49906424.30973,157722,,
2024-06-25,69.68,72.03,69.4,71.35,369103.552,26122111.20034,81945,,
2024-06-26,71.35,71.95,70.36,71.02,286798.118,20445153.7591,74668,,
2024-06-27,71.02,73.35,70.55,73.28,300895.691,21603604.56422,73531,,
2024-06-28,73.28,74.76,72.54,72.9,412794.018,30382360.97073,110535,,
2024-06-29,72.9,76.9,72.87,74.95,348415.315,26091783.55057,95923,,
2024-06-30,74.94,75.98,74.11,75.31,317637.764,23833767.00345,85272,,
2024-07-01,75.32,75.96,74.17,74.38,270636.833,20284480.27542,81858,,
2024-07-02,74.38,76.21,74.28,76.04,243844.128,18314636.08752,73117,,
2024-07-03,76.04,76.21,71.78,72.08,393529.358,29127647.81128,114769,,
2024-07-04,72.08,72.42,65.0,65.42,534114.975,36628486.44824,153705,,
2024-07-05,65.42,65.58,56.86,61.85,1437934.907,86459713.43279,302009,,
2024-07-06,61.85,65.67,61.4,65.39,320005.364,20346484.59736,81950,,
2024-07-07,65.4,65.57,61.63,62.05,287837.524,18329699.78698,78548,,
