date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.00011413,0.00011623,0.00010904,0.00011455,87933872697.59,9939826.76972318,92324,,
2024-05-25,0.00011453,0.00011574,0.0001126,0.00011424,66714183004.36,7628654.1677433,66884,,
2024-05-26,0.00011427,0.00011483,0.00011014,0.0001115,52682379417.9,5911848.32306109,54040,,
2024-05-27,0.0001115,0.00011692,0.00011133,0.00011579,101469758292.41,11624940.62487557,103558,,
2024-05-28,0.00011586,0.00011632,0.00011175,0.00011459,93780349870.36,10668317.67933047,98625,,
2024-05-29,0.00011461,0.00012123,0.0001133,0.00011341,141294913174.1,16533257.28523193,144677,,
2024-05-30,0.00011341,0.0001319,0.00010856,0.00012181,405203786851.2,49401200.49115717,400065,,
2024-05-31,0.0001218,0.00012526,0.00011679,0.00011911,165247800012.84,19948937.49233449,170493,,
2024-06-01,0.00011919,0.00012264,0.0001168,0.00012036,85045001248.65,10167867.73969604,84319,,
2024-06-02,0.00012037,0.00012189,0.00011413,0.00011645,86323155975.25,10169898.18941823,88877,,
2024-06-03,0.00011647,0.00012099,0.00011512,0.00011855,79911684031.26,9471150.01634134,83530,,
2024-06-04,0.00011855,0.00011958,0.00011619,0.00011899,69610503421.77,8204812.89630303,68036,,
2024-06-05,0.00011899,0.00012103,0.00011759,0.00011915,70278931778.89,8391096.1006606,66904,,
2024-06-06,0.00011918,0.00012207,0.00011651,0.00012108,98148576598.34,11754238.12696491,95796,,
2024-06-07,0.00012108,0.00012496,0.0001,0.00010911,223891722074.41,25770920.72434879,205290,,
2024-06-08,0.0001091,0.0001109,0.0001029,0.00010498,81738726240.07,8755407.41425307,85683,,
2024-06-09,0.00010498,0.0001094,0.0001039,0.00010836,56108507717.98,6001110.41005101,59067,,
2024-06-10,0.00010837,0.00010935,0.00010513,0.00010633,55589922852.62,5953198.52539164,57306,,
2024-06-11,0.00010632,0.00010705,9.738e-05,0.00010079,100910964348.19,10311383.43519161,97551,,
2024-06-12,0.00010075,0.00010924,9.835e-05,0.00010631,121651059823.09,12693421.07747297,118309,,
2024-06-13,0.00010632,0.00010838,9.634e-05,9.876e-05,100427562106.01,10162689.30073307,102800,,
2024-06-14,9.875e-05,9.97e-05,9e-05,9.473e-05,116615702970.31,11158281.384246,102198,,
2024-06-15,9.476e-05,9.705e-05,9.404e-05,9.563e-05,45106127647.14,4316165.57874001,40943,,
2024-06-16,9.561e-05,0.00010697,9.453e-05,0.00010448,236897457365.08,24166988.8699021,232811,,
2024-06-17,0.00010448,0.00010755,9.084e-05,9.502e-05,173736082096.98,17227028.92642242,156205,,
2024-06-18,9.504e-05,9.574e-05,7.95e-05,9.204e-05,245027691510.39,21827772.86526288,222395,,
2024-06-19,9.202e-05,9.498e-05,8.86e-05,9.134e-05,85750636229.6,7848713.70210123,86115,,
2024-06-20,9.131e-05,9.469e-05,8.999e-05,9.073e-05,62876369232.24,5814955.45439069,59744,,
2024-06-21,9.074e-05,9.265e-05,8.941e-05,9.079e-05,55666041488.64,5069407.26112093,50401,,
2024-06-22,9.081e-05,9.198e-05,7.112e-05,7.644e-05,1238361950663.06,95381223.0459811,754251,,
2024-06-23,7.643e-05,7.8e-05,7.336e-05,7.496e-05,227455767064.91,17276880.10372133,126240,,
2024-06-24,7.498e-05,8.418e-05,7.12e-05,8.155e-05,498544981561.08,39323786.70220848,377165,,
2024-06-25,8.156e-05,8.332e-05,8.007e-05,8.122e-05,160609477909.1,13076652.57650502,103603,,
2024-06-26,8.121e-05,8.387e-05,7.956e-05,8.233e-05,115770061788.48,9469132.67232146,75510,,
2024-06-27,8.24e-05,8.45e-05,8.039e-05,8.232e-05,109273571957.04,9018748.97192675,72918,,
2024-06-28,8.232e-05,8.434e-05,8.07e-05,8.091e-05,91770233817.77,7588288.72803578,58632,,
2024-06-29,8.084e-05,8.389e-05,8.03e-05,8.055e-05,62802397160.47,5149138.65965914,43789,,
2024-06-30,8.055e-05,8.268e-05,7.908e-05,8.241e-05,60834915990.79,4911531.83735776,41018,,
2024-07-01,8.244e-05,8.35e-05,8.037e-05,8.087e-05,68648302231.69,5622201.67060683,41501,,
2024-07-02,8.084e-05,8.23e-05,8.023e-05,8.181e-05,58368058810.09,4739799.77282001,37780,,
2024-07-03,8.188e-05,8.237e-05,7.461e-05,7.648e-05,105061860383.88,8226006.18105683,68083,,
2024-07-04,7.65e-05,7.669e-05,6.776e-05,6.864e-05,175423983021.01,12644563.05030747,132952,,
