date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.4488,0.4621,0.44,0.4545,7683259.0,3479279.0037,20810,,
2024-05-25,0.4541,0.4656,0.4524,0.4652,6469826.0,2969144.1013,14157,,
2024-05-26,0.465,0.4687,0.4442,0.4471,5907881.0,2679535.2088,18202,,
2024-05-27,0.4468,0.4768,0.4438,0.4689,11372543.0,5250783.8252,31243,,
2024-05-28,0.4691,0.4726,0.446,0.4548,10536929.0,4787346.8993,36067,,
2024-05-29,0.4548,0.4768,0.4494,0.4532,12750775.0,5919356.1873,43423,,
2024-05-30,0.4531,0.4637,0.4393,0.4453,9115738.0,4115542.8614,30403,,
2024-05-31,0.4452,0.4476,0.4287,0.4445,13213646.0,5805269.6154,37631,,
2024-06-01,0.4445,0.4532,0.4421,0.4496,7265353.0,3243045.5647,20098,,
2024-06-02,0.4496,0.4619,0.4413,0.4415,7913208.0,3575546.6502,24687,,
2024-06-03,0.4414,0.4763,0.4365,0.4511,15972954.0,7383875.0724,48771,,
2024-06-04,0.451,0.4675,0.4481,0.4667,12408816.0,5682074.053,31346,,
2024-06-05,0.4667,0.475,0.4629,0.4718,9727935.0,4572435.7144,29548,,
2024-06-06,0.4718,0.4878,0.4664,0.4766,15764333.0,7545552.066,39510,,
2024-06-07,0.4766,0.4795,0.4012,0.4366,19962949.0,8938113.5378,62952,,
2024-06-08,0.4366,0.4396,0.4077,0.4127,11499287.0,4826151.9392,33204,,
2024-06-09,0.4126,0.4255,0.4099,0.4216,5889224.0,2459258.2401,17791,,
2024-06-10,0.4217,0.4265,0.4104,0.4135,7260999.0,3034013.3547,25320,,
2024-06-11,0.4136,0.4144,0.385,0.3932,11704153.0,4672362.8162,39482,,
2024-06-12,0.3933,0.4187,0.387,0.4133,9161438.0,3733682.1517,34480,,
2024-06-13,0.4132,0.4144,0.3929,0.3964,7876539.0,3163128.2268,25423,,
2024-06-14,0.3967,0.4014,0.3737,0.3841,9042957.0,3494602.3911,31197,,
2024-06-15,0.384,0.3931,0.3832,0.3886,2338538.0,908131.9643,7978,,
2024-06-16,0.3886,0.391,0.382,0.3852,3477060.0,1346395.6209,10918,,
2024-06-17,0.3851,0.387,0.345,0.3504,13242573.0,4814084.3053,40893,,
2024-06-18,0.3504,0.3517,0.3044,0.3246,27701703.0,8890066.1778,75561,,
2024-06-19,0.3245,0.3373,0.321,0.3344,8192719.0,2710548.9643,24705,,
2024-06-20,0.3338,0.3476,0.33,0.3349,7665478.0,2591449.9728,23164,,
2024-06-21,0.335,0.344,0.3308,0.3333,9324874.0,3146096.9482,22136,,
2024-06-22,0.3332,0.3348,0.3274,0.3303,4431030.0,1468343.0749,10439,,
2024-06-23,0.3304,0.3358,0.3203,0.3253,5037501.0,1655330.561,13151,,
2024-06-24,0.3252,0.3335,0.3067,0.3331,12977528.0,4177733.7171,37974,,
2024-06-25,0.3332,0.3435,0.3325,0.3389,5654474.0,1911938.3266,18118,,
2024-06-26,0.3387,0.3423,0.3319,0.3361,3734555.0,1259577.7579,11797,,
2024-06-27,0.3361,0.3465,0.3321,0.3454,4441118.0,1509731.4762,14318,,
2024-06-28,0.3453,0.349,0.3362,0.3407,5013482.0,1719088.5124,14622,,
2024-06-29,0.3408,0.348,0.3302,0.3307,3739535.0,1266845.5899,11592,,
2024-06-30,0.3307,0.3406,0.3276,0.3391,6745672.0,2250127.6122,16885,,
2024-07-01,0.3392,0.3456,0.3335,0.341,5388596.0,1836086.4023,16727,,
2024-07-02,0.3409,0.3517,0.3395,0.3446,4592913.0,1584022.1586,16977,,
2024-07-03,0.3445,0.3463,0.3217,0.3236,5563972.0,1856430.9676,20819,,
2024-07-04,0.3237,0.3251,0.2891,0.2913,12462824.0,3799896.0836,44288,,
2024-07-05,0.2913,0.298,0.2557,0.2912,24014549.0,6568829.273,66595,,
2024-07-06,0.2912,0.3193,0.2898,0.3145,7683313.0,2336042.2418,23184,,
2024-07-07,0.3146,0.3153,0.2931,0.2953,5872866.0,1802104.3971,18887,,
2024-07-08,0.2953,0.3147,0.2814,0.304,9606994.0,2895991.6416,36610,,
2024-07-09,0.3038,0.3131,0.302,0.3103,5149373.0,1580964.2079,20541,,
2024-07-10,0.3104,0.3195,0.3063,0.3122,4452133.0,1389121.1279,17327,,
2024-07-11,0.3121,0.3263,0.3101,0.3131,6078650.0,1937628.8153,20423,,
2024-07-12,0.3128,0.3262,0.3097,0.3248,4444883.0,1411455.8459,16518,,
2024-07-13,0.3249,0.3367,0.3222,0.3348,5120381.0,1691344.4972,17007,,
2024-07-14,0.3342,0.343,0.3282,0.3429,4011583.0,1341552.194,14376,,
2024-07-15,0.3428,0.3629,0.3395,0.3617,7377856.0,2563049.3905,24618,,
2024-07-16,0.3617,0.3688,0.3492,0.3599,9206274.0,3309718.7869,33424,,
2024-07-17,0.3599,0.3717,0.3559,0.3576,6236797.0,2274476.1792,22872,,
2024-07-18,0.3583,0.3712,0.332,0.3388,20174657.0,7055857.8057,52285,,
2024-07-19,0.3388,0.3634,0.3327,0.3584,8089700.0,2819289.3667,25372,,
2024-07-20,0.3582,0.3645,0.3551,0.3571,6168985.0,2218156.2275,16631,,
2024-07-21,0.3574,0.3648,0.3404,0.3631,7805755.0,2767952.4192,23579,,
2024-07-22,0.3632,0.3653,0.3411,0.3437,5761192.0,2012584.3551,15850,,
2024-07-23,0.3435,0.3519,0.325,0.3314,7374215.0,2486445.8616,21962,,
2024-07-24,0.3314,0.3416,0.3257,0.3279,6555621.0,2195891.6594,18350,,
2024-07-25,0.3277,0.3295,0.3104,0.321,8010589.0,2544338.2206,22947,,
2024-07-26,0.3209,0.3425,0.3201,0.3424,4694173.0,1558556.0293,11524,,
2024-07-27,0.3425,0.3527,0.3416,0.3488,7576564.0,2633331.7657,18597,,
2024-07-28,0.3487,0.3495,0.3348,0.3363,4122361.0,1410595.3845,10204,,
2024-07-29,0.3363,0.3483,0.3298,0.3323,7242962.0,2464500.2337,18169,,
2024-07-30,0.3321,0.3425,0.3232,0.3299,4420118.0,1480982.3295,16042,,
2024-07-31,0.3299,0.336,0.308,0.3118,14234612.0,4540258.6933,33413,,
2024-08-01,0.3117,0.3154,0.2897,0.3093,10374327.0,3164554.2426,28113,,
2024-08-02,0.3093,0.3115,0.2826,0.287,16047152.0,4803045.3566,32981,,
2024-08-03,0.2868,0.2979,0.2683,0.2776,10447928.0,2930178.5408,27496,,
2024-08-04,0.2776,0.2846,0.2557,0.2669,12410306.0,3353505.7501,28191,,
2024-08-05,0.267,0.2701,0.2161,0.2534,44366902.0,10578376.976048,113569,,
2024-08-06,0.2535,0.2684,0.2529,0.265,8729802.0,2288353.1497,22562,,
2024-08-07,0.2649,0.2715,0.2497,0.255,7643103.0,1989048.9702,19461,,
2024-08-08,0.2549,0.2804,0.2493,0.279,6286950.0,1685044.2609,16220,,
2024-08-09,0.2789,0.2796,0.2714,0.2782,5694702.0,1571351.9843,13291,,
2024-08-10,0.278,0.2865,0.2734,0.2825,7771079.0,2178496.8767,13009,,
2024-08-11,0.2824,0.2844,0.2622,0.2636,5107399.0,1402440.1651,10389,,
2024-08-12,0.2636,0.2817,0.2623,0.2799,5497861.0,1504591.2893,13620,,
2024-08-13,0.2798,0.2884,0.2702,0.2825,5683043.0,1588771.3007,11492,,
2024-08-14,0.2825,0.2831,0.2687,0.2733,3808961.0,1051550.3073,8140,,
2024-08-15,0.273,0.2833,0.2653,0.2685,7208866.0,1981404.804,13863,,
2024-08-16,0.2682,0.2714,0.2588,0.2628,4745181.0,1259221.7964,9590,,
2024-08-17,0.263,0.2662,0.2581,0.266,5498510.0,1440676.3693,10071,,
2024-08-18,0.2659,0.2747,0.2622,0.2651,7032123.0,1891914.7594,11371,,
2024-08-19,0.2653,0.2702,0.26,0.2698,6807793.0,1798676.6036,11023,,
2024-08-20,0.2697,0.275,0.2644,0.2694,5258349.0,1423076.6142,10525,,
2024-08-21,0.2694,0.2917,0.2673,0.2845,7870059.0,2192540.0353,20435,,
2024-08-22,0.2845,0.2878,0.2788,0.2876,5329483.0,1514904.5207,13305,,
2024-08-23,0.2877,0.3127,0.2866,0.3086,8065666.0,2421362.7914,21379,,
2024-08-24,0.3088,0.3222,0.3054,0.3167,7159414.0,2250084.2261,19608,,
2024-08-25,0.3165,0.3174,0.3019,0.3074,5378803.0,1665750.1618,14952,,
2024-08-26,0.3076,0.3104,0.2882,0.2899,6543078.0,1951171.4644,15624,,
2024-08-27,0.2899,0.2974,0.2722,0.2786,7623646.0,2190217.3327,18585,,
2024-08-28,0.2784,0.2865,0.2678,0.2749,7249865.0,2010557.1522,15836,,
2024-08-29,0.275,0.2829,0.2685,0.2725,4998288.0,1385320.0972,11357,,
2024-08-30,0.2723,0.2824,0.2638,0.2725,9558566.0,2604895.2167,17280,,
2024-08-31,0.2724,0.2746,0.2663,0.2696,2887785.0,781644.4203,7563,,
2024-09-01,0.2697,0.2698,0.2524,0.2538,5010105.0,1310603.0472,12055,,
2024-09-02,0.2537,0.2678,0.253,0.2653,5146249.0,1340804.3213,11955,,
2024-09-03,0.2652,0.2683,0.2541,0.2551,4798807.0,1253180.0094,11789,,
2024-09-04,0.2554,0.2678,0.242,0.2648,6695929.0,1719969.3885,16112,,
2024-09-05,0.2648,0.2666,0.2545,0.2583,4257225.0,1107886.1294,8981,,
2024-09-06,0.2579,0.2627,0.2388,0.2485,8732433.0,2194319.7488,16251,,
