date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-10-03,1.55,2.07,1.55,1.873,14454507.24,28152953.10452,169915,647993590.4729491,42153900.11919288
2025-10-04,1.873,1.908,1.809,1.854,5710764.91,10609968.9518,83208,653905578.24915,161501494.96002916
2025-10-05,1.855,1.917,1.824,1.885,3219855.7,6049528.88755,43702,645028828.3433373,63201239.59492538
2025-10-06,1.885,2.01,1.834,1.917,23607394.66,44702615.26986,721560,653133786.9366924,40645107.13343426
2025-10-07,1.916,1.952,1.773,1.779,6922446.59,13080066.14488,116168,666314427.7554543,85519130.72729208
2025-10-08,1.779,1.818,1.744,1.789,3633241.84,6458131.25939,73500,619511735.0991169,42718828.72732467
2025-10-09,1.79,1.794,1.665,1.705,4240246.85,7283788.60537,87702,621725415.0805013,28492025.435933627
2025-10-10,1.706,1.706,0.557,1.361,12468376.96,17369465.63917,181278,889679348.9001803,30051650.916594148
2025-10-11,1.361,1.979,1.322,1.608,14348534.19,23250800.8374,240332,717630407.0341537,77638868.201747
2025-10-12,1.608,2.046,1.574,1.967,12529712.14,23286260.57383,217422,839093788.5477793,112600244.92462264
2025-10-13,1.967,2.017,1.917,1.982,7146834.16,14163826.54528,132626,1030294688.2995698,104803425.88132907
2025-10-14,1.983,2.0,1.745,1.989,6530949.43,12094264.54481,146350,1036625512.3364297,62101857.89019228
2025-10-15,1.988,2.082,1.855,1.902,8076881.9,15915823.80906,192614,1038368220.2958294,56681805.33974628
2025-10-16,1.902,2.0,1.744,1.777,7896450.86,15044240.43175,179015,992930495.8673387,71076547.30586495
2025-10-17,1.778,1.81,1.611,1.775,14559917.47,24521498.2541,303919,924642701.8311312,62881163.2127491
2025-10-18,1.775,1.918,1.767,1.892,26452342.26,48430590.06844,427792,922032180.8416852,70199590.85229777
2025-10-19,1.892,2.041,1.808,1.937,185774365.2,360175561.15274,1750276,984355140.1004775,96533090.0426239
2025-10-20,1.936,2.245,1.885,1.932,557724080.59,1125664229.47359,2767428,1012813931.7498084,480412787.91028184
2025-10-21,1.932,2.02,1.822,1.853,4510732.21,8579699.13911,61449,1009998292.4271833,1401465875.8533545
2025-10-22,1.853,1.862,1.771,1.821,2902813.23,5290173.51539,34548,970367611.3003032,44133429.82927065
2025-10-23,1.821,1.915,1.812,1.914,2280330.55,4262263.591,37483,953431934.0898771,30535755.832520187
2025-10-24,1.917,2.064,1.916,2.029,3006455.37,5963093.1072,42285,996097472.3410567,24397875.129299983
2025-10-25,2.03,2.043,1.956,1.989,1601289.88,3193503.31873,25164,1061301681.759731,32423462.174396478
2025-10-26,1.989,2.113,1.969,2.095,1875699.99,3822117.20745,28277,1044484537.9782947,19674519.882646345
2025-10-27,2.095,2.143,2.015,2.05,1771429.98,3682577.77321,32705,1096424203.0904012,26188304.806652986
2025-10-28,2.05,2.091,1.899,1.927,2858897.31,5713239.40685,49656,1074927609.2503355,25317156.25847952
2025-10-29,1.926,2.02,1.912,1.98,2713081.23,5359637.11736,39840,1008920637.689805,30422325.23041999
