date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,7.694,8.07,7.586,7.909,9728547.6,75981906.2327,180533,,
2024-05-25,7.909,8.257,7.858,8.23,8533867.5,68649703.2178,163809,,
2024-05-26,8.229,8.376,7.783,7.814,8214093.5,66259303.3314,160672,,
2024-05-27,7.813,7.974,7.689,7.827,10158272.6,79529058.0913,171762,,
2024-05-28,7.828,7.99,7.523,7.707,13656301.1,105862329.6415,219775,,
2024-05-29,7.708,7.829,7.55,7.586,6785209.4,52238440.9093,125478,,
2024-05-30,7.585,7.655,7.219,7.285,7937700.0,58873948.6188,134534,,
2024-05-31,7.286,7.439,7.082,7.246,8203670.1,59545338.1814,118259,,
2024-06-01,7.247,7.468,7.174,7.375,3603043.0,26265281.2165,64178,,
2024-06-02,7.374,7.503,7.12,7.192,5566926.7,40814306.106,88714,,
2024-06-03,7.191,7.385,7.087,7.121,6526876.7,47324523.3535,112820,,
2024-06-04,7.12,7.472,7.006,7.42,7252843.4,52473776.6347,122595,,
2024-06-05,7.423,7.709,7.42,7.658,5946225.0,45031861.1086,106504,,
2024-06-06,7.659,7.681,7.235,7.33,4900753.4,36594471.1765,84226,,
2024-06-07,7.33,7.455,6.08,6.875,13407678.9,92010060.7007,217990,,
2024-06-08,6.876,6.908,6.478,6.569,5578968.9,37360520.7541,94044,,
2024-06-09,6.568,6.692,6.514,6.588,4405834.1,29057741.6253,77408,,
2024-06-10,6.588,6.639,6.338,6.397,7178403.8,46415764.7228,107033,,
2024-06-11,6.396,6.408,6.001,6.064,10343818.3,63792506.8723,146603,,
2024-06-12,6.064,6.716,5.869,6.402,11882875.0,75562519.6551,172157,,
2024-06-13,6.402,6.406,5.85,5.921,8276887.4,50676147.5891,141356,,
2024-06-14,5.922,6.009,5.41,5.588,12795226.9,73280471.2294,203882,,
2024-06-15,5.589,5.7,5.508,5.606,4470912.0,25125697.0921,60149,,
2024-06-16,5.607,5.738,5.495,5.64,3960468.6,22262873.1351,76545,,
2024-06-17,5.641,5.734,4.98,5.167,14998727.2,79365638.1272,185009,,
2024-06-18,5.167,5.191,4.441,4.727,23474910.0,110377687.7925,319946,,
2024-06-19,4.727,5.109,4.662,4.962,13059637.2,64762514.0533,182192,,
2024-06-20,4.963,5.499,4.919,5.162,18626793.2,97675902.0769,254589,,
2024-06-21,5.162,5.441,5.091,5.406,14409324.1,76235699.0175,228760,,
2024-06-22,5.407,5.429,5.113,5.184,5684191.6,29828927.4536,99932,,
2024-06-23,5.185,5.45,5.101,5.195,7363991.8,38896633.5576,117888,,
2024-06-24,5.194,5.6,5.027,5.371,24220154.9,128388063.5999,391182,,
2024-06-25,5.373,5.636,5.311,5.425,9991564.4,55149546.3061,174597,,
2024-06-26,5.425,5.517,5.156,5.177,7449189.2,39339661.14,117814,,
2024-06-27,5.177,5.372,5.075,5.223,7382073.1,38468855.8887,119995,,
2024-06-28,5.223,5.246,4.858,4.962,7994176.4,40478473.7292,114678,,
2024-06-29,4.962,5.05,4.922,4.964,2936292.9,14644208.5108,45730,,
2024-06-30,4.965,5.367,4.876,5.304,5969503.3,30620685.1559,85747,,
2024-07-01,5.304,5.399,5.209,5.267,5227641.1,27772423.7947,86707,,
2024-07-02,5.267,5.599,5.236,5.522,7736809.1,42077784.9208,119567,,
2024-07-03,5.522,5.583,4.991,5.034,8395679.9,43771196.4646,145018,,
2024-07-04,5.034,5.094,4.606,4.623,12975813.8,62798354.9408,208845,,
2024-07-05,4.622,4.629,4.0,4.425,26683298.8,115059741.1313,360462,,
2024-07-06,4.425,4.852,4.37,4.811,6760934.0,30971558.3666,99130,,
2024-07-07,4.81,4.83,4.379,4.401,7016883.0,32478766.5958,108107,,
2024-07-08,4.401,4.787,4.165,4.467,14620554.6,65676994.4872,209652,,
2024-07-09,4.467,4.606,4.372,4.533,10959115.5,49335627.9424,150516,,
2024-07-10,4.534,4.748,4.46,4.625,7779685.0,36012769.6149,123072,,
2024-07-11,4.626,5.06,4.544,4.93,11064506.2,53781287.1367,232995,,
2024-07-12,4.93,5.188,4.745,5.186,10047881.0,49629935.4503,200223,,
2024-07-13,5.186,5.334,5.101,5.202,4420298.0,22926885.1601,105575,,
2024-07-14,5.202,5.491,5.195,5.401,6605269.1,35390542.6038,149512,,
2024-07-15,5.399,5.999,5.362,5.915,10822925.0,61135956.5442,224998,,
2024-07-16,5.917,6.275,5.862,6.246,17150216.0,104446328.2793,383219,,
2024-07-17,6.246,6.489,6.007,6.068,11258431.9,70060759.8341,260979,,
2024-07-18,6.068,6.237,5.869,6.04,7153372.9,43521005.6202,193565,,
2024-07-19,6.042,6.445,5.86,6.435,10112955.2,62649333.9627,247758,,
2024-07-20,6.435,6.444,6.236,6.287,4527564.1,28640250.5168,99715,,
2024-07-21,6.288,6.38,5.915,6.34,7534364.5,46606294.9166,183365,,
2024-07-22,6.34,6.46,5.99,6.034,7102785.3,44109192.2011,173449,,
2024-07-23,6.034,6.092,5.691,5.763,6958690.2,40800788.2833,162954,,
2024-07-24,5.762,6.003,5.543,5.62,6988865.5,40421522.0882,152634,,
2024-07-25,5.62,5.731,5.133,5.415,12486535.1,68186936.2943,263739,,
2024-07-26,5.414,5.82,5.392,5.717,6635365.7,37434618.5371,138929,,
2024-07-27,5.717,5.939,5.524,5.679,6841074.4,39293274.8596,148061,,
2024-07-28,5.678,5.679,5.395,5.445,3982303.3,21975180.775,84057,,
2024-07-29,5.445,5.713,5.261,5.272,8618145.0,47310730.7538,159609,,
2024-07-30,5.272,5.373,5.067,5.151,4876199.0,25505125.9598,110617,,
2024-07-31,5.15,5.297,4.968,4.99,5816656.5,29919671.9482,128642,,
2024-08-01,4.991,5.133,4.635,4.981,10617886.9,52112617.4814,226247,,
2024-08-02,4.98,5.049,4.572,4.604,10237953.7,49085150.3834,278125,,
2024-08-03,4.604,4.727,4.236,4.365,9663916.4,43162623.3393,205426,,
2024-08-04,4.366,4.45,3.994,4.133,11954895.6,50110632.7597,191541,,
2024-08-05,4.134,4.189,3.076,3.525,59167551.5,205214027.0391,861416,,
2024-08-06,3.525,3.809,3.494,3.678,17862736.1,65739727.3259,267862,,
2024-08-07,3.678,3.88,3.505,3.57,13239132.6,48924882.3296,247140,,
2024-08-08,3.571,4.087,3.47,4.064,12491361.4,47606924.086,226562,,
2024-08-09,4.065,4.171,3.913,4.056,9216589.1,37214126.9701,182831,,
2024-08-10,4.057,4.258,3.96,4.161,6118137.0,25061297.5465,120211,,
2024-08-11,4.161,4.222,3.833,3.868,7516938.1,30074863.0672,138069,,
2024-08-12,3.867,4.134,3.83,4.111,9357880.4,37571637.3876,184802,,
2024-08-13,4.112,4.413,3.936,4.304,8288436.4,34551950.8121,196923,,
2024-08-14,4.305,4.331,4.106,4.17,7052113.9,29728079.4648,135882,,
2024-08-15,4.17,4.249,3.934,4.027,7568104.1,31038000.7734,140770,,
2024-08-16,4.027,4.073,3.824,3.968,5996873.6,23714698.909,151794,,
2024-08-17,3.968,4.023,3.927,3.992,2658656.4,10573417.3536,71584,,
2024-08-18,3.992,4.066,3.893,3.9,3807083.5,15226382.8042,98921,,
2024-08-19,3.901,4.007,3.833,4.002,5111782.3,19932490.4168,120829,,
2024-08-20,4.002,4.15,3.946,4.001,6062190.4,24644256.635,151232,,
2024-08-21,4.0,4.302,3.959,4.247,9242388.4,38078750.9693,285755,,
2024-08-22,4.247,4.391,4.166,4.304,7101798.7,30367914.1208,197907,,
2024-08-23,4.305,4.851,4.304,4.838,13126575.1,60698628.3935,414370,,
2024-08-24,4.838,5.256,4.738,5.041,9182015.0,45750053.3533,322663,,
2024-08-25,5.042,5.077,4.78,4.919,8108287.4,39951695.4129,322006,,
