date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,15.15,15.46,14.68,15.24,396522.06,5995291.6699,28504,,
2024-05-25,15.24,15.57,15.23,15.55,230757.66,3552224.553,15355,,
2024-05-26,15.56,15.64,15.19,15.35,186875.4,2874215.3603,17110,,
2024-05-27,15.35,16.11,15.12,15.88,246173.84,3855657.0921,23187,,
2024-05-28,15.89,15.92,15.16,15.3,307104.35,4727661.4144,29507,,
2024-05-29,15.3,15.51,14.86,14.87,252351.89,3836145.997,23282,,
2024-05-30,14.86,15.13,14.5,14.76,253405.32,3743811.4896,26020,,
2024-05-31,14.75,14.94,14.37,14.59,143968.91,2113373.499,14103,,
2024-06-01,14.59,14.69,14.47,14.55,109764.51,1601223.669,8356,,
2024-06-02,14.56,14.88,14.41,14.46,192494.12,2818248.5826,19666,,
2024-06-03,14.46,14.99,14.28,14.67,180300.87,2665282.0997,18252,,
2024-06-04,14.66,15.07,14.59,15.02,156532.84,2323505.1341,14521,,
2024-06-05,15.03,15.37,14.99,15.28,201337.01,3056160.6545,17464,,
2024-06-06,15.29,15.31,14.68,14.89,282479.23,4262169.505,28501,,
2024-06-07,14.89,15.26,12.46,14.07,1272334.16,17650136.1017,84914,,
2024-06-08,14.08,14.22,13.24,13.4,279054.42,3816162.3325,24500,,
2024-06-09,13.39,13.56,13.17,13.5,292309.73,3905812.1102,20650,,
2024-06-10,13.5,13.64,13.19,13.39,232716.71,3117783.8395,21422,,
2024-06-11,13.4,13.45,12.55,12.92,397310.88,5137514.777,36498,,
2024-06-12,12.91,13.84,12.59,13.56,339672.48,4542296.4931,29902,,
2024-06-13,13.57,13.78,12.96,13.04,221152.35,2956435.9039,22803,,
2024-06-14,13.05,13.2,12.18,12.44,287906.57,3663694.7558,26576,,
2024-06-15,12.44,12.72,12.35,12.67,82295.39,1032749.5539,9743,,
2024-06-16,12.68,12.86,12.48,12.75,134325.11,1704504.5531,12051,,
2024-06-17,12.75,13.75,11.2,11.77,853708.59,10277027.9636,55223,,
2024-06-18,11.77,12.02,10.21,10.98,685225.24,7485218.7913,45622,,
2024-06-19,10.98,11.49,10.86,11.27,189520.26,2135425.4821,17100,,
2024-06-20,11.26,11.84,11.18,11.28,279671.36,3208485.549,23576,,
2024-06-21,11.28,11.59,11.08,11.35,253458.47,2868422.6302,20749,,
2024-06-22,11.36,11.44,11.23,11.32,119561.12,1354588.1956,9904,,
2024-06-23,11.32,11.49,10.89,10.93,132377.24,1484139.4407,11466,,
2024-06-24,10.92,11.14,10.5,11.12,316119.67,3427927.1865,27267,,
2024-06-25,11.12,11.62,11.07,11.49,155224.83,1759462.5389,15874,,
2024-06-26,11.48,11.61,11.18,11.34,149470.79,1701023.3797,14300,,
2024-06-27,11.34,11.66,11.22,11.62,130800.29,1497297.1219,11591,,
2024-06-28,11.63,11.92,11.37,11.4,185421.87,2155521.1974,13929,,
2024-06-29,11.4,11.63,11.2,11.25,108338.9,1238791.952,7982,,
2024-06-30,11.24,11.65,11.13,11.61,110904.19,1256416.3622,9006,,
2024-07-01,11.61,11.72,11.37,11.41,126546.46,1462281.276,10930,,
2024-07-02,11.41,11.77,11.35,11.54,180934.09,2088539.8725,14089,,
2024-07-03,11.54,11.56,10.9,11.02,157120.66,1750515.9843,13843,,
2024-07-04,11.03,11.07,9.67,9.7,383070.21,3944889.4638,30397,,
2024-07-05,9.7,9.71,8.47,9.4,886819.26,7984408.1326,60420,,
2024-07-06,9.4,10.06,9.3,10.04,186903.46,1811078.9121,16281,,
2024-07-07,10.03,10.06,9.23,9.27,191815.87,1856828.6287,12998,,
2024-07-08,9.27,9.88,8.8,9.6,306059.82,2866166.6182,24222,,
2024-07-09,9.59,9.87,9.51,9.81,173693.9,1683976.6014,12133,,
2024-07-10,9.81,10.07,9.67,9.86,173687.53,1712175.903,13413,,
2024-07-11,9.86,10.42,9.69,9.73,265506.52,2644182.6946,17082,,
2024-07-12,9.73,10.02,9.62,10.0,193899.28,1908339.972,15171,,
2024-07-13,9.99,10.52,9.95,10.4,243881.2,2484000.7603,15166,,
2024-07-14,10.41,11.18,10.4,10.77,542467.45,5832125.2301,28394,,
2024-07-15,10.77,11.45,10.75,11.41,311025.85,3427429.0069,17711,,
2024-07-16,11.41,11.51,10.83,11.34,198020.73,2225785.0305,21059,,
2024-07-17,11.34,11.99,11.33,11.49,312184.19,3656404.0495,25708,,
2024-07-18,11.49,11.96,11.14,11.39,251560.72,2925206.724,21049,,
2024-07-19,11.39,11.85,11.13,11.8,267918.34,3070105.5349,18100,,
2024-07-20,11.78,11.94,11.56,11.79,128100.41,1506857.24,11988,,
2024-07-21,11.8,12.12,11.34,12.03,248686.18,2952269.4742,21258,,
2024-07-22,12.03,12.14,11.43,11.5,150996.09,1767226.1576,13516,,
2024-07-23,11.5,11.7,11.07,11.37,174580.85,1988507.1235,15973,,
2024-07-24,11.38,11.8,11.29,11.44,199513.71,2305683.6798,15838,,
2024-07-25,11.44,11.45,10.69,11.08,304267.36,3349242.7785,22449,,
2024-07-26,11.09,11.67,11.07,11.66,167279.35,1892294.7824,12439,,
2024-07-27,11.67,11.92,11.59,11.75,181115.62,2126414.4928,16611,,
2024-07-28,11.75,11.78,11.41,11.55,148720.94,1724781.7506,11461,,
2024-07-29,11.55,11.99,11.5,11.54,199235.66,2344001.3827,15676,,
2024-07-30,11.53,11.66,11.2,11.38,136047.03,1562505.9796,12874,,
2024-07-31,11.38,11.51,10.95,10.97,173029.35,1942964.7565,13831,,
2024-08-01,10.97,11.0,9.97,10.66,275559.3,2887337.8414,21674,,
2024-08-02,10.66,10.7,9.9,10.09,219157.58,2256283.1283,18956,,
2024-08-03,10.08,10.19,9.38,9.58,226826.3,2214838.7312,19783,,
2024-08-04,9.58,9.73,8.89,9.15,288239.0,2663232.833,20001,,
2024-08-05,9.15,9.25,7.51,8.53,1293193.93,10631281.0335,74125,,
2024-08-06,8.53,9.1,8.51,8.95,201867.2,1793256.0355,16083,,
2024-08-07,8.94,9.22,8.68,8.84,217765.32,1951009.4314,18533,,
2024-08-08,8.84,9.76,8.71,9.71,221219.95,2075818.6601,15904,,
2024-08-09,9.71,9.76,9.44,9.64,196891.73,1895922.3584,12710,,
2024-08-10,9.65,9.89,9.5,9.87,156398.93,1520440.9154,8722,,
2024-08-11,9.86,10.02,9.26,9.34,221586.87,2125505.3645,13464,,
2024-08-12,9.34,9.81,9.23,9.57,458897.68,4341518.4829,21710,,
2024-08-13,9.58,9.9,9.29,9.8,148672.65,1425342.4982,11601,,
2024-08-14,9.81,10.16,9.55,9.63,245271.52,2419591.2918,19081,,
2024-08-15,9.63,9.77,9.06,9.23,216108.23,2030732.175,13554,,
2024-08-16,9.22,9.4,9.01,9.29,129136.71,1191980.2986,11803,,
2024-08-17,9.29,9.36,9.24,9.28,56653.01,526364.6222,5139,,
2024-08-18,9.27,9.46,9.17,9.2,105116.78,981541.1709,8841,,
2024-08-19,9.2,10.07,9.17,9.75,517086.13,4977084.366,27972,,
2024-08-20,9.74,10.62,9.74,10.16,720996.12,7421774.845,43874,,
2024-08-21,10.16,10.32,9.88,10.21,271964.2,2744637.4714,15682,,
2024-08-22,10.22,10.38,10.05,10.38,168280.27,1723347.5929,14909,,
2024-08-23,10.37,11.14,10.36,11.01,345119.82,3726458.9675,27211,,
2024-08-24,11.01,11.17,10.76,10.92,197078.91,2169447.7011,16941,,
2024-08-25,10.92,10.97,10.41,10.72,328122.53,3508173.514,24301,,
2024-08-26,10.74,10.82,10.3,10.36,172053.88,1822564.0597,14131,,
2024-08-27,10.37,10.63,9.62,9.79,198646.16,2022552.4054,15730,,
2024-08-28,9.78,10.03,9.41,9.67,223571.65,2182194.2212,18691,,
2024-08-29,9.67,10.1,9.57,9.96,256678.48,2541148.5767,20529,,
2024-08-30,9.96,10.35,9.55,10.23,473589.46,4747496.5777,33222,,
2024-08-31,10.22,10.47,9.78,9.86,180511.35,1821596.5486,12775,,
2024-09-01,9.86,9.86,9.13,9.19,212830.68,2022122.487,16420,,
2024-09-02,9.18,9.8,9.17,9.71,196324.19,1864819.1321,17310,,
2024-09-03,9.71,9.99,9.33,9.35,196898.95,1901587.8265,13039,,
2024-09-04,9.36,9.72,8.89,9.61,199727.72,1862870.2503,14406,,
2024-09-05,9.6,9.71,9.3,9.37,163300.12,1556142.4147,11910,,
2024-09-06,9.36,9.56,8.67,8.96,254440.56,2326949.6873,13661,,
2024-09-07,8.96,9.29,8.95,9.09,114975.37,1050551.3527,5895,,
2024-09-08,9.08,9.47,9.05,9.35,116800.1,1083287.5224,7642,,
2024-09-09,9.35,9.62,9.28,9.49,250614.78,2372369.1334,21523,,
2024-09-10,9.5,9.68,9.26,9.62,257356.5,2423424.5385,15225,,
2024-09-11,9.62,9.63,9.18,9.47,182956.48,1723638.7301,10149,,
2024-09-12,9.46,9.67,9.32,9.66,185013.54,1762884.6948,8903,,
2024-09-13,9.67,9.85,9.42,9.78,133043.01,1284950.0003,7410,,
2024-09-14,9.79,9.81,9.56,9.66,91437.82,886361.7994,4285,,
2024-09-15,9.65,9.7,9.19,9.28,144027.37,1363537.3183,14053,,
2024-09-16,9.27,9.4,9.03,9.2,108829.54,1002567.8331,8408,,
2024-09-17,9.19,9.53,9.06,9.28,131169.7,1217848.2777,7072,,
2024-09-18,9.28,9.54,8.94,9.54,279568.91,2574706.5834,11928,,
2024-09-19,9.54,9.82,9.52,9.75,221675.63,2146801.5305,12758,,
2024-09-20,9.76,10.5,9.65,10.11,478904.9,4808700.1998,21579,,
2024-09-21,10.1,10.61,10.07,10.44,492062.19,5101115.5944,24279,,
2024-09-22,10.43,10.47,9.79,10.08,214580.73,2160194.258,11945,,
2024-09-23,10.08,10.29,9.86,10.04,291062.16,2935937.3991,19192,,
2024-09-24,10.05,10.8,9.96,10.57,574905.43,5965353.6012,32618,,
2024-09-25,10.58,10.64,10.23,10.32,264335.71,2757422.1204,15740,,
2024-09-26,10.32,10.96,10.1,10.92,314326.98,3355339.332,18342,,
2024-09-27,10.91,11.17,10.87,10.94,377502.5,4159814.0656,20234,,
2024-09-28,10.95,11.21,10.68,10.88,303214.81,3327826.2631,16507,,
2024-09-29,10.88,11.0,10.62,10.82,203453.02,2205154.0389,10976,,
2024-09-30,10.83,11.73,10.51,10.61,1133799.76,12700810.7912,56778,,
2024-10-01,10.61,10.9,9.48,9.83,597246.19,6083568.8842,26643,,
2024-10-02,9.82,10.46,9.55,9.67,597830.96,6015034.045,25836,,
