date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.417,1.427,1.35,1.408,700084.91,976095.09063,12636,,
2024-05-25,1.408,1.427,1.384,1.418,618185.64,868476.33478,10698,,
2024-05-26,1.418,1.459,1.397,1.44,731588.51,1049435.39627,15216,,
2024-05-27,1.441,1.5,1.428,1.45,1102199.72,1603175.18896,23175,,
2024-05-28,1.453,1.465,1.423,1.462,644953.7,931205.52942,15078,,
2024-05-29,1.462,1.469,1.431,1.447,792490.78,1148575.88802,19306,,
2024-05-30,1.446,1.484,1.427,1.457,1022369.52,1491666.55965,29436,,
2024-05-31,1.457,1.49,1.432,1.446,1503532.68,2193131.83789,45040,,
2024-06-01,1.446,1.455,1.417,1.418,664614.59,953795.79928,19781,,
2024-06-02,1.419,1.439,1.394,1.401,786035.6,1111757.04457,16900,,
2024-06-03,1.401,1.454,1.386,1.436,1118915.03,1602376.42622,32493,,
2024-06-04,1.436,1.468,1.421,1.465,781746.27,1131386.6279,20138,,
2024-06-05,1.464,1.496,1.449,1.482,1090570.72,1606874.86457,22592,,
2024-06-06,1.483,1.506,1.464,1.486,1054299.23,1563643.67732,27189,,
2024-06-07,1.487,1.507,1.414,1.452,1559625.33,2304611.6323,39348,,
2024-06-08,1.452,1.462,1.418,1.423,706530.77,1018328.01191,19019,,
2024-06-09,1.423,1.462,1.412,1.445,623618.2,896040.05301,17587,,
2024-06-10,1.445,1.473,1.415,1.464,1258660.23,1824471.12687,34715,,
2024-06-11,1.464,1.469,1.373,1.392,1358070.09,1919540.85808,33769,,
2024-06-12,1.391,1.448,1.359,1.381,1102843.44,1548341.7588,21220,,
2024-06-13,1.381,1.388,1.346,1.364,757391.4,1036404.78215,16661,,
2024-06-14,1.364,1.398,1.313,1.335,1092835.97,1480529.28992,18999,,
2024-06-15,1.336,1.364,1.317,1.35,560972.87,755212.34138,12380,,
2024-06-16,1.35,1.362,1.334,1.351,464074.46,624960.27769,10157,,
2024-06-17,1.352,1.356,1.303,1.315,965419.94,1281897.46588,17601,,
2024-06-18,1.315,1.32,1.194,1.249,2543331.92,3177432.29495,30735,,
2024-06-19,1.249,1.37,1.237,1.292,846176.45,1084930.75538,13785,,
2024-06-20,1.291,1.318,1.226,1.238,962378.41,1221867.20473,18146,,
2024-06-21,1.238,1.297,1.224,1.254,1050520.72,1312479.5274,16027,,
2024-06-22,1.254,1.256,1.205,1.235,761774.23,935086.12108,11579,,
2024-06-23,1.237,1.252,1.201,1.202,567518.94,691411.28824,10350,,
2024-06-24,1.202,1.208,1.14,1.185,1670222.15,1955213.01809,19401,,
2024-06-25,1.185,1.211,1.139,1.162,1590643.92,1866877.57468,20212,,
2024-06-26,1.161,1.182,1.144,1.171,1003235.45,1167762.17293,16067,,
2024-06-27,1.172,1.218,1.162,1.199,768919.19,918300.26656,15099,,
2024-06-28,1.2,1.216,1.17,1.172,914386.53,1092019.93665,20020,,
2024-06-29,1.171,1.203,1.167,1.176,752779.68,885605.47917,17862,,
2024-06-30,1.176,1.227,1.168,1.208,618570.48,736780.43933,10327,,
2024-07-01,1.209,1.235,1.2,1.213,976729.63,1192147.36715,17981,,
2024-07-02,1.214,1.22,1.191,1.202,804769.91,970027.80362,13993,,
2024-07-03,1.201,1.206,1.129,1.166,1877903.95,2180720.57373,25796,,
2024-07-04,1.165,1.17,1.039,1.057,2776318.5,3012957.88216,29513,,
2024-07-05,1.058,1.07,0.914,1.045,3782896.87,3795149.85907,49296,,
2024-07-06,1.045,1.087,1.035,1.081,1271811.9,1345390.41401,18295,,
2024-07-07,1.082,1.082,1.02,1.021,1050277.42,1101369.39327,15235,,
2024-07-08,1.022,1.08,0.987,1.051,1467464.33,1524277.55544,18630,,
2024-07-09,1.052,1.086,1.047,1.069,723214.66,772554.3779,10867,,
2024-07-10,1.071,1.091,1.057,1.075,807659.4,866226.57174,13816,,
2024-07-11,1.074,1.122,1.058,1.096,948943.36,1042112.62569,14229,,
2024-07-12,1.095,1.125,1.074,1.113,707522.42,778331.9294,14379,,
2024-07-13,1.112,1.156,1.106,1.143,778786.41,881745.48267,11879,,
2024-07-14,1.144,1.192,1.143,1.181,741562.73,860838.28967,10826,,
2024-07-15,1.183,1.281,1.178,1.274,1528099.03,1886085.93211,24567,,
2024-07-16,1.274,1.326,1.223,1.281,1064591.75,1343795.97017,16360,,
2024-07-17,1.281,1.302,1.257,1.259,646990.19,829072.0329,12175,,
2024-07-18,1.26,1.288,1.246,1.261,679534.24,859332.0847,12268,,
