date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2026-03-11,0.0424,0.053,0.0424,0.04819,482718345.0,23114236.74065,206184,883976261.3873485,9238273.446001168
2026-03-12,0.04822,0.04993,0.04631,0.04915,228412852.0,10954634.52406,152173,803186973.5324408,62893610.123496
2026-03-13,0.04916,0.05523,0.04887,0.04916,2158606466.0,112952031.63847,1790404,819788080.1272495,51049152.24646342
2026-03-14,0.04916,0.05172,0.04813,0.04986,2385937897.0,117668929.98967,1054012,815751066.3767067,153927549.2409054
2026-03-15,0.04986,0.05244,0.04956,0.05047,2241051685.0,113972221.33063,811758,826202511.2217634,142692621.0403764
2026-03-16,0.05047,0.0524,0.04984,0.05193,1256526027.0,64023636.07441,622397,835794478.3414142,136445833.06432757
2026-03-17,0.05193,0.05337,0.05,0.05008,1831000178.0,93935954.66622,597322,860751242.3291568,86242798.20055147
2026-03-18,0.05009,0.05026,0.04675,0.0473,3235859194.0,155838244.69019,525972,831292815.0715364,112846230.50209817
2026-03-19,0.0473,0.04755,0.04346,0.04367,5281446880.0,239466286.83459,776264,786661981.1575603,242172850.3651039
2026-03-20,0.04366,0.04628,0.04304,0.04449,10734324282.0,482149739.20928,1154145,723928142.3392255,281244406.7954777
2026-03-21,0.04449,0.04562,0.0429,0.04319,10444808792.0,456605019.56043,1015611,741659373.8132193,552127114.2983373
2026-03-22,0.0432,0.04397,0.04188,0.04241,12392703776.0,530395963.06629,1210346,722845119.9154296,527146038.48057336
2026-03-23,0.0424,0.04979,0.04209,0.0477,16550425343.0,778456700.5615,1792316,704289344.0718315,588585029.079242
2026-03-24,0.0477,0.04939,0.04632,0.04779,20204922773.0,966968996.95132,2091969,792655763.6695774,885433753.7486984
2026-03-25,0.0478,0.04836,0.04297,0.04483,22306315319.0,1005431136.24426,2043502,794753452.226899,1065290375.083586
2026-03-26,0.04483,0.04938,0.04428,0.04656,21045460111.0,966027143.90517,1963008,745291786.0497075,1180854276.611559
2026-03-27,0.04656,0.04678,0.04427,0.04578,15731027417.0,712229027.72504,1431336,772266092.4897721,1159748497.1160553
2026-03-28,0.04579,0.0536,0.04566,0.05119,11532066337.0,579704901.68218,1637447,759822467.2199054,840216176.5285293
2026-03-29,0.05119,0.05193,0.04833,0.04872,7296057467.0,362053239.67581,1082251,848574928.452642,687778416.731904
2026-03-30,0.04872,0.04978,0.04262,0.04351,9377465983.0,433898302.74838,1169413,811098816.8663573,433787710.659437
2026-03-31,0.04351,0.05233,0.04341,0.04829,8758371485.0,431583651.38141,1708299,721092518.8972822,482360158.4944594
2026-04-01,0.04829,0.04938,0.04472,0.04805,3049210948.0,142577490.58738,879310,801828684.2863194,528243808.3455736
2026-04-02,0.04806,0.05007,0.04508,0.04531,3213176650.0,154013937.13504,1256091,797054921.8278633,201547411.21359915
2026-04-03,0.04532,0.04674,0.04366,0.04377,2640016926.0,119783029.1016,873390,754540425.3367242,216486974.80073878
2026-04-04,0.04377,0.04471,0.04086,0.04254,624641128.0,26648703.18765,212737,727640718.559088,162437738.2851646
2026-04-05,0.04255,0.04308,0.03997,0.04213,401711305.0,16731223.91767,146358,709781053.2120973,71686717.78906228
2026-04-06,0.04213,0.04291,0.04035,0.04091,253527998.0,10635525.67406,80346,699260185.6259155,65130321.76333109
2026-04-07,0.04091,0.04269,0.04029,0.0424,199991516.0,8269109.69579,62431,679602985.964406,31721767.42155079
2026-04-08,0.0424,0.04253,0.04,0.04068,166462980.0,6900269.6706,48187,707404458.2895806,31773798.255426142
2026-04-09,0.04068,0.04142,0.04023,0.04078,90904723.0,3709190.18656,20130,677702647.2275933,31445957.756299675
2026-04-10,0.0408,0.04147,0.04044,0.04076,59909204.0,2443970.22724,14025,675909616.7414274,26564873.076186646
2026-04-11,0.04077,0.04127,0.04039,0.04065,65249051.0,2662896.85186,15128,677523292.4864502,20990000.418621156
2026-04-12,0.04065,0.04075,0.03775,0.03803,103695496.0,4035266.96937,25124,676241116.5004932,22600106.315417513
2026-04-13,0.03802,0.0444,0.03778,0.03943,133106725.0,5235658.53169,31177,629480993.6167982,29088544.79701633
2026-04-14,0.03942,0.03942,0.03484,0.03601,263849382.0,9571937.73676,81844,655056389.628743,33599991.53807079
2026-04-15,0.03601,0.03661,0.03472,0.03609,120617609.0,4326401.78462,36029,599351179.7023636,43687739.01114814
2026-04-16,0.03609,0.03727,0.03521,0.03666,112802733.0,4062933.14689,74988,598200898.0847249,23353612.764718477
2026-04-17,0.03666,0.03802,0.03589,0.03695,119223410.0,4413190.21388,40036,607934622.6018374,17189815.944240585
2026-04-18,0.03696,0.03884,0.03663,0.03835,101131423.0,3796813.57358,24918,615659201.9747747,18965526.973025415
2026-04-19,0.03834,0.03838,0.0361,0.0363,93032454.0,3468611.49347,30336,640194804.4067423,20844129.293638125
2026-04-20,0.03631,0.03688,0.03534,0.03612,73993551.0,2665291.76247,20983,605735316.8839538,17962314.48743179
2026-04-21,0.03614,0.03744,0.03569,0.03637,75937974.0,2778330.59595,19519,600502016.8415415,15360539.060973888
2026-04-22,0.03638,0.03754,0.03634,0.03706,40303135.0,1494825.8589,17010,604557559.9898515,24241972.791088276
2026-04-23,0.03707,0.03733,0.03595,0.03669,50430304.0,1849428.3643,19653,616530979.3831304,16313239.967634998
2026-04-24,0.03669,0.03786,0.03627,0.03741,45144023.0,1682316.67924,19118,609690241.9482481,18923893.711324237
2026-04-25,0.03741,0.03778,0.03562,0.03577,43586348.0,1595239.12507,17550,624164865.6208055,17853255.388000224
2026-04-26,0.03577,0.03611,0.03534,0.03562,25703915.0,917965.64138,10633,593115215.5483582,17396525.276162013
2026-04-27,0.03562,0.03653,0.03388,0.03506,102858018.0,3613623.02884,25683,591419438.1247284,14814228.889325935
2026-04-28,0.03509,0.03536,0.03342,0.03432,46496053.0,1584468.14044,12306,581812951.1608682,20897569.01988948
2026-04-29,0.03432,0.03446,0.03222,0.03226,42898723.0,1424873.11112,16881,568914373.4506032,15705708.400146224
2026-04-30,0.03227,0.03353,0.03169,0.03268,83320671.0,2734244.06984,16757,537681683.7766773,12396418.84546024
2026-05-01,0.03271,0.03295,0.03155,0.03166,38480861.0,1239113.44888,10288,542501416.1833799,16402480.87887626
2026-05-02,0.03167,0.032,0.03136,0.03183,26129681.0,826891.72231,7770,525440154.9956761,8290337.284413455
2026-05-03,0.03184,0.03293,0.0301,0.03026,113018815.0,3572989.30592,29950,528757802.374113,7728231.222803026
2026-05-04,0.03026,0.03193,0.02974,0.02994,67704977.0,2081184.11191,16754,501556501.568902,19467439.89039419
2026-05-05,0.02995,0.03398,0.02985,0.0327,157699286.0,4989909.19342,52422,496301156.0135358,13804635.091393884
2026-05-06,0.0327,0.03311,0.03155,0.03202,64734927.0,2100694.74364,26276,545574558.6713645,23830682.506463446
2026-05-07,0.03202,0.03255,0.03058,0.03198,59451762.0,1877744.68954,17958,531148906.51149666,16739068.012139605
2026-05-08,0.03199,0.03425,0.03153,0.03247,143712025.0,4716488.38617,30886,529952918.8391051,18271261.50705862
2026-05-09,0.03247,0.03335,0.03235,0.03269,33850238.0,1114312.54486,11528,539033260.0975039,28767635.637778964
2026-05-10,0.03267,0.03401,0.0322,0.03328,65911726.0,2169907.27478,18715,542541388.2715081,9974352.838975428
2026-05-11,0.03329,0.03693,0.03287,0.03545,89024997.0,3099611.16945,38738,555168921.877844,14730352.504499305
2026-05-12,0.03544,0.0366,0.03337,0.03343,90724137.0,3178853.04802,40442,588855490.4168751,28575143.97323877
2026-05-13,0.03344,0.0344,0.032,0.03248,51525411.0,1707125.34125,23513,555342610.1466093,44181863.409765534
2026-05-14,0.03247,0.03382,0.03188,0.03315,46834145.0,1537853.94521,13647,539865727.2026556,88215003.13416679
2026-05-15,0.03315,0.03342,0.03061,0.03267,64187216.0,2044891.51948,25413,550309134.5620238,52057555.14342718
2026-05-16,0.03266,0.0328,0.03121,0.03196,30292937.0,968003.38134,14032,540799672.4918926,15490820.451168917
2026-05-17,0.03196,0.03222,0.03086,0.03148,16827443.0,534892.36812,9513,531329812.9163402,21570398.48745509
2026-05-18,0.03148,0.03207,0.0311,0.0317,22871056.0,724327.48335,13981,519367436.607094,6385572.003705249
2026-05-19,0.0317,0.03183,0.03073,0.03074,19558249.0,613589.26552,10453,526007810.8571003,6927138.703796307
2026-05-20,0.03075,0.03099,0.0299,0.02999,26656311.0,813269.76254,10323,511019721.5961593,5473131.681981797
2026-05-21,0.03001,0.03156,0.02992,0.0312,52318232.0,1604646.68962,14284,498236267.3746583,74488802.98079205
2026-05-22,0.03121,0.03395,0.02999,0.03322,124750575.0,4038518.00214,36090,517160592.86282176,12879519.483409075
2026-05-23,0.03323,0.03357,0.03162,0.03195,36138602.0,1174373.47119,17551,531210908.44397646,22350770.112977386
