date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-04-11,0.7056,0.9287,0.7056,0.8938,19980553.1,17965044.48501,87805,,
2025-04-12,0.8939,0.9267,0.8644,0.9052,18083429.6,16218840.28002,89539,,
2025-04-13,0.9053,0.9274,0.8384,0.8476,14710010.1,12996916.50846,82076,,
2025-04-14,0.8476,0.9136,0.8449,0.8757,18385716.5,16239073.92126,88305,,
2025-04-15,0.8758,0.91,0.8278,0.8321,17129634.3,14866486.52842,85809,,
2025-04-16,0.832,0.8443,0.8022,0.8194,15545902.8,12824203.84755,87943,,
2025-04-17,0.8193,0.8516,0.8174,0.8291,11785441.5,9866265.67055,70413,,
2025-04-18,0.8292,0.8382,0.8218,0.8308,6526474.7,5415931.4894,49362,,
2025-04-19,0.8306,0.8586,0.8288,0.8549,6507379.2,5504439.07007,50812,,
2025-04-20,0.855,0.8628,0.8199,0.8382,7426152.4,6238382.97853,43021,,
2025-04-21,0.8382,0.8917,0.8357,0.8513,16587273.9,14386928.60385,97478,,
2025-04-22,0.851,0.9222,0.8365,0.9151,21074238.9,18542103.62907,140658,,
2025-04-23,0.9151,0.9532,0.9033,0.9154,25649355.3,23828735.19732,198993,,
2025-04-24,0.9154,1.05,0.8663,0.9792,52022166.3,50052977.66622,407049,,
2025-04-25,0.9791,1.0376,0.9429,0.9897,49864155.1,49653068.98626,323165,,
2025-04-26,0.99,1.05,0.9841,0.9946,26739632.4,27046927.00671,176283,,
2025-04-27,0.9947,1.0073,0.9349,0.9445,28465802.6,27356392.91286,136668,,
2025-04-28,0.9445,0.9962,0.9139,0.9733,42768819.9,41256824.10017,251844,,
2025-04-29,0.9734,0.9912,0.9184,0.9295,24108907.5,23199346.0525,154113,,
2025-04-30,0.9296,0.9434,0.8741,0.9073,24589074.2,22421040.33828,157032,,
2025-05-01,0.9073,0.9367,0.9028,0.914,25603898.1,23516447.98991,145779,,
2025-05-02,0.9142,0.9279,0.8911,0.9222,13933115.5,12710097.90016,99015,,
2025-05-03,0.9221,0.9224,0.8681,0.8747,10910551.9,9714634.3023,81386,,
2025-05-04,0.8747,0.8876,0.8513,0.8587,10660116.6,9231584.58631,79125,,
2025-05-05,0.8586,0.8912,0.8514,0.8676,13135662.8,11426786.9278,92730,,
2025-05-06,0.8678,0.8711,0.8285,0.8676,12787538.2,10883678.75355,93502,,
2025-05-07,0.8677,0.8832,0.8463,0.8725,13783527.2,11932253.75208,107953,,
2025-05-08,0.8725,0.9861,0.8716,0.9757,31170063.2,29121193.82024,195234,,
2025-05-09,0.9756,1.062,0.9641,1.0056,37323363.6,37793127.28852,319668,,
2025-05-10,1.0057,1.1081,0.9931,1.1018,31238667.6,32589403.07761,274008,,
2025-05-11,1.1017,1.11,1.0067,1.039,29436566.2,30795943.02718,239791,,
2025-05-12,1.0391,1.1104,0.9743,1.0293,39641485.4,41605368.43036,353984,,
2025-05-13,1.0293,1.0786,0.9724,1.044,32545095.0,33307400.2299,281190,,
2025-05-14,1.0439,1.144,0.9966,1.0086,56439272.0,59165734.71585,421750,,
2025-05-15,1.0087,1.0317,0.9464,0.9684,43981838.0,43217071.3474,327506,,
2025-05-16,0.9685,0.9987,0.9228,0.9375,23676415.6,23015469.61933,188113,,
2025-05-17,0.9375,0.939,0.9016,0.9146,22729330.3,20857337.94798,171985,,
2025-05-18,0.9146,0.9798,0.8904,0.959,27234203.7,25488362.15899,218887,,
2025-05-19,0.9591,0.9712,0.884,0.9271,29101742.1,26497236.9171,205608,,
2025-05-20,0.9272,0.9604,0.9151,0.9439,17964772.8,16838048.05484,154678,,
2025-05-21,0.944,0.9984,0.9308,0.9753,28203910.6,27072389.28166,237111,,
2025-05-22,0.9753,1.026,0.9753,1.0195,29366443.4,29510741.11567,233352,,
2025-05-23,1.0195,1.0512,0.9242,0.9334,44031678.4,43790347.0434,324372,,
2025-05-24,0.9333,0.9657,0.9272,0.9398,11125251.4,10556756.64292,118290,2957624202.772901,383393082.41561
2025-05-25,0.9399,0.9519,0.9036,0.9505,13670620.4,12656014.80608,123875,2969854704.3344603,120027663.58134112
2025-05-26,0.9506,0.973,0.9296,0.9402,13659428.3,12981474.22982,114415,2993873394.7048526,132571750.85421813
2025-05-27,0.9403,0.9708,0.9153,0.9484,16586898.8,15748348.7907,148181,2965563895.7612653,120840899.8144091
2025-05-28,0.9485,0.963,0.9079,0.9336,13897160.2,13000482.30629,131633,2995504568.585386,138249473.29209128
2025-05-29,0.9335,0.9574,0.8947,0.9,20118075.7,18635748.86849,160186,2942547097.8784437,115618312.7430519
2025-05-30,0.8998,0.9051,0.8073,0.8179,34890591.9,29752508.68843,205814,2847233100.7415924,160388806.23381796
2025-05-31,0.8179,0.8423,0.7835,0.8314,16852141.1,13654814.70621,129487,2587596616.919014,211403611.16978133
2025-06-01,0.8315,0.8478,0.8069,0.8444,7922608.2,6558158.05953,73801,2633095623.962901,135850128.39752993
2025-06-02,0.8445,0.8554,0.8183,0.8508,9089173.0,7575469.13706,80800,2669964059.595157,78917916.51325093
2025-06-03,0.8508,0.8697,0.84,0.8502,11357542.5,9728715.80134,80045,2690292463.3856044,89792155.45491812
2025-06-04,0.8502,0.8611,0.8251,0.8314,9060521.2,7665961.04654,73990,2684802102.669254,95027466.46378332
2025-06-05,0.8313,0.8384,0.7577,0.7751,19213792.6,15274255.39981,134114,2635069197.8853025,79812791.34709716
2025-06-06,0.7751,0.8225,0.7679,0.805,9683487.6,7748294.42675,88431,2459752577.8515444,138838048.22496226
2025-06-07,0.8051,0.843,0.8017,0.836,7655588.6,6351301.75809,57586,2549870714.1306148,89568800.99574758
2025-06-08,0.836,0.8477,0.818,0.8318,8702325.0,7240418.03533,58703,2637851375.0331197,60514420.33550372
2025-06-09,0.8317,0.8783,0.8184,0.8752,12124417.7,10273183.27402,83534,2625303839.305205,61011558.42803368
2025-06-10,0.8753,0.9059,0.8579,0.8994,15020485.6,13264340.15422,132871,2771196300.496175,117560305.77208896
2025-06-11,0.8995,0.9203,0.8543,0.8665,20901801.4,18655186.29126,167358,2838255556.9436316,161620743.38840845
2025-06-12,0.8666,0.8682,0.8061,0.8135,21717271.8,18238088.71407,131481,2738706107.5021405,194653614.10785174
2025-06-13,0.8137,0.814,0.7508,0.7973,35668677.6,27673501.19698,228547,2588829978.4057145,152369318.03826532
2025-06-14,0.7973,0.8012,0.7684,0.7855,10133495.3,7991232.16089,70090,2516573760.6757793,222523370.94439033
2025-06-15,0.7855,0.7977,0.7748,0.7924,11023783.2,8660747.77547,65498,2485371829.819554,81290475.51614948
2025-06-16,0.7925,0.8406,0.7856,0.7919,13240922.0,10819805.90871,91001,2503277992.74386,75543322.88655466
2025-06-17,0.7918,0.7976,0.7272,0.7436,30832143.1,23611911.62922,183779,2529858559.3596554,136784018.7263763
2025-06-18,0.7437,0.7864,0.7201,0.7761,20167251.0,15210693.86022,163117,2358854002.527931,213113994.1443036
2025-06-19,0.7761,0.7922,0.7578,0.7683,14743527.4,11428278.61546,101089,2446824309.111339,188590565.1682572
2025-06-20,0.7684,0.7818,0.7216,0.7361,14774058.9,11139649.57905,110640,2434781176.3581944,130320680.31871131
2025-06-21,0.7361,0.7452,0.6751,0.6941,16517092.1,11672934.00857,92953,2323940718.7517715,122659248.70499852
2025-06-22,0.6942,0.707,0.6214,0.6726,27689381.8,18278858.95716,185932,2170058109.238987,125961786.83908436
2025-06-23,0.6726,0.7966,0.6504,0.7553,35634291.3,25036762.76137,216007,2122648391.5674264,197635474.86540833
2025-06-24,0.7553,0.7948,0.7456,0.7838,22490546.1,17321192.97097,172362,2389435204.9884663,240852969.47292674
2025-06-25,0.7838,0.7879,0.7529,0.7598,16904854.4,13082712.1611,148705,2471187228.5983763,165283868.93275806
2025-06-26,0.7599,0.8,0.7297,0.7335,17129945.0,12886948.38193,139992,2393080636.6653304,116105296.55728503
2025-06-27,0.7335,0.7589,0.7221,0.7467,11236159.4,8313276.10242,111133,2317960493.0826325,116791663.02942859
2025-06-28,0.7467,0.7657,0.7422,0.7611,7023271.3,5290896.27757,57020,2363747406.8804927,105591938.40564176
2025-06-29,0.7611,0.7997,0.7561,0.7915,11938905.1,9197785.52397,86977,2405885004.3710365,70528935.43196416
2025-06-30,0.7915,0.7971,0.7524,0.769,11638153.9,8998541.27939,110383,2503050235.837847,96946684.44114436
2025-07-01,0.7691,0.7721,0.7334,0.7415,9392533.0,7068261.51241,88425,2429738814.491513,112980697.64151484
2025-07-02,0.7415,0.8043,0.7339,0.7852,13511722.5,10476734.61659,112704,2337058098.083718,80822021.3467421
2025-07-03,0.7851,0.8158,0.7792,0.797,17442127.0,13909340.27328,141324,2485911299.0754466,122998781.35541254
2025-07-04,0.797,0.804,0.7627,0.7743,14050127.2,10955974.22163,111898,2512607654.602757,156567240.62640795
2025-07-05,0.7742,0.7846,0.7662,0.7821,6607136.1,5126942.76592,59337,2446755393.4378257,141206742.9277814
2025-07-06,0.7822,0.808,0.7724,0.7965,6960650.3,5488609.05207,71185,2470459503.5435605,59612994.44823178
2025-07-07,0.7965,0.8148,0.7681,0.7804,14077241.8,11151084.74897,105647,2510096287.149725,81170974.34961031
2025-07-08,0.7804,0.8059,0.7695,0.802,8866107.1,6988926.33737,87987,2464976093.006561,115393219.96010324
2025-07-09,0.802,0.8399,0.7921,0.8326,14796499.8,12104923.01002,124773,2534960686.0505753,75921843.71328112
2025-07-10,0.8327,0.9015,0.8265,0.8938,23409378.0,20216251.08559,176403,2632140216.1302567,116861604.79400004
2025-07-11,0.8938,0.9382,0.869,0.8846,31131917.9,28256906.31611,268342,2818387983.7625637,204754347.7940591
2025-07-12,0.8847,0.94,0.8522,0.8736,18173434.1,16019326.64541,171681,2796107287.0514255,294504880.2185245
2025-07-13,0.8737,0.9288,0.8707,0.9042,16071658.9,14503721.82375,179677,2756727594.4022202,183532714.5953095
2025-07-14,0.9043,0.9612,0.8885,0.9226,33074731.2,30713656.84303,326833,2849295344.3876824,164358377.37081397
2025-07-15,0.9226,0.9453,0.8802,0.9386,29004808.6,26451207.60566,288721,2909755938.0978913,364511124.84825146
2025-07-16,0.9384,0.9827,0.9237,0.9587,20669512.0,19674538.72747,212793,2963670572.1481214,263254623.39492276
2025-07-17,0.9587,1.0621,0.9308,1.0344,52014615.3,52489405.47778,440956,3029448036.515908,225804807.59324384
2025-07-18,1.0344,1.0923,0.9832,1.0067,41187488.7,43046350.92274,395541,3286010610.3282037,500807845.38127995
2025-07-19,1.0068,1.086,0.989,1.0313,18457122.9,18823097.88325,188521,3183424884.287612,419692286.3102037
2025-07-20,1.0313,1.0827,1.0207,1.0475,23266097.6,24506800.52132,195363,3256849507.0321345,201523587.5938971
2025-07-21,1.0474,1.1275,1.0243,1.0754,35421856.9,38206181.67906,321483,3309270227.232272,248017900.5753568
2025-07-22,1.0754,1.1695,1.0201,1.1431,43862962.8,47050784.79679,448660,3401439619.556159,375391335.33886695
2025-07-23,1.1432,1.1472,0.9876,1.0304,51612308.8,54775705.41084,492864,3602556073.552469,582034774.0731941
2025-07-24,1.0305,1.08,0.9492,1.018,40233646.8,41154748.07298,391355,3258080277.9732137,582533168.4399159
2025-07-25,1.0181,1.0415,0.9795,1.0379,30460995.7,30824567.16114,317951,3216639226.505728,408724289.06524676
2025-07-26,1.0379,1.0622,1.0315,1.0421,14702776.5,15404729.32919,123747,3277215266.05529,317006111.9847672
2025-07-27,1.0421,1.071,1.0363,1.0683,20250865.9,21294653.90714,178768,3292078222.561581,131652171.07155336
2025-07-28,1.0684,1.0838,0.985,0.992,26592984.7,27596058.81278,265773,3366349307.1554427,188730330.0218904
2025-07-29,0.9921,1.0147,0.9347,0.9596,25599462.6,24936056.86718,238897,3123185720.879831,282112755.83989966
2025-07-30,0.9596,0.9645,0.9014,0.9454,23029053.6,21692926.7583,216378,3027035307.9982777,217593710.99734086
2025-07-31,0.9453,1.0048,0.915,0.9192,30448523.8,29386933.53636,249060,2989991002.9471703,196817395.6920154
2025-08-01,0.9192,0.9276,0.8666,0.8898,45284064.8,40913751.51919,396927,2904746517.1730843,241566315.37388697
2025-08-02,0.8897,0.9091,0.8443,0.8749,21959749.0,19334263.62727,221101,2816395092.1230574,302568820.48272663
2025-08-03,0.875,0.9271,0.8585,0.9211,14176177.9,12788784.74691,123636,2774990253.9982524,165823003.41996196
2025-08-04,0.9212,0.958,0.9166,0.9501,19007722.5,17781880.85892,173759,2910070707.8663964,97210671.287844
2025-08-05,0.9501,0.9508,0.9024,0.92,24212123.5,22347240.86505,219685,3002239765.3581,144950807.33942643
2025-08-06,0.92,0.9461,0.8991,0.9411,14445711.3,13340176.27986,152873,2904289584.209377,159957284.70865595
2025-08-07,0.9411,1.0122,0.9305,1.0099,24857883.8,24263082.36185,192655,2974662266.6349096,109009813.43036644
2025-08-08,1.0099,1.0318,0.9994,1.0208,22966894.3,23285419.29917,231896,3187288696.9893184,201152993.20555416
2025-08-09,1.0208,1.0584,1.0148,1.0374,22454910.4,23373725.80788,191133,3227227649.4584837,146560042.52733833
2025-08-10,1.0375,1.0568,0.9984,1.0254,24944674.7,25626440.74691,220897,3284075926.211487,152532963.91930714
2025-08-11,1.0255,1.0557,0.9757,0.9838,25850568.1,26287932.12074,256119,3238211230.280853,155913040.41414773
2025-08-12,0.9838,1.0699,0.9689,1.0607,28504273.2,29198544.72042,247800,3114481233.6488132,231263906.9512263
2025-08-13,1.0606,1.09,1.0446,1.0766,25335177.7,27058384.89787,234897,3348126731.412696,219248445.44832432
2025-08-14,1.0767,1.1111,0.9777,1.0014,47374779.4,49227537.48052,425864,3417847974.538873,214353843.4879138
2025-08-15,1.0013,1.0289,0.96,0.9901,23927416.8,23857300.23937,209146,3166862219.089261,373825528.52465284
2025-08-16,0.99,1.0094,0.9767,1.0011,13246452.1,13141767.07018,105586,3124874434.022662,185255881.03687298
2025-08-17,1.0011,1.0419,0.9952,1.0076,13933767.0,14174737.96611,113838,3163920674.990523,103620731.74670209
2025-08-18,1.0075,1.0092,0.9412,0.9602,24397782.3,23530323.64802,186499,3192407161.2677684,121416447.99618082
2025-08-19,0.9603,0.9745,0.9067,0.9104,22512281.1,21120753.82516,206161,3036497964.749961,212360325.0623561
2025-08-20,0.9105,0.9531,0.9033,0.9462,19643141.9,18258872.57288,174380,2874125890.9602294,170872200.46936348
2025-08-21,0.9462,0.9549,0.9114,0.9168,15007207.5,13959303.48378,135943,2987466811.9427047,149044012.6929178
2025-08-22,0.9168,1.0186,0.891,1.0112,40475967.0,38954537.79056,296967,2889849096.378528,108251689.0985623
2025-08-23,1.0113,1.022,0.9771,1.0019,20697111.5,20700326.21502,145168,3195230500.593282,281068362.4625582
2025-08-24,1.0019,1.0288,0.9565,0.9725,32023085.2,31570233.58109,247456,3161463932.8115106,162844702.52068114
2025-08-25,0.9726,0.9889,0.8764,0.8923,41114428.9,37904412.59483,289405,3072105545.691335,214317078.07322574
2025-08-26,0.8923,0.9529,0.8854,0.9412,26137767.8,23860269.87681,193851,2819403514.5551667,214129427.32085347
2025-08-27,0.9413,0.9546,0.925,0.9274,22647067.5,21268250.37729,186782,2975608379.000846,142181564.35316044
2025-08-28,0.9273,0.9529,0.9198,0.9458,20335606.7,19101822.90985,153781,2927536271.2701826,156689640.8172802
2025-08-29,0.9457,0.95,0.8909,0.9058,26868233.8,24568020.64474,193623,2989207374.9697785,135681957.6564483
2025-08-30,0.9058,0.9214,0.8933,0.9083,11219821.1,10202732.91408,73903,2865402506.973399,137402572.16528642
2025-08-31,0.9083,0.9207,0.8964,0.8971,10365861.1,9443549.47842,68890,2865443323.1966214,67341394.58098567
2025-09-01,0.8971,0.9117,0.859,0.8801,26093792.5,23050071.5709,163518,2836535458.6131744,77788374.6164452
2025-09-02,0.8802,0.9537,0.8761,0.9483,34215672.8,31393598.3458,204720,2774865701.042726,168310805.7878824
2025-09-03,0.9482,0.9864,0.9385,0.9411,34795417.0,33516992.59999,183029,2991680891.1865454,219016644.85922086
2025-09-04,0.9412,0.947,0.9038,0.9098,20744801.6,19131683.44558,106666,2968577226.494257,231153812.77354988
