date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.623,2.673,2.455,2.522,29652132.84,75900768.10472,133426,,
2024-05-25,2.521,2.61,2.501,2.551,20057043.09,51380393.56891,82277,,
2024-05-26,2.551,2.642,2.504,2.53,19318558.63,49687926.27117,88957,,
2024-05-27,2.53,2.649,2.513,2.587,29985415.76,77612505.02494,127740,,
2024-05-28,2.588,2.596,2.482,2.548,23764817.4,60176770.11281,99214,,
2024-05-29,2.548,2.595,2.486,2.494,15875961.21,40333036.92928,80650,,
2024-05-30,2.494,2.54,2.399,2.476,17164242.06,42605982.22766,93411,,
2024-05-31,2.477,2.52,2.407,2.455,12184273.46,30120830.76851,69011,,
2024-06-01,2.455,2.489,2.45,2.475,6062194.84,14986600.90213,32902,,
2024-06-02,2.475,2.499,2.341,2.379,13552666.67,32938991.65573,64036,,
2024-06-03,2.379,2.469,2.359,2.402,13091435.73,31743405.11595,62313,,
2024-06-04,2.401,2.481,2.383,2.478,12770915.45,30985502.20057,58028,,
2024-06-05,2.479,2.548,2.472,2.524,12547562.92,31481086.06177,58038,,
2024-06-06,2.525,2.532,2.445,2.484,8831218.76,22040285.49343,51237,,
2024-06-07,2.484,2.559,2.055,2.262,32995707.84,77265255.03406,170413,,
2024-06-08,2.262,2.274,2.138,2.168,19033506.42,41865917.05419,84847,,
2024-06-09,2.167,2.256,2.159,2.231,11690070.6,25872738.5759,51158,,
2024-06-10,2.231,2.249,2.162,2.187,10656982.5,23540906.68274,52687,,
2024-06-11,2.188,2.197,2.03,2.057,27125893.42,57336362.93707,124450,,
2024-06-12,2.058,2.212,2.001,2.146,25928453.72,54920757.90527,110827,,
2024-06-13,2.147,2.148,2.001,2.015,13716829.84,28230758.48967,63760,,
2024-06-14,2.015,2.058,1.893,2.004,21341765.46,42153384.67553,97835,,
2024-06-15,2.004,2.105,2.001,2.104,12890090.61,26504315.28767,58488,,
2024-06-16,2.104,2.126,2.036,2.095,10374378.85,21604402.00414,55616,,
2024-06-17,2.094,2.103,1.9,1.936,22664167.18,45087869.05303,97770,,
2024-06-18,1.936,1.945,1.66,1.829,36466167.57,65320830.35588,177424,,
2024-06-19,1.829,1.961,1.806,1.912,20697537.24,39452207.31327,91765,,
2024-06-20,1.912,2.006,1.829,1.835,18749380.74,35846942.45261,83783,,
2024-06-21,1.835,1.881,1.806,1.813,12856835.2,23651054.43483,66110,,
2024-06-22,1.814,1.821,1.778,1.79,6158817.66,11094876.44781,33227,,
2024-06-23,1.79,1.828,1.703,1.712,8889789.49,15709600.56409,42482,,
2024-06-24,1.712,1.776,1.61,1.773,20451078.05,34859483.08884,96893,,
2024-06-25,1.773,1.8,1.723,1.763,14045103.22,24841275.30936,57913,,
2024-06-26,1.763,1.8,1.709,1.786,11537107.75,20289463.56257,47087,,
2024-06-27,1.787,1.839,1.731,1.8,16808884.04,30075044.68987,65972,,
2024-06-28,1.8,1.843,1.744,1.75,11721144.84,21021681.39859,48292,,
2024-06-29,1.751,1.794,1.736,1.742,5727500.6,10128083.70615,26073,,
2024-06-30,1.742,1.808,1.721,1.803,8605543.7,15112013.19161,34956,,
2024-07-01,1.804,1.868,1.744,1.753,10952391.73,19820400.15098,48359,,
2024-07-02,1.753,1.787,1.733,1.771,8652482.67,15230539.98442,33538,,
2024-07-03,1.772,1.783,1.615,1.637,14718460.63,24753436.13105,64216,,
2024-07-04,1.637,1.651,1.429,1.443,26873182.87,41423696.05419,100941,,
2024-07-05,1.443,1.446,1.222,1.33,63428583.87,83638334.30448,195378,,
2024-07-06,1.331,1.499,1.314,1.487,19958147.26,27962524.48907,65848,,
2024-07-07,1.487,1.494,1.375,1.382,14407020.22,20643809.63578,60312,,
2024-07-08,1.383,1.532,1.318,1.482,30886785.49,44676832.54228,120438,,
2024-07-09,1.482,1.628,1.473,1.619,19940301.83,30540942.20094,80216,,
2024-07-10,1.617,1.686,1.581,1.676,17188273.17,28133009.9301,82015,,
2024-07-11,1.677,1.723,1.643,1.659,11996779.13,20182555.88939,81932,,
2024-07-12,1.66,1.753,1.639,1.712,15663590.65,26624426.68971,91536,,
2024-07-13,1.712,1.741,1.668,1.689,9222136.65,15668622.90194,60080,,
2024-07-14,1.69,1.829,1.689,1.801,11358951.47,19777895.14832,73093,,
2024-07-15,1.8,1.871,1.759,1.851,18820118.33,33880881.41487,109429,,
2024-07-16,1.851,1.865,1.707,1.79,25233489.44,44918385.1881,133384,,
2024-07-17,1.791,1.89,1.79,1.81,14956586.77,27555906.47388,101010,,
2024-07-18,1.81,1.845,1.75,1.826,11849794.63,21377439.25626,72000,,
2024-07-19,1.827,1.961,1.776,1.956,15720984.68,29285245.85934,97714,,
2024-07-20,1.955,1.973,1.909,1.926,7348364.3,14222208.22698,52377,,
2024-07-21,1.926,1.983,1.864,1.973,14029673.92,26939432.62318,89851,,
2024-07-22,1.973,1.989,1.86,1.874,9428451.7,18217399.48147,70831,,
2024-07-23,1.874,1.962,1.815,1.871,20400938.36,38688403.80835,129885,,
2024-07-24,1.871,1.889,1.729,1.735,8285169.82,15108729.74381,67419,,
2024-07-25,1.736,1.751,1.628,1.694,13575367.79,22915267.59797,81938,,
2024-07-26,1.694,1.764,1.69,1.735,6435497.88,11151718.6747,38036,,
2024-07-27,1.735,1.784,1.701,1.745,6843034.49,11930975.4296,47756,,
2024-07-28,1.746,1.76,1.683,1.703,4241232.85,7293981.13752,27007,,
2024-07-29,1.703,1.769,1.657,1.667,8254560.32,14172989.74332,52295,,
2024-07-30,1.667,1.715,1.59,1.629,6890150.06,11480007.97458,41170,,
2024-07-31,1.629,1.665,1.562,1.582,6707638.23,10895350.75515,45934,,
2024-08-01,1.582,1.605,1.463,1.574,10295948.66,15837415.30763,69101,,
2024-08-02,1.573,1.589,1.431,1.463,13581514.61,20445485.10046,96981,,
2024-08-03,1.463,1.516,1.375,1.423,14783587.39,21430223.27842,74861,,
2024-08-04,1.424,1.448,1.286,1.33,12037674.24,16374160.38298,65783,,
2024-08-05,1.33,1.339,1.061,1.17,64695529.81,74673344.31324,272501,,
2024-08-06,1.171,1.332,1.169,1.275,23779993.78,30325856.40854,110717,,
2024-08-07,1.275,1.322,1.182,1.199,12143625.19,15339292.4863,73422,,
2024-08-08,1.199,1.427,1.178,1.426,17381837.1,22899503.72523,97222,,
2024-08-09,1.427,1.442,1.358,1.41,10637997.09,14912389.09145,81373,,
2024-08-10,1.41,1.456,1.384,1.426,7715295.23,10948297.01506,52880,,
2024-08-11,1.427,1.482,1.3,1.309,13437657.5,18674729.14571,81931,,
2024-08-12,1.309,1.43,1.291,1.38,20958164.73,28608023.68219,126559,,
2024-08-13,1.38,1.386,1.315,1.365,9797276.85,13246114.94277,85177,,
2024-08-14,1.366,1.399,1.295,1.327,12096962.67,16309331.48446,94957,,
2024-08-15,1.328,1.342,1.224,1.25,15812054.86,20319580.26043,105345,,
2024-08-16,1.251,1.3,1.234,1.28,12419981.64,15762478.05631,87329,,
2024-08-17,1.281,1.343,1.259,1.342,15438984.64,19983477.05992,77939,,
2024-08-18,1.342,1.376,1.318,1.335,11816875.89,15931718.71097,76617,,
2024-08-19,1.335,1.388,1.302,1.37,14922615.18,20194633.25894,110364,,
2024-08-20,1.37,1.404,1.32,1.352,8385072.9,11473506.83749,73359,,
2024-08-21,1.352,1.451,1.339,1.448,9901100.08,13745679.32321,112101,,
2024-08-22,1.449,1.518,1.416,1.51,9674080.69,14113582.1756,102017,,
2024-08-23,1.511,1.64,1.504,1.614,13713288.01,21479040.76948,174430,,
2024-08-24,1.614,1.647,1.578,1.605,11652560.18,18751151.80735,129323,,
2024-08-25,1.605,1.607,1.522,1.551,10515733.43,16396342.7925,135974,,
2024-08-26,1.551,1.566,1.471,1.485,9343392.62,14195334.91224,149871,,
2024-08-27,1.485,1.517,1.351,1.373,17608818.49,25397307.78514,189703,,
2024-08-28,1.373,1.441,1.36,1.425,17260993.5,24167600.65254,234619,,
2024-08-29,1.426,1.496,1.402,1.426,11951499.98,17300423.3304,151052,,
2024-08-30,1.425,1.478,1.368,1.47,11867006.76,16913118.04554,154614,,
2024-08-31,1.47,1.483,1.414,1.417,5168866.0,7507115.85183,61829,,
2024-09-01,1.417,1.423,1.346,1.357,7032762.36,9785092.62205,101550,,
2024-09-02,1.357,1.426,1.34,1.408,8593270.84,11873961.50195,114659,,
2024-09-03,1.409,1.439,1.34,1.348,7263997.72,10051528.61615,91783,,
2024-09-04,1.349,1.381,1.271,1.348,12290921.13,16279100.95478,123931,,
2024-09-05,1.348,1.366,1.324,1.358,8677984.07,11694954.66666,90867,,
2024-09-06,1.358,1.384,1.289,1.337,20451288.5,27606569.19145,192565,,
2024-09-07,1.337,1.436,1.337,1.417,9288093.75,12996508.95204,100940,,
2024-09-08,1.417,1.473,1.393,1.418,12230800.84,17403000.11587,111679,,
2024-09-09,1.418,1.547,1.418,1.531,9875755.68,14597045.74052,101810,,
2024-09-10,1.531,1.636,1.522,1.61,11576584.95,18221636.68967,131977,,
2024-09-11,1.611,1.617,1.534,1.545,11892827.3,18608369.42665,138112,,
2024-09-12,1.546,1.574,1.51,1.539,10611460.06,16368208.33409,113108,,
2024-09-13,1.539,1.564,1.502,1.548,7473819.71,11462752.91687,101325,,
2024-09-14,1.549,1.574,1.528,1.568,5634672.48,8750914.86238,69982,,
2024-09-15,1.568,1.589,1.465,1.473,6994783.61,10720336.83019,90920,,
2024-09-16,1.473,1.502,1.431,1.452,8380234.65,12224352.21021,104984,,
