date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2343.0,2400.0,2341.0,2346.0,1416.6502,3329375.2175,10633,,
2024-05-25,2347.0,2353.0,2336.0,2346.0,440.2053,1031835.0655,6057,,
2024-05-26,2346.0,2355.0,2342.0,2351.0,339.1831,796831.5829,4989,,
2024-05-27,2351.0,2370.0,2342.0,2357.0,854.4051,2012514.2677,7532,,
2024-05-28,2358.0,2361.0,2326.0,2350.0,948.3539,2227973.1808,9617,,
2024-05-29,2351.0,2358.0,2325.0,2325.0,571.9858,1337689.0076,7832,,
2024-05-30,2328.0,2350.0,2318.0,2338.0,789.9066,1843441.0317,8031,,
2024-05-31,2338.0,2355.0,2325.0,2332.0,815.6607,1904897.4432,7421,,
2024-06-01,2333.0,2349.0,2326.0,2344.0,426.2228,995762.2045,4969,,
2024-06-02,2344.0,2351.0,2333.0,2335.0,419.4448,982187.2565,5962,,
2024-06-03,2335.0,2353.0,2325.0,2347.0,664.6049,1555209.3429,7096,,
2024-06-04,2347.0,2353.0,2325.0,2335.0,646.4955,1511685.3914,8629,,
2024-06-05,2336.0,2359.0,2331.0,2359.0,645.1199,1511837.3619,6853,,
2024-06-06,2359.0,2369.0,2349.0,2365.0,544.158,1284820.6652,7000,,
2024-06-07,2365.0,2371.0,2292.0,2310.0,1922.4263,4462164.4408,13641,,
2024-06-08,2311.0,2316.0,2295.0,2301.0,316.27,728997.1531,5926,,
2024-06-09,2302.0,2318.0,2301.0,2312.0,356.5369,823651.638,4601,,
2024-06-10,2312.0,2325.0,2304.0,2316.0,388.6962,898634.0302,5071,,
2024-06-11,2316.0,2323.0,2306.0,2314.0,792.9588,1834935.7547,9781,,
2024-06-12,2314.0,2344.0,2310.0,2314.0,1380.3884,3210181.0101,12966,,
2024-06-13,2315.0,2318.0,2292.0,2297.0,585.1349,1348713.4637,8949,,
2024-06-14,2297.0,2330.0,2297.0,2321.0,963.9647,2233210.0227,25244,,
2024-06-15,2321.0,2337.0,2319.0,2333.0,508.5849,1185717.2397,30546,,
2024-06-16,2333.0,2370.0,2323.0,2326.0,582.9467,1363799.4156,13883,,
2024-06-17,2326.0,2327.0,2304.0,2314.0,532.1398,1231348.1976,7145,,
2024-06-18,2314.0,2330.0,2304.0,2319.0,899.5154,2083124.8275,13297,,
2024-06-19,2320.0,2328.0,2311.0,2316.0,411.9621,955052.7875,4999,,
2024-06-20,2317.0,2348.0,2313.0,2346.0,652.7795,1523703.0907,11245,,
2024-06-21,2347.0,2349.0,2311.0,2321.0,715.5954,1669630.8033,12991,,
