date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,6.212,6.745,5.973,6.697,8177266.5,52049171.537,212488,,
2024-05-25,6.696,7.25,6.651,6.712,6364255.7,43975239.60628,172437,,
2024-05-26,6.711,6.978,6.583,6.762,4333207.6,29390596.5047,129024,,
2024-05-27,6.759,7.197,6.667,6.88,5719373.4,39661812.3355,169911,,
2024-05-28,6.877,7.057,6.339,6.557,7041831.7,47177229.5756,210687,,
2024-05-29,6.559,6.66,6.152,6.232,4300379.6,27292338.9275,120204,,
2024-05-30,6.231,6.477,6.062,6.257,3321227.2,20777639.4463,91545,,
2024-05-31,6.257,6.468,6.12,6.175,3006979.5,18821019.9443,80787,,
2024-06-01,6.177,6.315,6.018,6.093,2553832.6,15734387.937,65268,,
2024-06-02,6.092,6.183,5.833,5.85,2392580.8,14348472.2639,59373,,
2024-06-03,5.85,6.389,5.823,6.054,3820147.1,23472472.5415,95243,,
2024-06-04,6.054,6.339,6.012,6.125,3097988.9,19130479.7038,78501,,
2024-06-05,6.125,6.228,6.029,6.168,2294100.9,14027207.8923,54276,,
2024-06-06,6.166,6.338,5.83,5.941,2884675.0,17431155.3783,66717,,
2024-06-07,5.944,5.994,4.85,5.504,5600578.8,31239517.4428,134856,,
2024-06-08,5.503,5.611,5.408,5.414,2557099.0,14110358.5141,70133,,
2024-06-09,5.414,5.44,5.235,5.358,1896898.7,10156365.2842,55341,,
2024-06-10,5.358,5.534,5.192,5.224,2616656.9,13935300.9914,64823,,
2024-06-11,5.224,5.264,4.774,4.93,4647770.7,23343086.7352,121079,,
2024-06-12,4.934,5.651,4.806,5.489,6310339.9,33500985.4645,145892,,
2024-06-13,5.489,5.49,4.899,4.961,4056911.2,20840089.031,93662,,
2024-06-14,4.964,5.327,4.653,4.921,5603635.4,27879770.368,123119,,
2024-06-15,4.921,5.393,4.894,5.345,3190777.2,16534662.7927,73700,,
2024-06-16,5.345,5.75,5.254,5.727,3517036.7,19317371.4245,94627,,
2024-06-17,5.726,5.738,5.085,5.225,5497395.1,29466748.4132,152359,,
2024-06-18,5.225,5.372,4.65,5.342,9399403.8,47312824.8375,255751,,
2024-06-19,5.342,5.96,5.273,5.827,9887867.2,56462132.2501,264636,,
2024-06-20,5.827,6.198,5.713,5.867,8086512.5,47826214.2593,236771,,
2024-06-21,5.867,6.101,5.716,6.08,5276558.2,30983016.6445,162960,,
2024-06-22,6.081,6.28,5.927,6.008,4195044.2,25720151.497,125326,,
2024-06-23,6.009,6.28,5.664,5.67,4038906.8,24224488.2942,127363,,
2024-06-24,5.669,6.078,5.18,6.026,7938332.6,44461408.9431,193009,,
2024-06-25,6.024,6.055,5.574,5.654,5750141.8,33306876.3352,148497,,
2024-06-26,5.653,5.788,5.358,5.39,3595725.9,19871966.7966,99880,,
2024-06-27,5.393,5.612,5.161,5.275,5928753.3,31657067.2455,125644,,
2024-06-28,5.274,5.365,4.919,4.938,4816698.5,24757721.2399,116975,,
2024-06-29,4.936,5.15,4.933,4.969,1859542.3,9364910.9265,53963,,
2024-06-30,4.968,5.102,4.845,5.064,2849989.9,14136256.0,70317,,
2024-07-01,5.065,5.233,4.842,4.985,3559929.0,17912842.1326,85685,,
2024-07-02,4.987,5.045,4.076,4.094,10181794.1,44909405.5027,212590,,
2024-07-03,4.094,4.177,3.913,4.135,11359029.9,45961973.5944,220366,,
2024-07-04,4.135,4.21,3.825,3.873,11656313.9,47242027.5371,206148,,
2024-07-05,3.874,3.898,3.21,3.531,13822961.8,48783112.24172,244061,,
2024-07-06,3.53,4.09,3.507,4.006,6012066.6,23008541.7134,117702,,
2024-07-07,4.006,4.013,3.581,3.596,5117665.7,19539147.9789,103854,,
2024-07-08,3.594,3.747,3.32,3.339,10942975.1,38140325.8613,209556,,
