date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.493e-05,1.517e-05,1.344e-05,1.415e-05,44374876804604.0,628882225.3071529,1175231,,
2024-05-25,1.415e-05,1.585e-05,1.411e-05,1.497e-05,43211670065585.0,652623743.3152981,1123508,,
2024-05-26,1.496e-05,1.639e-05,1.462e-05,1.603e-05,47622342552196.0,745292596.6780031,1251925,,
2024-05-27,1.603e-05,1.725e-05,1.599e-05,1.671e-05,49604669541424.0,829323421.1823446,1476661,,
2024-05-28,1.671e-05,1.71e-05,1.556e-05,1.6e-05,49081470985205.0,796168278.7164603,1475194,,
2024-05-29,1.6e-05,1.656e-05,1.433e-05,1.476e-05,42059144267696.0,645083792.1019356,1267751,,
2024-05-30,1.476e-05,1.522e-05,1.313e-05,1.442e-05,57687172903462.0,815578561.2020595,1398553,,
2024-05-31,1.442e-05,1.58e-05,1.425e-05,1.542e-05,41132651922170.0,618869878.7208346,1218443,,
2024-06-01,1.542e-05,1.577e-05,1.475e-05,1.486e-05,22402843643376.0,342201099.63199854,624898,,
2024-06-02,1.485e-05,1.509e-05,1.388e-05,1.463e-05,29232957814140.0,425280412.27604157,677530,,
2024-06-03,1.463e-05,1.551e-05,1.435e-05,1.444e-05,30425080580827.0,456149619.5372945,834925,,
2024-06-04,1.444e-05,1.479e-05,1.397e-05,1.436e-05,26839601587273.0,385112520.56834435,672685,,
2024-06-05,1.437e-05,1.51e-05,1.407e-05,1.458e-05,28633734298365.0,416204833.57531446,745718,,
2024-06-06,1.459e-05,1.522e-05,1.421e-05,1.434e-05,19383101403238.0,284845712.01350695,574514,,
2024-06-07,1.435e-05,1.453e-05,1.116e-05,1.278e-05,43743827453297.0,578326380.8890972,959695,,
2024-06-08,1.279e-05,1.323e-05,1.196e-05,1.211e-05,26890084859231.0,338147988.4821833,502798,,
2024-06-09,1.211e-05,1.296e-05,1.185e-05,1.276e-05,22388863768983.0,277746435.5008921,417414,,
2024-06-10,1.276e-05,1.313e-05,1.204e-05,1.208e-05,20351015044522.0,256032269.3616133,467146,,
2024-06-11,1.207e-05,1.3e-05,1.137e-05,1.274e-05,39729739078490.0,482636110.52080446,924891,,
2024-06-12,1.274e-05,1.39e-05,1.211e-05,1.321e-05,44850857156380.0,592154437.4610739,1154110,,
2024-06-13,1.321e-05,1.335e-05,1.171e-05,1.192e-05,29109550108998.0,360421189.9079718,696417,,
2024-06-14,1.192e-05,1.23e-05,1.057e-05,1.138e-05,35209484714436.0,403903593.4199173,703578,,
2024-06-15,1.138e-05,1.229e-05,1.133e-05,1.185e-05,19846822573364.0,236416288.99015453,452747,,
2024-06-16,1.186e-05,1.245e-05,1.144e-05,1.231e-05,16817658513145.0,202227349.83269653,366506,,
2024-06-17,1.231e-05,1.243e-05,1.073e-05,1.117e-05,31595171599050.0,365133632.03607434,624319,,
2024-06-18,1.117e-05,1.125e-05,9.68e-06,1.096e-05,48551165700705.0,508936506.3432026,925658,,
2024-06-19,1.097e-05,1.19e-05,1.074e-05,1.136e-05,30604465296456.0,350877370.8683358,625574,,
2024-06-20,1.136e-05,1.227e-05,1.087e-05,1.099e-05,34090137883014.0,392263511.9186461,634219,,
2024-06-21,1.099e-05,1.174e-05,1.054e-05,1.141e-05,30628265184876.0,342530434.42549396,649330,,
2024-06-22,1.142e-05,1.164e-05,1.115e-05,1.143e-05,12932477620868.0,147712918.57153243,271044,,
2024-06-23,1.143e-05,1.185e-05,1.082e-05,1.092e-05,17160498841381.0,195123308.4453809,342155,,
2024-06-24,1.092e-05,1.134e-05,1e-05,1.131e-05,38554522561955.0,412557112.7962098,779146,,
2024-06-25,1.13e-05,1.307e-05,1.127e-05,1.285e-05,40507406017830.0,494596505.7797808,825494,,
2024-06-26,1.285e-05,1.35e-05,1.209e-05,1.254e-05,27000614561598.0,341692241.59781164,706376,,
2024-06-27,1.254e-05,1.274e-05,1.212e-05,1.26e-05,22687560654448.0,281326337.79415786,508827,,
2024-06-28,1.26e-05,1.265e-05,1.138e-05,1.159e-05,20016829059199.0,242656170.19556007,526898,,
2024-06-29,1.159e-05,1.186e-05,1.126e-05,1.131e-05,10030622274836.0,116733129.70554914,228928,,
2024-06-30,1.131e-05,1.193e-05,1.082e-05,1.193e-05,18695728858936.0,211573300.9168589,410897,,
2024-07-01,1.194e-05,1.219e-05,1.131e-05,1.142e-05,17262734636768.0,201787709.74662754,400334,,
2024-07-02,1.143e-05,1.164e-05,1.097e-05,1.133e-05,15893287660534.0,180181635.45486864,317586,,
2024-07-03,1.133e-05,1.135e-05,9.96e-06,1.025e-05,26207966498875.0,274335065.8790496,514607,,
2024-07-04,1.026e-05,1.037e-05,8.83e-06,8.93e-06,40379008475124.0,382996484.42476785,666824,,
2024-07-05,8.94e-06,9.19e-06,7.63e-06,8.89e-06,71767549724139.0,601924444.5825353,911246,,
2024-07-06,8.89e-06,9.91e-06,8.71e-06,9.72e-06,28622652113000.0,265840344.14328095,375409,,
2024-07-07,9.73e-06,9.75e-06,8.33e-06,8.4e-06,26661410961718.0,241963418.22380352,365862,,
2024-07-08,8.41e-06,9.53e-06,7.75e-06,9.15e-06,58675232895782.0,513075019.9626894,782460,,
2024-07-09,9.14e-06,9.59e-06,8.89e-06,9.08e-06,27715642214951.0,254656486.28993458,394435,,
2024-07-10,9.09e-06,9.44e-06,8.75e-06,9.21e-06,25208841860990.0,231396183.44090214,349043,,
2024-07-11,9.21e-06,9.78e-06,8.8e-06,8.89e-06,27602252666939.0,257046490.36012733,407490,,
2024-07-12,8.89e-06,8.99e-06,8.26e-06,8.69e-06,26258889103386.0,226685579.14731485,358111,,
2024-07-13,8.69e-06,8.94e-06,8.45e-06,8.68e-06,14146981339080.0,123404945.4931154,211325,,
2024-07-14,8.69e-06,9.36e-06,8.59e-06,9.2e-06,23364756924049.0,209342750.0354656,345640,,
2024-07-15,9.2e-06,1.147e-05,9.13e-06,1.132e-05,55347202893573.0,557902693.2885778,870079,,
2024-07-16,1.132e-05,1.268e-05,1.111e-05,1.237e-05,82053972345590.0,986884870.1824007,1933420,,
2024-07-17,1.237e-05,1.289e-05,1.151e-05,1.169e-05,38286195565163.0,462795941.20041317,851224,,
2024-07-18,1.169e-05,1.223e-05,1.122e-05,1.164e-05,34870230996974.0,410718291.6536897,675239,,
2024-07-19,1.165e-05,1.306e-05,1.128e-05,1.269e-05,36711472640152.0,444437566.59413964,725187,,
2024-07-20,1.268e-05,1.276e-05,1.191e-05,1.222e-05,24918973309251.0,304823381.56911916,525271,,
2024-07-21,1.222e-05,1.274e-05,1.156e-05,1.25e-05,24798019966922.0,302069650.40764314,550105,,
2024-07-22,1.25e-05,1.268e-05,1.172e-05,1.19e-05,17948429267986.0,218492620.26641408,425797,,
2024-07-23,1.19e-05,1.275e-05,1.159e-05,1.252e-05,34856095216815.0,421979954.2293384,833137,,
2024-07-24,1.252e-05,1.315e-05,1.198e-05,1.222e-05,30153947478075.0,378364743.2962619,779793,,
2024-07-25,1.222e-05,1.228e-05,1.083e-05,1.148e-05,30049257607459.0,349637152.54708904,834966,,
2024-07-26,1.148e-05,1.212e-05,1.14e-05,1.202e-05,17025918270977.0,202376822.1488257,394000,,
2024-07-27,1.203e-05,1.249e-05,1.158e-05,1.19e-05,18184960677761.0,219079405.75282446,449261,,
2024-07-28,1.19e-05,1.198e-05,1.154e-05,1.175e-05,7943713286387.0,93368501.04305656,224512,,
2024-07-29,1.175e-05,1.242e-05,1.169e-05,1.179e-05,20008827971908.0,240956272.45664886,466268,,
2024-07-30,1.18e-05,1.204e-05,1.103e-05,1.131e-05,14525764926687.0,167989332.87610924,386789,,
2024-07-31,1.132e-05,1.165e-05,1.087e-05,1.105e-05,12603291277859.0,142641604.82873702,349782,,
2024-08-01,1.104e-05,1.115e-05,9.73e-06,1.051e-05,26994153329356.0,279374042.6873752,552477,,
2024-08-02,1.052e-05,1.061e-05,9.23e-06,9.32e-06,28033167875062.0,277984864.7310749,595758,,
2024-08-03,9.33e-06,9.55e-06,8.28e-06,8.62e-06,30164160311839.0,269206054.8163827,530569,,
2024-08-04,8.62e-06,8.79e-06,7.66e-06,8.1e-06,39535839775128.0,326577896.35117763,596836,,
2024-08-05,8.1e-06,8.26e-06,5.85e-06,7.04e-06,132175251906618.0,900874055.1626428,1596544,,
2024-08-06,7.04e-06,8.19e-06,7.02e-06,7.74e-06,57985284723821.0,452185272.22175056,716688,,
2024-08-07,7.74e-06,8.39e-06,7.26e-06,7.36e-06,49504329429931.0,390171365.833436,662514,,
2024-08-08,7.37e-06,8.89e-06,7.19e-06,8.77e-06,47115027946704.0,381088563.5614092,577751,,
2024-08-09,8.76e-06,9e-06,8.31e-06,8.52e-06,35712036521251.0,306847373.4902388,506692,,
2024-08-10,8.53e-06,8.71e-06,8.27e-06,8.44e-06,13535135030208.0,114241801.06267783,232737,,
2024-08-11,8.43e-06,8.79e-06,7.65e-06,7.73e-06,28086528226204.0,230672307.9891909,360740,,
2024-08-12,7.73e-06,8.5e-06,7.7e-06,8.22e-06,36281490083751.0,294776126.1069981,526423,,
2024-08-13,8.23e-06,8.38e-06,7.89e-06,8.18e-06,19000696616316.0,154471090.72782677,352550,,
2024-08-14,8.19e-06,8.47e-06,7.9e-06,8e-06,22210051404078.0,180878276.87359378,390159,,
2024-08-15,8e-06,8.07e-06,7.19e-06,7.44e-06,25971356753737.0,200106662.39624098,415917,,
