date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-09-13,0.3794,1.0,0.378,0.4108,119140682.9,50127181.19635,187205,,
2024-09-14,0.4108,0.424,0.398,0.4058,57337773.0,23606081.22786,112969,,
2024-09-15,0.4058,0.4083,0.3866,0.3887,46899265.9,18747022.8879,91896,,
2024-09-16,0.3888,0.3925,0.3723,0.3759,50492523.2,19178259.35155,99985,,
2024-09-17,0.3759,0.3907,0.3738,0.3816,42013067.4,16110626.47541,84064,,
2024-09-18,0.3816,0.3902,0.3722,0.3902,36262880.5,13773088.8052,54369,,
2024-09-19,0.3901,0.4021,0.3887,0.3991,47960327.1,19019654.31172,63910,,
2024-09-20,0.3991,0.4099,0.3932,0.4014,44330075.6,17805192.88955,66404,,
2024-09-21,0.4014,0.4117,0.396,0.4115,24164019.0,9751593.32973,38462,,
2024-09-22,0.4115,0.4115,0.3926,0.401,32422905.4,13027360.45437,48740,,
2024-09-23,0.401,0.4081,0.3941,0.4059,57233691.2,23132998.47374,67129,,
2024-09-24,0.4059,0.4098,0.399,0.4092,64904002.3,26287525.1703,74416,,
2024-09-25,0.4092,0.419,0.404,0.4095,51785161.0,21306691.30211,69755,,
2024-09-26,0.4095,0.4323,0.4028,0.4257,65484907.0,27525475.42851,87544,,
2024-09-27,0.4256,0.4383,0.4235,0.4336,68275519.1,29550433.29372,74730,,
2024-09-28,0.4335,0.4375,0.4174,0.424,37578633.1,16024086.56715,52249,,
2024-09-29,0.424,0.426,0.4135,0.4212,29921318.4,12586611.96882,41722,,
2024-09-30,0.4213,0.4222,0.3933,0.3961,47318345.9,19297265.77373,77848,,
2024-10-01,0.3962,0.4057,0.366,0.3759,76986610.9,29640043.85276,104727,,
2024-10-02,0.3759,0.3873,0.3677,0.3734,57690463.9,21778156.87451,73937,,
2024-10-03,0.3733,0.3791,0.365,0.3757,56375329.7,20981868.40119,73335,,
2024-10-04,0.3758,0.3863,0.3749,0.3838,33844267.4,12884601.79029,45467,,
