date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-09-11,0.004502,0.006072,0.004502,0.005893,10602556535.0,59452624.583311,203969,1998132470.9297945,557645717.4688929
2025-09-12,0.005895,0.00637,0.005778,0.006219,20663176628.0,125702906.504848,758734,2105708819.4030292,884799681.4139924
2025-09-13,0.006218,0.007723,0.006117,0.007478,16428241221.0,109962809.784499,303529,2194299325.2430735,755907876.66984
2025-09-14,0.007475,0.00898,0.007372,0.008015,28288952779.0,229189696.948672,521590,2643491872.575599,819525463.3504361
2025-09-15,0.008013,0.00876,0.007474,0.008627,25948375301.0,210066573.270092,457974,2824587598.9177985,1504990166.4424944
2025-09-16,0.008625,0.008714,0.0078,0.007807,17319200467.0,141706635.996899,364509,3037273236.9724646,1385981179.4858215
2025-09-17,0.007807,0.008377,0.007486,0.008184,17900637174.0,142024065.372132,346963,2777253799.901103,824150971.4838257
2025-09-18,0.008183,0.008759,0.007674,0.007819,12742325071.0,103155866.1359,248776,2910251441.943945,939903089.0820721
2025-09-19,0.00782,0.007847,0.006932,0.00716,13355095513.0,97475769.835615,308233,2767366094.28452,738255438.176113
2025-09-20,0.007158,0.007474,0.006678,0.006981,11858067391.0,83718207.38604,281332,2535253276.9304237,595851389.8234097
2025-09-21,0.006982,0.007618,0.006511,0.006536,14740296409.0,104015288.607971,355201,2470761845.485157,508333609.7740501
2025-09-22,0.006537,0.00659,0.005482,0.005702,23581426352.0,141124607.694081,484148,2317609557.5846086,576097919.3841835
2025-09-23,0.005703,0.006117,0.00535,0.005835,22556668672.0,129518598.538617,491272,2000272755.2467167,717556586.904182
2025-09-24,0.005834,0.006182,0.005449,0.005634,18755389101.0,109774680.7053,413533,2074845774.7709846,602150010.8827455
2025-09-25,0.005634,0.005694,0.004951,0.005016,59105647872.0,310685225.03908,1179387,1995260975.881052,525494447.58132297
2025-09-26,0.005016,0.005403,0.004841,0.005269,142638967625.0,735535308.204363,1794856,1778921231.436653,742012729.3058335
2025-09-27,0.005269,0.005335,0.004917,0.005169,11143962080.0,57229387.777672,257874,1857549408.7258623,1101140786.596877
2025-09-28,0.005169,0.006095,0.004959,0.005989,19252204837.0,105937598.89831,404181,1833216068.9808953,277940250.6725213
2025-09-29,0.00599,0.005994,0.0054,0.005756,20263563174.0,114889692.94864,350813,2119953997.3054602,544321938.6910337
