date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.4406,0.4483,0.4194,0.4342,39535986.7,17117735.71519,71718,,
2024-05-25,0.4342,0.48,0.4283,0.4428,25810230.6,11379373.87987,58814,,
2024-05-26,0.4429,0.4535,0.4326,0.4406,19382935.1,8572025.60311,48928,,
2024-05-27,0.4407,0.4557,0.4351,0.4473,33618919.8,14974323.43088,71704,,
2024-05-28,0.4473,0.4576,0.4308,0.4377,52392823.5,23058145.5053,109055,,
2024-05-29,0.4377,0.443,0.42,0.4247,40736569.2,17537118.63269,78461,,
2024-05-30,0.4248,0.4315,0.4026,0.4099,46050811.7,19189745.83212,78493,,
2024-05-31,0.41,0.4227,0.4001,0.4052,33525326.0,13709232.5627,61399,,
2024-06-01,0.4053,0.4167,0.4017,0.4086,25964232.1,10585162.16687,40648,,
2024-06-02,0.4086,0.4388,0.4083,0.4246,74674283.1,31931998.24802,108485,,
2024-06-03,0.4246,0.4536,0.4165,0.4274,93983981.9,41115346.17791,133490,,
2024-06-04,0.4274,0.458,0.4226,0.4524,75157739.6,33086925.59998,118126,,
2024-06-05,0.4524,0.4789,0.4458,0.4753,86538603.5,40321900.66067,130921,,
2024-06-06,0.4753,0.4999,0.4532,0.4646,88638088.3,42400700.17554,135528,,
2024-06-07,0.4646,0.4899,0.3934,0.4398,121012442.1,54834840.29034,187676,,
2024-06-08,0.4399,0.4548,0.4094,0.4139,66346653.6,28571553.76798,102573,,
2024-06-09,0.4138,0.4325,0.4076,0.4294,44317812.9,18716533.53916,64871,,
2024-06-10,0.4295,0.4295,0.402,0.4065,55477681.7,22890105.39625,79252,,
2024-06-11,0.4065,0.4065,0.375,0.3829,52466035.3,20372792.2189,89382,,
2024-06-12,0.3829,0.4191,0.3684,0.4003,62490042.9,24892427.34578,92708,,
2024-06-13,0.4003,0.4004,0.3721,0.3732,42806368.5,16438361.71025,70337,,
2024-06-14,0.3732,0.3811,0.3402,0.3561,45096529.4,16429414.65679,76053,,
2024-06-15,0.3562,0.3617,0.3527,0.3555,21966457.3,7850027.85462,41251,,
2024-06-16,0.3556,0.371,0.3422,0.3638,24492432.5,8735494.93873,43182,,
2024-06-17,0.3637,0.3665,0.3171,0.3293,46473836.6,15767344.60552,75522,,
2024-06-18,0.3293,0.3321,0.2732,0.3006,78135060.8,23539609.4188,100848,,
2024-06-19,0.3007,0.3193,0.2953,0.3121,43307579.5,13497569.03648,57526,,
2024-06-20,0.3121,0.3313,0.3074,0.3119,40712284.1,12980980.15315,62584,,
2024-06-21,0.312,0.326,0.3087,0.3191,34836369.1,11080211.01849,52300,,
2024-06-22,0.3192,0.325,0.3128,0.3158,17866134.7,5685638.94706,27615,,
2024-06-23,0.3159,0.3266,0.3039,0.3079,20261740.9,6398887.15744,31222,,
2024-06-24,0.3079,0.322,0.2867,0.3211,50405823.8,15529337.33184,69451,,
2024-06-25,0.3212,0.3379,0.3181,0.329,29799833.5,9787928.61926,42757,,
2024-06-26,0.3291,0.3354,0.3093,0.3126,23684653.2,7597749.32065,39822,,
2024-06-27,0.3127,0.338,0.3051,0.3348,29439277.2,9586924.2458,49827,,
2024-06-28,0.3349,0.3365,0.3144,0.3156,26812297.1,8723141.62465,43668,,
2024-06-29,0.3157,0.3224,0.3094,0.311,17518055.5,5562679.82623,25235,,
2024-06-30,0.311,0.3251,0.3043,0.324,21362508.3,6727213.26796,32432,,
2024-07-01,0.324,0.3301,0.3175,0.3207,22476469.3,7274524.47555,40848,,
2024-07-02,0.3206,0.3397,0.3185,0.3394,25081437.4,8200429.73289,41886,,
2024-07-03,0.3395,0.341,0.308,0.3122,30056817.0,9693018.0645,50460,,
2024-07-04,0.3123,0.3178,0.2731,0.2761,40281188.0,11790593.55651,68116,,
2024-07-05,0.2761,0.2765,0.2349,0.2685,97876399.8,25187737.9793,141204,,
2024-07-06,0.2685,0.2959,0.2629,0.2928,38551501.4,10722342.85571,60715,,
2024-07-07,0.2928,0.2977,0.2709,0.2729,39981867.5,11417741.33132,67747,,
2024-07-08,0.273,0.3004,0.2603,0.2875,53732219.2,15305656.37922,101496,,
2024-07-09,0.2876,0.3018,0.2829,0.2977,24519413.1,7215954.79377,50627,,
2024-07-10,0.2977,0.3077,0.2941,0.3011,21888304.8,6587159.35006,40490,,
2024-07-11,0.3011,0.3112,0.287,0.2877,23101181.3,6936997.85195,44944,,
2024-07-12,0.2878,0.2936,0.2795,0.2912,14227899.8,4086080.50897,28203,,
2024-07-13,0.2913,0.31,0.2895,0.3058,11890154.4,3592332.47497,23826,,
2024-07-14,0.3058,0.3162,0.2998,0.3128,12576737.3,3863814.17792,32028,,
2024-07-15,0.3128,0.3404,0.3103,0.3397,22956186.6,7471843.19972,41278,,
2024-07-16,0.3398,0.3571,0.3152,0.3551,36259045.0,12245757.92344,70776,,
2024-07-17,0.3551,0.365,0.3437,0.3466,36590474.7,13008669.21969,60516,,
2024-07-18,0.3467,0.3556,0.3361,0.3442,19740637.5,6851933.30471,38962,,
2024-07-19,0.3443,0.3624,0.3314,0.3601,25375589.7,8867967.76393,47979,,
2024-07-20,0.3601,0.3726,0.3553,0.368,23671788.2,8621374.92266,36774,,
2024-07-21,0.368,0.3729,0.3429,0.3688,28586256.3,10301087.29573,44924,,
2024-07-22,0.369,0.3809,0.3468,0.3495,24604342.5,8942925.68782,41596,,
2024-07-23,0.3496,0.3552,0.3284,0.3357,29454480.0,10059103.90349,49222,,
2024-07-24,0.3357,0.3689,0.3304,0.3461,26932996.8,9491989.06051,54876,,
2024-07-25,0.3461,0.3713,0.3287,0.3705,54796256.8,19290257.75518,112499,,
2024-07-26,0.3705,0.403,0.3672,0.3964,67184925.3,26001300.36748,111342,,
2024-07-27,0.3964,0.4054,0.3783,0.3911,34840380.7,13620652.2715,70616,,
