date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,94.3,95.4,92.1,94.2,31983.894,2997553.7802,19164,,
2024-05-25,94.2,95.8,93.2,94.0,22702.018,2140018.1369,11207,,
2024-05-26,94.0,94.1,91.3,92.2,26384.711,2445940.9528,12670,,
2024-05-27,92.2,94.6,91.8,92.6,28690.931,2666511.2073,16841,,
2024-05-28,92.6,92.7,89.6,91.9,42846.356,3911597.608,24749,,
2024-05-29,91.9,93.6,90.6,92.1,33288.117,3052990.7588,19902,,
2024-05-30,92.1,92.6,89.1,90.6,39598.408,3598768.6479,22984,,
2024-05-31,90.6,92.0,89.2,90.6,27717.3,2514331.341,16463,,
2024-06-01,90.6,91.3,89.8,90.9,14901.053,1347408.3694,10185,,
2024-06-02,90.9,92.9,90.6,91.5,35484.747,3255867.2749,20893,,
2024-06-03,91.5,92.7,90.4,90.6,22979.86,2106080.4725,13902,,
2024-06-04,90.5,91.8,89.9,91.2,27393.241,2487745.0309,12117,,
2024-06-05,91.2,91.8,89.0,90.5,41225.248,3732297.7486,19995,,
2024-06-06,90.5,91.1,88.4,89.7,34763.155,3133772.044,14357,,
2024-06-07,89.8,91.1,77.6,86.2,79580.475,6795933.692,50238,,
2024-06-08,86.2,86.6,81.9,83.3,49958.894,4206662.7331,19269,,
2024-06-09,83.4,88.1,82.9,87.7,34139.775,2922926.0601,14808,,
2024-06-10,87.7,90.6,87.1,87.7,60680.677,5383669.2158,28144,,
2024-06-11,87.7,87.9,81.7,84.6,45775.648,3894192.9,24932,,
2024-06-12,84.6,88.5,83.3,87.5,40803.129,3524085.6497,28457,,
2024-06-13,87.4,88.2,82.5,83.1,30114.136,2547535.1405,23552,,
2024-06-14,83.1,83.5,78.9,81.4,39310.249,3206278.4093,27926,,
2024-06-15,81.4,83.7,81.3,82.3,18574.131,1537377.0411,10344,,
2024-06-16,82.4,83.7,82.0,82.9,12190.597,1009532.7252,7641,,
2024-06-17,83.0,83.4,77.1,79.8,53480.518,4297462.5009,26031,,
2024-06-18,79.8,80.1,72.0,76.6,68142.535,5139712.9838,33082,,
2024-06-19,76.6,79.8,76.2,79.0,25855.757,2023506.8725,14241,,
2024-06-20,79.0,80.2,77.3,78.2,24466.599,1930141.9749,13732,,
2024-06-21,78.1,79.0,75.0,76.4,21190.997,1625776.9438,13778,,
2024-06-22,76.5,76.6,74.7,75.3,9302.252,700301.4561,6149,,
2024-06-23,75.2,77.3,73.6,74.0,14015.267,1057386.5712,7454,,
2024-06-24,74.0,75.4,72.1,74.5,35632.004,2632063.4521,21921,,
2024-06-25,74.5,76.8,73.9,76.6,20272.44,1531811.5906,13579,,
