date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,1.8661,1.8707,1.7354,1.8008,1821351.9,3260004.92649,36738,,
2024-05-25,1.801,1.8862,1.7887,1.843,1506105.8,2777578.27529,31918,,
2024-05-26,1.8432,1.8433,1.7538,1.7853,1700872.2,3040073.91128,34331,,
2024-05-27,1.7853,1.91,1.7841,1.8864,2492857.3,4614494.04802,47815,,
2024-05-28,1.8879,1.9168,1.8166,1.8495,2964677.0,5508304.41444,53935,,
2024-05-29,1.8496,1.8942,1.7708,1.78,2589742.0,4728269.20255,49997,,
2024-05-30,1.7797,1.8066,1.7252,1.7536,1613927.9,2850158.76854,29600,,
2024-05-31,1.7525,1.8,1.72,1.7382,1379603.4,2426036.86922,26866,,
2024-06-01,1.7382,1.75,1.7066,1.7177,1230821.0,2118327.76648,20370,,
2024-06-02,1.7166,1.7314,1.65,1.6726,1576840.1,2667343.99809,23838,,
2024-06-03,1.6727,1.7714,1.6589,1.7285,1920306.6,3307581.68383,31226,,
2024-06-04,1.7285,1.8178,1.7108,1.8064,3636685.2,6409505.43324,70351,,
2024-06-05,1.8064,1.8569,1.7708,1.8148,3198898.5,5820730.1875,54920,,
2024-06-06,1.815,1.89,1.78,1.8522,3073776.1,5680512.62995,50198,,
2024-06-07,1.8512,1.8674,1.63,1.7022,2644332.8,4655697.09366,44572,,
2024-06-08,1.7022,1.7217,1.6046,1.621,2066708.0,3443702.55504,33760,,
2024-06-09,1.6223,1.685,1.5813,1.6744,1201659.9,1962005.32285,23166,,
2024-06-10,1.6739,1.6778,1.5771,1.5883,1390573.9,2258663.45538,26053,,
2024-06-11,1.588,1.595,1.45,1.4702,2248533.9,3397760.67989,34272,,
2024-06-12,1.4695,1.6031,1.4355,1.5347,2224909.6,3406861.79756,35756,,
2024-06-13,1.5355,1.5358,1.4669,1.4879,1419655.2,2120476.30104,26139,,
2024-06-14,1.4881,1.6038,1.4759,1.5428,2512247.8,3848453.44953,38648,,
2024-06-15,1.5414,1.7468,1.5413,1.7323,4692340.6,7886644.47968,68714,,
2024-06-16,1.7323,1.7812,1.6967,1.765,1940793.3,3360061.55987,34805,,
2024-06-17,1.7654,1.7788,1.55,1.5696,4532689.0,7436390.38626,67205,,
2024-06-18,1.5689,1.575,1.3849,1.4766,3941251.1,5738084.26818,67446,,
2024-06-19,1.4763,1.5706,1.465,1.5564,1802932.2,2734206.3126,27146,,
2024-06-20,1.5567,1.65,1.5268,1.553,1963457.3,3102407.93915,30621,,
2024-06-21,1.553,1.5903,1.4704,1.5327,1428864.8,2168593.07911,23332,,
2024-06-22,1.5341,1.5492,1.5034,1.5075,626178.0,955601.70489,11708,,
2024-06-23,1.5081,1.526,1.4473,1.4561,706534.6,1054068.97671,13827,,
2024-06-24,1.4565,1.4848,1.3634,1.4794,1914249.6,2711577.22986,35220,,
2024-06-25,1.4799,1.5653,1.4553,1.5309,1039831.2,1580251.62797,18665,,
2024-06-26,1.5307,1.5733,1.5117,1.5526,1072862.4,1656536.56177,16912,,
2024-06-27,1.5527,1.7399,1.5125,1.7083,3722149.5,6186417.96857,59066,,
2024-06-28,1.7078,1.73,1.5891,1.6035,2478055.8,4110395.14492,36703,,
2024-06-29,1.6035,1.6791,1.6033,1.6352,861193.8,1412594.69669,14207,,
2024-06-30,1.6326,1.7787,1.5989,1.7742,1766925.9,2998012.09023,26975,,
2024-07-01,1.7736,1.8686,1.7534,1.813,2951704.2,5327099.22426,45604,,
2024-07-02,1.8116,2.0071,1.8015,1.9635,6568258.5,12651732.88491,101674,,
2024-07-03,1.9635,1.9791,1.6456,1.7085,5403255.8,9696845.03212,78577,,
2024-07-04,1.7089,1.7424,1.5706,1.576,3959754.9,6583968.9789,64589,,
2024-07-05,1.5765,1.6998,1.4204,1.6627,6722171.6,10428161.68476,108474,,
2024-07-06,1.6644,1.7484,1.5862,1.7461,3115428.4,5207702.20114,41711,,
2024-07-07,1.7464,1.7464,1.5456,1.5515,2954597.6,4878877.43134,37040,,
2024-07-08,1.5514,1.6718,1.4858,1.6466,4083978.1,6513802.58974,55799,,
2024-07-09,1.6428,1.7696,1.5929,1.7436,3619571.7,6157264.81684,52713,,
2024-07-10,1.7435,1.827,1.713,1.7944,2641702.6,4703609.39121,51470,,
