date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.4424,0.453,0.433,0.4476,14102328.0,6255268.1237,27661,,
2024-05-25,0.4476,0.4597,0.4464,0.4565,10717948.0,4866786.4409,18733,,
2024-05-26,0.4565,0.4574,0.4377,0.4411,9497610.0,4252632.9252,19771,,
2024-05-27,0.4411,0.4679,0.4373,0.4592,13817865.0,6250040.238,29467,,
2024-05-28,0.4592,0.4624,0.4404,0.4497,18880304.0,8464541.3556,35666,,
2024-05-29,0.4496,0.4617,0.4421,0.4435,15898007.0,7203027.1711,32592,,
2024-05-30,0.4434,0.4516,0.4287,0.4385,13236895.0,5828086.5275,33963,,
2024-05-31,0.4385,0.4413,0.4251,0.4321,13844289.0,5999117.5635,29802,,
2024-06-01,0.4321,0.4439,0.4302,0.438,8651977.0,3763156.2698,18955,,
2024-06-02,0.4379,0.4525,0.4355,0.4359,23001234.0,10236064.4845,34456,,
2024-06-03,0.4359,0.472,0.43,0.4532,37544052.0,17235196.4946,61486,,
2024-06-04,0.4534,0.464,0.4447,0.4624,21527413.0,9799876.4679,37378,,
2024-06-05,0.4624,0.4762,0.4603,0.471,18048333.0,8448202.6651,36699,,
2024-06-06,0.471,0.4915,0.4624,0.4733,34778622.0,16608750.9892,71905,,
2024-06-07,0.4734,0.48,0.4,0.4344,39957217.0,17939636.8553,87815,,
2024-06-08,0.4343,0.4377,0.4059,0.4104,29055316.0,12162969.8464,50519,,
2024-06-09,0.4102,0.424,0.4018,0.4224,12421668.0,5146535.5844,21782,,
2024-06-10,0.4223,0.4255,0.4099,0.4132,12757378.0,5319252.4965,27877,,
2024-06-11,0.4133,0.4154,0.3853,0.3928,24444931.0,9756481.1534,45527,,
2024-06-12,0.3928,0.4183,0.3845,0.4111,14873466.0,6042959.2963,36476,,
2024-06-13,0.4112,0.412,0.3884,0.3928,11373121.0,4541338.9483,30458,,
2024-06-14,0.3929,0.3982,0.3697,0.3786,17338859.0,6671215.1204,36973,,
2024-06-15,0.3787,0.3864,0.3765,0.3841,5923649.0,2262849.5845,12773,,
2024-06-16,0.3841,0.3869,0.3792,0.383,6263353.0,2403065.221,14751,,
2024-06-17,0.3831,0.3852,0.3324,0.3371,32877936.0,11668989.4084,58109,,
2024-06-18,0.3373,0.37,0.2924,0.3121,50467059.0,15723537.1142,91133,,
2024-06-19,0.3121,0.3275,0.3098,0.3242,17167802.0,5510124.0781,27759,,
2024-06-20,0.3241,0.3415,0.3224,0.3299,14858364.0,4924038.8718,26280,,
2024-06-21,0.3299,0.3384,0.3261,0.3317,10553912.0,3514646.2895,23502,,
2024-06-22,0.3318,0.3339,0.3271,0.3307,5497910.0,1819918.8882,11744,,
2024-06-23,0.3308,0.3357,0.3175,0.3212,7940829.0,2601605.6787,15705,,
2024-06-24,0.3214,0.3282,0.3045,0.3277,19407649.0,6179563.2653,35657,,
2024-06-25,0.3277,0.3413,0.326,0.3376,10224030.0,3401669.1112,18580,,
2024-06-26,0.3374,0.3404,0.3287,0.334,7792912.0,2608012.5118,15942,,
2024-06-27,0.334,0.3439,0.3287,0.3407,7570280.0,2553708.1669,14989,,
2024-06-28,0.3406,0.3451,0.3353,0.3361,7691032.0,2609348.5928,15255,,
2024-06-29,0.3362,0.3426,0.3244,0.3258,5116367.0,1704689.3887,11406,,
2024-06-30,0.3259,0.3331,0.3223,0.3314,7157914.0,2341134.9169,13461,,
2024-07-01,0.3315,0.3368,0.3258,0.328,6587936.0,2187890.6108,14764,,
2024-07-02,0.3279,0.3364,0.3234,0.3302,6014251.0,1976372.3886,14187,,
2024-07-03,0.3301,0.3317,0.3107,0.3136,11066423.0,3547584.6587,25024,,
2024-07-04,0.3137,0.3164,0.2794,0.2819,23131997.0,6869154.763,46320,,
2024-07-05,0.2819,0.2852,0.2454,0.2809,53608669.1,14096455.977,97765,,
2024-07-06,0.2809,0.3058,0.2784,0.3045,13144065.0,3813041.9985,23943,,
2024-07-07,0.3046,0.3054,0.2821,0.2839,10618752.0,3149996.3438,23722,,
2024-07-08,0.2839,0.3042,0.2704,0.2911,21696382.0,6302598.2532,46833,,
2024-07-09,0.2911,0.2986,0.2888,0.297,14910608.0,4386998.7617,33768,,
2024-07-10,0.297,0.3051,0.2932,0.3012,11200222.0,3357737.2233,30501,,
2024-07-11,0.301,0.3107,0.2968,0.2989,9351606.0,2833317.9849,23464,,
2024-07-12,0.2989,0.3119,0.2961,0.3117,6905202.0,2089827.7181,16199,,
2024-07-13,0.3118,0.3186,0.3094,0.3167,6062480.0,1906622.4609,15507,,
2024-07-14,0.3167,0.3263,0.3127,0.3237,8408670.0,2676494.7871,21325,,
2024-07-15,0.3237,0.3424,0.3227,0.3397,10725709.0,3529590.6073,23995,,
2024-07-16,0.3396,0.3437,0.3232,0.3358,12078115.0,4043825.2977,31435,,
2024-07-17,0.3359,0.3455,0.3326,0.3335,10653345.0,3618129.2094,24616,,
2024-07-18,0.3336,0.3484,0.3156,0.3217,19203789.0,6405379.7591,37246,,
2024-07-19,0.3217,0.3441,0.3156,0.3412,14509919.0,4789770.5571,30773,,
2024-07-20,0.3411,0.35,0.3383,0.3458,9348496.0,3219806.0734,16714,,
2024-07-21,0.3458,0.3505,0.328,0.3481,10708900.0,3675513.4072,19739,,
2024-07-22,0.3482,0.3495,0.3285,0.332,8395356.0,2835165.7056,15515,,
2024-07-23,0.3319,0.338,0.316,0.3208,10138735.0,3309119.1495,20662,,
2024-07-24,0.3208,0.3323,0.3159,0.3187,10237773.0,3328942.0524,18225,,
2024-07-25,0.3185,0.32,0.2966,0.3067,12823756.0,3926183.6305,26882,,
2024-07-26,0.3068,0.3295,0.3063,0.3288,9074600.0,2892632.2997,14607,,
2024-07-27,0.3287,0.3412,0.3259,0.3372,12301207.0,4117310.8816,21414,,
2024-07-28,0.3372,0.3372,0.3255,0.3284,5460808.0,1804698.1028,9145,,
2024-07-29,0.3284,0.3444,0.3272,0.3279,8965110.0,3012952.3285,17290,,
2024-07-30,0.3277,0.3364,0.3194,0.3246,6543646.0,2154926.1719,14640,,
2024-07-31,0.3246,0.3323,0.3077,0.3094,9953846.0,3177410.1815,23345,,
2024-08-01,0.3094,0.3116,0.2841,0.3027,17234705.0,5148797.3728,29217,,
2024-08-02,0.3025,0.3048,0.2777,0.2838,18977960.0,5492491.0325,29275,,
2024-08-03,0.2837,0.2914,0.2646,0.2728,15103066.0,4188853.9479,25165,,
2024-08-04,0.2728,0.2795,0.2498,0.2605,18363191.0,4840481.1969,32718,,
2024-08-05,0.2604,0.263,0.2082,0.2377,70222639.6,16108199.7881,138538,,
2024-08-06,0.2378,0.2533,0.2376,0.246,15809410.0,3895274.0956,31607,,
2024-08-07,0.246,0.2524,0.2333,0.2385,15034057.0,3658971.4054,24851,,
2024-08-08,0.2385,0.268,0.2338,0.2671,16431085.0,4164993.2908,23584,,
2024-08-09,0.267,0.267,0.258,0.2647,8266061.0,2173350.8753,13044,,
2024-08-10,0.2647,0.2751,0.2623,0.2715,6617228.0,1775301.7274,11602,,
2024-08-11,0.2715,0.2743,0.2492,0.2516,9019923.0,2368316.1702,13970,,
2024-08-12,0.2517,0.2675,0.249,0.2637,11567712.0,2994905.332,17953,,
2024-08-13,0.2638,0.2712,0.2559,0.2666,6846583.0,1803851.4875,11891,,
2024-08-14,0.2666,0.2677,0.2528,0.2556,12270061.0,3194582.0651,15764,,
2024-08-15,0.2555,0.2623,0.2443,0.2475,14175773.0,3595823.1887,19504,,
2024-08-16,0.2476,0.2513,0.2414,0.2488,9641071.0,2385965.8031,14490,,
2024-08-17,0.2486,0.2526,0.2471,0.2525,5149153.0,1282632.9257,9164,,
2024-08-18,0.2525,0.2621,0.2477,0.2553,12645977.0,3242423.0403,17671,,
2024-08-19,0.2553,0.2611,0.2507,0.26,9950978.0,2539655.4529,16807,,
2024-08-20,0.26,0.2661,0.2561,0.2614,9580942.0,2512988.4365,16238,,
2024-08-21,0.2614,0.2775,0.2591,0.2741,9077264.0,2425860.4426,19061,,
2024-08-22,0.2742,0.2777,0.2683,0.2759,8561298.0,2350671.022,18309,,
2024-08-23,0.2759,0.3025,0.2759,0.3002,19256766.0,5564256.4548,30034,,
2024-08-24,0.3002,0.3093,0.2964,0.3035,12776677.0,3857638.7164,22311,,
2024-08-25,0.3032,0.3038,0.2891,0.2945,12663320.0,3745577.167,20644,,
2024-08-26,0.2945,0.2976,0.2767,0.2785,11189549.0,3208458.3139,18549,,
2024-08-27,0.2785,0.2845,0.2537,0.2597,13913844.0,3777748.7871,24918,,
2024-08-28,0.2597,0.2644,0.2472,0.254,17556864.0,4496848.9576,27050,,
2024-08-29,0.2538,0.2625,0.2488,0.2526,17516001.0,4475300.8789,17370,,
2024-08-30,0.2525,0.2599,0.2432,0.2554,12884315.0,3263933.9396,23678,,
2024-08-31,0.2553,0.2577,0.2492,0.2518,4612766.0,1173386.5242,13102,,
2024-09-01,0.2516,0.2527,0.2345,0.2354,11090474.0,2709643.2066,16067,,
2024-09-02,0.2353,0.2536,0.2342,0.2504,17183750.0,4153259.9009,18012,,
2024-09-03,0.2503,0.2548,0.241,0.2418,9177219.0,2278710.0846,13915,,
2024-09-04,0.2418,0.2544,0.2292,0.2501,15683348.0,3831125.6664,18771,,
2024-09-05,0.25,0.2515,0.2414,0.2438,7804881.0,1924507.021,14098,,
2024-09-06,0.2436,0.2495,0.2263,0.2349,29010448.0,6996871.8873,24067,,
2024-09-07,0.2348,0.2435,0.2337,0.2395,5985931.0,1432017.8483,7808,,
2024-09-08,0.2396,0.2481,0.2385,0.2445,5411702.0,1317488.5438,7828,,
2024-09-09,0.2448,0.2579,0.2436,0.2543,8700121.0,2187454.8347,12676,,
2024-09-10,0.2543,0.2573,0.2497,0.2545,8293941.0,2100890.0979,9461,,
2024-09-11,0.2546,0.2556,0.2438,0.2543,8548518.0,2138772.077,10499,,
2024-09-12,0.2542,0.26,0.2533,0.2596,9602485.0,2467482.0208,10367,,
2024-09-13,0.2597,0.2638,0.2557,0.2611,13073001.0,3403492.9807,14542,,
2024-09-14,0.2611,0.2614,0.2518,0.2552,11882486.0,3038075.8783,11786,,
2024-09-15,0.2552,0.2573,0.2431,0.2453,7859103.0,1978046.2116,10667,,
2024-09-16,0.2452,0.2488,0.2396,0.2426,7700181.0,1874313.6401,10736,,
2024-09-17,0.2426,0.255,0.2398,0.2519,9018186.0,2248321.6432,11606,,
2024-09-18,0.2518,0.2574,0.2415,0.257,11888423.0,2963042.491,14805,,
2024-09-19,0.2572,0.2706,0.2572,0.2684,13920759.0,3682651.951,17362,,
2024-09-20,0.2683,0.2764,0.2645,0.272,10044255.0,2721937.6168,13120,,
2024-09-21,0.2718,0.2899,0.2704,0.2881,13142710.0,3698132.1323,15468,,
2024-09-22,0.288,0.2889,0.2688,0.2769,11376440.0,3174004.6597,13232,,
2024-09-23,0.2768,0.2835,0.2711,0.2777,10651616.0,2957949.8571,15384,,
2024-09-24,0.2778,0.2857,0.2718,0.2837,18278558.0,5110396.6046,17470,,
2024-09-25,0.2839,0.2889,0.2747,0.2762,14662242.0,4115207.2545,18607,,
2024-09-26,0.2763,0.2909,0.2723,0.2905,13521242.0,3836806.3279,19609,,
2024-09-27,0.2905,0.3032,0.2891,0.3002,16888266.0,5020146.4808,21560,,
2024-09-28,0.3003,0.3014,0.287,0.292,12295190.0,3604519.7853,16510,,
2024-09-29,0.2921,0.2955,0.2844,0.2903,11281612.0,3269042.5291,16842,,
2024-09-30,0.2902,0.2924,0.2672,0.2701,17449123.0,4898620.1388,26153,,
2024-10-01,0.27,0.2791,0.2418,0.2492,27524924.0,7157184.1604,40680,,
2024-10-02,0.2492,0.2573,0.238,0.2435,17495662.0,4349795.6372,24370,,
2024-10-03,0.2435,0.2484,0.2354,0.2453,15537754.0,3749381.1275,21060,,
2024-10-04,0.2451,0.2546,0.2435,0.2526,12629046.0,3154661.0078,15463,,
2024-10-05,0.2526,0.2558,0.2486,0.252,5835504.0,1474973.2071,8178,,
