date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,0.5238,0.5278,0.4978,0.5164,30422719.8,15617361.31689,70465,,
2024-05-25,0.5163,0.5394,0.5143,0.5326,23410411.3,12402978.02142,55036,,
2024-05-26,0.5328,0.5502,0.5249,0.5366,29069215.7,15656162.38795,73030,,
2024-05-27,0.5366,0.5799,0.5332,0.5695,54761721.3,30396851.78988,122747,,
2024-05-28,0.5697,0.5775,0.5317,0.5406,46437121.4,25387326.58315,102724,,
2024-05-29,0.5407,0.5467,0.5136,0.5163,38192031.0,20208678.86361,88083,,
2024-05-30,0.5162,0.5255,0.5005,0.511,24975820.1,12869867.54477,60545,,
2024-05-31,0.5109,0.5217,0.5,0.507,21061596.6,10730538.73712,57284,,
2024-06-01,0.5071,0.5087,0.4905,0.4932,28133257.5,14009524.03393,57741,,
2024-06-02,0.4932,0.5041,0.4752,0.4792,39554800.3,19374914.18692,76314,,
2024-06-03,0.4793,0.5195,0.4725,0.5039,41885886.1,21058223.12333,87667,,
2024-06-04,0.504,0.5275,0.4983,0.5219,30764851.0,15767824.38097,72211,,
2024-06-05,0.5219,0.5326,0.5145,0.528,24982176.8,13086216.47001,61707,,
2024-06-06,0.5279,0.532,0.5033,0.5098,23073342.5,11994311.8108,58859,,
2024-06-07,0.5097,0.5653,0.4636,0.5285,112495239.1,59449193.61338,248296,,
2024-06-08,0.5287,0.5479,0.488,0.4938,89250126.0,46564197.93298,203604,,
2024-06-09,0.4937,0.5054,0.4812,0.5018,45466570.3,22362135.37146,110029,,
2024-06-10,0.5018,0.5044,0.4753,0.4818,45661869.7,22310785.40295,112671,,
2024-06-11,0.4818,0.484,0.4497,0.4566,64496104.3,30127338.90518,162258,,
2024-06-12,0.4566,0.4959,0.4386,0.4803,61779978.6,29100460.87163,149364,,
2024-06-13,0.4803,0.4894,0.4399,0.4426,47744267.4,22025533.07069,109152,,
2024-06-14,0.4426,0.4519,0.4085,0.4195,56697630.0,24421557.3542,105235,,
2024-06-15,0.4191,0.4253,0.4129,0.4164,16594009.0,6955661.33714,38076,,
2024-06-16,0.4164,0.421,0.4017,0.4142,21610909.8,8902104.70843,39913,,
2024-06-17,0.4142,0.4195,0.367,0.3788,63976152.4,24773230.24535,97550,,
2024-06-18,0.3788,0.3817,0.3311,0.3438,84071332.5,29444245.27836,132713,,
2024-06-19,0.3437,0.3648,0.3371,0.3582,54427309.6,19271617.96331,78817,,
2024-06-20,0.3581,0.398,0.3539,0.3604,59910485.5,22261770.83285,92298,,
2024-06-21,0.3605,0.3755,0.3544,0.3636,40993477.8,14921371.09931,82040,,
2024-06-22,0.3636,0.3674,0.354,0.3542,18729027.9,6733318.48184,38868,,
2024-06-23,0.3543,0.3624,0.343,0.3488,22377254.2,7894745.3998,42196,,
2024-06-24,0.3488,0.3665,0.329,0.3646,54794759.8,19014718.21987,93612,,
2024-06-25,0.3647,0.3844,0.3608,0.3742,36951668.1,13795779.58188,70423,,
2024-06-26,0.3741,0.3769,0.3506,0.3522,29161914.6,10567693.41862,61346,,
