date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2024-05-24,2.46e-05,2.511e-05,2.362e-05,2.44e-05,4195441244126.0,102105489.05880456,1564187,,
2024-05-25,2.44e-05,2.527e-05,2.429e-05,2.508e-05,2845136437759.0,70541403.69993833,883219,,
2024-05-26,2.508e-05,2.517e-05,2.414e-05,2.433e-05,2396225445892.0,58952108.55749413,856011,,
2024-05-27,2.432e-05,2.623e-05,2.431e-05,2.552e-05,7189013499666.0,183123545.82689616,1707144,,
2024-05-28,2.552e-05,2.738e-05,2.444e-05,2.674e-05,11136854911998.0,288821126.75538373,2635042,,
2024-05-29,2.675e-05,2.945e-05,2.652e-05,2.755e-05,14930763774093.0,415912812.6992573,4155614,,
2024-05-30,2.755e-05,2.883e-05,2.561e-05,2.588e-05,8972985741670.0,240202890.71726328,2815584,,
2024-05-31,2.588e-05,2.635e-05,2.487e-05,2.543e-05,4561819514958.0,117182901.03156622,1652938,,
2024-06-01,2.543e-05,2.55e-05,2.511e-05,2.526e-05,1836300386585.0,46509148.65981128,661295,,
2024-06-02,2.526e-05,2.549e-05,2.402e-05,2.462e-05,3592351944695.0,88988101.33509707,1027742,,
2024-06-03,2.461e-05,2.54e-05,2.427e-05,2.443e-05,3648093452153.0,90603428.70711397,1273002,,
2024-06-04,2.443e-05,2.467e-05,2.282e-05,2.461e-05,4874789884758.0,117005117.25203224,1219199,,
2024-06-05,2.46e-05,2.633e-05,2.45e-05,2.594e-05,7520801185035.0,193540053.13256428,1919046,,
2024-06-06,2.593e-05,2.622e-05,2.494e-05,2.524e-05,3330439495822.0,85349231.31424502,1107839,,
2024-06-07,2.523e-05,2.549e-05,2.145e-05,2.369e-05,6190452475750.0,147296944.26433173,1281270,,
2024-06-08,2.37e-05,2.415e-05,2.3e-05,2.321e-05,2740406186719.0,64521731.12586361,923912,,
2024-06-09,2.321e-05,2.367e-05,2.295e-05,2.349e-05,1393234150076.0,32425655.98604819,569894,,
2024-06-10,2.349e-05,2.362e-05,2.269e-05,2.291e-05,2054438225241.0,47496032.9170164,824028,,
2024-06-11,2.291e-05,2.297e-05,2.105e-05,2.163e-05,4514209308692.0,99339849.03846736,1385835,,
2024-06-12,2.163e-05,2.324e-05,2.112e-05,2.221e-05,6060851125491.0,135589622.71761146,1776089,,
2024-06-13,2.22e-05,2.221e-05,2.095e-05,2.118e-05,2792479623371.0,60083267.9384542,1061178,,
2024-06-14,2.118e-05,2.189e-05,1.96e-05,2.029e-05,4207861454554.0,86758603.27637482,1216186,,
2024-06-15,2.029e-05,2.099e-05,1.998e-05,2.077e-05,1482167252261.0,30629986.41840087,660531,,
2024-06-16,2.077e-05,2.108e-05,2.04e-05,2.095e-05,1072794637241.0,22315549.57223081,491123,,
2024-06-17,2.095e-05,2.107e-05,1.86e-05,1.932e-05,3394743968561.0,66932814.16612131,1409313,,
