date,open,high,low,close,volume_base,volume_usdt,trades,market_cap,cg_volume
2025-09-17,0.07558,0.095,0.07222,0.07688,486078723.0,37490121.50569,235119,1728186797.8937485,17643941.585493315
2025-09-18,0.07686,0.07839,0.07373,0.07753,200130474.0,15304636.22878,143131,1799715079.9291716,92134725.48383321
2025-09-19,0.07753,0.07795,0.07173,0.07262,99827443.0,7428369.82203,88946,1816723510.780528,38963441.901896134
2025-09-20,0.07262,0.07289,0.06881,0.06941,232285903.0,16357316.98626,145490,1691158946.1902208,17256559.96863271
2025-09-21,0.06941,0.0721,0.0688,0.0695,116937910.0,8210416.35734,103802,1625347365.681656,28579793.6082266
2025-09-22,0.0695,0.06975,0.06139,0.06665,222076645.0,14769506.80181,140855,1629364780.4913447,20310290.79496224
2025-09-23,0.06665,0.06948,0.06476,0.06807,83400371.0,5597700.82975,82127,1560067903.6232154,29839210.60394785
2025-09-24,0.06807,0.0723,0.06682,0.06686,119026394.0,8281564.93197,116000,1597278304.9475696,28781345.897404183
2025-09-25,0.06687,0.06737,0.06375,0.06499,125141034.0,8173811.70649,96587,1566159903.5273826,37066018.32131358
2025-09-26,0.065,0.06918,0.06387,0.06718,69294008.0,4586987.53443,74149,1516733490.9123523,33052314.67384904
2025-09-27,0.0672,0.06758,0.06455,0.06458,40749436.0,2682980.36184,40841,1572029983.6782966,21997742.5864101
2025-09-28,0.06458,0.06909,0.06396,0.06861,61683535.0,4103496.70378,60774,1513824968.1644928,14491623.439823924
2025-09-29,0.06862,0.06887,0.06531,0.0656,67923993.0,4566727.96471,62903,1605164237.2449815,20357532.289381865
2025-09-30,0.06558,0.06888,0.06422,0.06799,94946445.0,6316358.75323,85503,1533036007.910136,25709642.683366224
2025-10-01,0.06799,0.07299,0.06718,0.07077,153644580.0,10839084.82895,133262,1589740128.3479128,29035543.431141257
2025-10-02,0.07078,0.0718,0.06905,0.07013,87050203.0,6123198.54922,79269,1654613776.3375418,45828591.21393666
2025-10-03,0.07013,0.0706,0.06793,0.06944,55436922.0,3836997.5296,69406,1641231851.2932582,27895342.34116172
2025-10-04,0.06944,0.06983,0.06656,0.06718,40043083.0,2716814.74305,41695,1627151207.3765,21809087.83195667
2025-10-05,0.06717,0.0702,0.06687,0.06717,44040741.0,3014855.46625,60587,1569016041.4352553,15474795.614202717
2025-10-06,0.06718,0.06967,0.06704,0.06933,43396337.0,2962971.13946,56888,1571389771.3946314,16080909.744355094
2025-10-07,0.06932,0.07042,0.06627,0.0667,61093661.0,4201323.61375,67026,1619647989.5641103,16726895.549221022
2025-10-08,0.06669,0.06921,0.06593,0.06897,37869211.0,2545831.5266,45187,1553820817.030224,24844183.295143787
2025-10-09,0.06896,0.06903,0.06574,0.06694,38976922.0,2614412.61987,46111,1609442581.7769113,15355408.73440383
2025-10-10,0.06693,0.06866,0.03491,0.06107,159484031.0,9496687.71624,126317,1563887715.8353615,14856976.822159354
2025-10-11,0.06112,0.06313,0.056,0.058,149857107.0,8837584.89304,98353,1434921985.2837956,51289261.96235761
2025-10-12,0.05798,0.06383,0.05773,0.06301,46659520.0,2803344.60166,54896,1356947742.5621116,34177508.113753594
2025-10-13,0.06303,0.06569,0.06196,0.06533,68909288.0,4382584.37259,90024,1473782802.5430806,14978471.773566378
2025-10-14,0.06534,0.06551,0.05943,0.06341,88223693.0,5466484.10413,127871,1526114378.8925056,24257925.966487363
2025-10-15,0.0634,0.0649,0.05855,0.05991,63209667.0,3877823.4171,61871,1480483963.0475385,28937794.968027305
2025-10-16,0.05991,0.06056,0.05853,0.0603,53096364.0,3178281.89575,55448,1399005117.7953098,19787735.158774886
2025-10-17,0.06029,0.06048,0.058,0.05883,94482271.0,5603619.38291,71123,1404570568.188564,17782634.528341077
2025-10-18,0.05885,0.05992,0.05844,0.0591,18293833.0,1080937.37273,16643,1375058275.9802985,24566816.64035903
2025-10-19,0.05909,0.05999,0.05831,0.05873,45941420.0,2712558.73189,26289,1380777743.028127,6753559.747155184
2025-10-20,0.05872,0.05999,0.058,0.05834,36592858.0,2152928.00672,26397,1371501558.281638,12306684.133359974
2025-10-21,0.0583,0.06223,0.05785,0.05804,88322357.0,5309770.83311,50836,1362613272.5820262,11099498.724042103
2025-10-22,0.05805,0.05984,0.05715,0.05804,71405506.0,4163421.65451,26283,1363501132.2963283,23902751.922405213
2025-10-23,0.05803,0.06058,0.05789,0.05857,29505154.0,1749944.33655,21693,1357091901.9577892,16418949.426190604
2025-10-24,0.05858,0.06025,0.05726,0.05791,34733876.0,2035157.20047,22023,1366971576.4559762,8736226.510437021
2025-10-25,0.05789,0.05874,0.05736,0.05761,20341213.0,1178191.284,9615,1352178182.9391372,9007039.37988794
2025-10-26,0.0576,0.05992,0.05713,0.05916,27163153.0,1582624.53753,14225,1343034569.9430609,5817611.1877110535
2025-10-27,0.05918,0.06064,0.0581,0.0591,30968763.0,1840849.67897,18004,1384497029.7308834,7631481.923991339
2025-10-28,0.0591,0.06032,0.05781,0.05833,35182925.0,2077013.19277,29258,1380666867.5162556,8878103.166023532
2025-10-29,0.05833,0.05955,0.05708,0.05866,24175366.0,1410833.87504,16472,1361471702.701457,9739355.588611385
2025-10-30,0.05867,0.06069,0.0562,0.05755,49732638.0,2883003.30378,24420,1373937611.5685399,6787030.408123606
2025-10-31,0.05754,0.05768,0.05547,0.05598,51135443.0,2888815.68615,28958,1341088129.62736,13771001.044515058
2025-11-01,0.05599,0.05652,0.05562,0.05598,19021220.0,1064620.27512,12369,1306499136.940911,11598671.764444616
2025-11-02,0.05597,0.05634,0.05522,0.05595,21283675.0,1185535.86531,14253,1306326463.6899347,4847208.483643292
2025-11-03,0.05596,0.05624,0.05251,0.0539,80817425.0,4398185.96175,47936,1302971136.5109472,5946637.740953457
2025-11-04,0.05392,0.05451,0.05029,0.05302,107366770.0,5622585.72408,64313,1233132531.3223677,17479097.68465825
